black,team,gymnast,roster2015,roster2016,roster2017,roster2018,roster2019,roster2020,roster2021,roster2022,roster2023
0,Air Force,Casey Bell,1,1,1,1,,,,,
0,Air Force,Jamie Lewis,1,1,1,1,,,,,
0,Air Force,Julia Sebben,1,1,1,,,,,,
0,Air Force,Kara Witgen,1,1,1,,,,,,
0,Air Force,Joey Ching,1,1,,,,,,,
0,Air Force,Shannen Kelly,1,1,,,,,,,
0,Air Force,Lindsay Ebel,1,,,,,,,,
0,Air Force,Annie Graft,1,,,,,,,,
0,Air Force,Kim McRobbie,1,,,,,,,,
0,Air Force,Alexandra Stych,1,,,,,,,,
0,Air Force,Jessica Wallander,1,,,,,,,,
0,Air Force,Hannah Wilken,1,,,,,,,,
0,Air Force,Riley Hill,,1,1,1,1,,,,
0,Air Force,Mariana Murphy,,1,1,1,1,,,,
0,Air Force,Brittney Reed,,1,1,1,1,,,,
0,Air Force,Darby Germain,,1,1,,,,,,
0,Air Force,Chelsea Grimison,,1,1,,,,,,
0,Air Force,Sarah Neumann,,1,,,,,,,
0,Air Force,Anna Salamone,,,1,1,1,1,,,
0,Air Force,Analise Howard,,,1,1,1,,,,
0,Air Force,Rita Koenigbauer,,,1,1,1,,,,
0,Air Force,Emily Luers,,,1,1,1,,,,
0,Air Force,Natalie Hawthorne,,,1,,,,,,
0,Air Force,Cam Barber,,,,1,1,1,1,,
0,Air Force,Brooke Bruder,,,,1,1,1,1,,
1,Air Force,Tyler Davis,,,,1,1,1,1,,
0,Air Force,Jessica Kirkpatrick,,,,1,1,1,1,,
0,Air Force,Heidi Sand,,,,1,1,1,1,,
0,Air Force,Chloe Camello,,,,1,,1,1,,
0,Air Force,Lauren Miller (Air Force),,,,1,,1,1,,
0,Air Force,Lynne Jad,,,,1,,,,,
0,Air Force,Grace Bardes,,,,,1,1,1,1,
0,Air Force,Pixie Brock,,,,,1,1,1,1,
0,Air Force,Natalie Meyer,,,,,1,1,1,1,
0,Air Force,Cameo Stapleton,,,,,1,1,1,1,
1,Air Force,Daija Stevenson,,,,,1,1,1,1,
1,Air Force,Briona Carswell,,,,,,1,1,1,1
0,Air Force,Valerie Smith,,,,,,1,1,1,
0,Air Force,Amber Boll,,,,,,1,,1,1
0,Air Force,Makensie Blum,,,,,,1,,,
0,Air Force,Grace Nelson,,,,,,,1,1,1
0,Air Force,Elizabeth Shearns,,,,,,,1,1,
0,Air Force,Ainsley Prins,,,,,,,1,,
0,Air Force,Velandra Brochi,,,,,,,,1,1
0,Air Force,Ayla McKean,,,,,,,,1,1
0,Air Force,Gabriella Meccia,,,,,,,,1,1
0,Air Force,Genevieve Sabado,,,,,,,,1,1
1,Air Force,Leilani Zander,,,,,,,,1,1
0,Air Force,Madeline Kinsey,,,,,,,,1,
0,Air Force,Tessa Volpe,,,,,,,,1,
0,Air Force,Sayge Berger,,,,,,,,,1
1,Air Force,Madison Carlisle,,,,,,,,,1
0,Air Force,Kylee Greene,,,,,,,,,1
0,Air Force,Alexa Kabat,,,,,,,,,1
0,Air Force,Kimberly Kinkade,,,,,,,,,1
0,Air Force,Gianna Martyna,,,,,,,,,1
0,Air Force,Gracie Willis,,,,,,,,,1
0,Alabama,Mackenzie Brannan,1,1,1,1,,,,,
0,Alabama,Nickie Guerrero,1,1,1,1,,,,,
1,Alabama,Kiana Winston,1,1,1,1,,,,,
0,Alabama,Katie Bailey (Alabama),1,1,1,,,,,,
0,Alabama,Amanda Jetter,1,1,1,,,,,,
0,Alabama,Mary Lillian Sanders,1,1,1,,,,,,
0,Alabama,Keely McNeer,1,1,1,,,,,,
1,Alabama,Aja Sims,1,1,1,,,,,,
0,Alabama,Mackenzie Valentin,1,1,1,,,,,,
0,Alabama,Lauren Beers,1,1,,,,,,,
1,Alabama,Carley Sims,1,1,,,,,,,
0,Alabama,Kaitlyn Clark,1,,,,,,,,
1,Alabama,Hunter Dennis,1,,,,,,,,
0,Alabama,Lora Leigh Frost,1,,,,,,,,
0,Alabama,Dominique Pegg,1,,,,,,,,
