team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Air Force,2022,1,no meet title,Jan-14-2022,Utah State,Amber Boll,9.5500,9.4250,,
Air Force,2022,1,no meet title,Jan-14-2022,Utah State,Velandra Brochi,9.5500,,9.1750,9.6750
Air Force,2022,1,no meet title,Jan-14-2022,Utah State,Pixie Brock,,,9.7000,
Air Force,2022,1,no meet title,Jan-14-2022,Utah State,Briona Carswell,,,9.7500,
Air Force,2022,1,no meet title,Jan-14-2022,Utah State,Madeline Kinsey,9.0750,,,
Air Force,2022,1,no meet title,Jan-14-2022,Utah State,Ayla McKean,9.7500,9.6250,,9.7000
Air Force,2022,1,no meet title,Jan-14-2022,Utah State,Natalie Meyer,,,,9.6000
Air Force,2022,1,no meet title,Jan-14-2022,Utah State,Grace Nelson,9.5750,9.0750,,
Air Force,2022,1,no meet title,Jan-14-2022,Utah State,Genevieve Sabado,9.5000,9.6500,9.8000,9.5250
Air Force,2022,1,no meet title,Jan-14-2022,Utah State,Elizabeth Shearns,,9.1000,,
Air Force,2022,1,no meet title,Jan-14-2022,Utah State,Valerie Smith,,,9.8000,
Air Force,2022,1,no meet title,Jan-14-2022,Utah State,Cameo Stapleton,,,,9.7250
Air Force,2022,1,no meet title,Jan-14-2022,Utah State,Daija Stevenson,,7.5000,9.7500,9.6750
Air Force,2022,2,no meet title,Jan-23-2022,Centenary College,Grace Bardes,,9.1500,,
Air Force,2022,2,no meet title,Jan-23-2022,Centenary College,Amber Boll,9.6000,9.6250,,
Air Force,2022,2,no meet title,Jan-23-2022,Centenary College,Velandra Brochi,9.7750,,9.4500,9.7250
Air Force,2022,2,no meet title,Jan-23-2022,Centenary College,Ayla McKean,9.7250,9.7500,9.5000,9.5250
Air Force,2022,2,no meet title,Jan-23-2022,Centenary College,Natalie Meyer,9.5250,,,8.9750
Air Force,2022,2,no meet title,Jan-23-2022,Centenary College,Grace Nelson,,8.8750,,
Air Force,2022,2,no meet title,Jan-23-2022,Centenary College,Genevieve Sabado,9.5000,9.8000,9.7000,9.8250
Air Force,2022,2,no meet title,Jan-23-2022,Centenary College,Elizabeth Shearns,,9.4500,,
Air Force,2022,2,no meet title,Jan-23-2022,Centenary College,Valerie Smith,,,9.3750,
Air Force,2022,2,no meet title,Jan-23-2022,Centenary College,Cameo Stapleton,,,9.5750,9.8250
Air Force,2022,2,no meet title,Jan-23-2022,Centenary College,Daija Stevenson,,,9.6500,9.7500
Air Force,2022,2,no meet title,Jan-23-2022,Centenary College,Tessa Volpe,9.5250,,,
Air Force,2022,3,no meet title,Jan-28-2022,Air Force,Grace Bardes,,9.5500,,
Air Force,2022,3,no meet title,Jan-28-2022,Air Force,Amber Boll,9.6500,9.8000,9.1250,
Air Force,2022,3,no meet title,Jan-28-2022,Air Force,Velandra Brochi,9.6500,,,9.6750
Air Force,2022,3,no meet title,Jan-28-2022,Air Force,Briona Carswell,,,9.8000,
Air Force,2022,3,no meet title,Jan-28-2022,Air Force,Ayla McKean,9.6750,9.8250,9.7750,9.8250
Air Force,2022,3,no meet title,Jan-28-2022,Air Force,Natalie Meyer,,,,8.6000
Air Force,2022,3,no meet title,Jan-28-2022,Air Force,Grace Nelson,9.5000,9.6000,,
Air Force,2022,3,no meet title,Jan-28-2022,Air Force,Genevieve Sabado,9.6250,9.7000,9.8500,9.7250
Air Force,2022,3,no meet title,Jan-28-2022,Air Force,Elizabeth Shearns,,9.6250,,
Air Force,2022,3,no meet title,Jan-28-2022,Air Force,Valerie Smith,,,9.6750,
Air Force,2022,3,no meet title,Jan-28-2022,Air Force,Cameo Stapleton,,,,9.8750
Air Force,2022,3,no meet title,Jan-28-2022,Air Force,Daija Stevenson,9.6250,,9.7000,8.7000
Air Force,2022,4,no meet title,Jan-30-2022,Air Force,Grace Bardes,,9.5000,,
Air Force,2022,4,no meet title,Jan-30-2022,Air Force,Amber Boll,9.3750,9.8750,,
Air Force,2022,4,no meet title,Jan-30-2022,Air Force,Velandra Brochi,9.6250,,9.6750,9.8750
Air Force,2022,4,no meet title,Jan-30-2022,Air Force,Briona Carswell,,,9.6750,9.9000
Air Force,2022,4,no meet title,Jan-30-2022,Air Force,Madeline Kinsey,9.5500,,,
Air Force,2022,4,no meet title,Jan-30-2022,Air Force,Ayla McKean,9.7500,9.8000,8.9750,9.8500
Air Force,2022,4,no meet title,Jan-30-2022,Air Force,Grace Nelson,9.6750,9.8000,,
Air Force,2022,4,no meet title,Jan-30-2022,Air Force,Genevieve Sabado,9.6000,9.7250,9.7000,9.8000
Air Force,2022,4,no meet title,Jan-30-2022,Air Force,Elizabeth Shearns,,9.7750,,
Air Force,2022,4,no meet title,Jan-30-2022,Air Force,Valerie Smith,,,9.7250,
Air Force,2022,4,no meet title,Jan-30-2022,Air Force,Cameo Stapleton,,,,9.1000
Air Force,2022,4,no meet title,Jan-30-2022,Air Force,Daija Stevenson,,,9.8250,9.7000
Air Force,2022,5,no meet title,Feb-04-2022,Sacramento State,Grace Bardes,,9.6750,,
Air Force,2022,5,no meet title,Feb-04-2022,Sacramento State,Amber Boll,,9.6500,,
Air Force,2022,5,no meet title,Feb-04-2022,Sacramento State,Velandra Brochi,9.6750,,9.8000,9.7750
Air Force,2022,5,no meet title,Feb-04-2022,Sacramento State,Briona Carswell,,,9.8500,9.6000
Air Force,2022,5,no meet title,Feb-04-2022,Sacramento State,Madeline Kinsey,9.5750,,,
Air Force,2022,5,no meet title,Feb-04-2022,Sacramento State,Ayla McKean,9.6750,9.7500,9.8750,9.8000
Air Force,2022,5,no meet title,Feb-04-2022,Sacramento State,Gabriella Meccia,9.1250,,,
Air Force,2022,5,no meet title,Feb-04-2022,Sacramento State,Grace Nelson,9.0250,9.5250,,
Air Force,2022,5,no meet title,Feb-04-2022,Sacramento State,Genevieve Sabado,9.7500,9.8250,9.8500,9.8750
Air Force,2022,5,no meet title,Feb-04-2022,Sacramento State,Elizabeth Shearns,,7.7500,,
Air Force,2022,5,no meet title,Feb-04-2022,Sacramento State,Valerie Smith,,,9.2750,
Air Force,2022,5,no meet title,Feb-04-2022,Sacramento State,Cameo Stapleton,,,,9.9000
Air Force,2022,5,no meet title,Feb-04-2022,Sacramento State,Daija Stevenson,,,9.1500,9.7750
Air Force,2022,6,no meet title,Feb-11-2022,San Jose State,Grace Bardes,,8.8750,,
Air Force,2022,6,no meet title,Feb-11-2022,San Jose State,Amber Boll,9.5000,9.8250,,
Air Force,2022,6,no meet title,Feb-11-2022,San Jose State,Velandra Brochi,9.4250,9.2000,9.8500,9.6500
Air Force,2022,6,no meet title,Feb-11-2022,San Jose State,Briona Carswell,,,9.8500,9.8000
Air Force,2022,6,no meet title,Feb-11-2022,San Jose State,Ayla McKean,9.6250,9.7750,9.2250,9.8000
Air Force,2022,6,no meet title,Feb-11-2022,San Jose State,Grace Nelson,9.6250,9.6000,,
Air Force,2022,6,no meet title,Feb-11-2022,San Jose State,Genevieve Sabado,9.0250,9.6750,9.9000,9.8250
Air Force,2022,6,no meet title,Feb-11-2022,San Jose State,Valerie Smith,,,9.0500,
Air Force,2022,6,no meet title,Feb-11-2022,San Jose State,Cameo Stapleton,,,,9.7000
Air Force,2022,6,no meet title,Feb-11-2022,San Jose State,Daija Stevenson,,,8.3000,9.8000
Air Force,2022,6,no meet title,Feb-11-2022,San Jose State,Tessa Volpe,9.4000,,,
Air Force,2022,7,no meet title,Feb-20-2022,UC Davis,Grace Bardes,,9.6500,,
Air Force,2022,7,no meet title,Feb-20-2022,UC Davis,Amber Boll,9.7500,9.2250,9.2000,
Air Force,2022,7,no meet title,Feb-20-2022,UC Davis,Velandra Brochi,9.6750,9.6000,9.7500,9.6250
Air Force,2022,7,no meet title,Feb-20-2022,UC Davis,Briona Carswell,,,9.8250,9.7250
Air Force,2022,7,no meet title,Feb-20-2022,UC Davis,Ayla McKean,9.8000,9.7000,9.6750,9.8750
Air Force,2022,7,no meet title,Feb-20-2022,UC Davis,Gabriella Meccia,9.6750,,,
Air Force,2022,7,no meet title,Feb-20-2022,UC Davis,Grace Nelson,8.9000,8.9250,,
Air Force,2022,7,no meet title,Feb-20-2022,UC Davis,Genevieve Sabado,9.5000,9.8000,9.2000,9.8250
Air Force,2022,7,no meet title,Feb-20-2022,UC Davis,Valerie Smith,,,9.7000,
Air Force,2022,7,no meet title,Feb-20-2022,UC Davis,Cameo Stapleton,,,,9.8500
Air Force,2022,7,no meet title,Feb-20-2022,UC Davis,Daija Stevenson,,,,9.7500
Air Force,2022,8,no meet title,Feb-25-2022,Air Force,Grace Bardes,,9.6250,,
Air Force,2022,8,no meet title,Feb-25-2022,Air Force,Amber Boll,9.7250,9.7500,,
Air Force,2022,8,no meet title,Feb-25-2022,Air Force,Velandra Brochi,9.6500,9.7000,9.6500,
Air Force,2022,8,no meet title,Feb-25-2022,Air Force,Briona Carswell,,,9.2250,9.6000
Air Force,2022,8,no meet title,Feb-25-2022,Air Force,Madeline Kinsey,9.3750,,,
Air Force,2022,8,no meet title,Feb-25-2022,Air Force,Ayla McKean,9.7500,9.8000,9.0750,9.7250
Air Force,2022,8,no meet title,Feb-25-2022,Air Force,Gabriella Meccia,9.7250,,,
Air Force,2022,8,no meet title,Feb-25-2022,Air Force,Natalie Meyer,,,,9.7000
Air Force,2022,8,no meet title,Feb-25-2022,Air Force,Grace Nelson,,9.1500,,
Air Force,2022,8,no meet title,Feb-25-2022,Air Force,Genevieve Sabado,9.6500,9.7500,9.8000,9.8250
Air Force,2022,8,no meet title,Feb-25-2022,Air Force,Valerie Smith,,,9.7500,
Air Force,2022,8,no meet title,Feb-25-2022,Air Force,Cameo Stapleton,,,,9.8000
Air Force,2022,8,no meet title,Feb-25-2022,Air Force,Daija Stevenson,,,9.8000,9.8000
Air Force,2022,9,no meet title,Feb-27-2022,Denver,Grace Bardes,,9.6750,,
Air Force,2022,9,no meet title,Feb-27-2022,Denver,Amber Boll,9.8000,9.7750,,
Air Force,2022,9,no meet title,Feb-27-2022,Denver,Velandra Brochi,9.7500,9.6500,9.6750,9.7250
Air Force,2022,9,no meet title,Feb-27-2022,Denver,Briona Carswell,,,9.6750,
Air Force,2022,9,no meet title,Feb-27-2022,Denver,Ayla McKean,9.8250,9.7250,9.6500,9.7250
Air Force,2022,9,no meet title,Feb-27-2022,Denver,Gabriella Meccia,9.7500,,,
Air Force,2022,9,no meet title,Feb-27-2022,Denver,Natalie Meyer,,,,9.7000
Air Force,2022,9,no meet title,Feb-27-2022,Denver,Grace Nelson,,9.7250,,
Air Force,2022,9,no meet title,Feb-27-2022,Denver,Genevieve Sabado,9.7500,9.7500,9.6000,9.8250
Air Force,2022,9,no meet title,Feb-27-2022,Denver,Valerie Smith,,,9.7000,
Air Force,2022,9,no meet title,Feb-27-2022,Denver,Cameo Stapleton,,,,9.7750
Air Force,2022,9,no meet title,Feb-27-2022,Denver,Daija Stevenson,,,9.6250,9.7500
Air Force,2022,9,no meet title,Feb-27-2022,Denver,Tessa Volpe,9.7250,,,
Air Force,2022,10,no meet title,Mar-04-2022,Air Force,Grace Bardes,,9.8000,,
Air Force,2022,10,no meet title,Mar-04-2022,Air Force,Amber Boll,9.5750,9.8500,9.8250,
Air Force,2022,10,no meet title,Mar-04-2022,Air Force,Velandra Brochi,9.6250,9.7750,9.8000,9.7750
Air Force,2022,10,no meet title,Mar-04-2022,Air Force,Ayla McKean,9.7250,9.7500,9.7750,9.8000
Air Force,2022,10,no meet title,Mar-04-2022,Air Force,Gabriella Meccia,9.7000,,,
Air Force,2022,10,no meet title,Mar-04-2022,Air Force,Natalie Meyer,,,,9.8000
Air Force,2022,10,no meet title,Mar-04-2022,Air Force,Grace Nelson,,9.8250,,
Air Force,2022,10,no meet title,Mar-04-2022,Air Force,Genevieve Sabado,9.6500,9.7750,9.8500,9.6750
Air Force,2022,10,no meet title,Mar-04-2022,Air Force,Valerie Smith,,,9.7750,
Air Force,2022,10,no meet title,Mar-04-2022,Air Force,Cameo Stapleton,,,,9.8000
Air Force,2022,10,no meet title,Mar-04-2022,Air Force,Daija Stevenson,,,9.8000,9.7750
Air Force,2022,10,no meet title,Mar-04-2022,Air Force,Tessa Volpe,9.6750,,,
Air Force,2022,11,no meet title,Mar-06-2022,Texas Woman's,Grace Bardes,,9.7250,,
Air Force,2022,11,no meet title,Mar-06-2022,Texas Woman's,Amber Boll,9.7750,9.7000,9.6750,
