team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Alabama,2019,1,no meet title,Jan-04-2019,Alabama,Abby Armbrecht,9.8500,,9.7250,9.7500
Alabama,2019,1,no meet title,Jan-04-2019,Alabama,Wynter Childers,,9.8000,9.3000,
Alabama,2019,1,no meet title,Jan-04-2019,Alabama,Maddie Desch,,,9.2500,9.7500
Alabama,2019,1,no meet title,Jan-04-2019,Alabama,Emily Gaskins,9.7500,9.8750,9.6750,
Alabama,2019,1,no meet title,Jan-04-2019,Alabama,Angelina Giancroce,,9.4500,,9.7250
Alabama,2019,1,no meet title,Jan-04-2019,Alabama,Jensie Givens,,,8.9250,
Alabama,2019,1,no meet title,Jan-04-2019,Alabama,Lexi Graber,9.7750,9.7750,9.7500,9.8250
Alabama,2019,1,no meet title,Jan-04-2019,Alabama,Ariana Guerra,9.7750,9.8500,,9.8000
Alabama,2019,1,no meet title,Jan-04-2019,Alabama,Shea  Mahoney,9.8000,9.8000,,9.7500
Alabama,2019,1,no meet title,Jan-04-2019,Alabama,Shallon Olsen,9.8750,,,
Alabama,2019,2,no meet title,Jan-11-2019,Alabama,Abby Armbrecht,9.7750,,9.8250,9.8750
Alabama,2019,2,no meet title,Jan-11-2019,Alabama,Wynter Childers,,9.7250,,9.8000
Alabama,2019,2,no meet title,Jan-11-2019,Alabama,Maddie Desch,,,9.7000,9.8000
Alabama,2019,2,no meet title,Jan-11-2019,Alabama,Kylie Dickson,,9.8000,,
Alabama,2019,2,no meet title,Jan-11-2019,Alabama,Emily Gaskins,9.8000,9.8500,9.2500,
Alabama,2019,2,no meet title,Jan-11-2019,Alabama,Lexi Graber,9.8750,9.7500,9.7750,9.9000
Alabama,2019,2,no meet title,Jan-11-2019,Alabama,Ariana Guerra,9.8000,9.8500,,
Alabama,2019,2,no meet title,Jan-11-2019,Alabama,Alonza Klopfer,,,9.7000,
Alabama,2019,2,no meet title,Jan-11-2019,Alabama,Shea  Mahoney,9.8250,9.8000,,9.3000
Alabama,2019,2,no meet title,Jan-11-2019,Alabama,Shallon Olsen,9.8750,,9.6750,9.9000
Alabama,2019,3,no meet title,Jan-18-2019,Georgia,Abby Armbrecht,9.8500,,9.7250,9.8000
Alabama,2019,3,no meet title,Jan-18-2019,Georgia,Maddie Desch,,,9.7750,9.8500
Alabama,2019,3,no meet title,Jan-18-2019,Georgia,Kylie Dickson,,9.8500,,
Alabama,2019,3,no meet title,Jan-18-2019,Georgia,Emily Gaskins,9.8000,9.8750,9.8750,
Alabama,2019,3,no meet title,Jan-18-2019,Georgia,Jensie Givens,,9.8000,,
Alabama,2019,3,no meet title,Jan-18-2019,Georgia,Lexi Graber,9.8750,9.7500,9.9250,9.8500
Alabama,2019,3,no meet title,Jan-18-2019,Georgia,Ariana Guerra,9.8500,9.8000,,9.9250
Alabama,2019,3,no meet title,Jan-18-2019,Georgia,Tia Kiaku,,,,9.6750
Alabama,2019,3,no meet title,Jan-18-2019,Georgia,Alonza Klopfer,,,9.8500,
