team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Alaska,2019,1,no meet title,Jan-04-2019,Alaska,Rachel Decious,,,,7.7250
Alaska,2019,1,no meet title,Jan-04-2019,Alaska,Kate Fandrich,9.2000,,,
Alaska,2019,1,no meet title,Jan-04-2019,Alaska,Isabelle Fox,9.6250,9.0250,9.6500,9.8000
Alaska,2019,1,no meet title,Jan-04-2019,Alaska,Kennedy  Green,9.5000,9.1250,,9.4000
Alaska,2019,1,no meet title,Jan-04-2019,Alaska,Sophia  Hyderally,,9.7000,9.2750,9.7500
Alaska,2019,1,no meet title,Jan-04-2019,Alaska,Kaylin Mancari,,8.7000,9.5000,9.6750
Alaska,2019,1,no meet title,Jan-04-2019,Alaska,Ali Marvel,9.5000,,9.7000,
Alaska,2019,1,no meet title,Jan-04-2019,Alaska,Mackenzie Miller,,9.2250,,9.6250
Alaska,2019,1,no meet title,Jan-04-2019,Alaska,Hope Nelson,9.0000,8.2500,9.7500,
Alaska,2019,1,no meet title,Jan-04-2019,Alaska,Winter Osborne,,,9.4750,
Alaska,2019,2,no meet title,Jan-06-2019,Alaska,Rachel Decious,,,,9.2500
Alaska,2019,2,no meet title,Jan-06-2019,Alaska,Kate Fandrich,9.4250,,,
Alaska,2019,2,no meet title,Jan-06-2019,Alaska,Isabelle Fox,9.7000,9.6250,9.7000,9.8250
Alaska,2019,2,no meet title,Jan-06-2019,Alaska,Kennedy  Green,9.6500,9.2250,,9.6500
Alaska,2019,2,no meet title,Jan-06-2019,Alaska,Sophia  Hyderally,,9.6750,9.8250,9.8000
Alaska,2019,2,no meet title,Jan-06-2019,Alaska,Kaylin Mancari,,8.8000,9.5500,9.6000
Alaska,2019,2,no meet title,Jan-06-2019,Alaska,Ali Marvel,9.6000,,9.5000,
Alaska,2019,2,no meet title,Jan-06-2019,Alaska,Mackenzie Miller,,9.6250,,9.7500
Alaska,2019,2,no meet title,Jan-06-2019,Alaska,Hope Nelson,9.5500,9.4000,9.6750,
Alaska,2019,2,no meet title,Jan-06-2019,Alaska,Winter Osborne,,,9.3500,
Alaska,2019,3,no meet title,Jan-11-2019,Alaska,Rachel Decious,,,,8.5000
Alaska,2019,3,no meet title,Jan-11-2019,Alaska,Kate Fandrich,9.5500,,,
Alaska,2019,3,no meet title,Jan-11-2019,Alaska,Isabelle Fox,9.6500,9.1000,9.8000,9.7250
Alaska,2019,3,no meet title,Jan-11-2019,Alaska,Kennedy  Green,9.6750,9.5750,,9.4500
Alaska,2019,3,no meet title,Jan-11-2019,Alaska,Sophia  Hyderally,,9.5500,9.8500,9.7750
Alaska,2019,3,no meet title,Jan-11-2019,Alaska,Kaylin Mancari,,9.4000,9.6000,9.5750
Alaska,2019,3,no meet title,Jan-11-2019,Alaska,Ali Marvel,9.7750,,9.3500,
Alaska,2019,3,no meet title,Jan-11-2019,Alaska,Mackenzie Miller,,9.7250,,9.6250
Alaska,2019,3,no meet title,Jan-11-2019,Alaska,Hope Nelson,9.4500,9.7000,9.6000,
Alaska,2019,3,no meet title,Jan-11-2019,Alaska,Michaela Phillips,,,8.3000,
Alaska,2019,4,no meet title,Jan-13-2019,Alaska,Rachel Decious,,,,9.3250
Alaska,2019,4,no meet title,Jan-13-2019,Alaska,Kate Fandrich,9.3250,,,
Alaska,2019,4,no meet title,Jan-13-2019,Alaska,Isabelle Fox,9.5250,8.4500,9.2250,9.8000
Alaska,2019,4,no meet title,Jan-13-2019,Alaska,Kennedy  Green,9.6250,9.7250,,9.6750
Alaska,2019,4,no meet title,Jan-13-2019,Alaska,Sophia  Hyderally,,9.7000,9.8250,9.8500
Alaska,2019,4,no meet title,Jan-13-2019,Alaska,Kaylin Mancari,,8.1000,9.7000,9.6000
Alaska,2019,4,no meet title,Jan-13-2019,Alaska,Ali Marvel,9.5750,,9.5500,
Alaska,2019,4,no meet title,Jan-13-2019,Alaska,Mackenzie Miller,,9.8250,,9.7250
Alaska,2019,4,no meet title,Jan-13-2019,Alaska,Hope Nelson,9.3500,9.7750,8.7750,
Alaska,2019,4,no meet title,Jan-13-2019,Alaska,Michaela Phillips,,,9.0250,
Alaska,2019,4,no meet title,Jan-13-2019,Alaska,Isabella Scalapino,9.6500,,,
Alaska,2019,5,no meet title,Jan-25-2019,San Jose State,Tere  Alonso,,,9.6250,
Alaska,2019,5,no meet title,Jan-25-2019,San Jose State,Rachel Decious,,,,9.6500
Alaska,2019,5,no meet title,Jan-25-2019,San Jose State,Kate Fandrich,9.2250,,,
Alaska,2019,5,no meet title,Jan-25-2019,San Jose State,Isabelle Fox,9.7250,9.4500,9.6250,9.8000
Alaska,2019,5,no meet title,Jan-25-2019,San Jose State,Kennedy  Green,9.6000,9.5000,,9.7000
Alaska,2019,5,no meet title,Jan-25-2019,San Jose State,Sophia  Hyderally,,9.4750,9.6750,9.8500
Alaska,2019,5,no meet title,Jan-25-2019,San Jose State,Kaylin Mancari,,9.0500,9.6500,9.8500
Alaska,2019,5,no meet title,Jan-25-2019,San Jose State,Ali Marvel,9.5750,,9.0500,
Alaska,2019,5,no meet title,Jan-25-2019,San Jose State,Mackenzie Miller,,9.4750,,9.7750
Alaska,2019,5,no meet title,Jan-25-2019,San Jose State,Hope Nelson,9.3000,9.0750,,
Alaska,2019,5,no meet title,Jan-25-2019,San Jose State,Winter Osborne,,,9.1250,
Alaska,2019,5,no meet title,Jan-25-2019,San Jose State,Isabella Scalapino,9.5750,,,
Alaska,2019,6,no meet title,Jan-27-2019,UC Davis,Tere  Alonso,,,9.3000,
Alaska,2019,6,no meet title,Jan-27-2019,UC Davis,Rachel Decious,,,,9.6000
Alaska,2019,6,no meet title,Jan-27-2019,UC Davis,Kate Fandrich,9.4500,,,
Alaska,2019,6,no meet title,Jan-27-2019,UC Davis,Isabelle Fox,9.7000,9.6000,9.7750,9.7250
Alaska,2019,6,no meet title,Jan-27-2019,UC Davis,Kennedy  Green,9.1000,8.7000,,8.9250
Alaska,2019,6,no meet title,Jan-27-2019,UC Davis,Sophia  Hyderally,,9.6750,9.9000,9.8000
Alaska,2019,6,no meet title,Jan-27-2019,UC Davis,Kaylin Mancari,,9.6250,9.8250,9.7500
Alaska,2019,6,no meet title,Jan-27-2019,UC Davis,Ali Marvel,9.6000,,9.6000,
Alaska,2019,6,no meet title,Jan-27-2019,UC Davis,Mackenzie Miller,,9.6500,,9.6750
Alaska,2019,6,no meet title,Jan-27-2019,UC Davis,Hope Nelson,9.5000,9.6500,,
Alaska,2019,6,no meet title,Jan-27-2019,UC Davis,Isabella Scalapino,9.6500,,9.3750,
Alaska,2019,7,no meet title,Feb-09-2019,Alaska,Tere  Alonso,,,9.0750,
Alaska,2019,7,no meet title,Feb-09-2019,Alaska,Rachel Decious,,,9.6750,9.5500
Alaska,2019,7,no meet title,Feb-09-2019,Alaska,Kate Fandrich,9.2500,,,
Alaska,2019,7,no meet title,Feb-09-2019,Alaska,Isabelle Fox,9.6750,9.7250,9.8000,9.6250
Alaska,2019,7,no meet title,Feb-09-2019,Alaska,Kennedy  Green,9.5750,9.8500,,9.0500
Alaska,2019,7,no meet title,Feb-09-2019,Alaska,Sophia  Hyderally,,9.8000,9.9000,9.8250
Alaska,2019,7,no meet title,Feb-09-2019,Alaska,Kaylin Mancari,,9.6000,9.7500,9.7250
Alaska,2019,7,no meet title,Feb-09-2019,Alaska,Ali Marvel,9.5250,,9.6750,
Alaska,2019,7,no meet title,Feb-09-2019,Alaska,Mackenzie Miller,,9.8750,,9.7750
Alaska,2019,7,no meet title,Feb-09-2019,Alaska,Hope Nelson,9.3750,9.8250,,
Alaska,2019,7,no meet title,Feb-09-2019,Alaska,Isabella Scalapino,9.5750,,,
Alaska,2019,8,no meet title,Feb-22-2019,Utah State,Rachel Decious,,,9.6250,9.5000
Alaska,2019,8,no meet title,Feb-22-2019,Utah State,Kate Fandrich,9.4250,,,
Alaska,2019,8,no meet title,Feb-22-2019,Utah State,Isabelle Fox,9.6000,9.6000,9.7250,9.7250
Alaska,2019,8,no meet title,Feb-22-2019,Utah State,Kennedy  Green,9.4500,8.0000,,9.5500
Alaska,2019,8,no meet title,Feb-22-2019,Utah State,Sophia  Hyderally,,9.6250,9.8500,9.8000
Alaska,2019,8,no meet title,Feb-22-2019,Utah State,Kaylin Mancari,,9.3250,9.8250,9.7000
Alaska,2019,8,no meet title,Feb-22-2019,Utah State,Ali Marvel,9.7250,,9.2000,
Alaska,2019,8,no meet title,Feb-22-2019,Utah State,Mackenzie Miller,,9.5500,,
Alaska,2019,8,no meet title,Feb-22-2019,Utah State,Hope Nelson,9.5500,9.7250,9.7500,
Alaska,2019,8,no meet title,Feb-22-2019,Utah State,Sofie Riley,9.4750,,,
Alaska,2019,9,no meet title,Mar-01-2019,Oregon State,Tere  Alonso,,,8.5750,
Alaska,2019,9,no meet title,Mar-01-2019,Oregon State,Rachel Decious,,,9.7750,9.6000
Alaska,2019,9,no meet title,Mar-01-2019,Oregon State,Kate Fandrich,9.5250,,,
Alaska,2019,9,no meet title,Mar-01-2019,Oregon State,Isabelle Fox,9.7000,9.7000,9.6500,9.7750
Alaska,2019,9,no meet title,Mar-01-2019,Oregon State,Kennedy  Green,9.1500,9.4250,,9.5750
Alaska,2019,9,no meet title,Mar-01-2019,Oregon State,Sophia  Hyderally,,9.7250,9.6750,9.8250
Alaska,2019,9,no meet title,Mar-01-2019,Oregon State,Kaylin Mancari,,9.1000,9.7250,9.7250
Alaska,2019,9,no meet title,Mar-01-2019,Oregon State,Ali Marvel,9.7250,,,
Alaska,2019,9,no meet title,Mar-01-2019,Oregon State,Mackenzie Miller,,9.6000,,9.6500
Alaska,2019,9,no meet title,Mar-01-2019,Oregon State,Hope Nelson,,9.7500,9.7500,
Alaska,2019,9,no meet title,Mar-01-2019,Oregon State,Sofie Riley,9.5500,,,
Alaska,2019,9,no meet title,Mar-01-2019,Oregon State,Isabella Scalapino,9.6000,,,
Alaska,2019,10,no meet title,Mar-17-2019,Michigan State,Rachel Decious,,,9.7750,9.6250
Alaska,2019,10,no meet title,Mar-17-2019,Michigan State,Isabelle Fox,9.6000,9.5250,9.0000,9.2250
Alaska,2019,10,no meet title,Mar-17-2019,Michigan State,Kennedy  Green,9.3250,9.5250,,9.7250
Alaska,2019,10,no meet title,Mar-17-2019,Michigan State,Sophia  Hyderally,,9.7000,9.8750,9.8250
Alaska,2019,10,no meet title,Mar-17-2019,Michigan State,Kaylin Mancari,,9.6250,9.5750,9.8000
Alaska,2019,10,no meet title,Mar-17-2019,Michigan State,Ali Marvel,9.6500,,9.8000,
Alaska,2019,10,no meet title,Mar-17-2019,Michigan State,Mackenzie Miller,,9.8000,,9.1000
Alaska,2019,10,no meet title,Mar-17-2019,Michigan State,Hope Nelson,9.2750,9.4750,9.6000,
Alaska,2019,10,no meet title,Mar-17-2019,Michigan State,Sofie Riley,9.4000,,,
Alaska,2019,10,no meet title,Mar-17-2019,Michigan State,Isabella Scalapino,9.1500,,,
Alaska,2019,11,MPSF Championships,Mar-23-2019,Seattle Pacific,Rachel Decious,,,9.8250,9.7750
Alaska,2019,11,MPSF Championships,Mar-23-2019,Seattle Pacific,Isabelle Fox,9.4250,9.7500,9.7750,9.2000
Alaska,2019,11,MPSF Championships,Mar-23-2019,Seattle Pacific,Kennedy  Green,9.6500,9.7750,,9.5250
Alaska,2019,11,MPSF Championships,Mar-23-2019,Seattle Pacific,Sophia  Hyderally,,9.8250,9.9000,9.6750
Alaska,2019,11,MPSF Championships,Mar-23-2019,Seattle Pacific,Kaylin Mancari,,9.7000,9.7000,9.9000
Alaska,2019,11,MPSF Championships,Mar-23-2019,Seattle Pacific,Ali Marvel,9.7500,,9.1500,
Alaska,2019,11,MPSF Championships,Mar-23-2019,Seattle Pacific,Mackenzie Miller,,9.8500,,8.9500
Alaska,2019,11,MPSF Championships,Mar-23-2019,Seattle Pacific,Hope Nelson,9.5000,9.7750,9.8750,
Alaska,2019,11,MPSF Championships,Mar-23-2019,Seattle Pacific,Sofie Riley,9.4750,,,
Alaska,2019,11,MPSF Championships,Mar-23-2019,Seattle Pacific,Isabella Scalapino,9.7000,,,
Alaska,2019,12,Corvallis Regional - Round 2,Apr-05-2019,Oregon State,Sophia  Hyderally,,,9.9000,
