team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Arizona State,2016,1,no meet title,Jan-08-2016,Arizona State,Taylor Allex,9.7250,,9.2250,9.8250
Arizona State,2016,1,no meet title,Jan-08-2016,Arizona State,Corinne Belkoff,9.1500,,9.7250,9.5000
Arizona State,2016,1,no meet title,Jan-08-2016,Arizona State,Beka Conrad,,,9.1250,
Arizona State,2016,1,no meet title,Jan-08-2016,Arizona State,Eileen Imbus,,9.6250,,8.9750
Arizona State,2016,1,no meet title,Jan-08-2016,Arizona State,Carissa Kraus,9.4750,9.7500,,
Arizona State,2016,1,no meet title,Jan-08-2016,Arizona State,Katelyn Lentz,9.7000,9.4750,9.5000,9.8500
Arizona State,2016,1,no meet title,Jan-08-2016,Arizona State,Kristine Levin,,9.7500,,
Arizona State,2016,1,no meet title,Jan-08-2016,Arizona State,Allie Salas,9.8000,9.5250,9.6750,9.1750
Arizona State,2016,1,no meet title,Jan-08-2016,Arizona State,Heather  Udowitch,,,9.7500,
Arizona State,2016,1,no meet title,Jan-08-2016,Arizona State,Morgan Wilson,9.6750,9.6750,,9.7750
Arizona State,2016,2,no meet title,Jan-18-2016,Arizona State,Taylor Allex,9.9000,,9.0250,9.9000
Arizona State,2016,2,no meet title,Jan-18-2016,Arizona State,Corinne Belkoff,9.4750,,9.5750,9.7000
Arizona State,2016,2,no meet title,Jan-18-2016,Arizona State,Eileen Imbus,,8.8750,,
Arizona State,2016,2,no meet title,Jan-18-2016,Arizona State,Carissa Kraus,9.5000,8.1500,,
Arizona State,2016,2,no meet title,Jan-18-2016,Arizona State,Katelyn Lentz,9.6500,,9.8000,9.7750
Arizona State,2016,2,no meet title,Jan-18-2016,Arizona State,Kristine Levin,,9.5500,,9.6250
Arizona State,2016,2,no meet title,Jan-18-2016,Arizona State,Allie Salas,9.7500,9.6750,9.0250,9.8250
Arizona State,2016,2,no meet title,Jan-18-2016,Arizona State,Heather  Udowitch,,9.5500,9.7000,
Arizona State,2016,2,no meet title,Jan-18-2016,Arizona State,Morgan Wilson,9.7000,9.6000,9.7000,9.7000
Arizona State,2016,3,no meet title,Jan-22-2016,Oklahoma,Taylor Allex,9.8000,,,9.8750
Arizona State,2016,3,no meet title,Jan-22-2016,Oklahoma,Corinne Belkoff,9.5750,,9.7250,9.2250
Arizona State,2016,3,no meet title,Jan-22-2016,Oklahoma,Justine Callis,,,9.6750,
Arizona State,2016,3,no meet title,Jan-22-2016,Oklahoma,Beka Conrad,,,9.7250,
Arizona State,2016,3,no meet title,Jan-22-2016,Oklahoma,Eileen Imbus,9.5500,9.7250,,9.8000
Arizona State,2016,3,no meet title,Jan-22-2016,Oklahoma,Carissa Kraus,9.6250,8.9500,,
Arizona State,2016,3,no meet title,Jan-22-2016,Oklahoma,Katelyn Lentz,9.5000,9.6000,9.6750,9.8000
Arizona State,2016,3,no meet title,Jan-22-2016,Oklahoma,Kristine Levin,,9.6250,,9.7000
Arizona State,2016,3,no meet title,Jan-22-2016,Oklahoma,Allie Salas,9.7500,9.6750,9.6000,9.7250
Arizona State,2016,3,no meet title,Jan-22-2016,Oklahoma,Heather  Udowitch,,8.8250,9.7500,
Arizona State,2016,4,no meet title,Jan-30-2016,Oregon State,Taylor Allex,9.8500,8.6500,,9.8750
Arizona State,2016,4,no meet title,Jan-30-2016,Oregon State,Corinne Belkoff,9.6000,,9.5500,9.6500
Arizona State,2016,4,no meet title,Jan-30-2016,Oregon State,Justine Callis,,,9.7250,
Arizona State,2016,4,no meet title,Jan-30-2016,Oregon State,Beka Conrad,,,9.6250,
Arizona State,2016,4,no meet title,Jan-30-2016,Oregon State,Eileen Imbus,9.6000,9.5500,,8.9500
