team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Arizona,2016,1,no meet title,Jan-08-2016,Arizona,Madison Cindric,9.8250,,9.7250,9.7000
Arizona,2016,1,no meet title,Jan-08-2016,Arizona,Shelby Edwards,9.8000,,9.8000,9.7750
Arizona,2016,1,no meet title,Jan-08-2016,Arizona,Selynna Felix-Terrazas,9.7500,9.5000,,9.8000
Arizona,2016,1,no meet title,Jan-08-2016,Arizona,Krysten Howard,,9.8000,9.8000,9.6500
Arizona,2016,1,no meet title,Jan-08-2016,Arizona,Gabby Laub,9.7750,9.8500,,
Arizona,2016,1,no meet title,Jan-08-2016,Arizona,Lauryn Mattson,9.8250,,,
Arizona,2016,1,no meet title,Jan-08-2016,Arizona,Alexandra Mills,,9.8250,9.4500,9.7500
Arizona,2016,1,no meet title,Jan-08-2016,Arizona,Kennady Schneider,,9.7250,,9.8250
Arizona,2016,1,no meet title,Jan-08-2016,Arizona,Skyler Sheppard,,,9.8250,
Arizona,2016,1,no meet title,Jan-08-2016,Arizona,Jessica Sisler,9.6000,,9.8000,
Arizona,2016,1,no meet title,Jan-08-2016,Arizona,Danielle Spencer-Bearham,,9.7250,,
Arizona,2016,2,no meet title,Jan-17-2016,Texas Woman's,Madison Cindric,9.6750,,9.2000,9.7500
Arizona,2016,2,no meet title,Jan-17-2016,Texas Woman's,Shelby Edwards,9.6750,,9.7000,9.7500
Arizona,2016,2,no meet title,Jan-17-2016,Texas Woman's,Selynna Felix-Terrazas,9.5500,9.8000,,9.6750
Arizona,2016,2,no meet title,Jan-17-2016,Texas Woman's,Krysten Howard,,8.9000,9.1000,
Arizona,2016,2,no meet title,Jan-17-2016,Texas Woman's,Gabby Laub,9.5750,9.8250,,
Arizona,2016,2,no meet title,Jan-17-2016,Texas Woman's,Lauryn Mattson,9.1750,,,9.7500
Arizona,2016,2,no meet title,Jan-17-2016,Texas Woman's,Alexandra Mills,,9.7750,9.2250,9.7250
Arizona,2016,2,no meet title,Jan-17-2016,Texas Woman's,Kennady Schneider,,9.7500,,9.8000
Arizona,2016,2,no meet title,Jan-17-2016,Texas Woman's,Skyler Sheppard,,,9.6500,
Arizona,2016,2,no meet title,Jan-17-2016,Texas Woman's,Jessica Sisler,9.6750,,9.8500,
Arizona,2016,2,no meet title,Jan-17-2016,Texas Woman's,Danielle Spencer-Bearham,,9.7750,,
Arizona,2016,3,no meet title,Jan-23-2016,Arizona,Madison Cindric,9.8250,,9.8750,9.7750
Arizona,2016,3,no meet title,Jan-23-2016,Arizona,Shelby Edwards,9.7250,,9.8000,9.8500
Arizona,2016,3,no meet title,Jan-23-2016,Arizona,Selynna Felix-Terrazas,9.7000,9.7750,,9.8500
Arizona,2016,3,no meet title,Jan-23-2016,Arizona,Krysten Howard,,9.1250,9.8250,
Arizona,2016,3,no meet title,Jan-23-2016,Arizona,Gabby Laub,9.7500,9.8750,,
Arizona,2016,3,no meet title,Jan-23-2016,Arizona,Lauryn Mattson,9.8000,,,9.8750
Arizona,2016,3,no meet title,Jan-23-2016,Arizona,Alexandra Mills,,9.8250,9.8500,
Arizona,2016,3,no meet title,Jan-23-2016,Arizona,Kennady Schneider,,9.8000,,9.9000
Arizona,2016,3,no meet title,Jan-23-2016,Arizona,Skyler Sheppard,,,9.1750,
Arizona,2016,3,no meet title,Jan-23-2016,Arizona,Jessica Sisler,9.7000,,9.8250,9.9000
Arizona,2016,3,no meet title,Jan-23-2016,Arizona,Danielle Spencer-Bearham,,9.8500,,
Arizona,2016,4,no meet title,Feb-01-2016,Utah,Madison Cindric,9.8000,,9.6750,9.7500
Arizona,2016,4,no meet title,Feb-01-2016,Utah,Shelby Edwards,9.8500,,9.8250,
Arizona,2016,4,no meet title,Feb-01-2016,Utah,Selynna Felix-Terrazas,9.6750,9.8500,,9.7500
Arizona,2016,4,no meet title,Feb-01-2016,Utah,Krysten Howard,,,9.6750,
Arizona,2016,4,no meet title,Feb-01-2016,Utah,Gabby Laub,9.7500,9.8000,,
Arizona,2016,4,no meet title,Feb-01-2016,Utah,Lauryn Mattson,9.8000,,,9.6750
Arizona,2016,4,no meet title,Feb-01-2016,Utah,Alexandra Mills,,9.7250,9.8250,9.7750
Arizona,2016,4,no meet title,Feb-01-2016,Utah,Victoria Ortiz,,9.8250,,
Arizona,2016,4,no meet title,Feb-01-2016,Utah,Kennady Schneider,,9.8000,,9.6750
Arizona,2016,4,no meet title,Feb-01-2016,Utah,Skyler Sheppard,,,8.5000,
Arizona,2016,4,no meet title,Feb-01-2016,Utah,Jessica Sisler,9.7500,,9.1000,9.8500
Arizona,2016,4,no meet title,Feb-01-2016,Utah,Danielle Spencer-Bearham,,9.3750,,
Arizona,2016,5,no meet title,Feb-08-2016,California,Madison Cindric,9.7250,,9.8500,9.1000
Arizona,2016,5,no meet title,Feb-08-2016,California,Shelby Edwards,9.8000,,9.8500,
