team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Arkansas,2023,1,no meet title,Jan-07-2023,Nebraska,Reese Drotar,,9.8,,
Arkansas,2023,1,no meet title,Jan-07-2023,Nebraska,Norah Flatley,9.85,9.9,9.8,
Arkansas,2023,1,no meet title,Jan-07-2023,Nebraska,Kalyxta Gamiao,,,9.775,9.775
Arkansas,2023,1,no meet title,Jan-07-2023,Nebraska,Kennedy Hambrick,,8.6,9.825,
Arkansas,2023,1,no meet title,Jan-07-2023,Nebraska,Madison Hickey,,,,9.575
Arkansas,2023,1,no meet title,Jan-07-2023,Nebraska,Maddie Jones,,,,9.775
Arkansas,2023,1,no meet title,Jan-07-2023,Nebraska,Emma Kelley,9.725,,,
Arkansas,2023,1,no meet title,Jan-07-2023,Nebraska,Bailey Lovett,,,9.8,
Arkansas,2023,1,no meet title,Jan-07-2023,Nebraska,Jaime Pratt,,9.775,,
Arkansas,2023,1,no meet title,Jan-07-2023,Nebraska,Frankie Price,9.675,,,9.875
Arkansas,2023,1,no meet title,Jan-07-2023,Nebraska,Jensen Scalzo,,9.85,,
Arkansas,2023,1,no meet title,Jan-07-2023,Nebraska,Leah Smith,9.725,,,9.85
Arkansas,2023,1,no meet title,Jan-07-2023,Nebraska,Cally Swaney,,9.775,,
Arkansas,2023,1,no meet title,Jan-07-2023,Nebraska,Cami Weaver,9.85,,9.825,
Arkansas,2023,1,no meet title,Jan-07-2023,Nebraska,Lauren Williams,9.8,,9.675,9.875
Arkansas,2023,2,no meet title,Jan-13-2023,Arkansas,Reese Drotar,,8.975,,
Arkansas,2023,2,no meet title,Jan-13-2023,Arkansas,Norah Flatley,9.9,9.9,9.9,9.875
Arkansas,2023,2,no meet title,Jan-13-2023,Arkansas,Kalyxta Gamiao,,,9.85,
Arkansas,2023,2,no meet title,Jan-13-2023,Arkansas,Kennedy Hambrick,,9.1,9.725,
Arkansas,2023,2,no meet title,Jan-13-2023,Arkansas,Madison Hickey,,,,9.85
Arkansas,2023,2,no meet title,Jan-13-2023,Arkansas,Maddie Jones,,,,9.85
Arkansas,2023,2,no meet title,Jan-13-2023,Arkansas,Emma Kelley,9.75,,,
Arkansas,2023,2,no meet title,Jan-13-2023,Arkansas,Bailey Lovett,,,9.825,9.875
Arkansas,2023,2,no meet title,Jan-13-2023,Arkansas,Jaime Pratt,,9.825,,
Arkansas,2023,2,no meet title,Jan-13-2023,Arkansas,Frankie Price,9.775,,,9.825
Arkansas,2023,2,no meet title,Jan-13-2023,Arkansas,Jensen Scalzo,,9.9,,
Arkansas,2023,2,no meet title,Jan-13-2023,Arkansas,Makenzie Sedlacek,9.825,,,
Arkansas,2023,2,no meet title,Jan-13-2023,Arkansas,Cally Swaney,,8.925,9.875,
Arkansas,2023,2,no meet title,Jan-13-2023,Arkansas,Cami Weaver,9.825,,9.875,
Arkansas,2023,2,no meet title,Jan-13-2023,Arkansas,Lauren Williams,9.825,,,9.9
Arkansas,2023,3,no meet title,Jan-20-2023,Auburn,Reese Drotar,,9.8,,
Arkansas,2023,3,no meet title,Jan-20-2023,Auburn,Norah Flatley,9.85,9.9,9.9,9.9
Arkansas,2023,3,no meet title,Jan-20-2023,Auburn,Kalyxta Gamiao,,,9.875,
Arkansas,2023,3,no meet title,Jan-20-2023,Auburn,Kennedy Hambrick,,,9.275,
Arkansas,2023,3,no meet title,Jan-20-2023,Auburn,Madison Hickey,,,,9.825
Arkansas,2023,3,no meet title,Jan-20-2023,Auburn,Maddie Jones,,9.85,,9.8
Arkansas,2023,3,no meet title,Jan-20-2023,Auburn,Bailey Lovett,,,9.65,9.75
Arkansas,2023,3,no meet title,Jan-20-2023,Auburn,Jaime Pratt,,9.825,,
Arkansas,2023,3,no meet title,Jan-20-2023,Auburn,Frankie Price,9.9,,,9.875
Arkansas,2023,3,no meet title,Jan-20-2023,Auburn,Jensen Scalzo,,9.825,,
Arkansas,2023,3,no meet title,Jan-20-2023,Auburn,Makenzie Sedlacek,9.525,,,
Arkansas,2023,3,no meet title,Jan-20-2023,Auburn,Leah Smith,9.85,,,
Arkansas,2023,3,no meet title,Jan-20-2023,Auburn,Cally Swaney,,9.825,9.45,
Arkansas,2023,3,no meet title,Jan-20-2023,Auburn,Cami Weaver,9.85,,9.95,
Arkansas,2023,3,no meet title,Jan-20-2023,Auburn,Lauren Williams,9.875,,,9.9
Arkansas,2023,4,no meet title,Jan-27-2023,Arkansas,Reese Drotar,,9.875,,
Arkansas,2023,4,no meet title,Jan-27-2023,Arkansas,Norah Flatley,9.85,9.925,9.9,
Arkansas,2023,4,no meet title,Jan-27-2023,Arkansas,Kalyxta Gamiao,,,9.875,
Arkansas,2023,4,no meet title,Jan-27-2023,Arkansas,Kiara Gianfagna,,,9.85,
Arkansas,2023,4,no meet title,Jan-27-2023,Arkansas,Kennedy Hambrick,,,9.725,
Arkansas,2023,4,no meet title,Jan-27-2023,Arkansas,Madison Hickey,,,,9.75
Arkansas,2023,4,no meet title,Jan-27-2023,Arkansas,Maddie Jones,,9.875,,9.9
