team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Auburn,2017,1,no meet title,Jan-06-2017,Auburn,Katie Becker,9.7250,,,
Auburn,2017,1,no meet title,Jan-06-2017,Auburn,Telah Black,9.7250,,,
Auburn,2017,1,no meet title,Jan-06-2017,Auburn,Samantha  Cerio,,9.7500,9.7750,9.8000
Auburn,2017,1,no meet title,Jan-06-2017,Auburn,Gracie Day,9.8500,9.8250,,9.7750
Auburn,2017,1,no meet title,Jan-06-2017,Auburn,Emma Engler,,9.7750,8.8000,
Auburn,2017,1,no meet title,Jan-06-2017,Auburn,Kullen Hlawek,,,9.7250,8.8750
Auburn,2017,1,no meet title,Jan-06-2017,Auburn,Kelsey Kopec,,9.7750,,
Auburn,2017,1,no meet title,Jan-06-2017,Auburn,Taylor  Krippner,9.7750,9.7500,9.8250,
Auburn,2017,1,no meet title,Jan-06-2017,Auburn,Abby Milliet,9.6000,9.7750,9.7750,9.5500
Auburn,2017,1,no meet title,Jan-06-2017,Auburn,MJ Rott,9.8250,,,9.8250
Auburn,2017,1,no meet title,Jan-06-2017,Auburn,Lucia Scaglione,,,,9.7250
Auburn,2017,1,no meet title,Jan-06-2017,Auburn,Emma  Slappey,,,9.7000,
Auburn,2017,2,no meet title,Jan-13-2017,Auburn,Katie Becker,9.7750,,,9.8500
Auburn,2017,2,no meet title,Jan-13-2017,Auburn,Telah Black,9.7250,,,
Auburn,2017,2,no meet title,Jan-13-2017,Auburn,Samantha  Cerio,,9.7500,9.7250,9.7750
Auburn,2017,2,no meet title,Jan-13-2017,Auburn,Gracie Day,9.8500,9.8000,,
Auburn,2017,2,no meet title,Jan-13-2017,Auburn,Emma Engler,,9.8500,9.7750,
Auburn,2017,2,no meet title,Jan-13-2017,Auburn,Kullen Hlawek,,,9.7500,9.7500
Auburn,2017,2,no meet title,Jan-13-2017,Auburn,Kelsey Kopec,,9.7750,,
Auburn,2017,2,no meet title,Jan-13-2017,Auburn,Taylor  Krippner,9.7500,9.8500,9.1500,
Auburn,2017,2,no meet title,Jan-13-2017,Auburn,Abby Milliet,,9.8500,9.7750,
Auburn,2017,2,no meet title,Jan-13-2017,Auburn,A'Miracal Phillips,9.5500,,,
Auburn,2017,2,no meet title,Jan-13-2017,Auburn,MJ Rott,9.8000,,,9.9500
Auburn,2017,2,no meet title,Jan-13-2017,Auburn,Lucia Scaglione,,,,9.8000
Auburn,2017,2,no meet title,Jan-13-2017,Auburn,Emma  Slappey,,,9.8000,9.8500
Auburn,2017,3,no meet title,Jan-20-2017,Kentucky,Katie Becker,9.7000,,9.7750,
Auburn,2017,3,no meet title,Jan-20-2017,Kentucky,Telah Black,9.7000,,,
Auburn,2017,3,no meet title,Jan-20-2017,Kentucky,Samantha  Cerio,,9.8000,9.8000,9.8500
Auburn,2017,3,no meet title,Jan-20-2017,Kentucky,Gracie Day,9.8250,9.8500,,9.5750
Auburn,2017,3,no meet title,Jan-20-2017,Kentucky,Emma Engler,9.6000,9.8500,9.7250,
Auburn,2017,3,no meet title,Jan-20-2017,Kentucky,Kullen Hlawek,,,9.7250,9.7000
Auburn,2017,3,no meet title,Jan-20-2017,Kentucky,Kelsey Kopec,,9.8250,,
Auburn,2017,3,no meet title,Jan-20-2017,Kentucky,Taylor  Krippner,9.7750,9.7250,,
Auburn,2017,3,no meet title,Jan-20-2017,Kentucky,Abby Milliet,,9.8000,9.8750,
Auburn,2017,3,no meet title,Jan-20-2017,Kentucky,MJ Rott,9.8000,,,9.7500
Auburn,2017,3,no meet title,Jan-20-2017,Kentucky,Lucia Scaglione,,,,9.8000
Auburn,2017,3,no meet title,Jan-20-2017,Kentucky,Emma  Slappey,,,9.7750,9.8250
Auburn,2017,4,no meet title,Jan-27-2017,Florida,Katie Becker,9.8000,,9.2500,9.8000
