team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
BYU,2022,1,Best of Utah,Jan-07-2022,,Sarah Barron,,9.7500,,
BYU,2022,1,Best of Utah,Jan-07-2022,,Abby Beeston,,9.8250,9.7750,9.8000
BYU,2022,1,Best of Utah,Jan-07-2022,,Sydney Benson,9.8000,9.6750,,9.6250
BYU,2022,1,Best of Utah,Jan-07-2022,,Anna Bramblett,,9.8250,,
BYU,2022,1,Best of Utah,Jan-07-2022,,Sophie Dudley,9.7250,,,9.8000
BYU,2022,1,Best of Utah,Jan-07-2022,,Melissa Earl,9.5000,,,
BYU,2022,1,Best of Utah,Jan-07-2022,,Lindsey Hunter,,9.7750,,9.4750
BYU,2022,1,Best of Utah,Jan-07-2022,,Sophia McClelland,,,9.6750,
BYU,2022,1,Best of Utah,Jan-07-2022,,Eliza Millar-Crossman,,,9.8750,9.6750
BYU,2022,1,Best of Utah,Jan-07-2022,,Haley Pitou,9.7500,9.8250,9.7000,
BYU,2022,1,Best of Utah,Jan-07-2022,,Elease Rollins,9.8000,,9.8500,
BYU,2022,1,Best of Utah,Jan-07-2022,,Heidi Schooley,,,9.1250,
BYU,2022,1,Best of Utah,Jan-07-2022,,Brittney Vitkauskas,,,,9.8750
BYU,2022,2,no meet title,Jan-15-2022,Nebraska,Anyssa Alvarado,,9.8500,,
BYU,2022,2,no meet title,Jan-15-2022,Nebraska,Sarah Barron,,9.2250,,
BYU,2022,2,no meet title,Jan-15-2022,Nebraska,Abby Beeston,,9.8500,,9.8250
BYU,2022,2,no meet title,Jan-15-2022,Nebraska,Sydney Benson,9.8000,,,
BYU,2022,2,no meet title,Jan-15-2022,Nebraska,Sophie Dudley,9.7000,,,9.7500
BYU,2022,2,no meet title,Jan-15-2022,Nebraska,Lindsey Hunter,,9.7750,,9.7750
BYU,2022,2,no meet title,Jan-15-2022,Nebraska,Allix Mason,9.6500,,,
BYU,2022,2,no meet title,Jan-15-2022,Nebraska,Sophia McClelland,,,9.6750,
BYU,2022,2,no meet title,Jan-15-2022,Nebraska,Eliza Millar-Crossman,,,9.7000,9.7750
BYU,2022,2,no meet title,Jan-15-2022,Nebraska,Sadie Miner-Van Tassell,9.8250,9.8000,9.8500,9.8500
BYU,2022,2,no meet title,Jan-15-2022,Nebraska,Lauren Ono,,,9.7750,
BYU,2022,2,no meet title,Jan-15-2022,Nebraska,Haley Pitou,9.6750,9.8250,9.7500,
BYU,2022,2,no meet title,Jan-15-2022,Nebraska,Adeline Rieder,,,,9.8500
BYU,2022,2,no meet title,Jan-15-2022,Nebraska,Elease Rollins,9.7750,,9.7250,
BYU,2022,3,no meet title,Jan-21-2022,Southern Utah,Anyssa Alvarado,,9.9250,,
BYU,2022,3,no meet title,Jan-21-2022,Southern Utah,Abby Beeston,,9.8250,,9.8250
BYU,2022,3,no meet title,Jan-21-2022,Southern Utah,Sydney Benson,9.7750,,,
BYU,2022,3,no meet title,Jan-21-2022,Southern Utah,Sophie Dudley,,,,9.7000
BYU,2022,3,no meet title,Jan-21-2022,Southern Utah,Lexi Griffith,9.8750,,,
BYU,2022,3,no meet title,Jan-21-2022,Southern Utah,Lindsey Hunter,,9.8250,,
BYU,2022,3,no meet title,Jan-21-2022,Southern Utah,Allix Mason,9.5500,9.7500,,
BYU,2022,3,no meet title,Jan-21-2022,Southern Utah,Sophia McClelland,,,9.8750,
BYU,2022,3,no meet title,Jan-21-2022,Southern Utah,Eliza Millar-Crossman,,,9.8750,9.7250
BYU,2022,3,no meet title,Jan-21-2022,Southern Utah,Sadie Miner-Van Tassell,9.8750,9.7000,9.8000,9.7250
BYU,2022,3,no meet title,Jan-21-2022,Southern Utah,Lauren Ono,,,9.8750,
BYU,2022,3,no meet title,Jan-21-2022,Southern Utah,Haley Pitou,9.8000,9.9000,9.7000,
BYU,2022,3,no meet title,Jan-21-2022,Southern Utah,Adeline Rieder,,,,9.7500
BYU,2022,3,no meet title,Jan-21-2022,Southern Utah,Elease Rollins,9.6750,,9.8500,
BYU,2022,3,no meet title,Jan-21-2022,Southern Utah,Brittney Vitkauskas,,,,9.9000
BYU,2022,4,no meet title,Jan-28-2022,BYU,Anyssa Alvarado,,9.9250,,
BYU,2022,4,no meet title,Jan-28-2022,BYU,Abby Beeston,,9.5500,9.8250,9.8250
BYU,2022,4,no meet title,Jan-28-2022,BYU,Sydney Benson,9.8500,,,
BYU,2022,4,no meet title,Jan-28-2022,BYU,Sophie Dudley,,,,9.7250
BYU,2022,4,no meet title,Jan-28-2022,BYU,Lexi Griffith,9.8500,,,
BYU,2022,4,no meet title,Jan-28-2022,BYU,Lindsey Hunter,,9.7500,,9.8000
BYU,2022,4,no meet title,Jan-28-2022,BYU,Allix Mason,9.7750,9.7500,,
BYU,2022,4,no meet title,Jan-28-2022,BYU,Eliza Millar-Crossman,,,9.8000,
BYU,2022,4,no meet title,Jan-28-2022,BYU,Sadie Miner-Van Tassell,9.8250,9.8750,9.9000,9.8250
BYU,2022,4,no meet title,Jan-28-2022,BYU,Lauren Ono,,,9.8250,
BYU,2022,4,no meet title,Jan-28-2022,BYU,Haley Pitou,9.8250,9.9000,8.6500,
BYU,2022,4,no meet title,Jan-28-2022,BYU,Adeline Rieder,,,,9.8250
BYU,2022,4,no meet title,Jan-28-2022,BYU,Elease Rollins,9.7750,,9.9250,
BYU,2022,4,no meet title,Jan-28-2022,BYU,Brittney Vitkauskas,,,,9.9000
BYU,2022,5,no meet title,Feb-05-2022,BYU,Anyssa Alvarado,,9.7000,,
BYU,2022,5,no meet title,Feb-05-2022,BYU,Abby Beeston,,9.7750,,9.9000
BYU,2022,5,no meet title,Feb-05-2022,BYU,Sydney Benson,9.8250,,,
BYU,2022,5,no meet title,Feb-05-2022,BYU,Sophie Dudley,,,,9.6250
BYU,2022,5,no meet title,Feb-05-2022,BYU,Lexi Griffith,9.1750,,,
BYU,2022,5,no meet title,Feb-05-2022,BYU,Lindsey Hunter,,9.8000,,9.8000
BYU,2022,5,no meet title,Feb-05-2022,BYU,Mina Margraf,,,9.7500,
BYU,2022,5,no meet title,Feb-05-2022,BYU,Allix Mason,9.7000,9.8750,,
BYU,2022,5,no meet title,Feb-05-2022,BYU,Sophia McClelland,,,9.8750,
BYU,2022,5,no meet title,Feb-05-2022,BYU,Eliza Millar-Crossman,,,8.9750,
BYU,2022,5,no meet title,Feb-05-2022,BYU,Sadie Miner-Van Tassell,9.8500,9.8250,9.8750,9.9250
BYU,2022,5,no meet title,Feb-05-2022,BYU,Lauren Ono,,,9.8500,
BYU,2022,5,no meet title,Feb-05-2022,BYU,Haley Pitou,9.7500,9.9250,,
BYU,2022,5,no meet title,Feb-05-2022,BYU,Adeline Rieder,,,,9.8750
BYU,2022,5,no meet title,Feb-05-2022,BYU,Elease Rollins,9.6750,,9.9500,
BYU,2022,5,no meet title,Feb-05-2022,BYU,Brittney Vitkauskas,,,,9.9000
BYU,2022,6,no meet title,Feb-12-2022,Boise State,Anyssa Alvarado,,9.9250,,
BYU,2022,6,no meet title,Feb-12-2022,Boise State,Abby Beeston,,9.7750,,9.8750
BYU,2022,6,no meet title,Feb-12-2022,Boise State,Sydney Benson,9.8000,,,9.7500
BYU,2022,6,no meet title,Feb-12-2022,Boise State,Lexi Griffith,9.8000,,,
BYU,2022,6,no meet title,Feb-12-2022,Boise State,Lindsey Hunter,,9.8250,,9.0000
BYU,2022,6,no meet title,Feb-12-2022,Boise State,Mina Margraf,,,9.7500,
BYU,2022,6,no meet title,Feb-12-2022,Boise State,Allix Mason,9.7500,9.8000,,
BYU,2022,6,no meet title,Feb-12-2022,Boise State,Sophia McClelland,,,9.8500,
BYU,2022,6,no meet title,Feb-12-2022,Boise State,Eliza Millar-Crossman,,,9.6500,
BYU,2022,6,no meet title,Feb-12-2022,Boise State,Sadie Miner-Van Tassell,9.8750,9.8500,9.8000,9.9000
BYU,2022,6,no meet title,Feb-12-2022,Boise State,Lauren Ono,,,9.8250,
BYU,2022,6,no meet title,Feb-12-2022,Boise State,Haley Pitou,9.7000,9.2750,,
BYU,2022,6,no meet title,Feb-12-2022,Boise State,Adeline Rieder,,,,9.8750
BYU,2022,6,no meet title,Feb-12-2022,Boise State,Elease Rollins,9.7750,,9.8000,
BYU,2022,6,no meet title,Feb-12-2022,Boise State,Brittney Vitkauskas,,,,9.8500
BYU,2022,7,no meet title,Feb-18-2022,BYU,Anyssa Alvarado,,9.9250,,
BYU,2022,7,no meet title,Feb-18-2022,BYU,Abby Beeston,,9.7750,,9.9250
BYU,2022,7,no meet title,Feb-18-2022,BYU,Sydney Benson,9.9000,,,8.3250
BYU,2022,7,no meet title,Feb-18-2022,BYU,Lexi Griffith,9.8750,,,
BYU,2022,7,no meet title,Feb-18-2022,BYU,Lindsey Hunter,,9.7750,,9.9000
BYU,2022,7,no meet title,Feb-18-2022,BYU,Mina Margraf,,,9.7750,
BYU,2022,7,no meet title,Feb-18-2022,BYU,Allix Mason,9.8250,9.3250,,
BYU,2022,7,no meet title,Feb-18-2022,BYU,Sophia McClelland,,,9.8000,
BYU,2022,7,no meet title,Feb-18-2022,BYU,Eliza Millar-Crossman,,,9.7250,
BYU,2022,7,no meet title,Feb-18-2022,BYU,Sadie Miner-Van Tassell,9.8750,9.8000,9.9000,9.9500
BYU,2022,7,no meet title,Feb-18-2022,BYU,Lauren Ono,,,9.5750,
BYU,2022,7,no meet title,Feb-18-2022,BYU,Haley Pitou,9.8000,9.8750,,
BYU,2022,7,no meet title,Feb-18-2022,BYU,Adeline Rieder,,,,9.8750
BYU,2022,7,no meet title,Feb-18-2022,BYU,Elease Rollins,9.8250,,9.9500,
BYU,2022,7,no meet title,Feb-18-2022,BYU,Brittney Vitkauskas,,,,9.9750
BYU,2022,8,no meet title,Feb-21-2022,Stanford,Anyssa Alvarado,,9.9000,,
BYU,2022,8,no meet title,Feb-21-2022,Stanford,Abby Beeston,,9.8000,,9.8750
BYU,2022,8,no meet title,Feb-21-2022,Stanford,Sydney Benson,9.8500,,,9.8500
BYU,2022,8,no meet title,Feb-21-2022,Stanford,Sophie Dudley,,,,9.7750
BYU,2022,8,no meet title,Feb-21-2022,Stanford,Lexi Griffith,9.8000,,,
BYU,2022,8,no meet title,Feb-21-2022,Stanford,Lindsey Hunter,,5.0000,,
BYU,2022,8,no meet title,Feb-21-2022,Stanford,Mina Margraf,,,9.8750,
BYU,2022,8,no meet title,Feb-21-2022,Stanford,Allix Mason,9.8250,9.8500,,
BYU,2022,8,no meet title,Feb-21-2022,Stanford,Sophia McClelland,,,9.9250,
BYU,2022,8,no meet title,Feb-21-2022,Stanford,Eliza Millar-Crossman,,,9.1000,
BYU,2022,8,no meet title,Feb-21-2022,Stanford,Sadie Miner-Van Tassell,9.9250,9.7750,9.9000,9.9000
BYU,2022,8,no meet title,Feb-21-2022,Stanford,Lauren Ono,,,8.9250,
BYU,2022,8,no meet title,Feb-21-2022,Stanford,Haley Pitou,9.8000,9.8250,,
BYU,2022,8,no meet title,Feb-21-2022,Stanford,Adeline Rieder,,,,9.8750
BYU,2022,8,no meet title,Feb-21-2022,Stanford,Elease Rollins,9.7750,,9.9750,
BYU,2022,8,no meet title,Feb-21-2022,Stanford,Brittney Vitkauskas,,,,9.9500
BYU,2022,9,no meet title,Feb-25-2022,Utah State,Anyssa Alvarado,,9.7500,,
BYU,2022,9,no meet title,Feb-25-2022,Utah State,Abby Beeston,,9.7500,,9.8000
BYU,2022,9,no meet title,Feb-25-2022,Utah State,Sydney Benson,9.7750,,,9.8500
BYU,2022,9,no meet title,Feb-25-2022,Utah State,Lexi Griffith,9.8500,,,
BYU,2022,9,no meet title,Feb-25-2022,Utah State,Lindsey Hunter,,9.7250,,9.7750
BYU,2022,9,no meet title,Feb-25-2022,Utah State,Mina Margraf,,,8.5750,
BYU,2022,9,no meet title,Feb-25-2022,Utah State,Allix Mason,9.8000,9.8000,9.6500,
BYU,2022,9,no meet title,Feb-25-2022,Utah State,Sophia McClelland,,,9.8500,
BYU,2022,9,no meet title,Feb-25-2022,Utah State,Sadie Miner-Van Tassell,9.8500,9.8250,9.8500,9.9000
BYU,2022,9,no meet title,Feb-25-2022,Utah State,Lauren Ono,,,9.8750,
BYU,2022,9,no meet title,Feb-25-2022,Utah State,Haley Pitou,9.8000,9.8500,,
BYU,2022,9,no meet title,Feb-25-2022,Utah State,Adeline Rieder,,,,9.8750
BYU,2022,9,no meet title,Feb-25-2022,Utah State,Elease Rollins,9.7000,,9.9500,
BYU,2022,9,no meet title,Feb-25-2022,Utah State,Brittney Vitkauskas,,,,9.9250
BYU,2022,10,no meet title,Mar-04-2022,BYU,Anyssa Alvarado,,9.9250,,
BYU,2022,10,no meet title,Mar-04-2022,BYU,Abby Beeston,,9.7750,,9.8250
BYU,2022,10,no meet title,Mar-04-2022,BYU,Sydney Benson,9.8250,,,9.7250
BYU,2022,10,no meet title,Mar-04-2022,BYU,Lexi Griffith,9.8250,,,
BYU,2022,10,no meet title,Mar-04-2022,BYU,Lindsey Hunter,,9.8000,,9.7500
BYU,2022,10,no meet title,Mar-04-2022,BYU,Allix Mason,9.7750,9.8250,9.8000,
BYU,2022,10,no meet title,Mar-04-2022,BYU,Sophia McClelland,,,9.5750,
BYU,2022,10,no meet title,Mar-04-2022,BYU,Sadie Miner-Van Tassell,9.9000,9.9250,9.7750,9.9250
BYU,2022,10,no meet title,Mar-04-2022,BYU,Lauren Ono,,,9.8250,
BYU,2022,10,no meet title,Mar-04-2022,BYU,Haley Pitou,9.8000,9.9750,9.1500,
BYU,2022,10,no meet title,Mar-04-2022,BYU,Adeline Rieder,,,,9.7750
BYU,2022,10,no meet title,Mar-04-2022,BYU,Elease Rollins,9.8500,,9.6250,
BYU,2022,10,no meet title,Mar-04-2022,BYU,Brittney Vitkauskas,,,,9.9250
BYU,2022,11,no meet title,Mar-12-2022,BYU,Anyssa Alvarado,,9.9250,,
BYU,2022,11,no meet title,Mar-12-2022,BYU,Abby Beeston,,9.8750,,9.8750
BYU,2022,11,no meet title,Mar-12-2022,BYU,Sydney Benson,9.8000,,,9.0000
BYU,2022,11,no meet title,Mar-12-2022,BYU,Lexi Griffith,9.7000,,,
BYU,2022,11,no meet title,Mar-12-2022,BYU,Lindsey Hunter,,9.7750,,9.7500
BYU,2022,11,no meet title,Mar-12-2022,BYU,Allix Mason,9.7750,9.8000,9.8000,
BYU,2022,11,no meet title,Mar-12-2022,BYU,Sophia McClelland,,,9.8250,
BYU,2022,11,no meet title,Mar-12-2022,BYU,Sadie Miner-Van Tassell,9.9250,9.7750,9.9000,9.9250
BYU,2022,11,no meet title,Mar-12-2022,BYU,Lauren Ono,,,9.5500,
BYU,2022,11,no meet title,Mar-12-2022,BYU,Haley Pitou,9.7500,9.3750,9.8500,
BYU,2022,11,no meet title,Mar-12-2022,BYU,Adeline Rieder,,,,9.8500
BYU,2022,11,no meet title,Mar-12-2022,BYU,Elease Rollins,9.8500,,9.8750,
BYU,2022,11,no meet title,Mar-12-2022,BYU,Brittney Vitkauskas,,,,9.9250
BYU,2022,12,MRGC Conference,Mar-19-2022,Boise State,Anyssa Alvarado,,9.9250,,
BYU,2022,12,MRGC Conference,Mar-19-2022,Boise State,Abby Beeston,,9.8250,,9.8000
