team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Ball State,2022,1,no meet title,Jan-07-2022,Missouri,Sandra Elsadek,9.6000,9.4750,9.0750,9.7500
Ball State,2022,1,no meet title,Jan-07-2022,Missouri,Grace Evans,,9.6750,,9.5750
Ball State,2022,1,no meet title,Jan-07-2022,Missouri,Victoria Henry,9.7500,,,
Ball State,2022,1,no meet title,Jan-07-2022,Missouri,Alivia Ostendorf,9.6500,,9.6000,9.6750
Ball State,2022,1,no meet title,Jan-07-2022,Missouri,Suki Pfister,9.2750,,,
Ball State,2022,1,no meet title,Jan-07-2022,Missouri,Hannah Ruthberg,9.1000,9.5500,9.7250,9.7750
Ball State,2022,1,no meet title,Jan-07-2022,Missouri,Stefanie Schweikert,9.8000,,,
Ball State,2022,1,no meet title,Jan-07-2022,Missouri,Kelly Sulek,,9.7000,,
Ball State,2022,1,no meet title,Jan-07-2022,Missouri,Grace Sumner,,9.7250,9.7750,
Ball State,2022,1,no meet title,Jan-07-2022,Missouri,Megan Teter,,9.8000,,9.7500
Ball State,2022,1,no meet title,Jan-07-2022,Missouri,Lauren Volpe,,,9.8500,
Ball State,2022,1,no meet title,Jan-07-2022,Missouri,Taylor Waldo,,,9.6500,9.7000
Ball State,2022,2,no meet title,Jan-14-2022,Kentucky,Sandra Elsadek,9.7500,,9.7500,9.7000
Ball State,2022,2,no meet title,Jan-14-2022,Kentucky,Grace Evans,,9.7250,,
Ball State,2022,2,no meet title,Jan-14-2022,Kentucky,Victoria Henry,9.8250,,,9.7250
Ball State,2022,2,no meet title,Jan-14-2022,Kentucky,Marissa Nychyk,,9.6750,,
Ball State,2022,2,no meet title,Jan-14-2022,Kentucky,Alivia Ostendorf,9.7250,,9.6750,9.7500
Ball State,2022,2,no meet title,Jan-14-2022,Kentucky,Suki Pfister,9.8500,,,
Ball State,2022,2,no meet title,Jan-14-2022,Kentucky,Hannah Ruthberg,9.7500,9.7250,9.1250,9.6750
Ball State,2022,2,no meet title,Jan-14-2022,Kentucky,Stefanie Schweikert,9.7750,,,
Ball State,2022,2,no meet title,Jan-14-2022,Kentucky,Kelly Sulek,,9.7250,,
Ball State,2022,2,no meet title,Jan-14-2022,Kentucky,Grace Sumner,,9.6500,9.6250,
Ball State,2022,2,no meet title,Jan-14-2022,Kentucky,Megan Teter,,9.7750,,9.8250
Ball State,2022,2,no meet title,Jan-14-2022,Kentucky,Lauren Volpe,,,9.7750,
Ball State,2022,2,no meet title,Jan-14-2022,Kentucky,Taylor Waldo,,,9.6750,9.6750
Ball State,2022,3,no meet title,Jan-16-2022,Western Michigan,Sandra Elsadek,9.8250,,9.6500,9.7250
Ball State,2022,3,no meet title,Jan-16-2022,Western Michigan,Grace Evans,,9.7750,,9.7250
Ball State,2022,3,no meet title,Jan-16-2022,Western Michigan,Victoria Henry,9.8500,9.8000,,9.8250
Ball State,2022,3,no meet title,Jan-16-2022,Western Michigan,Alivia Ostendorf,9.7500,,9.7750,9.7750
Ball State,2022,3,no meet title,Jan-16-2022,Western Michigan,Suki Pfister,9.8500,,,
Ball State,2022,3,no meet title,Jan-16-2022,Western Michigan,Hannah Ruthberg,9.8250,9.8000,9.8500,9.8000
Ball State,2022,3,no meet title,Jan-16-2022,Western Michigan,Stefanie Schweikert,9.6500,,,
Ball State,2022,3,no meet title,Jan-16-2022,Western Michigan,Kelly Sulek,,9.7500,,
Ball State,2022,3,no meet title,Jan-16-2022,Western Michigan,Grace Sumner,,9.7250,9.6500,
Ball State,2022,3,no meet title,Jan-16-2022,Western Michigan,Megan Teter,,9.7000,,9.4000
Ball State,2022,3,no meet title,Jan-16-2022,Western Michigan,Lauren Volpe,,,9.8750,
Ball State,2022,3,no meet title,Jan-16-2022,Western Michigan,Taylor Waldo,,,9.7250,
Ball State,2022,4,no meet title,Jan-23-2022,Ball State,Sandra Elsadek,9.7000,,9.5000,9.7250
Ball State,2022,4,no meet title,Jan-23-2022,Ball State,Grace Evans,,9.6250,,
