team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Boise State,2022,1,no meet title,Jan-28-2022,Boise State,Courtney Blackson,9.7750,,,9.6750
Boise State,2022,1,no meet title,Jan-28-2022,Boise State,Talia Little,,8.8750,9.7500,9.6500
Boise State,2022,1,no meet title,Jan-28-2022,Boise State,Emily Lopez,9.8000,9.9250,9.7000,
Boise State,2022,1,no meet title,Jan-28-2022,Boise State,Emma Loyim,9.6500,,,9.8000
Boise State,2022,1,no meet title,Jan-28-2022,Boise State,Hope Masiado,9.8000,9.6500,9.7250,9.7250
Boise State,2022,1,no meet title,Jan-28-2022,Boise State,Elaina McGovern,,,,9.8000
Boise State,2022,1,no meet title,Jan-28-2022,Boise State,Emily Muhlenhaupt,,9.9500,,
Boise State,2022,1,no meet title,Jan-28-2022,Boise State,Maddi Nilson,,9.0500,,
Boise State,2022,1,no meet title,Jan-28-2022,Boise State,Blake Pascal,,,,9.8000
Boise State,2022,1,no meet title,Jan-28-2022,Boise State,Adriana Popp,,,9.8750,
Boise State,2022,1,no meet title,Jan-28-2022,Boise State,Samantha Smith,9.7750,,,
Boise State,2022,1,no meet title,Jan-28-2022,Boise State,Alexis Stokes,,9.8750,9.1500,
Boise State,2022,1,no meet title,Jan-28-2022,Boise State,Alyssa Vulaj,9.7500,,9.6500,
Boise State,2022,2,no meet title,Feb-05-2022,BYU,Courtney Blackson,9.8250,,,9.8250
Boise State,2022,2,no meet title,Feb-05-2022,BYU,Talia Little,,9.8000,9.8250,
Boise State,2022,2,no meet title,Feb-05-2022,BYU,Emily Lopez,9.8500,9.9000,9.8500,
Boise State,2022,2,no meet title,Feb-05-2022,BYU,Emma Loyim,,,,9.7750
Boise State,2022,2,no meet title,Feb-05-2022,BYU,Hope Masiado,9.7000,9.7000,9.8250,9.7750
Boise State,2022,2,no meet title,Feb-05-2022,BYU,Elaina McGovern,,,,9.8750
Boise State,2022,2,no meet title,Feb-05-2022,BYU,Emily Muhlenhaupt,,9.9250,,
Boise State,2022,2,no meet title,Feb-05-2022,BYU,Maddi Nilson,9.8250,9.9000,,
Boise State,2022,2,no meet title,Feb-05-2022,BYU,Blake Pascal,,,,9.7750
Boise State,2022,2,no meet title,Feb-05-2022,BYU,Adriana Popp,,,9.8750,9.6500
Boise State,2022,2,no meet title,Feb-05-2022,BYU,Samantha Smith,9.8000,,,
Boise State,2022,2,no meet title,Feb-05-2022,BYU,Alexis Stokes,,9.8250,9.7750,
Boise State,2022,2,no meet title,Feb-05-2022,BYU,Alyssa Vulaj,9.7000,,9.7500,
Boise State,2022,3,no meet title,Feb-12-2022,Boise State,Courtney Blackson,9.8000,9.2250,,9.7500
Boise State,2022,3,no meet title,Feb-12-2022,Boise State,Talia Little,,9.8500,9.8000,
Boise State,2022,3,no meet title,Feb-12-2022,Boise State,Emily Lopez,9.8000,9.9250,9.8500,
Boise State,2022,3,no meet title,Feb-12-2022,Boise State,Emma Loyim,,,9.8250,9.8000
Boise State,2022,3,no meet title,Feb-12-2022,Boise State,Hope Masiado,9.7500,,9.7250,9.6000
Boise State,2022,3,no meet title,Feb-12-2022,Boise State,Elaina McGovern,,,,9.8000
Boise State,2022,3,no meet title,Feb-12-2022,Boise State,Emily Muhlenhaupt,,9.9000,,
Boise State,2022,3,no meet title,Feb-12-2022,Boise State,Maddi Nilson,9.7500,8.9500,,
Boise State,2022,3,no meet title,Feb-12-2022,Boise State,Blake Pascal,,,,9.8750
Boise State,2022,3,no meet title,Feb-12-2022,Boise State,Adriana Popp,,,9.8500,9.7250
Boise State,2022,3,no meet title,Feb-12-2022,Boise State,Samantha Smith,9.8500,,,
Boise State,2022,3,no meet title,Feb-12-2022,Boise State,Alexis Stokes,,9.9750,9.7500,
Boise State,2022,3,no meet title,Feb-12-2022,Boise State,Alyssa Vulaj,9.8750,,,
Boise State,2022,4,no meet title,Feb-18-2022,Boise State,Courtney Blackson,9.7750,9.8750,,9.9250
Boise State,2022,4,no meet title,Feb-18-2022,Boise State,Talia Little,,9.8750,9.8250,
Boise State,2022,4,no meet title,Feb-18-2022,Boise State,Emily Lopez,9.8000,9.8750,9.8750,
Boise State,2022,4,no meet title,Feb-18-2022,Boise State,Emma Loyim,,,9.8000,9.7000
Boise State,2022,4,no meet title,Feb-18-2022,Boise State,Hope Masiado,9.8000,,,9.5750
Boise State,2022,4,no meet title,Feb-18-2022,Boise State,Elaina McGovern,,,,9.9000
Boise State,2022,4,no meet title,Feb-18-2022,Boise State,Emily Muhlenhaupt,,9.8500,9.8000,
Boise State,2022,4,no meet title,Feb-18-2022,Boise State,Maddi Nilson,9.7500,9.0500,,
Boise State,2022,4,no meet title,Feb-18-2022,Boise State,Blake Pascal,,,,9.9000
Boise State,2022,4,no meet title,Feb-18-2022,Boise State,Adriana Popp,,,9.9000,9.7750
Boise State,2022,4,no meet title,Feb-18-2022,Boise State,Samantha Smith,9.8250,,,
Boise State,2022,4,no meet title,Feb-18-2022,Boise State,Alexis Stokes,,9.9750,9.7250,
Boise State,2022,4,no meet title,Feb-18-2022,Boise State,Alyssa Vulaj,9.9000,,,
Boise State,2022,5,no meet title,Feb-21-2022,Stanford,Courtney Blackson,9.8250,9.8250,,9.8250
Boise State,2022,5,no meet title,Feb-21-2022,Stanford,Talia Little,,9.8000,9.6000,
Boise State,2022,5,no meet title,Feb-21-2022,Stanford,Emily Lopez,9.8500,9.8500,9.9000,
Boise State,2022,5,no meet title,Feb-21-2022,Stanford,Emma Loyim,,,9.8250,9.7500
Boise State,2022,5,no meet title,Feb-21-2022,Stanford,Hope Masiado,9.5500,,9.9250,
Boise State,2022,5,no meet title,Feb-21-2022,Stanford,Elaina McGovern,,,,9.6500
Boise State,2022,5,no meet title,Feb-21-2022,Stanford,Emily Muhlenhaupt,,9.9500,,
Boise State,2022,5,no meet title,Feb-21-2022,Stanford,Maddi Nilson,9.8250,9.9000,,
Boise State,2022,5,no meet title,Feb-21-2022,Stanford,Blake Pascal,,,,9.7750
Boise State,2022,5,no meet title,Feb-21-2022,Stanford,Adriana Popp,,,9.9250,9.8500
Boise State,2022,5,no meet title,Feb-21-2022,Stanford,Samantha Smith,9.8000,,,
Boise State,2022,5,no meet title,Feb-21-2022,Stanford,Alexis Stokes,,9.9000,9.8000,
Boise State,2022,5,no meet title,Feb-21-2022,Stanford,Alyssa Vulaj,9.9250,,,9.7750
Boise State,2022,6,no meet title,Feb-25-2022,Southern Utah,Courtney Blackson,9.8750,9.8750,,9.8500
Boise State,2022,6,no meet title,Feb-25-2022,Southern Utah,Talia Little,,9.8250,9.8500,
Boise State,2022,6,no meet title,Feb-25-2022,Southern Utah,Emily Lopez,9.8750,9.9500,9.3000,
Boise State,2022,6,no meet title,Feb-25-2022,Southern Utah,Emma Loyim,,,,8.9000
Boise State,2022,6,no meet title,Feb-25-2022,Southern Utah,Hope Masiado,9.8000,,9.6500,9.8500
Boise State,2022,6,no meet title,Feb-25-2022,Southern Utah,Elaina McGovern,,,,9.8750
Boise State,2022,6,no meet title,Feb-25-2022,Southern Utah,Emily Muhlenhaupt,,9.9500,9.3500,
Boise State,2022,6,no meet title,Feb-25-2022,Southern Utah,Maddi Nilson,9.8250,9.1250,,
Boise State,2022,6,no meet title,Feb-25-2022,Southern Utah,Blake Pascal,,,,9.8250
Boise State,2022,6,no meet title,Feb-25-2022,Southern Utah,Adriana Popp,,,9.8250,9.5750
Boise State,2022,6,no meet title,Feb-25-2022,Southern Utah,Samantha Smith,9.7250,,,
Boise State,2022,6,no meet title,Feb-25-2022,Southern Utah,Alexis Stokes,,9.9000,9.8500,
Boise State,2022,6,no meet title,Feb-25-2022,Southern Utah,Alyssa Vulaj,9.8500,,,
Boise State,2022,7,no meet title,Mar-04-2022,Illinois,Courtney Blackson,9.9000,9.3000,,9.8500
Boise State,2022,7,no meet title,Mar-04-2022,Illinois,Talia Little,,9.8250,9.7750,
Boise State,2022,7,no meet title,Mar-04-2022,Illinois,Emily Lopez,9.9000,9.9500,9.8500,
Boise State,2022,7,no meet title,Mar-04-2022,Illinois,Emma Loyim,,,9.1000,
Boise State,2022,7,no meet title,Mar-04-2022,Illinois,Hope Masiado,9.7750,,,9.7250
Boise State,2022,7,no meet title,Mar-04-2022,Illinois,Elaina McGovern,,,,9.7750
Boise State,2022,7,no meet title,Mar-04-2022,Illinois,Emily Muhlenhaupt,,9.9750,9.6500,
Boise State,2022,7,no meet title,Mar-04-2022,Illinois,Maddi Nilson,9.8500,9.8750,,
Boise State,2022,7,no meet title,Mar-04-2022,Illinois,Blake Pascal,,,,9.8000
Boise State,2022,7,no meet title,Mar-04-2022,Illinois,Adriana Popp,,,9.9000,
Boise State,2022,7,no meet title,Mar-04-2022,Illinois,Samantha Smith,9.7750,,,9.7500
Boise State,2022,7,no meet title,Mar-04-2022,Illinois,Alexis Stokes,,9.9000,9.6750,
Boise State,2022,7,no meet title,Mar-04-2022,Illinois,Alyssa Vulaj,9.8500,,,8.9000
Boise State,2022,8,no meet title,Mar-11-2022,Arizona State,Courtney Blackson,9.6250,9.8000,,9.8500
Boise State,2022,8,no meet title,Mar-11-2022,Arizona State,Talia Little,,9.7750,9.7250,
Boise State,2022,8,no meet title,Mar-11-2022,Arizona State,Emily Lopez,9.8250,9.9000,9.7750,
Boise State,2022,8,no meet title,Mar-11-2022,Arizona State,Emma Loyim,,,,9.8000
Boise State,2022,8,no meet title,Mar-11-2022,Arizona State,Hope Masiado,9.7000,,9.6250,9.6500
Boise State,2022,8,no meet title,Mar-11-2022,Arizona State,Elaina McGovern,,,,9.8000
Boise State,2022,8,no meet title,Mar-11-2022,Arizona State,Emily Muhlenhaupt,,9.9250,9.3750,
Boise State,2022,8,no meet title,Mar-11-2022,Arizona State,Maddi Nilson,9.6750,9.8500,,
Boise State,2022,8,no meet title,Mar-11-2022,Arizona State,Blake Pascal,,,,8.9000
Boise State,2022,8,no meet title,Mar-11-2022,Arizona State,Adriana Popp,,,9.9000,9.7750
Boise State,2022,8,no meet title,Mar-11-2022,Arizona State,Samantha Smith,9.7750,,,
Boise State,2022,8,no meet title,Mar-11-2022,Arizona State,Alexis Stokes,,9.9000,9.7000,
Boise State,2022,8,no meet title,Mar-11-2022,Arizona State,Alyssa Vulaj,9.8250,,,
Boise State,2022,9,MRGC Conference,Mar-19-2022,Boise State,Courtney Blackson,9.8500,9.8750,,9.8000
Boise State,2022,9,MRGC Conference,Mar-19-2022,Boise State,Talia Little,,9.8500,9.7250,
Boise State,2022,9,MRGC Conference,Mar-19-2022,Boise State,Emily Lopez,9.8250,9.9250,9.8500,
Boise State,2022,9,MRGC Conference,Mar-19-2022,Boise State,Emma Loyim,,,9.8500,9.4500
Boise State,2022,9,MRGC Conference,Mar-19-2022,Boise State,Hope Masiado,9.7250,,9.8000,9.7750
Boise State,2022,9,MRGC Conference,Mar-19-2022,Boise State,Elaina McGovern,,,,9.8500
Boise State,2022,9,MRGC Conference,Mar-19-2022,Boise State,Emily Muhlenhaupt,,9.9500,,
Boise State,2022,9,MRGC Conference,Mar-19-2022,Boise State,Maddi Nilson,9.7500,9.8500,,
Boise State,2022,9,MRGC Conference,Mar-19-2022,Boise State,Blake Pascal,,,,9.7500
Boise State,2022,9,MRGC Conference,Mar-19-2022,Boise State,Adriana Popp,,,9.9000,9.8500
Boise State,2022,9,MRGC Conference,Mar-19-2022,Boise State,Samantha Smith,9.7750,,,
Boise State,2022,9,MRGC Conference,Mar-19-2022,Boise State,Alexis Stokes,,9.8750,9.1750,
Boise State,2022,9,MRGC Conference,Mar-19-2022,Boise State,Alyssa Vulaj,9.7250,,,
Boise State,2022,10,Norman Regional II,Mar-31-2022,,Courtney Blackson,9.8000,9.8000,,9.9000
Boise State,2022,10,Norman Regional II,Mar-31-2022,,Talia Little,,9.8000,9.8500,
Boise State,2022,10,Norman Regional II,Mar-31-2022,,Emily Lopez,9.8000,9.8750,9.8250,
Boise State,2022,10,Norman Regional II,Mar-31-2022,,Emma Loyim,,,9.8000,9.7500
Boise State,2022,10,Norman Regional II,Mar-31-2022,,Hope Masiado,9.7500,,9.3250,9.8500
Boise State,2022,10,Norman Regional II,Mar-31-2022,,Elaina McGovern,,,,9.8000
Boise State,2022,10,Norman Regional II,Mar-31-2022,,Emily Muhlenhaupt,,9.9000,,
Boise State,2022,10,Norman Regional II,Mar-31-2022,,Maddi Nilson,9.7500,9.8500,,
Boise State,2022,10,Norman Regional II,Mar-31-2022,,Blake Pascal,,,,9.0250
Boise State,2022,10,Norman Regional II,Mar-31-2022,,Adriana Popp,,,9.8250,9.8500
Boise State,2022,10,Norman Regional II,Mar-31-2022,,Samantha Smith,9.7250,,,
Boise State,2022,10,Norman Regional II,Mar-31-2022,,Alexis Stokes,,9.8000,9.8500,
Boise State,2022,10,Norman Regional II,Mar-31-2022,,Alyssa Vulaj,9.8000,,,
