team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Bowling Green,2020,1,no meet title,Jan-11-2020,Bowling Green,Jovannah East,9.8500,9.7500,9.8250,9.8750
Bowling Green,2020,1,no meet title,Jan-11-2020,Bowling Green,Alexandra Fochler,,8.8500,,
Bowling Green,2020,1,no meet title,Jan-11-2020,Bowling Green,Katelyn Goldstrom,8.8500,9.5000,,9.5000
Bowling Green,2020,1,no meet title,Jan-11-2020,Bowling Green,Lily Harsch,9.5500,9.7000,9.6750,8.6500
Bowling Green,2020,1,no meet title,Jan-11-2020,Bowling Green,Taylor Jensen,9.5250,9.6000,,9.8250
Bowling Green,2020,1,no meet title,Jan-11-2020,Bowling Green,Elena Lawson,9.5750,9.6250,8.5750,9.8500
Bowling Green,2020,1,no meet title,Jan-11-2020,Bowling Green,Samantha Marion,9.8250,,9.8750,
Bowling Green,2020,1,no meet title,Jan-11-2020,Bowling Green,Tess Muir,,,9.7750,
Bowling Green,2020,1,no meet title,Jan-11-2020,Bowling Green,Olivia Williams,,,9.8250,8.8000
Bowling Green,2020,2,no meet title,Jan-18-2020,Rutgers,Paige Bachner,,9.2500,,
Bowling Green,2020,2,no meet title,Jan-18-2020,Rutgers,Jovannah East,9.7500,,9.8250,9.8250
Bowling Green,2020,2,no meet title,Jan-18-2020,Rutgers,Alexandra Fochler,,9.8500,,
Bowling Green,2020,2,no meet title,Jan-18-2020,Rutgers,Katelyn Goldstrom,8.6000,9.5000,,9.4000
Bowling Green,2020,2,no meet title,Jan-18-2020,Rutgers,Lily Harsch,9.6000,9.0500,9.1750,9.4750
Bowling Green,2020,2,no meet title,Jan-18-2020,Rutgers,Taylor Jensen,9.1750,9.3250,,9.7500
Bowling Green,2020,2,no meet title,Jan-18-2020,Rutgers,Jasmine Jones,,,,9.6750
Bowling Green,2020,2,no meet title,Jan-18-2020,Rutgers,Elena Lawson,9.6750,8.7500,,9.7750
Bowling Green,2020,2,no meet title,Jan-18-2020,Rutgers,Samantha Marion,9.7000,,9.0500,
Bowling Green,2020,2,no meet title,Jan-18-2020,Rutgers,Tess Muir,,,9.1750,
Bowling Green,2020,2,no meet title,Jan-18-2020,Rutgers,Olivia Williams,,,9.6250,
Bowling Green,2020,2,no meet title,Jan-18-2020,Rutgers,Taylor Worthington,,,9.8500,
Bowling Green,2020,3,no meet title,Jan-26-2020,Ball State,Jovannah East,9.7500,9.6500,9.4250,9.8500
Bowling Green,2020,3,no meet title,Jan-26-2020,Ball State,Alexandra Fochler,,9.8000,,9.5500
Bowling Green,2020,3,no meet title,Jan-26-2020,Ball State,Katelyn Goldstrom,9.8000,9.4250,,9.5000
Bowling Green,2020,3,no meet title,Jan-26-2020,Ball State,Lily Harsch,9.6750,9.0250,9.4750,9.6000
Bowling Green,2020,3,no meet title,Jan-26-2020,Ball State,Taylor Jensen,9.5250,9.6500,,9.7500
Bowling Green,2020,3,no meet title,Jan-26-2020,Ball State,Elena Lawson,9.7500,9.6000,,9.7750
