team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Bridgeport,2016,1,no meet title,Jan-15-2016,Lindenwood,Delaney  Cahill,,9.7250,,
Bridgeport,2016,1,no meet title,Jan-15-2016,Lindenwood,Kelsey Campbell,9.6500,9.7500,9.7000,9.6750
Bridgeport,2016,1,no meet title,Jan-15-2016,Lindenwood,Brittany Capozzi,9.4250,,8.8500,9.7500
Bridgeport,2016,1,no meet title,Jan-15-2016,Lindenwood,Carol Chiles,,,9.8000,
Bridgeport,2016,1,no meet title,Jan-15-2016,Lindenwood,Brianna Comport,,,9.5000,9.8750
Bridgeport,2016,1,no meet title,Jan-15-2016,Lindenwood,Randi Cutolo,,,,9.7000
Bridgeport,2016,1,no meet title,Jan-15-2016,Lindenwood,Rachel DiCarlo,9.6500,,9.7250,
Bridgeport,2016,1,no meet title,Jan-15-2016,Lindenwood,Maritza Futch,,9.8250,,9.6000
Bridgeport,2016,1,no meet title,Jan-15-2016,Lindenwood,Ajiea Hargrave,9.5500,,,9.2250
Bridgeport,2016,1,no meet title,Jan-15-2016,Lindenwood,Christine Liautaud,,9.8500,,
Bridgeport,2016,1,no meet title,Jan-15-2016,Lindenwood,Kimberly Stewart,9.8250,9.8000,,
Bridgeport,2016,1,no meet title,Jan-15-2016,Lindenwood,Hope Tralli,9.7250,,9.4750,
Bridgeport,2016,1,no meet title,Jan-15-2016,Lindenwood,Brielle Wilchuck,,9.4000,,
Bridgeport,2016,2,no meet title,Jan-24-2016,Brown,Kelly  Aycock,,,,9.7500
Bridgeport,2016,2,no meet title,Jan-24-2016,Brown,Delaney  Cahill,,9.4500,,
Bridgeport,2016,2,no meet title,Jan-24-2016,Brown,Kelsey Campbell,9.6250,8.0000,9.5500,9.6500
Bridgeport,2016,2,no meet title,Jan-24-2016,Brown,Brittany Capozzi,9.5500,,,9.6500
Bridgeport,2016,2,no meet title,Jan-24-2016,Brown,Carol Chiles,,,9.2250,
Bridgeport,2016,2,no meet title,Jan-24-2016,Brown,Brianna Comport,,,9.2250,9.8000
Bridgeport,2016,2,no meet title,Jan-24-2016,Brown,Randi Cutolo,,,,9.7500
Bridgeport,2016,2,no meet title,Jan-24-2016,Brown,Rachel DiCarlo,9.7000,,9.4500,
Bridgeport,2016,2,no meet title,Jan-24-2016,Brown,Maritza Futch,,9.5750,9.4250,
Bridgeport,2016,2,no meet title,Jan-24-2016,Brown,Ajiea Hargrave,9.7000,,,9.8250
Bridgeport,2016,2,no meet title,Jan-24-2016,Brown,Christine Liautaud,,9.5250,,
Bridgeport,2016,2,no meet title,Jan-24-2016,Brown,Kimberly Stewart,9.7750,9.0000,,
Bridgeport,2016,2,no meet title,Jan-24-2016,Brown,Hope Tralli,9.7250,,9.2500,
Bridgeport,2016,2,no meet title,Jan-24-2016,Brown,Brielle Wilchuck,,9.1000,,
Bridgeport,2016,3,Don Tonry Invitational,Jan-30-2016,Yale,Kelly  Aycock,,,,9.7500
Bridgeport,2016,3,Don Tonry Invitational,Jan-30-2016,Yale,Delaney  Cahill,,9.6500,,
Bridgeport,2016,3,Don Tonry Invitational,Jan-30-2016,Yale,Kelsey Campbell,9.6750,9.7250,9.6500,9.6000
Bridgeport,2016,3,Don Tonry Invitational,Jan-30-2016,Yale,Brittany Capozzi,,,9.4750,9.7250
Bridgeport,2016,3,Don Tonry Invitational,Jan-30-2016,Yale,Carol Chiles,,,9.8250,
Bridgeport,2016,3,Don Tonry Invitational,Jan-30-2016,Yale,Brianna Comport,,,9.7500,9.2250
Bridgeport,2016,3,Don Tonry Invitational,Jan-30-2016,Yale,Randi Cutolo,,,,9.8500
Bridgeport,2016,3,Don Tonry Invitational,Jan-30-2016,Yale,Rachel DiCarlo,9.6250,,9.6750,
Bridgeport,2016,3,Don Tonry Invitational,Jan-30-2016,Yale,Maritza Futch,,9.7750,,
Bridgeport,2016,3,Don Tonry Invitational,Jan-30-2016,Yale,Ajiea Hargrave,9.7000,,,9.1750
Bridgeport,2016,3,Don Tonry Invitational,Jan-30-2016,Yale,Cheyenne Keller,9.5250,,,
Bridgeport,2016,3,Don Tonry Invitational,Jan-30-2016,Yale,Christine Liautaud,,9.8250,,
Bridgeport,2016,3,Don Tonry Invitational,Jan-30-2016,Yale,Kimberly Stewart,9.7000,9.6000,,
Bridgeport,2016,3,Don Tonry Invitational,Jan-30-2016,Yale,Hope Tralli,9.7750,,9.2000,
Bridgeport,2016,3,Don Tonry Invitational,Jan-30-2016,Yale,Brielle Wilchuck,,9.6750,,
Bridgeport,2016,4,no meet title,Jan-31-2016,Bridgeport,Kelly  Aycock,,,,9.7250
Bridgeport,2016,4,no meet title,Jan-31-2016,Bridgeport,Delaney  Cahill,,9.6000,,
Bridgeport,2016,4,no meet title,Jan-31-2016,Bridgeport,Kelsey Campbell,9.6000,9.2250,9.6000,9.6750
Bridgeport,2016,4,no meet title,Jan-31-2016,Bridgeport,Brittany Capozzi,,,,9.8000
Bridgeport,2016,4,no meet title,Jan-31-2016,Bridgeport,Carol Chiles,,,9.7500,
Bridgeport,2016,4,no meet title,Jan-31-2016,Bridgeport,Brianna Comport,,,9.7500,9.7750
Bridgeport,2016,4,no meet title,Jan-31-2016,Bridgeport,Randi Cutolo,,,,9.8750
Bridgeport,2016,4,no meet title,Jan-31-2016,Bridgeport,Rachel DiCarlo,9.6250,,9.6750,
Bridgeport,2016,4,no meet title,Jan-31-2016,Bridgeport,Maritza Futch,,9.7750,9.6250,
Bridgeport,2016,4,no meet title,Jan-31-2016,Bridgeport,Ajiea Hargrave,9.7250,,,9.7750
Bridgeport,2016,4,no meet title,Jan-31-2016,Bridgeport,Cheyenne Keller,9.3750,,,
Bridgeport,2016,4,no meet title,Jan-31-2016,Bridgeport,Christine Liautaud,,9.8250,,
Bridgeport,2016,4,no meet title,Jan-31-2016,Bridgeport,Kimberly Stewart,9.6250,9.6250,,
Bridgeport,2016,4,no meet title,Jan-31-2016,Bridgeport,Hope Tralli,9.6250,,9.7000,
Bridgeport,2016,4,no meet title,Jan-31-2016,Bridgeport,Brielle Wilchuck,,9.7000,,
Bridgeport,2016,5,no meet title,Feb-07-2016,New Hampshire,Kelly  Aycock,,,,9.6750
Bridgeport,2016,5,no meet title,Feb-07-2016,New Hampshire,Delaney  Cahill,,9.6250,,
Bridgeport,2016,5,no meet title,Feb-07-2016,New Hampshire,Kelsey Campbell,9.6000,9.8500,9.7500,9.5250
Bridgeport,2016,5,no meet title,Feb-07-2016,New Hampshire,Brittany Capozzi,,,9.7000,9.7750
Bridgeport,2016,5,no meet title,Feb-07-2016,New Hampshire,Carol Chiles,,,9.7250,
Bridgeport,2016,5,no meet title,Feb-07-2016,New Hampshire,Brianna Comport,,,9.9000,9.8750
Bridgeport,2016,5,no meet title,Feb-07-2016,New Hampshire,Randi Cutolo,,,,9.7500
Bridgeport,2016,5,no meet title,Feb-07-2016,New Hampshire,Rachel DiCarlo,9.3000,,9.2750,
Bridgeport,2016,5,no meet title,Feb-07-2016,New Hampshire,Ajiea Hargrave,9.5000,,,9.8500
Bridgeport,2016,5,no meet title,Feb-07-2016,New Hampshire,Cheyenne Keller,9.5250,,,
Bridgeport,2016,5,no meet title,Feb-07-2016,New Hampshire,Christine Liautaud,,9.8500,,
Bridgeport,2016,5,no meet title,Feb-07-2016,New Hampshire,Thomara Powell-Brown,,9.3000,,
Bridgeport,2016,5,no meet title,Feb-07-2016,New Hampshire,Kimberly Stewart,9.7000,9.7500,,
