team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Brockport,2023,1,no meet title,Jan-15-2023,Ithaca College,Lauren Blair,9.6000,,,
Brockport,2023,1,no meet title,Jan-15-2023,Ithaca College,Taylor Bushey,,9.1500,,
Brockport,2023,1,no meet title,Jan-15-2023,Ithaca College,Maren Eramo,9.6500,,,
Brockport,2023,1,no meet title,Jan-15-2023,Ithaca College,Kyra Figurelli,9.7250,,,9.7250
Brockport,2023,1,no meet title,Jan-15-2023,Ithaca College,Natalie Galioto,,,9.3500,9.5750
Brockport,2023,1,no meet title,Jan-15-2023,Ithaca College,Gabbi Gare,,9.3500,,
Brockport,2023,1,no meet title,Jan-15-2023,Ithaca College,Miranda Larobardiere,,,9.2000,
Brockport,2023,1,no meet title,Jan-15-2023,Ithaca College,Kirsten Paultre,,,,9.4500
Brockport,2023,1,no meet title,Jan-15-2023,Ithaca College,Maya Pecoraro,,,9.3250,9.5000
Brockport,2023,1,no meet title,Jan-15-2023,Ithaca College,Emma Grace Sargent,9.5500,8.3500,,
Brockport,2023,1,no meet title,Jan-15-2023,Ithaca College,Sydney Schumaker,9.4250,8.6000,9.5500,
Brockport,2023,1,no meet title,Jan-15-2023,Ithaca College,Laken Sooy,9.5750,,,9.4000
Brockport,2023,1,no meet title,Jan-15-2023,Ithaca College,Olivia Stinnette,,,9.2250,
Brockport,2023,1,no meet title,Jan-15-2023,Ithaca College,Rachel Swick,,9.5750,,
Brockport,2023,1,no meet title,Jan-15-2023,Ithaca College,Aladiana Tosado,,7.7000,,
Brockport,2023,1,no meet title,Jan-15-2023,Ithaca College,Emmie White,,,9.4000,9.4000
Brockport,2023,2,no meet title,Jan-22-2023,Ursinus College,Lauren Blair,9.3750,,,
Brockport,2023,2,no meet title,Jan-22-2023,Ursinus College,Taylor Bushey,,9.4000,,
Brockport,2023,2,no meet title,Jan-22-2023,Ursinus College,Maren Eramo,9.6250,,,
Brockport,2023,2,no meet title,Jan-22-2023,Ursinus College,Kyra Figurelli,9.7500,9.0000,,9.6250
Brockport,2023,2,no meet title,Jan-22-2023,Ursinus College,Natalie Galioto,,,9.4500,9.8000
Brockport,2023,2,no meet title,Jan-22-2023,Ursinus College,Gabbi Gare,,9.4250,,
Brockport,2023,2,no meet title,Jan-22-2023,Ursinus College,Miranda Larobardiere,,,8.8000,
Brockport,2023,2,no meet title,Jan-22-2023,Ursinus College,Kirsten Paultre,,,,9.8250
Brockport,2023,2,no meet title,Jan-22-2023,Ursinus College,Maya Pecoraro,,,9.3500,8.7750
Brockport,2023,2,no meet title,Jan-22-2023,Ursinus College,Emma Grace Sargent,9.6250,9.7500,,
Brockport,2023,2,no meet title,Jan-22-2023,Ursinus College,Sydney Schumaker,9.5500,7.6000,9.5000,
Brockport,2023,2,no meet title,Jan-22-2023,Ursinus College,Laken Sooy,9.5250,,,9.2750
Brockport,2023,2,no meet title,Jan-22-2023,Ursinus College,Olivia Stinnette,,,8.9000,
Brockport,2023,2,no meet title,Jan-22-2023,Ursinus College,Rachel Swick,,8.6000,,9.6250
Brockport,2023,2,no meet title,Jan-22-2023,Ursinus College,Emmie White,,,8.6750,
Brockport,2023,3,no meet title,Jan-28-2023,Brockport,Lauren Blair,9.6000,,,9.7750
Brockport,2023,3,no meet title,Jan-28-2023,Brockport,Taylor Bushey,,9.5500,,
Brockport,2023,3,no meet title,Jan-28-2023,Brockport,Cali Czarcinski,,,9.3750,
Brockport,2023,3,no meet title,Jan-28-2023,Brockport,Maren Eramo,9.6500,9.3500,,
Brockport,2023,3,no meet title,Jan-28-2023,Brockport,Kyra Figurelli,9.6000,,,9.7250
Brockport,2023,3,no meet title,Jan-28-2023,Brockport,Natalie Galioto,,,9.7500,9.6750
Brockport,2023,3,no meet title,Jan-28-2023,Brockport,Gabbi Gare,,9.4000,,
Brockport,2023,3,no meet title,Jan-28-2023,Brockport,Kirsten Paultre,,,,9.6500
Brockport,2023,3,no meet title,Jan-28-2023,Brockport,Maya Pecoraro,,,9.4000,
Brockport,2023,3,no meet title,Jan-28-2023,Brockport,Emma Grace Sargent,9.6750,9.6750,,
Brockport,2023,3,no meet title,Jan-28-2023,Brockport,Sydney Schumaker,9.6250,9.3500,8.8750,
Brockport,2023,3,no meet title,Jan-28-2023,Brockport,Laken Sooy,9.4250,,,
Brockport,2023,3,no meet title,Jan-28-2023,Brockport,Olivia Stinnette,,,9.3250,
Brockport,2023,3,no meet title,Jan-28-2023,Brockport,Rachel Swick,,9.4000,,9.1500
Brockport,2023,3,no meet title,Jan-28-2023,Brockport,Emmie White,,,9.0000,9.7250
Brockport,2023,4,no meet title,Feb-05-2023,Cortland State,Lauren Blair,9.4750,,,9.7250
Brockport,2023,4,no meet title,Feb-05-2023,Cortland State,Taylor Bushey,,9.2750,,
Brockport,2023,4,no meet title,Feb-05-2023,Cortland State,Cali Czarcinski,,,8.2500,
Brockport,2023,4,no meet title,Feb-05-2023,Cortland State,Maren Eramo,9.6750,9.2000,,
Brockport,2023,4,no meet title,Feb-05-2023,Cortland State,Kyra Figurelli,9.0500,,,9.9000
