team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Brown,2023,1,no meet title,Jan-15-2023,Yale,Julia Bedell,9.8500,,,9.7000
Brown,2023,1,no meet title,Jan-15-2023,Yale,Abby Contello,9.8000,9.6750,9.1500,
Brown,2023,1,no meet title,Jan-15-2023,Yale,Maya Davis,,7.4000,9.6750,9.6000
Brown,2023,1,no meet title,Jan-15-2023,Yale,Sophia Dewar,9.7250,,,9.5750
Brown,2023,1,no meet title,Jan-15-2023,Yale,Umi El Mammann,9.7250,,,
Brown,2023,1,no meet title,Jan-15-2023,Yale,Asta-Sollilja Farrell,,9.8500,,
Brown,2023,1,no meet title,Jan-15-2023,Yale,Lauren Kramer,9.4250,,,7.4500
Brown,2023,1,no meet title,Jan-15-2023,Yale,Lauren Lazaro,,8.8500,9.7000,9.4750
Brown,2023,1,no meet title,Jan-15-2023,Yale,Liza Marcus,,,9.4750,
Brown,2023,1,no meet title,Jan-15-2023,Yale,Lauren Mckeown,,9.6750,9.1750,
Brown,2023,1,no meet title,Jan-15-2023,Yale,Ella Poley,,9.6750,,
Brown,2023,1,no meet title,Jan-15-2023,Yale,Carolanne Van Zandt,,,,8.8500
Brown,2023,1,no meet title,Jan-15-2023,Yale,Angela Xing,9.7000,,9.4750,
Brown,2023,2,no meet title,Jan-21-2023,Oregon State,Julia Bedell,9.7250,,,9.8250
Brown,2023,2,no meet title,Jan-21-2023,Oregon State,Abby Contello,9.8250,9.8000,9.6500,
Brown,2023,2,no meet title,Jan-21-2023,Oregon State,Maya Davis,,,9.3750,9.6000
Brown,2023,2,no meet title,Jan-21-2023,Oregon State,Sophia Dewar,9.7000,,,9.7000
Brown,2023,2,no meet title,Jan-21-2023,Oregon State,Umi El Mammann,9.7500,,,
Brown,2023,2,no meet title,Jan-21-2023,Oregon State,Asta-Sollilja Farrell,,9.7500,,
Brown,2023,2,no meet title,Jan-21-2023,Oregon State,Lauren Kramer,9.5750,,,8.9750
Brown,2023,2,no meet title,Jan-21-2023,Oregon State,Lauren Lazaro,,9.7250,9.5750,9.6250
Brown,2023,2,no meet title,Jan-21-2023,Oregon State,Liza Marcus,,,9.6750,
Brown,2023,2,no meet title,Jan-21-2023,Oregon State,Lauren Mckeown,,9.4000,9.1000,
Brown,2023,2,no meet title,Jan-21-2023,Oregon State,Ella Poley,,9.7000,,
Brown,2023,2,no meet title,Jan-21-2023,Oregon State,Paige Richter,,9.1000,,
Brown,2023,2,no meet title,Jan-21-2023,Oregon State,Carolanne Van Zandt,,,,9.7000
Brown,2023,2,no meet title,Jan-21-2023,Oregon State,Angela Xing,9.7250,,9.8000,
Brown,2023,3,no meet title,Jan-29-2023,Brown,Julia Bedell,9.8000,,,9.8250
Brown,2023,3,no meet title,Jan-29-2023,Brown,Abby Contello,9.7500,9.6750,9.7500,
Brown,2023,3,no meet title,Jan-29-2023,Brown,Maya Davis,,,,9.7000
Brown,2023,3,no meet title,Jan-29-2023,Brown,Sophia Dewar,9.6750,,,9.6750
Brown,2023,3,no meet title,Jan-29-2023,Brown,Umi El Mammann,7.0000,,,
Brown,2023,3,no meet title,Jan-29-2023,Brown,Asta-Sollilja Farrell,,9.7500,,
Brown,2023,3,no meet title,Jan-29-2023,Brown,Lauren Kramer,9.5750,,9.5250,
Brown,2023,3,no meet title,Jan-29-2023,Brown,Lauren Lazaro,,9.7000,9.5750,9.7500
Brown,2023,3,no meet title,Jan-29-2023,Brown,Liza Marcus,,,9.5750,
Brown,2023,3,no meet title,Jan-29-2023,Brown,Lauren Mckeown,,9.7250,9.4000,
Brown,2023,3,no meet title,Jan-29-2023,Brown,Ella Poley,,9.7000,,9.4250
Brown,2023,3,no meet title,Jan-29-2023,Brown,Paige Richter,,8.8500,,
Brown,2023,3,no meet title,Jan-29-2023,Brown,Carolanne Van Zandt,,,,9.7750
Brown,2023,3,no meet title,Jan-29-2023,Brown,Angela Xing,9.3750,,9.7500,
Brown,2023,4,no meet title,Feb-05-2023,Brown,Julia Bedell,9.7750,,,9.8000
Brown,2023,4,no meet title,Feb-05-2023,Brown,Abby Contello,9.7250,9.8000,9.7750,
Brown,2023,4,no meet title,Feb-05-2023,Brown,Maya Davis,,,9.8000,9.8000
Brown,2023,4,no meet title,Feb-05-2023,Brown,Sophia Dewar,9.5750,,,9.6250
Brown,2023,4,no meet title,Feb-05-2023,Brown,Asta-Sollilja Farrell,,9.7500,,
Brown,2023,4,no meet title,Feb-05-2023,Brown,Lauren Kramer,9.6500,,9.7750,
Brown,2023,4,no meet title,Feb-05-2023,Brown,Jasmine Lee,,9.6250,,
Brown,2023,4,no meet title,Feb-05-2023,Brown,Liza Marcus,,,9.7500,
Brown,2023,4,no meet title,Feb-05-2023,Brown,Lauren Mckeown,,9.7000,,
Brown,2023,4,no meet title,Feb-05-2023,Brown,Ella Poley,9.5250,9.7250,,9.6750
Brown,2023,4,no meet title,Feb-05-2023,Brown,Paige Richter,,9.7500,,
Brown,2023,4,no meet title,Feb-05-2023,Brown,Carolanne Van Zandt,,,,9.8750
Brown,2023,4,no meet title,Feb-05-2023,Brown,McKenna Weiner,,,8.8750,8.8000
Brown,2023,4,no meet title,Feb-05-2023,Brown,Angela Xing,9.6250,,9.8250,
Brown,2023,5,no meet title,Feb-12-2023,Brown,Julia Bedell,9.8250,,,9.9250
Brown,2023,5,no meet title,Feb-12-2023,Brown,Abby Contello,9.8000,9.7750,9.7000,
Brown,2023,5,no meet title,Feb-12-2023,Brown,Maya Davis,,,9.7000,9.8500
Brown,2023,5,no meet title,Feb-12-2023,Brown,Umi El Mammann,9.7750,,,9.6250
Brown,2023,5,no meet title,Feb-12-2023,Brown,Asta-Sollilja Farrell,,9.7250,,
Brown,2023,5,no meet title,Feb-12-2023,Brown,Lauren Kramer,9.7250,,9.5750,9.8250
Brown,2023,5,no meet title,Feb-12-2023,Brown,Jasmine Lee,,8.8000,,
Brown,2023,5,no meet title,Feb-12-2023,Brown,Liza Marcus,,,9.7250,
Brown,2023,5,no meet title,Feb-12-2023,Brown,Lauren Mckeown,,9.7500,8.9750,
Brown,2023,5,no meet title,Feb-12-2023,Brown,Ella Poley,9.5750,9.7500,,9.6250
Brown,2023,5,no meet title,Feb-12-2023,Brown,Paige Richter,,9.0000,,
Brown,2023,5,no meet title,Feb-12-2023,Brown,Carolanne Van Zandt,,,,9.7250
Brown,2023,5,no meet title,Feb-12-2023,Brown,Angela Xing,9.7250,,9.8250,
Brown,2023,6,no meet title,Feb-20-2023,LIU,Julia Bedell,9.7750,,,9.9000
Brown,2023,6,no meet title,Feb-20-2023,LIU,Abby Contello,9.7750,9.8250,9.8500,
Brown,2023,6,no meet title,Feb-20-2023,LIU,Maya Davis,,,9.2000,9.8250
Brown,2023,6,no meet title,Feb-20-2023,LIU,Sophia Dewar,9.7750,,,9.8000
Brown,2023,6,no meet title,Feb-20-2023,LIU,Umi El Mammann,9.7750,,,9.4500
Brown,2023,6,no meet title,Feb-20-2023,LIU,Asta-Sollilja Farrell,,8.9500,,
Brown,2023,6,no meet title,Feb-20-2023,LIU,Lauren Kramer,,,9.7250,
Brown,2023,6,no meet title,Feb-20-2023,LIU,Jasmine Lee,,9.7250,,
Brown,2023,6,no meet title,Feb-20-2023,LIU,Liza Marcus,,,9.7250,
Brown,2023,6,no meet title,Feb-20-2023,LIU,Lauren Mckeown,,9.7000,9.6500,
Brown,2023,6,no meet title,Feb-20-2023,LIU,Ella Poley,9.5250,9.7250,,9.7500
Brown,2023,6,no meet title,Feb-20-2023,LIU,Paige Richter,,8.3000,,
Brown,2023,6,no meet title,Feb-20-2023,LIU,Carolanne Van Zandt,,,,9.8500
Brown,2023,6,no meet title,Feb-20-2023,LIU,Angela Xing,9.7750,,9.2500,
Brown,2023,7,no meet title,Feb-26-2023,Brown,Julia Bedell,9.8500,,,9.9250
Brown,2023,7,no meet title,Feb-26-2023,Brown,Abby Contello,9.8000,9.8250,8.8750,
Brown,2023,7,no meet title,Feb-26-2023,Brown,Maya Davis,,9.7500,9.7750,9.7500
Brown,2023,7,no meet title,Feb-26-2023,Brown,Sophia Dewar,9.7500,,,9.7250
Brown,2023,7,no meet title,Feb-26-2023,Brown,Umi El Mammann,9.7000,,,
Brown,2023,7,no meet title,Feb-26-2023,Brown,Lauren Kramer,9.7750,,9.7250,9.6500
Brown,2023,7,no meet title,Feb-26-2023,Brown,Lauren Lazaro,,9.6750,,
Brown,2023,7,no meet title,Feb-26-2023,Brown,Jasmine Lee,,9.5750,,
Brown,2023,7,no meet title,Feb-26-2023,Brown,Liza Marcus,,,9.8250,
Brown,2023,7,no meet title,Feb-26-2023,Brown,Lauren Mckeown,,9.7000,9.7250,
Brown,2023,7,no meet title,Feb-26-2023,Brown,Ella Poley,9.7250,9.7500,,9.6000
Brown,2023,7,no meet title,Feb-26-2023,Brown,Carolanne Van Zandt,,,,9.8000
Brown,2023,7,no meet title,Feb-26-2023,Brown,Angela Xing,,,9.7000,
Brown,2023,8,no meet title,Mar-05-2023,Maryland,Julia Bedell,9.8000,,,9.5750
Brown,2023,8,no meet title,Mar-05-2023,Maryland,Abby Contello,9.7250,9.0500,9.8250,
Brown,2023,8,no meet title,Mar-05-2023,Maryland,Maya Davis,,,9.3000,9.8250
Brown,2023,8,no meet title,Mar-05-2023,Maryland,Sophia Dewar,,,,9.8250
Brown,2023,8,no meet title,Mar-05-2023,Maryland,Umi El Mammann,9.7250,,,9.6500
Brown,2023,8,no meet title,Mar-05-2023,Maryland,Asta-Sollilja Farrell,,9.8000,,
Brown,2023,8,no meet title,Mar-05-2023,Maryland,Lauren Kramer,9.6500,,9.7250,
Brown,2023,8,no meet title,Mar-05-2023,Maryland,Jasmine Lee,,9.6000,,
Brown,2023,8,no meet title,Mar-05-2023,Maryland,Liza Marcus,,,9.8000,
Brown,2023,8,no meet title,Mar-05-2023,Maryland,Lauren Mckeown,,9.7500,9.6000,
Brown,2023,8,no meet title,Mar-05-2023,Maryland,Ella Poley,9.7000,9.7000,,9.8000
Brown,2023,8,no meet title,Mar-05-2023,Maryland,Paige Richter,,9.7000,,
Brown,2023,8,no meet title,Mar-05-2023,Maryland,Carolanne Van Zandt,,,,9.1250
Brown,2023,8,no meet title,Mar-05-2023,Maryland,Angela Xing,9.0250,,9.8250,
Brown,2023,9,no meet title,Mar-12-2023,New Hampshire,Julia Bedell,9.8500,,,9.7500
Brown,2023,9,no meet title,Mar-12-2023,New Hampshire,Abby Contello,9.7750,9.7750,9.7750,
Brown,2023,9,no meet title,Mar-12-2023,New Hampshire,Maya Davis,,9.0750,9.0500,9.3000
Brown,2023,9,no meet title,Mar-12-2023,New Hampshire,Sophia Dewar,9.7000,,,9.7500
Brown,2023,9,no meet title,Mar-12-2023,New Hampshire,Umi El Mammann,9.5500,,,
Brown,2023,9,no meet title,Mar-12-2023,New Hampshire,Lauren Kramer,9.7250,,9.7750,9.7750
Brown,2023,9,no meet title,Mar-12-2023,New Hampshire,Jasmine Lee,,9.7250,,
Brown,2023,9,no meet title,Mar-12-2023,New Hampshire,Liza Marcus,,,9.8000,
Brown,2023,9,no meet title,Mar-12-2023,New Hampshire,Lauren Mckeown,,9.8000,9.1250,
Brown,2023,9,no meet title,Mar-12-2023,New Hampshire,Ella Poley,9.7000,9.8000,,9.5250
Brown,2023,9,no meet title,Mar-12-2023,New Hampshire,Paige Richter,,8.9750,,
Brown,2023,9,no meet title,Mar-12-2023,New Hampshire,Carolanne Van Zandt,,,,9.7000
Brown,2023,9,no meet title,Mar-12-2023,New Hampshire,Angela Xing,,,9.8500,
Brown,2023,10,GEC Conference,Mar-18-2023,William & Mary,Julia Bedell,9.8500,,,9.9500
Brown,2023,10,GEC Conference,Mar-18-2023,William & Mary,Abby Contello,9.6250,9.0750,9.8250,
Brown,2023,10,GEC Conference,Mar-18-2023,William & Mary,Maya Davis,,,9.1000,9.6750
Brown,2023,10,GEC Conference,Mar-18-2023,William & Mary,Sophia Dewar,9.7000,,,
Brown,2023,10,GEC Conference,Mar-18-2023,William & Mary,Umi El Mammann,9.4750,,,9.8250
Brown,2023,10,GEC Conference,Mar-18-2023,William & Mary,Asta-Sollilja Farrell,,9.4250,,
Brown,2023,10,GEC Conference,Mar-18-2023,William & Mary,Lauren Kramer,9.7500,,8.9750,9.8250
Brown,2023,10,GEC Conference,Mar-18-2023,William & Mary,Jasmine Lee,,9.7750,,
Brown,2023,10,GEC Conference,Mar-18-2023,William & Mary,Liza Marcus,,,9.8000,
Brown,2023,10,GEC Conference,Mar-18-2023,William & Mary,Lauren Mckeown,,9.7750,9.7250,
Brown,2023,10,GEC Conference,Mar-18-2023,William & Mary,Ella Poley,,9.7500,,9.8250
Brown,2023,10,GEC Conference,Mar-18-2023,William & Mary,Paige Richter,,9.8000,,
Brown,2023,10,GEC Conference,Mar-18-2023,William & Mary,Carolanne Van Zandt,,,,9.6500
Brown,2023,10,GEC Conference,Mar-18-2023,William & Mary,Angela Xing,9.7750,,8.3250,
Brown,2023,11,USAG Championships,Apr-06-2023,Texas Woman's,Julia Bedell,9.8250,,,9.8750
