team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
California,2025,1,American Gold Women's Collegiate Gymnastics Classic,Jan-04-2025,,Casey Brown,,9.6000,,
California,2025,1,American Gold Women's Collegiate Gymnastics Classic,Jan-04-2025,,Ella Cesario,9.7250,9.8500,9.8500,9.7750
California,2025,1,American Gold Women's Collegiate Gymnastics Classic,Jan-04-2025,,eMjae Frazier,9.7500,9.8250,9.7250,9.7250
California,2025,1,American Gold Women's Collegiate Gymnastics Classic,Jan-04-2025,,Jordan Kane,,,9.7500,9.8500
California,2025,1,American Gold Women's Collegiate Gymnastics Classic,Jan-04-2025,,Mya Lauzon,9.9000,9.8250,9.9000,9.9000
California,2025,1,American Gold Women's Collegiate Gymnastics Classic,Jan-04-2025,,Kyen Mayhew,9.7750,,9.7500,9.8000
California,2025,1,American Gold Women's Collegiate Gymnastics Classic,Jan-04-2025,,Mya Wiley,9.8000,9.7250,,
California,2025,1,American Gold Women's Collegiate Gymnastics Classic,Jan-04-2025,,Madelyn Williams,9.7000,9.9500,9.8500,9.6750
California,2025,2,Sprouts Farmers Market Collegiate Quad,Jan-11-2025,,Casey Brown,,9.8750,,
California,2025,2,Sprouts Farmers Market Collegiate Quad,Jan-11-2025,,Ella Cesario,9.8250,9.8500,9.8250,9.8500
California,2025,2,Sprouts Farmers Market Collegiate Quad,Jan-11-2025,,eMjae Frazier,9.9000,9.8250,9.9000,9.9250
California,2025,2,Sprouts Farmers Market Collegiate Quad,Jan-11-2025,,Jordan Kane,,,9.9000,9.8250
California,2025,2,Sprouts Farmers Market Collegiate Quad,Jan-11-2025,,CJ Keuneke,,,,9.8250
California,2025,2,Sprouts Farmers Market Collegiate Quad,Jan-11-2025,,Mya Lauzon,9.8250,9.9000,9.8250,9.9000
California,2025,2,Sprouts Farmers Market Collegiate Quad,Jan-11-2025,,Kyen Mayhew,9.9000,,9.7500,9.8500
California,2025,2,Sprouts Farmers Market Collegiate Quad,Jan-11-2025,,Mya Wiley,9.8250,9.0750,,
California,2025,2,Sprouts Farmers Market Collegiate Quad,Jan-11-2025,,Madelyn Williams,9.7500,9.8750,9.8750,
California,2025,3,no meet title,Jan-19-2025,UC Davis,Casey Brown,,9.9000,,
California,2025,3,no meet title,Jan-19-2025,UC Davis,Ella Cesario,9.7750,9.8250,9.9000,9.2000
California,2025,3,no meet title,Jan-19-2025,UC Davis,eMjae Frazier,9.8500,9.8750,9.8750,9.8000
California,2025,3,no meet title,Jan-19-2025,UC Davis,Jordan Kane,,,9.8250,9.8750
California,2025,3,no meet title,Jan-19-2025,UC Davis,CJ Keuneke,,,,
California,2025,3,no meet title,Jan-19-2025,UC Davis,Mya Lauzon,9.8750,9.7500,9.8750,9.9250
California,2025,3,no meet title,Jan-19-2025,UC Davis,Kyen Mayhew,9.7750,,9.8250,9.7750
California,2025,3,no meet title,Jan-19-2025,UC Davis,Jayden Silvers,,,,
California,2025,3,no meet title,Jan-19-2025,UC Davis,Mya Wiley,9.7500,9.7500,,
California,2025,3,no meet title,Jan-19-2025,UC Davis,Madelyn Williams,9.9000,9.8500,9.8500,9.8750
California,2025,4,no meet title,Jan-26-2025,California,Casey Brown,,9.8750,,
California,2025,4,no meet title,Jan-26-2025,California,Ella Cesario,9.9000,9.9250,9.8000,9.8500
California,2025,4,no meet title,Jan-26-2025,California,eMjae Frazier,9.7500,9.9000,9.8750,9.9000
California,2025,4,no meet title,Jan-26-2025,California,Jordan Kane,,7.7500,9.0000,
California,2025,4,no meet title,Jan-26-2025,California,CJ Keuneke,,,,9.9000
California,2025,4,no meet title,Jan-26-2025,California,Mya Lauzon,9.8250,9.8250,9.6500,9.9000
California,2025,4,no meet title,Jan-26-2025,California,Kyen Mayhew,9.8750,,9.7000,9.8750
California,2025,4,no meet title,Jan-26-2025,California,Jayden Silvers,9.6250,,,
California,2025,4,no meet title,Jan-26-2025,California,Madelyn Williams,9.8250,9.8750,9.8500,9.9000
California,2025,5,no meet title,Feb-02-2025,North Carolina State,Casey Brown,9.8000,9.8500,,
California,2025,5,no meet title,Feb-02-2025,North Carolina State,Ella Cesario,9.7250,9.8500,9.8250,9.8750
