team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Centenary College,2015,1,no meet title,Jan-10-2015,Centenary College,Jordan Anderson,,,8.7500,8.9750
Centenary College,2015,1,no meet title,Jan-10-2015,Centenary College,Megan Desjardins,,8.6500,9.6500,9.3250
Centenary College,2015,1,no meet title,Jan-10-2015,Centenary College,Casie Hood,,8.8000,,
Centenary College,2015,1,no meet title,Jan-10-2015,Centenary College,Sylvia Keiter,9.1750,,,9.6250
Centenary College,2015,1,no meet title,Jan-10-2015,Centenary College,Taylor Le Moal,8.4500,,,
Centenary College,2015,1,no meet title,Jan-10-2015,Centenary College,Saxon Reaux,,,8.6000,
Centenary College,2015,1,no meet title,Jan-10-2015,Centenary College,Allison Scates,9.5250,9.4500,9.5500,9.6000
Centenary College,2015,1,no meet title,Jan-10-2015,Centenary College,Kellie Slater,9.6750,,9.6000,9.5500
Centenary College,2015,1,no meet title,Jan-10-2015,Centenary College,Noel Stubbs,9.4750,8.6500,,
Centenary College,2015,1,no meet title,Jan-10-2015,Centenary College,Ashley White,9.6000,9.5500,9.6000,9.0750
Centenary College,2015,2,no meet title,Jan-18-2015,Illinois State,Jordan Anderson,,,,9.5500
Centenary College,2015,2,no meet title,Jan-18-2015,Illinois State,Megan Desjardins,,8.7500,9.4500,8.9500
Centenary College,2015,2,no meet title,Jan-18-2015,Illinois State,Casie Hood,,8.3000,,
Centenary College,2015,2,no meet title,Jan-18-2015,Illinois State,Sylvia Keiter,9.1250,9.5000,8.7000,8.8500
Centenary College,2015,2,no meet title,Jan-18-2015,Illinois State,Taylor Le Moal,9.0250,,,
Centenary College,2015,2,no meet title,Jan-18-2015,Illinois State,Saxon Reaux,,,9.4500,
Centenary College,2015,2,no meet title,Jan-18-2015,Illinois State,Allison Scates,8.9000,8.9000,,
Centenary College,2015,2,no meet title,Jan-18-2015,Illinois State,Kellie Slater,9.5750,,9.3500,9.6250
Centenary College,2015,2,no meet title,Jan-18-2015,Illinois State,Noel Stubbs,9.5250,8.5000,9.0500,
Centenary College,2015,2,no meet title,Jan-18-2015,Illinois State,Ashley White,9.6000,9.2750,9.4750,9.7250
Centenary College,2015,3,no meet title,Feb-01-2015,Texas Woman's,Jordan Anderson,,,,9.6500
Centenary College,2015,3,no meet title,Feb-01-2015,Texas Woman's,Megan Desjardins,,8.1000,9.7500,9.6000
Centenary College,2015,3,no meet title,Feb-01-2015,Texas Woman's,Casie Hood,,9.0500,,
Centenary College,2015,3,no meet title,Feb-01-2015,Texas Woman's,Sylvia Keiter,9.3250,9.6500,9.6250,9.6500
Centenary College,2015,3,no meet title,Feb-01-2015,Texas Woman's,Taylor Le Moal,8.7000,,,
Centenary College,2015,3,no meet title,Feb-01-2015,Texas Woman's,Saxon Reaux,,,9.0750,9.5000
Centenary College,2015,3,no meet title,Feb-01-2015,Texas Woman's,Allison Scates,9.2500,9.5500,8.6500,9.5500
Centenary College,2015,3,no meet title,Feb-01-2015,Texas Woman's,Kellie Slater,9.6500,,9.5500,
Centenary College,2015,3,no meet title,Feb-01-2015,Texas Woman's,Noel Stubbs,9.1750,9.5750,,
Centenary College,2015,3,no meet title,Feb-01-2015,Texas Woman's,Ashley White,9.6000,9.0250,9.1500,9.6750
Centenary College,2015,4,no meet title,Feb-06-2015,Centenary College,Jordan Anderson,,,,9.6750
Centenary College,2015,4,no meet title,Feb-06-2015,Centenary College,Megan Desjardins,,8.6000,9.6500,9.4000
Centenary College,2015,4,no meet title,Feb-06-2015,Centenary College,Casie Hood,,8.6250,,
Centenary College,2015,4,no meet title,Feb-06-2015,Centenary College,Sylvia Keiter,9.3000,9.4000,9.7000,9.1250
Centenary College,2015,4,no meet title,Feb-06-2015,Centenary College,Taylor Le Moal,9.3500,,,
Centenary College,2015,4,no meet title,Feb-06-2015,Centenary College,Saxon Reaux,,,9.7000,
Centenary College,2015,4,no meet title,Feb-06-2015,Centenary College,Allison Scates,9.5250,9.5250,,9.6750
Centenary College,2015,4,no meet title,Feb-06-2015,Centenary College,Kellie Slater,9.6000,,9.7500,9.7000
Centenary College,2015,4,no meet title,Feb-06-2015,Centenary College,Noel Stubbs,9.7000,8.5750,9.4000,
Centenary College,2015,4,no meet title,Feb-06-2015,Centenary College,Ashley White,9.7250,9.6500,9.6750,9.7000
Centenary College,2015,5,no meet title,Feb-08-2015,Iowa State,Jordan Anderson,,,,7.9500
Centenary College,2015,5,no meet title,Feb-08-2015,Iowa State,Megan Desjardins,,9.1500,9.2750,9.3000
Centenary College,2015,5,no meet title,Feb-08-2015,Iowa State,Casie Hood,,8.7500,,
Centenary College,2015,5,no meet title,Feb-08-2015,Iowa State,Sylvia Keiter,8.4000,8.6000,,
Centenary College,2015,5,no meet title,Feb-08-2015,Iowa State,Taylor Le Moal,9.1750,,,
Centenary College,2015,5,no meet title,Feb-08-2015,Iowa State,Saxon Reaux,,,8.7500,9.4000
Centenary College,2015,5,no meet title,Feb-08-2015,Iowa State,Allison Scates,9.5250,9.6500,9.2750,9.5000
Centenary College,2015,5,no meet title,Feb-08-2015,Iowa State,Kellie Slater,9.5250,,9.1250,9.4750
Centenary College,2015,5,no meet title,Feb-08-2015,Iowa State,Noel Stubbs,9.6250,9.5000,9.3000,
Centenary College,2015,5,no meet title,Feb-08-2015,Iowa State,Ashley White,9.5000,9.5750,9.0750,9.5500
Centenary College,2015,6,no meet title,Feb-13-2015,Lindenwood,Jordan Anderson,,,,7.3500
Centenary College,2015,6,no meet title,Feb-13-2015,Lindenwood,Megan Desjardins,,8.7500,9.6500,9.3250
Centenary College,2015,6,no meet title,Feb-13-2015,Lindenwood,Casie Hood,,9.1500,,
Centenary College,2015,6,no meet title,Feb-13-2015,Lindenwood,Natalie Humbert,,,9.5250,
Centenary College,2015,6,no meet title,Feb-13-2015,Lindenwood,Sylvia Keiter,9.1500,9.5000,8.7000,8.9000
Centenary College,2015,6,no meet title,Feb-13-2015,Lindenwood,Taylor Le Moal,9.2750,,,
Centenary College,2015,6,no meet title,Feb-13-2015,Lindenwood,Saxon Reaux,,,9.1250,9.6000
Centenary College,2015,6,no meet title,Feb-13-2015,Lindenwood,Allison Scates,9.4250,9.4500,,9.6000
Centenary College,2015,6,no meet title,Feb-13-2015,Lindenwood,Noel Stubbs,9.7250,9.3750,9.0000,
Centenary College,2015,6,no meet title,Feb-13-2015,Lindenwood,Ashley White,9.7750,9.4500,9.6000,9.5250
Centenary College,2015,7,no meet title,Feb-21-2015,Texas Woman's,Megan Desjardins,,9.0500,9.7000,9.5500
Centenary College,2015,7,no meet title,Feb-21-2015,Texas Woman's,Casie Hood,,8.8000,,
Centenary College,2015,7,no meet title,Feb-21-2015,Texas Woman's,Natalie Humbert,,,7.9500,
Centenary College,2015,7,no meet title,Feb-21-2015,Texas Woman's,Sylvia Keiter,,8.8000,8.9500,9.6250
Centenary College,2015,7,no meet title,Feb-21-2015,Texas Woman's,Taylor Le Moal,9.3250,,,
Centenary College,2015,7,no meet title,Feb-21-2015,Texas Woman's,Saxon Reaux,,,,9.6500
Centenary College,2015,7,no meet title,Feb-21-2015,Texas Woman's,Allison Scates,9.6250,9.6750,9.5750,8.9500
Centenary College,2015,7,no meet title,Feb-21-2015,Texas Woman's,Kellie Slater,9.6500,,,9.7500
Centenary College,2015,7,no meet title,Feb-21-2015,Texas Woman's,Noel Stubbs,9.7250,9.1500,9.0250,
