team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Central Michigan,2020,1,no meet title,Jan-11-2020,Michigan State,Sierra Demarinis,9.7750,,9.7750,9.5250
Central Michigan,2020,1,no meet title,Jan-11-2020,Michigan State,Hannah Demers,9.8500,9.9000,9.2000,9.7750
Central Michigan,2020,1,no meet title,Jan-11-2020,Michigan State,Brenna Hauser,,9.8000,,
Central Michigan,2020,1,no meet title,Jan-11-2020,Michigan State,Kennedy Rae Johnson,9.7500,9.7750,,9.5250
Central Michigan,2020,1,no meet title,Jan-11-2020,Michigan State,Savana Kotas,,9.7500,,
Central Michigan,2020,1,no meet title,Jan-11-2020,Michigan State,Mackenzie  Parker,,,9.8250,
Central Michigan,2020,1,no meet title,Jan-11-2020,Michigan State,Denelle Pedrick,9.8250,9.8750,9.7500,9.8750
Central Michigan,2020,1,no meet title,Jan-11-2020,Michigan State,Christie Tini,,,9.6750,
Central Michigan,2020,1,no meet title,Jan-11-2020,Michigan State,Morgan Tong,9.7250,,9.8750,9.8250
Central Michigan,2020,1,no meet title,Jan-11-2020,Michigan State,Ashley Veglucci,,9.1000,,9.7500
Central Michigan,2020,1,no meet title,Jan-11-2020,Michigan State,Sydney Williams,9.4750,,,
Central Michigan,2020,2,no meet title,Jan-19-2020,Eastern Michigan,Sierra Demarinis,9.7750,8.9250,9.7000,9.6750
Central Michigan,2020,2,no meet title,Jan-19-2020,Eastern Michigan,Hannah Demers,9.9000,9.7750,9.7500,9.7500
Central Michigan,2020,2,no meet title,Jan-19-2020,Eastern Michigan,Brenna Hauser,,9.7000,,
Central Michigan,2020,2,no meet title,Jan-19-2020,Eastern Michigan,Kennedy Rae Johnson,9.8000,9.7500,,9.7500
Central Michigan,2020,2,no meet title,Jan-19-2020,Eastern Michigan,Savana Kotas,,9.1500,,
Central Michigan,2020,2,no meet title,Jan-19-2020,Eastern Michigan,Mackenzie  Parker,,,9.7250,
Central Michigan,2020,2,no meet title,Jan-19-2020,Eastern Michigan,Denelle Pedrick,9.8000,9.8500,9.8750,9.8750
Central Michigan,2020,2,no meet title,Jan-19-2020,Eastern Michigan,Taylor Pitchell,9.5500,,,9.6750
Central Michigan,2020,2,no meet title,Jan-19-2020,Eastern Michigan,Christie Tini,,,9.7500,
Central Michigan,2020,2,no meet title,Jan-19-2020,Eastern Michigan,Morgan Tong,,,9.9000,
