team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Clemson,2024,1,no meet title,Jan-12-2024,Clemson,Molly Arnold,9.7750,,,9.8750
Clemson,2024,1,no meet title,Jan-12-2024,Clemson,Trinity Brown,9.8000,9.8000,,
Clemson,2024,1,no meet title,Jan-12-2024,Clemson,Brie Clark,,,9.8500,9.9000
Clemson,2024,1,no meet title,Jan-12-2024,Clemson,Kaitlin DeGuzman,,9.8750,,
Clemson,2024,1,no meet title,Jan-12-2024,Clemson,Maggie Holman,,,,9.8250
Clemson,2024,1,no meet title,Jan-12-2024,Clemson,Eve Jackson,9.7500,9.8250,9.7750,
Clemson,2024,1,no meet title,Jan-12-2024,Clemson,Quinn Kuhl,,,9.7000,
Clemson,2024,1,no meet title,Jan-12-2024,Clemson,Lilly Lippeatt,,9.9000,9.7500,9.8250
Clemson,2024,1,no meet title,Jan-12-2024,Clemson,Kielyn McCright,,,9.6750,
Clemson,2024,1,no meet title,Jan-12-2024,Clemson,Madison Minner,9.6000,,,
Clemson,2024,1,no meet title,Jan-12-2024,Clemson,Lauren Rutherford,9.8250,9.8250,,9.8500
Clemson,2024,1,no meet title,Jan-12-2024,Clemson,Rebecca Wells,9.7250,9.8000,9.8750,9.1500
Clemson,2024,2,no meet title,Jan-21-2024,Clemson,Molly Arnold,9.8000,,,9.8750
Clemson,2024,2,no meet title,Jan-21-2024,Clemson,Trinity Brown,9.9000,9.6500,,9.8000
Clemson,2024,2,no meet title,Jan-21-2024,Clemson,Brie Clark,,,9.2000,9.9250
Clemson,2024,2,no meet title,Jan-21-2024,Clemson,Kaitlin DeGuzman,,9.8000,,
Clemson,2024,2,no meet title,Jan-21-2024,Clemson,Eve Jackson,9.8000,9.8250,9.6750,
Clemson,2024,2,no meet title,Jan-21-2024,Clemson,Quinn Kuhl,,,9.4750,
Clemson,2024,2,no meet title,Jan-21-2024,Clemson,Lilly Lippeatt,,9.8000,9.8500,9.8750
Clemson,2024,2,no meet title,Jan-21-2024,Clemson,Kielyn McCright,,,9.9000,
Clemson,2024,2,no meet title,Jan-21-2024,Clemson,Madison Minner,9.8000,,,
Clemson,2024,2,no meet title,Jan-21-2024,Clemson,Lauren Rutherford,9.8500,9.7500,,9.9000
Clemson,2024,2,no meet title,Jan-21-2024,Clemson,Rebecca Wells,9.7250,9.7500,9.8500,9.8000
Clemson,2024,3,no meet title,Jan-26-2024,North Carolina,Molly Arnold,9.7750,,,9.8750
