team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Cornell,2024,1,no meet title,Jan-14-2024,George Washington,Sydney Beers,9.7500,9.6250,9.2250,9.7500
Cornell,2024,1,no meet title,Jan-14-2024,George Washington,Mikayla Burton,,,9.8250,
Cornell,2024,1,no meet title,Jan-14-2024,George Washington,Avery Byun,9.4500,,,
Cornell,2024,1,no meet title,Jan-14-2024,George Washington,Michaela Defranscisco,9.6000,,,
Cornell,2024,1,no meet title,Jan-14-2024,George Washington,Victoria McMillan,9.3750,,,
Cornell,2024,1,no meet title,Jan-14-2024,George Washington,Kate Michelini,,,,9.6750
Cornell,2024,1,no meet title,Jan-14-2024,George Washington,Josie Moylan,,,,9.7500
Cornell,2024,1,no meet title,Jan-14-2024,George Washington,Alexandra Quiana,,,9.8000,9.7500
Cornell,2024,1,no meet title,Jan-14-2024,George Washington,Addy Rothstein,9.2750,9.5000,,
Cornell,2024,1,no meet title,Jan-14-2024,George Washington,Maddie Sakalosky,,9.5000,,
Cornell,2024,1,no meet title,Jan-14-2024,George Washington,Morgen Shambo,,9.0750,,
Cornell,2024,1,no meet title,Jan-14-2024,George Washington,Melanie Stone,,9.5750,9.7250,8.9000
Cornell,2024,1,no meet title,Jan-14-2024,George Washington,Natalia Tehrani,,,9.8500,
Cornell,2024,1,no meet title,Jan-14-2024,George Washington,Caitlyn Walsh,,,,9.8500
Cornell,2024,1,no meet title,Jan-14-2024,George Washington,Regina Walton,,9.4000,9.8250,
Cornell,2024,1,no meet title,Jan-14-2024,George Washington,Cami Whitaker,8.8750,,,
Cornell,2024,2,no meet title,Jan-21-2024,Cornell,Sydney Beers,9.8000,9.7000,9.7500,9.9000
Cornell,2024,2,no meet title,Jan-21-2024,Cornell,Mikayla Burton,,,9.8000,
Cornell,2024,2,no meet title,Jan-21-2024,Cornell,Avery Byun,8.8000,,,9.3000
Cornell,2024,2,no meet title,Jan-21-2024,Cornell,Michaela Defranscisco,9.5000,,,
Cornell,2024,2,no meet title,Jan-21-2024,Cornell,Savanna Kokaly,8.3750,,8.7500,
Cornell,2024,2,no meet title,Jan-21-2024,Cornell,Kate Michelini,,,9.8750,
Cornell,2024,2,no meet title,Jan-21-2024,Cornell,Josie Moylan,,,,9.1250
Cornell,2024,2,no meet title,Jan-21-2024,Cornell,Alexandra Quiana,,,9.3250,9.8250
Cornell,2024,2,no meet title,Jan-21-2024,Cornell,Addy Rothstein,9.6500,9.5750,,
Cornell,2024,2,no meet title,Jan-21-2024,Cornell,Maddie Sakalosky,,8.9000,,
Cornell,2024,2,no meet title,Jan-21-2024,Cornell,Morgen Shambo,,8.8000,,
Cornell,2024,2,no meet title,Jan-21-2024,Cornell,Melanie Stone,,8.7000,,
Cornell,2024,2,no meet title,Jan-21-2024,Cornell,Caitlyn Walsh,,,,9.7250
Cornell,2024,2,no meet title,Jan-21-2024,Cornell,Regina Walton,,9.4250,9.7750,
Cornell,2024,2,no meet title,Jan-21-2024,Cornell,Cami Whitaker,9.7000,,,9.7000
Cornell,2024,3,no meet title,Jan-26-2024,Towson,Sydney Beers,9.8500,9.5500,9.6500,9.8000
Cornell,2024,3,no meet title,Jan-26-2024,Towson,Mikayla Burton,,,9.8250,
Cornell,2024,3,no meet title,Jan-26-2024,Towson,Avery Byun,9.8000,,,8.8500
Cornell,2024,3,no meet title,Jan-26-2024,Towson,Michaela Defranscisco,9.7500,,,
Cornell,2024,3,no meet title,Jan-26-2024,Towson,Kate Michelini,9.5000,,9.6250,9.5750
Cornell,2024,3,no meet title,Jan-26-2024,Towson,Josie Moylan,,9.6000,,9.8750
Cornell,2024,3,no meet title,Jan-26-2024,Towson,Alexandra Quiana,,,9.1000,9.8000
Cornell,2024,3,no meet title,Jan-26-2024,Towson,Addy Rothstein,9.5500,9.5750,,
Cornell,2024,3,no meet title,Jan-26-2024,Towson,Maddie Sakalosky,,,,
Cornell,2024,3,no meet title,Jan-26-2024,Towson,Morgen Shambo,,8.5000,,
Cornell,2024,3,no meet title,Jan-26-2024,Towson,Melanie Stone,,9.7250,,
