team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Cortland State,2017,1,no meet title,Jan-10-2017,Cortland State,Meghan Cobb,9.4500,9.3750,,
Cortland State,2017,1,no meet title,Jan-10-2017,Cortland State,Mia  Dimartino,,9.0750,8.4500,8.9750
Cortland State,2017,1,no meet title,Jan-10-2017,Cortland State,Rachel Filipski,9.7000,7.9500,8.6500,9.6500
Cortland State,2017,1,no meet title,Jan-10-2017,Cortland State,Bailey Gildemeyer,9.1750,,9.3750,9.0500
Cortland State,2017,1,no meet title,Jan-10-2017,Cortland State,Sidney McConnell,9.5000,8.5500,,
Cortland State,2017,1,no meet title,Jan-10-2017,Cortland State,McKenna Passalacqua,9.4500,,,9.2000
Cortland State,2017,1,no meet title,Jan-10-2017,Cortland State,Lindsay Riggs,,,8.0000,
Cortland State,2017,1,no meet title,Jan-10-2017,Cortland State,Michaela Stumpf,9.4250,9.3250,,
Cortland State,2017,1,no meet title,Jan-10-2017,Cortland State,Tara Sweeney,,,9.1500,
Cortland State,2017,1,no meet title,Jan-10-2017,Cortland State,Lily Szafranski,,,8.4250,9.4250
Cortland State,2017,1,no meet title,Jan-10-2017,Cortland State,Arianna Turso,,9.1500,,9.3750
Cortland State,2017,2,no meet title,Jan-15-2017,Southern Conn.,Meghan Cobb,8.8000,9.1250,,
Cortland State,2017,2,no meet title,Jan-15-2017,Southern Conn.,Mia  Dimartino,,8.3750,8.5250,8.9250
Cortland State,2017,2,no meet title,Jan-15-2017,Southern Conn.,Rachel Filipski,9.0250,7.9750,8.4500,9.3500
Cortland State,2017,2,no meet title,Jan-15-2017,Southern Conn.,Bailey Gildemeyer,9.2000,,9.5000,9.3750
Cortland State,2017,2,no meet title,Jan-15-2017,Southern Conn.,Sidney McConnell,9.3000,8.5000,,
Cortland State,2017,2,no meet title,Jan-15-2017,Southern Conn.,McKenna Passalacqua,9.0500,,9.3500,8.4500
Cortland State,2017,2,no meet title,Jan-15-2017,Southern Conn.,Michaela Stumpf,9.3500,8.1500,,
Cortland State,2017,2,no meet title,Jan-15-2017,Southern Conn.,Tara Sweeney,,,8.3000,
Cortland State,2017,2,no meet title,Jan-15-2017,Southern Conn.,Lily Szafranski,,,8.1000,8.9750
Cortland State,2017,2,no meet title,Jan-15-2017,Southern Conn.,Arianna Turso,,9.2250,,9.0000
Cortland State,2017,3,no meet title,Jan-21-2017,Cornell,Meghan Cobb,,9.3500,,
Cortland State,2017,3,no meet title,Jan-21-2017,Cornell,Mia  Dimartino,,8.8500,9.1500,9.2000
Cortland State,2017,3,no meet title,Jan-21-2017,Cornell,Rachel Filipski,9.6500,8.0500,8.8500,9.4500
Cortland State,2017,3,no meet title,Jan-21-2017,Cornell,Bailey Gildemeyer,9.1000,,9.1000,9.4000
Cortland State,2017,3,no meet title,Jan-21-2017,Cornell,Sidney McConnell,9.4500,8.4750,,
Cortland State,2017,3,no meet title,Jan-21-2017,Cornell,McKenna Passalacqua,9.2750,,9.3750,8.7750
Cortland State,2017,3,no meet title,Jan-21-2017,Cornell,Michaela Stumpf,8.9500,9.1000,,
Cortland State,2017,3,no meet title,Jan-21-2017,Cornell,Tara Sweeney,,,9.5750,
Cortland State,2017,3,no meet title,Jan-21-2017,Cornell,Lily Szafranski,9.6750,,8.8000,9.1000
Cortland State,2017,3,no meet title,Jan-21-2017,Cornell,Arianna Turso,,9.2250,,9.2750
Cortland State,2017,4,no meet title,Feb-05-2017,Cortland State,Meghan Cobb,,9.5250,,
Cortland State,2017,4,no meet title,Feb-05-2017,Cortland State,Mia  Dimartino,,8.8500,9.1000,9.3500
Cortland State,2017,4,no meet title,Feb-05-2017,Cortland State,Rachel Filipski,9.6500,7.8500,,9.5000
Cortland State,2017,4,no meet title,Feb-05-2017,Cortland State,Bailey Gildemeyer,9.4250,,8.9750,9.6750
Cortland State,2017,4,no meet title,Feb-05-2017,Cortland State,Sidney McConnell,9.4750,9.5750,,
Cortland State,2017,4,no meet title,Feb-05-2017,Cortland State,McKenna Passalacqua,9.3750,,9.5250,9.6500
Cortland State,2017,4,no meet title,Feb-05-2017,Cortland State,Lindsay Riggs,,,9.5250,
Cortland State,2017,4,no meet title,Feb-05-2017,Cortland State,Michaela Stumpf,9.4000,9.2000,,
Cortland State,2017,4,no meet title,Feb-05-2017,Cortland State,Lily Szafranski,9.5750,,9.1500,9.4500
