team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Denver,2025,1,no meet title,Jan-05-2025,Denver,Mila Brusch,9.8000,,,9.8500
Denver,2025,1,no meet title,Jan-05-2025,Denver,Rosie Casali,,9.8750,9.0000,
Denver,2025,1,no meet title,Jan-05-2025,Denver,Cecilia Cooley,,9.8500,9.8000,9.8750
Denver,2025,1,no meet title,Jan-05-2025,Denver,Amanda Hargraves,9.6000,,,
Denver,2025,1,no meet title,Jan-05-2025,Denver,Mia Hebinck,,9.9000,,
Denver,2025,1,no meet title,Jan-05-2025,Denver,Momoko Iwai,,9.8750,9.2500,9.8250
Denver,2025,1,no meet title,Jan-05-2025,Denver,Bella Mabanta,9.7500,,9.8500,8.9750
Denver,2025,1,no meet title,Jan-05-2025,Denver,Rylie Mundell,9.8750,9.9000,9.2250,9.8500
Denver,2025,1,no meet title,Jan-05-2025,Denver,Maddison Reidenbach,9.8500,,,
Denver,2025,1,no meet title,Jan-05-2025,Denver,Madison Ulrich,9.7500,9.9000,9.8500,9.8500
Denver,2025,2,no meet title,Jan-12-2025,Denver,Mila Brusch,9.8500,,,9.8500
Denver,2025,2,no meet title,Jan-12-2025,Denver,Rosie Casali,9.8500,9.8250,,
Denver,2025,2,no meet title,Jan-12-2025,Denver,Cecilia Cooley,,9.8000,9.8500,9.9000
Denver,2025,2,no meet title,Jan-12-2025,Denver,Mia Hebinck,,9.7500,,
Denver,2025,2,no meet title,Jan-12-2025,Denver,Momoko Iwai,,9.8000,9.9000,9.8000
Denver,2025,2,no meet title,Jan-12-2025,Denver,Bella Mabanta,9.8250,,9.7500,8.7750
Denver,2025,2,no meet title,Jan-12-2025,Denver,Rylie Mundell,9.8750,9.9000,9.8250,9.6750
Denver,2025,2,no meet title,Jan-12-2025,Denver,Maddison Reidenbach,9.8500,,,
Denver,2025,2,no meet title,Jan-12-2025,Denver,Abbie Thompson,,,9.8000,
Denver,2025,2,no meet title,Jan-12-2025,Denver,Madison Ulrich,9.8000,9.8750,9.3500,9.7750
Denver,2025,3,no meet title,Jan-20-2025,Arkansas,Mila Brusch,9.9000,,,9.7250
Denver,2025,3,no meet title,Jan-20-2025,Arkansas,Rosie Casali,9.6750,9.7250,,
Denver,2025,3,no meet title,Jan-20-2025,Arkansas,Cecilia Cooley,,9.7750,9.7750,9.8000
Denver,2025,3,no meet title,Jan-20-2025,Arkansas,Amanda Hargraves,9.8000,,,
Denver,2025,3,no meet title,Jan-20-2025,Arkansas,Mia Hebinck,,9.8500,,
Denver,2025,3,no meet title,Jan-20-2025,Arkansas,Momoko Iwai,,,9.8500,
Denver,2025,3,no meet title,Jan-20-2025,Arkansas,Bella Mabanta,,,9.9250,
Denver,2025,3,no meet title,Jan-20-2025,Arkansas,Rylie Mundell,9.5250,9.8250,9.7750,9.8500
Denver,2025,3,no meet title,Jan-20-2025,Arkansas,Maddison Reidenbach,9.8000,,,9.8000
Denver,2025,3,no meet title,Jan-20-2025,Arkansas,Kiley Rorich,,9.8250,,9.8000
Denver,2025,3,no meet title,Jan-20-2025,Arkansas,Abbie Thompson,,,9.6750,
Denver,2025,3,no meet title,Jan-20-2025,Arkansas,Madison Ulrich,9.8000,9.8250,9.8250,9.8500
Denver,2025,4,no meet title,Jan-26-2025,Denver,Mila Brusch,9.8000,,,9.9000
Denver,2025,4,no meet title,Jan-26-2025,Denver,Rosie Casali,9.8750,9.8500,,
Denver,2025,4,no meet title,Jan-26-2025,Denver,Cecilia Cooley,,9.8500,9.6250,9.8750
Denver,2025,4,no meet title,Jan-26-2025,Denver,Mia Hebinck,,9.2750,,
Denver,2025,4,no meet title,Jan-26-2025,Denver,Momoko Iwai,,,9.4750,
Denver,2025,4,no meet title,Jan-26-2025,Denver,Bella Mabanta,9.7750,,9.6750,
Denver,2025,4,no meet title,Jan-26-2025,Denver,Rylie Mundell,9.8750,9.7750,9.6750,9.8750
Denver,2025,4,no meet title,Jan-26-2025,Denver,Maddison Reidenbach,9.8750,,,9.7000
Denver,2025,4,no meet title,Jan-26-2025,Denver,Kiley Rorich,,9.9000,,9.8250
Denver,2025,4,no meet title,Jan-26-2025,Denver,Abbie Thompson,,,9.8000,
Denver,2025,4,no meet title,Jan-26-2025,Denver,Madison Ulrich,9.8000,9.8500,9.1750,9.8000
Denver,2025,5,no meet title,Jan-31-2025,Arizona,Mila Brusch,9.8250,,,8.8250
Denver,2025,5,no meet title,Jan-31-2025,Arizona,Rosie Casali,9.2750,9.6500,,
Denver,2025,5,no meet title,Jan-31-2025,Arizona,Cecilia Cooley,,9.8500,9.8250,9.8250
Denver,2025,5,no meet title,Jan-31-2025,Arizona,Mia Hebinck,,9.8250,,
Denver,2025,5,no meet title,Jan-31-2025,Arizona,Momoko Iwai,,,9.8500,
Denver,2025,5,no meet title,Jan-31-2025,Arizona,Bella Mabanta,9.8750,,9.1000,9.6250
