team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Eastern Michigan,2025,1,no meet title,Jan-12-2025,Eastern Michigan,Raisa Boris,9.6500,9.8250,9.7250,9.8750
Eastern Michigan,2025,1,no meet title,Jan-12-2025,Eastern Michigan,Abby Brushwood,9.7500,,,9.1000
Eastern Michigan,2025,1,no meet title,Jan-12-2025,Eastern Michigan,Gwendelyn Cantu,9.7500,,,
Eastern Michigan,2025,1,no meet title,Jan-12-2025,Eastern Michigan,Ella Chemotti,,9.8000,9.6500,9.7000
Eastern Michigan,2025,1,no meet title,Jan-12-2025,Eastern Michigan,Katin Childress,,,9.7250,
Eastern Michigan,2025,1,no meet title,Jan-12-2025,Eastern Michigan,Genae Daniel,9.8250,,,
Eastern Michigan,2025,1,no meet title,Jan-12-2025,Eastern Michigan,Alana Fisher,9.8000,,9.2000,9.6750
Eastern Michigan,2025,1,no meet title,Jan-12-2025,Eastern Michigan,Priya Karle,,,,9.7750
Eastern Michigan,2025,1,no meet title,Jan-12-2025,Eastern Michigan,Keeley Kohler,,9.6500,,
Eastern Michigan,2025,1,no meet title,Jan-12-2025,Eastern Michigan,Kyrie Lowe,,9.7250,9.7500,9.6500
Eastern Michigan,2025,1,no meet title,Jan-12-2025,Eastern Michigan,Analiah Solorio,,9.8000,9.7500,
Eastern Michigan,2025,1,no meet title,Jan-12-2025,Eastern Michigan,Jaelyn Stetz,9.7250,9.5000,,
Eastern Michigan,2025,2,no meet title,Jan-17-2025,Eastern Michigan,Raisa Boris,9.6750,9.8250,9.8250,9.8000
Eastern Michigan,2025,2,no meet title,Jan-17-2025,Eastern Michigan,Abby Brushwood,9.7750,,,9.8500
Eastern Michigan,2025,2,no meet title,Jan-17-2025,Eastern Michigan,Gwendelyn Cantu,9.6500,,,
Eastern Michigan,2025,2,no meet title,Jan-17-2025,Eastern Michigan,Ella Chemotti,,9.7250,9.7750,9.6500
Eastern Michigan,2025,2,no meet title,Jan-17-2025,Eastern Michigan,Katin Childress,,,9.7500,
Eastern Michigan,2025,2,no meet title,Jan-17-2025,Eastern Michigan,Genae Daniel,9.7000,,,
Eastern Michigan,2025,2,no meet title,Jan-17-2025,Eastern Michigan,Alana Fisher,9.7500,,9.7250,9.7000
Eastern Michigan,2025,2,no meet title,Jan-17-2025,Eastern Michigan,Priya Karle,,,,9.8500
Eastern Michigan,2025,2,no meet title,Jan-17-2025,Eastern Michigan,Keeley Kohler,,9.7500,,
Eastern Michigan,2025,2,no meet title,Jan-17-2025,Eastern Michigan,Kyrie Lowe,,9.8500,9.7000,9.7750
Eastern Michigan,2025,2,no meet title,Jan-17-2025,Eastern Michigan,Analiah Solorio,,9.6750,9.1000,
Eastern Michigan,2025,2,no meet title,Jan-17-2025,Eastern Michigan,Jaelyn Stetz,9.6000,8.5500,,
Eastern Michigan,2025,3,no meet title,Jan-26-2025,Eastern Michigan,Raisa Boris,9.7500,9.7250,9.8250,9.8750
Eastern Michigan,2025,3,no meet title,Jan-26-2025,Eastern Michigan,Abby Brushwood,9.7000,,,9.8000
Eastern Michigan,2025,3,no meet title,Jan-26-2025,Eastern Michigan,Gwendelyn Cantu,9.7500,9.3250,,
Eastern Michigan,2025,3,no meet title,Jan-26-2025,Eastern Michigan,Ella Chemotti,,9.5000,9.8500,9.4250
Eastern Michigan,2025,3,no meet title,Jan-26-2025,Eastern Michigan,Katin Childress,,,9.7000,
Eastern Michigan,2025,3,no meet title,Jan-26-2025,Eastern Michigan,Genae Daniel,9.6750,,,
Eastern Michigan,2025,3,no meet title,Jan-26-2025,Eastern Michigan,Alana Fisher,9.7000,,9.7250,9.8000
Eastern Michigan,2025,3,no meet title,Jan-26-2025,Eastern Michigan,Priya Karle,,,,9.7750
Eastern Michigan,2025,3,no meet title,Jan-26-2025,Eastern Michigan,Keeley Kohler,,9.7250,,
Eastern Michigan,2025,3,no meet title,Jan-26-2025,Eastern Michigan,Kyrie Lowe,,9.8250,9.8250,9.4750
Eastern Michigan,2025,3,no meet title,Jan-26-2025,Eastern Michigan,Analiah Solorio,,,9.7000,
Eastern Michigan,2025,3,no meet title,Jan-26-2025,Eastern Michigan,Jaelyn Stetz,9.7000,9.5000,,
Eastern Michigan,2025,4,no meet title,Feb-02-2025,Northern Illinois,Raisa Boris,9.5750,9.7500,9.8500,9.6000
Eastern Michigan,2025,4,no meet title,Feb-02-2025,Northern Illinois,Abby Brushwood,9.6750,,,9.8500
Eastern Michigan,2025,4,no meet title,Feb-02-2025,Northern Illinois,Gwendelyn Cantu,9.6000,,,
Eastern Michigan,2025,4,no meet title,Feb-02-2025,Northern Illinois,Ella Chemotti,,8.9250,9.7750,9.7000
Eastern Michigan,2025,4,no meet title,Feb-02-2025,Northern Illinois,Katin Childress,,,9.5500,
Eastern Michigan,2025,4,no meet title,Feb-02-2025,Northern Illinois,Genae Daniel,9.5000,,,
Eastern Michigan,2025,4,no meet title,Feb-02-2025,Northern Illinois,Sanai Evans,,9.5500,,
Eastern Michigan,2025,4,no meet title,Feb-02-2025,Northern Illinois,Alana Fisher,9.7250,,7.4000,9.7750
Eastern Michigan,2025,4,no meet title,Feb-02-2025,Northern Illinois,Priya Karle,,,,9.7750
Eastern Michigan,2025,4,no meet title,Feb-02-2025,Northern Illinois,Keeley Kohler,,8.7000,9.6500,
Eastern Michigan,2025,4,no meet title,Feb-02-2025,Northern Illinois,Kyrie Lowe,9.5750,9.7750,9.7750,9.7250
Eastern Michigan,2025,4,no meet title,Feb-02-2025,Northern Illinois,Analiah Solorio,,9.7250,,
Eastern Michigan,2025,5,no meet title,Feb-09-2025,Western Michigan,Raisa Boris,9.7000,9.8000,9.8750,9.8250
Eastern Michigan,2025,5,no meet title,Feb-09-2025,Western Michigan,Abby Brushwood,9.6500,,,9.8500
Eastern Michigan,2025,5,no meet title,Feb-09-2025,Western Michigan,Gwendelyn Cantu,9.7000,,,
Eastern Michigan,2025,5,no meet title,Feb-09-2025,Western Michigan,Ella Chemotti,,9.6000,9.6250,9.7500
Eastern Michigan,2025,5,no meet title,Feb-09-2025,Western Michigan,Katin Childress,,,9.7750,
Eastern Michigan,2025,5,no meet title,Feb-09-2025,Western Michigan,Sanai Evans,,8.8500,,
Eastern Michigan,2025,5,no meet title,Feb-09-2025,Western Michigan,Alana Fisher,9.7000,,9.8250,9.6750
Eastern Michigan,2025,5,no meet title,Feb-09-2025,Western Michigan,Priya Karle,,,,9.7250
Eastern Michigan,2025,5,no meet title,Feb-09-2025,Western Michigan,Keeley Kohler,,9.6250,,
Eastern Michigan,2025,5,no meet title,Feb-09-2025,Western Michigan,Kyrie Lowe,9.7000,9.8250,9.6750,9.7250
Eastern Michigan,2025,5,no meet title,Feb-09-2025,Western Michigan,Analiah Solorio,,9.0250,9.1500,
Eastern Michigan,2025,6,no meet title,Feb-14-2025,Central Michigan,Raisa Boris,9.4750,8.7000,9.8500,9.8250
Eastern Michigan,2025,6,no meet title,Feb-14-2025,Central Michigan,Abby Brushwood,9.5500,,,9.8750
Eastern Michigan,2025,6,no meet title,Feb-14-2025,Central Michigan,Gwendelyn Cantu,9.6500,9.5000,,
Eastern Michigan,2025,6,no meet title,Feb-14-2025,Central Michigan,Ella Chemotti,,9.7000,9.9250,9.6250
Eastern Michigan,2025,6,no meet title,Feb-14-2025,Central Michigan,Katin Childress,,,9.7000,
Eastern Michigan,2025,6,no meet title,Feb-14-2025,Central Michigan,Sanai Evans,,9.5750,,
