team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Fisk,2023,1,Super 16,Jan-06-2023,,Zanna  Brewer,9.5000,9.0250,,
Fisk,2023,1,Super 16,Jan-06-2023,,Zyia Coleman,9.5250,9.0000,,9.3000
Fisk,2023,1,Super 16,Jan-06-2023,,Breyana Daniels,9.4750,,7.9250,
Fisk,2023,1,Super 16,Jan-06-2023,,Kaylei McDonald,,,,9.4750
Fisk,2023,1,Super 16,Jan-06-2023,,Liberty Mora,,,9.6750,9.4750
Fisk,2023,1,Super 16,Jan-06-2023,,Naimah Muhammad,,,,9.6000
Fisk,2023,1,Super 16,Jan-06-2023,,Morgan Price,9.9000,9.7000,9.1250,9.2250
Fisk,2023,1,Super 16,Jan-06-2023,,Aliyah Reed-Hammon,9.7250,8.4000,9.3500,
Fisk,2023,1,Super 16,Jan-06-2023,,Kiara  Richmon,9.5250,9.5000,9.2750,9.7000
Fisk,2023,1,Super 16,Jan-06-2023,,Alyssa Wiggins,,8.5500,9.2250,
Fisk,2023,2,no meet title,Jan-13-2023,Michigan,Zyia Coleman,9.5000,8.8250,,9.1250
Fisk,2023,2,no meet title,Jan-13-2023,Michigan,Breyana Daniels,9.6250,,8.8250,
Fisk,2023,2,no meet title,Jan-13-2023,Michigan,Kaylei McDonald,,,9.6250,9.2250
Fisk,2023,2,no meet title,Jan-13-2023,Michigan,Liberty Mora,,,9.6000,8.8750
Fisk,2023,2,no meet title,Jan-13-2023,Michigan,Naimah Muhammad,,,,8.8000
Fisk,2023,2,no meet title,Jan-13-2023,Michigan,Morgan Price,9.8500,9.6750,9.8000,9.8250
Fisk,2023,2,no meet title,Jan-13-2023,Michigan,Aliyah Reed-Hammon,9.6500,9.2500,9.6000,
Fisk,2023,2,no meet title,Jan-13-2023,Michigan,Kiara  Richmon,9.5250,9.7000,,8.8500
Fisk,2023,2,no meet title,Jan-13-2023,Michigan,Alyssa Wiggins,,5.4000,9.2750,
Fisk,2023,3,no meet title,Jan-16-2023,Georgia,Zanna  Brewer,,8.4500,,
Fisk,2023,3,no meet title,Jan-16-2023,Georgia,Zyia Coleman,9.4250,9.2000,,9.7500
Fisk,2023,3,no meet title,Jan-16-2023,Georgia,Breyana Daniels,9.4000,,7.5750,
Fisk,2023,3,no meet title,Jan-16-2023,Georgia,Kaylei McDonald,,,8.9750,9.6750
Fisk,2023,3,no meet title,Jan-16-2023,Georgia,Liberty Mora,,,9.6750,9.5500
Fisk,2023,3,no meet title,Jan-16-2023,Georgia,Naimah Muhammad,,,,9.6500
Fisk,2023,3,no meet title,Jan-16-2023,Georgia,Morgan Price,9.8750,9.8750,9.7500,9.8750
Fisk,2023,3,no meet title,Jan-16-2023,Georgia,Aliyah Reed-Hammon,9.6500,9.4750,9.2250,
Fisk,2023,3,no meet title,Jan-16-2023,Georgia,Kiara  Richmon,9.3250,9.7750,,9.7250
Fisk,2023,3,no meet title,Jan-16-2023,Georgia,Alyssa Wiggins,,9.1250,8.6750,
Fisk,2023,4,Tennessee Collegiate Classic,Jan-20-2023,,Hailey  Clark,,7.2000,,
Fisk,2023,4,Tennessee Collegiate Classic,Jan-20-2023,,Zyia Coleman,9.6000,9.2000,,9.8250
Fisk,2023,4,Tennessee Collegiate Classic,Jan-20-2023,,Jordynn Cromartie,,,,8.0000
Fisk,2023,4,Tennessee Collegiate Classic,Jan-20-2023,,Kaylei McDonald,9.3250,,9.7250,9.6000
Fisk,2023,4,Tennessee Collegiate Classic,Jan-20-2023,,Liberty Mora,,,9.8250,
Fisk,2023,4,Tennessee Collegiate Classic,Jan-20-2023,,Naimah Muhammad,,,9.3250,9.6750
Fisk,2023,4,Tennessee Collegiate Classic,Jan-20-2023,,Morgan Price,9.0000,9.8250,9.7750,9.8750
Fisk,2023,4,Tennessee Collegiate Classic,Jan-20-2023,,Aliyah Reed-Hammon,9.5500,,9.9250,
Fisk,2023,4,Tennessee Collegiate Classic,Jan-20-2023,,Kiara  Richmon,9.6000,9.8250,,9.8000
Fisk,2023,4,Tennessee Collegiate Classic,Jan-20-2023,,Alyssa Wiggins,,9.4000,9.4750,
Fisk,2023,5,no meet title,Jan-29-2023,Ball State,Zanna  Brewer,,9.4000,,
Fisk,2023,5,no meet title,Jan-29-2023,Ball State,Hailey  Clark,,8.0000,,
Fisk,2023,5,no meet title,Jan-29-2023,Ball State,Zyia Coleman,9.2500,9.1750,,9.6750
Fisk,2023,5,no meet title,Jan-29-2023,Ball State,Breyana Daniels,9.4750,,9.5250,
Fisk,2023,5,no meet title,Jan-29-2023,Ball State,Kaylei McDonald,9.5250,,8.6750,9.3250
Fisk,2023,5,no meet title,Jan-29-2023,Ball State,Liberty Mora,9.4750,,9.7500,9.6250
Fisk,2023,5,no meet title,Jan-29-2023,Ball State,Naimah Muhammad,9.0000,,9.4500,9.3000
Fisk,2023,5,no meet title,Jan-29-2023,Ball State,Morgan Price,,9.7750,,
Fisk,2023,5,no meet title,Jan-29-2023,Ball State,Aliyah Reed-Hammon,9.7000,9.4500,9.7750,
Fisk,2023,5,no meet title,Jan-29-2023,Ball State,Kiara  Richmon,,9.7500,9.4500,8.8000
Fisk,2023,6,no meet title,Feb-03-2023,Rutgers,Zanna  Brewer,,9.1250,,
Fisk,2023,6,no meet title,Feb-03-2023,Rutgers,Hailey  Clark,,7.5000,,
