team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Florida,2025,1,no meet title,Jan-10-2025,Florida,Sloane Blakely,9.7750,9.9000,9.9250,9.9000
Florida,2025,1,no meet title,Jan-10-2025,Florida,Skye Blakely,,9.7250,,
Florida,2025,1,no meet title,Jan-10-2025,Florida,Lori Brubach,,,,9.1750
Florida,2025,1,no meet title,Jan-10-2025,Florida,Ly Bui,9.7750,,,
Florida,2025,1,no meet title,Jan-10-2025,Florida,Taylor Clark,,,,9.8750
Florida,2025,1,no meet title,Jan-10-2025,Florida,Danie Ferris,9.9500,,,
Florida,2025,1,no meet title,Jan-10-2025,Florida,Selena Harris-Miranda,9.8000,9.8250,9.9000,
Florida,2025,1,no meet title,Jan-10-2025,Florida,Ellie Lazzari,,,9.7500,9.0500
Florida,2025,1,no meet title,Jan-10-2025,Florida,Riley McCusker,,9.1000,,
Florida,2025,1,no meet title,Jan-10-2025,Florida,Victoria Nguyen,,,9.8500,9.7500
Florida,2025,1,no meet title,Jan-10-2025,Florida,Anya Pilgrim,9.8000,9.9250,9.8750,
Florida,2025,1,no meet title,Jan-10-2025,Florida,Leanne Wong,9.8750,9.9500,9.9500,9.9500
Florida,2025,2,no meet title,Jan-17-2025,LSU,Skye Blakely,,9.7750,,
Florida,2025,2,no meet title,Jan-17-2025,LSU,Sloane Blakely,9.8500,9.2500,9.9500,9.9500
Florida,2025,2,no meet title,Jan-17-2025,LSU,Ly Bui,9.8500,,,
Florida,2025,2,no meet title,Jan-17-2025,LSU,Taylor Clark,,,,9.8750
Florida,2025,2,no meet title,Jan-17-2025,LSU,Skylar Draser,,,9.8500,
Florida,2025,2,no meet title,Jan-17-2025,LSU,Danie Ferris,9.8250,,,9.8750
Florida,2025,2,no meet title,Jan-17-2025,LSU,Selena Harris-Miranda,9.9000,9.8250,9.8750,9.9000
Florida,2025,2,no meet title,Jan-17-2025,LSU,Riley McCusker,,9.7500,,
Florida,2025,2,no meet title,Jan-17-2025,LSU,Victoria Nguyen,,,9.9000,9.9000
Florida,2025,2,no meet title,Jan-17-2025,LSU,Anya Pilgrim,9.9250,9.8250,9.9000,
Florida,2025,2,no meet title,Jan-17-2025,LSU,Leanne Wong,9.9250,9.8500,9.7750,9.8250
Florida,2025,3,no meet title,Jan-24-2025,Florida,Sloane Blakely,9.9000,9.8250,9.9500,9.9250
Florida,2025,3,no meet title,Jan-24-2025,Florida,Skye Blakely,,9.9000,,
Florida,2025,3,no meet title,Jan-24-2025,Florida,Ly Bui,9.9250,,,
Florida,2025,3,no meet title,Jan-24-2025,Florida,Taylor Clark,,,,9.9000
Florida,2025,3,no meet title,Jan-24-2025,Florida,Skylar Draser,,,9.9000,
Florida,2025,3,no meet title,Jan-24-2025,Florida,Selena Harris-Miranda,9.9500,9.8500,9.9250,9.9000
Florida,2025,3,no meet title,Jan-24-2025,Florida,Ellie Lazzari,9.7750,,,
Florida,2025,3,no meet title,Jan-24-2025,Florida,Riley McCusker,,9.8750,,
Florida,2025,3,no meet title,Jan-24-2025,Florida,Victoria Nguyen,,,9.9500,9.5000
Florida,2025,3,no meet title,Jan-24-2025,Florida,Anya Pilgrim,9.8500,9.9000,9.9500,9.8500
Florida,2025,3,no meet title,Jan-24-2025,Florida,Leanne Wong,9.9250,9.8750,9.6250,9.9250
Florida,2025,4,no meet title,Feb-02-2025,West Virginia,Skye Blakely,,9.8250,,
Florida,2025,4,no meet title,Feb-02-2025,West Virginia,Sloane Blakely,9.2000,9.8750,9.9000,9.9500
Florida,2025,4,no meet title,Feb-02-2025,West Virginia,Ly Bui,9.9250,,,
Florida,2025,4,no meet title,Feb-02-2025,West Virginia,Taylor Clark,,,,9.8000
Florida,2025,4,no meet title,Feb-02-2025,West Virginia,Skylar Draser,,,9.8750,
Florida,2025,4,no meet title,Feb-02-2025,West Virginia,Danie Ferris,9.8250,,,
Florida,2025,4,no meet title,Feb-02-2025,West Virginia,Selena Harris-Miranda,9.9500,9.9000,9.7750,9.9250
Florida,2025,4,no meet title,Feb-02-2025,West Virginia,Riley McCusker,,9.9000,,
Florida,2025,4,no meet title,Feb-02-2025,West Virginia,Victoria Nguyen,,,9.8000,9.6500
Florida,2025,4,no meet title,Feb-02-2025,West Virginia,Anya Pilgrim,9.7750,9.9250,9.8750,9.7000
Florida,2025,4,no meet title,Feb-02-2025,West Virginia,Leanne Wong,9.9250,9.9250,9.9000,9.9250
Florida,2025,5,no meet title,Feb-07-2025,Arkansas,Alyssa Arana,,9.8750,,
Florida,2025,5,no meet title,Feb-07-2025,Arkansas,Ly Bui,9.7750,9.9000,,
Florida,2025,5,no meet title,Feb-07-2025,Arkansas,Taylor Clark,,,,9.9250
Florida,2025,5,no meet title,Feb-07-2025,Arkansas,Skylar Draser,,,9.8000,
Florida,2025,5,no meet title,Feb-07-2025,Arkansas,Danie Ferris,9.7500,,,9.8500
Florida,2025,5,no meet title,Feb-07-2025,Arkansas,Selena Harris-Miranda,9.9500,9.9250,8.8500,9.9000
Florida,2025,5,no meet title,Feb-07-2025,Arkansas,Ellie Lazzari,9.9000,,9.2250,
Florida,2025,5,no meet title,Feb-07-2025,Arkansas,Riley McCusker,,9.8500,,
Florida,2025,5,no meet title,Feb-07-2025,Arkansas,Victoria Nguyen,,,9.7500,9.8750
Florida,2025,5,no meet title,Feb-07-2025,Arkansas,Anya Pilgrim,9.8500,9.8750,9.6750,9.7500
Florida,2025,5,no meet title,Feb-07-2025,Arkansas,Leanne Wong,9.9000,9.9500,9.8000,9.9250
Florida,2025,6,no meet title,Feb-14-2025,Florida,Skye Blakely,,9.3250,,
Florida,2025,6,no meet title,Feb-14-2025,Florida,Sloane Blakely,,,9.9000,10.0000
Florida,2025,6,no meet title,Feb-14-2025,Florida,Ly Bui,9.8000,9.0000,,
Florida,2025,6,no meet title,Feb-14-2025,Florida,Taylor Clark,,,,9.6750
Florida,2025,6,no meet title,Feb-14-2025,Florida,Gabby Disidore,9.8500,,,
Florida,2025,6,no meet title,Feb-14-2025,Florida,Skylar Draser,,,9.7500,
Florida,2025,6,no meet title,Feb-14-2025,Florida,Danie Ferris,9.8250,,,9.8750
Florida,2025,6,no meet title,Feb-14-2025,Florida,Selena Harris-Miranda,9.8750,9.9750,9.9750,9.9250
Florida,2025,6,no meet title,Feb-14-2025,Florida,Riley McCusker,,9.8250,,
Florida,2025,6,no meet title,Feb-14-2025,Florida,Victoria Nguyen,,,9.9750,9.9250
