team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
George Washington,2022,1,no meet title,Jan-16-2022,George Washington,Simone Banen,,9.8000,9.6000,
George Washington,2022,1,no meet title,Jan-16-2022,George Washington,Deja Chambliss,9.8750,9.8000,9.6750,9.8750
George Washington,2022,1,no meet title,Jan-16-2022,George Washington,Libby Garfoot,9.6500,9.1000,,
George Washington,2022,1,no meet title,Jan-16-2022,George Washington,Rachel Katz,9.6500,9.7500,,
George Washington,2022,1,no meet title,Jan-16-2022,George Washington,Payton Lynch,,,,9.5250
George Washington,2022,1,no meet title,Jan-16-2022,George Washington,Olivia Raymond,,9.7750,,9.6250
George Washington,2022,1,no meet title,Jan-16-2022,George Washington,Katherine Shek,,,9.3000,
George Washington,2022,1,no meet title,Jan-16-2022,George Washington,Anneliese Silverman,,,9.7750,
George Washington,2022,1,no meet title,Jan-16-2022,George Washington,Kendall Whitman,9.8000,,9.5750,9.8750
George Washington,2022,1,no meet title,Jan-16-2022,George Washington,Marlee York,9.7500,,,9.7250
George Washington,2022,1,no meet title,Jan-16-2022,George Washington,Sarah Zois,9.7250,,,
George Washington,2022,1,no meet title,Jan-16-2022,George Washington,Olivia Zona,,9.0000,9.6750,9.8250
George Washington,2022,2,no meet title,Jan-22-2022,North Carolina,Simone Banen,,9.6250,9.7000,
George Washington,2022,2,no meet title,Jan-22-2022,North Carolina,Deja Chambliss,9.8000,9.7500,9.6500,9.9250
George Washington,2022,2,no meet title,Jan-22-2022,North Carolina,Libby Garfoot,,9.7250,,
George Washington,2022,2,no meet title,Jan-22-2022,North Carolina,Rachel Katz,9.8000,9.7250,,
George Washington,2022,2,no meet title,Jan-22-2022,North Carolina,Payton Lynch,,,,9.8750
George Washington,2022,2,no meet title,Jan-22-2022,North Carolina,Olivia Raymond,,9.6750,,9.7750
George Washington,2022,2,no meet title,Jan-22-2022,North Carolina,Katherine Shek,,,9.6750,
George Washington,2022,2,no meet title,Jan-22-2022,North Carolina,Anneliese Silverman,,,9.8000,
George Washington,2022,2,no meet title,Jan-22-2022,North Carolina,Kendall Whitman,9.8000,,,9.3250
George Washington,2022,2,no meet title,Jan-22-2022,North Carolina,Marlee York,9.7500,,,9.1000
George Washington,2022,2,no meet title,Jan-22-2022,North Carolina,Sarah Zois,9.8000,,9.7250,
George Washington,2022,2,no meet title,Jan-22-2022,North Carolina,Olivia Zona,,9.6250,9.7250,9.8500
George Washington,2022,3,no meet title,Jan-29-2022,North Carolina State,Simone Banen,,9.5000,9.7500,
George Washington,2022,3,no meet title,Jan-29-2022,North Carolina State,Deja Chambliss,9.8750,9.6750,9.6000,9.8000
George Washington,2022,3,no meet title,Jan-29-2022,North Carolina State,Libby Garfoot,,9.7000,,
George Washington,2022,3,no meet title,Jan-29-2022,North Carolina State,Rachel Katz,9.8500,9.6750,,
George Washington,2022,3,no meet title,Jan-29-2022,North Carolina State,Payton Lynch,,,,9.8250
George Washington,2022,3,no meet title,Jan-29-2022,North Carolina State,Hannah Munnelly,9.7750,,,
George Washington,2022,3,no meet title,Jan-29-2022,North Carolina State,Olivia Raymond,,9.7500,,9.7750
George Washington,2022,3,no meet title,Jan-29-2022,North Carolina State,Katherine Shek,9.7750,,9.6750,
George Washington,2022,3,no meet title,Jan-29-2022,North Carolina State,Anneliese Silverman,,,9.6750,9.7000
George Washington,2022,3,no meet title,Jan-29-2022,North Carolina State,Marlee York,9.7500,,,9.0500
George Washington,2022,3,no meet title,Jan-29-2022,North Carolina State,Sarah Zois,9.7250,,9.7250,
George Washington,2022,3,no meet title,Jan-29-2022,North Carolina State,Olivia Zona,,8.7250,8.9750,9.8250
George Washington,2022,4,no meet title,Feb-02-2022,Towson,Simone Banen,,9.1750,9.8000,
George Washington,2022,4,no meet title,Feb-02-2022,Towson,Deja Chambliss,9.8250,9.7000,,9.8500
George Washington,2022,4,no meet title,Feb-02-2022,Towson,Libby Garfoot,,9.6750,,
George Washington,2022,4,no meet title,Feb-02-2022,Towson,Rachel Katz,9.7500,9.5750,,
George Washington,2022,4,no meet title,Feb-02-2022,Towson,Payton Lynch,,,,9.8000
George Washington,2022,4,no meet title,Feb-02-2022,Towson,Hannah Munnelly,9.5500,9.0750,,
George Washington,2022,4,no meet title,Feb-02-2022,Towson,Olivia Raymond,,9.7500,,9.6750
George Washington,2022,4,no meet title,Feb-02-2022,Towson,Katherine Shek,,,9.8250,
George Washington,2022,4,no meet title,Feb-02-2022,Towson,Anneliese Silverman,,,9.7750,
George Washington,2022,4,no meet title,Feb-02-2022,Towson,Kendall Whitman,9.8000,,9.7750,9.9000
George Washington,2022,4,no meet title,Feb-02-2022,Towson,Marlee York,9.7000,,,9.8500
George Washington,2022,4,no meet title,Feb-02-2022,Towson,Sarah Zois,9.5750,,9.8250,
George Washington,2022,4,no meet title,Feb-02-2022,Towson,Olivia Zona,,,9.8000,9.8000
George Washington,2022,5,no meet title,Feb-06-2022,George Washington,Simone Banen,,9.8000,9.7500,
George Washington,2022,5,no meet title,Feb-06-2022,George Washington,Deja Chambliss,9.9500,9.8500,9.7500,9.8750
George Washington,2022,5,no meet title,Feb-06-2022,George Washington,Libby Garfoot,,9.8000,,
George Washington,2022,5,no meet title,Feb-06-2022,George Washington,Rachel Katz,9.8500,9.7500,,
George Washington,2022,5,no meet title,Feb-06-2022,George Washington,Payton Lynch,,,,9.8250
George Washington,2022,5,no meet title,Feb-06-2022,George Washington,Hannah Munnelly,9.7750,,,
George Washington,2022,5,no meet title,Feb-06-2022,George Washington,Olivia Raymond,,9.8000,,9.8750
George Washington,2022,5,no meet title,Feb-06-2022,George Washington,Katherine Shek,,,9.7000,
George Washington,2022,5,no meet title,Feb-06-2022,George Washington,Anneliese Silverman,,9.1000,9.6750,
George Washington,2022,5,no meet title,Feb-06-2022,George Washington,Kendall Whitman,9.8500,,9.7500,9.7250
George Washington,2022,5,no meet title,Feb-06-2022,George Washington,Marlee York,9.7750,,,9.7250
George Washington,2022,5,no meet title,Feb-06-2022,George Washington,Sarah Zois,9.8250,,9.7000,
George Washington,2022,5,no meet title,Feb-06-2022,George Washington,Olivia Zona,,,,9.8250
George Washington,2022,6,no meet title,Feb-11-2022,Oklahoma,Simone Banen,,9.7250,9.4500,
George Washington,2022,6,no meet title,Feb-11-2022,Oklahoma,Deja Chambliss,9.8750,9.0000,9.7250,9.9000
George Washington,2022,6,no meet title,Feb-11-2022,Oklahoma,Libby Garfoot,,9.7000,,
George Washington,2022,6,no meet title,Feb-11-2022,Oklahoma,Rachel Katz,9.7750,9.8000,,
George Washington,2022,6,no meet title,Feb-11-2022,Oklahoma,Payton Lynch,,,,9.7250
George Washington,2022,6,no meet title,Feb-11-2022,Oklahoma,Hannah Munnelly,9.5500,,,
George Washington,2022,6,no meet title,Feb-11-2022,Oklahoma,Olivia Raymond,,9.7250,,9.7750
George Washington,2022,6,no meet title,Feb-11-2022,Oklahoma,Katherine Shek,,,9.7750,
George Washington,2022,6,no meet title,Feb-11-2022,Oklahoma,Anneliese Silverman,,,9.7250,
George Washington,2022,6,no meet title,Feb-11-2022,Oklahoma,Kendall Whitman,9.6500,,9.6750,9.5500
George Washington,2022,6,no meet title,Feb-11-2022,Oklahoma,Marlee York,9.7500,,,9.6000
George Washington,2022,6,no meet title,Feb-11-2022,Oklahoma,Sarah Zois,9.7750,,9.8000,
George Washington,2022,6,no meet title,Feb-11-2022,Oklahoma,Olivia Zona,,9.6250,,9.8250
George Washington,2022,7,no meet title,Feb-20-2022,Pittsburgh,Simone Banen,,9.8250,9.6500,
George Washington,2022,7,no meet title,Feb-20-2022,Pittsburgh,Deja Chambliss,9.9250,9.8500,9.9250,9.9000
George Washington,2022,7,no meet title,Feb-20-2022,Pittsburgh,Libby Garfoot,,8.9250,,
George Washington,2022,7,no meet title,Feb-20-2022,Pittsburgh,Rachel Katz,9.8250,9.8250,,
George Washington,2022,7,no meet title,Feb-20-2022,Pittsburgh,Payton Lynch,,,,9.8000
George Washington,2022,7,no meet title,Feb-20-2022,Pittsburgh,Hannah Munnelly,9.7750,,,
George Washington,2022,7,no meet title,Feb-20-2022,Pittsburgh,Olivia Raymond,,9.8250,,
George Washington,2022,7,no meet title,Feb-20-2022,Pittsburgh,Katherine Shek,,,9.8250,
George Washington,2022,7,no meet title,Feb-20-2022,Pittsburgh,Anneliese Silverman,,9.7250,9.8750,
George Washington,2022,7,no meet title,Feb-20-2022,Pittsburgh,Kendall Whitman,9.7000,,,9.9000
George Washington,2022,7,no meet title,Feb-20-2022,Pittsburgh,Marlee York,9.7750,,,9.7000
George Washington,2022,7,no meet title,Feb-20-2022,Pittsburgh,Sarah Zois,9.8250,,9.7750,8.6750
George Washington,2022,7,no meet title,Feb-20-2022,Pittsburgh,Olivia Zona,,,9.7250,9.7750
George Washington,2022,8,no meet title,Feb-21-2022,West Virginia,Simone Banen,,9.7750,,
George Washington,2022,8,no meet title,Feb-21-2022,West Virginia,Deja Chambliss,9.7250,9.6750,9.7500,9.9000
George Washington,2022,8,no meet title,Feb-21-2022,West Virginia,Libby Garfoot,,9.7250,,
George Washington,2022,8,no meet title,Feb-21-2022,West Virginia,Rachel Katz,9.7250,9.7750,,
George Washington,2022,8,no meet title,Feb-21-2022,West Virginia,Payton Lynch,,,,9.1250
George Washington,2022,8,no meet title,Feb-21-2022,West Virginia,Olivia Raymond,,9.7250,,
George Washington,2022,8,no meet title,Feb-21-2022,West Virginia,Katherine Shek,9.7000,,9.7250,
George Washington,2022,8,no meet title,Feb-21-2022,West Virginia,Anneliese Silverman,,,9.5500,9.2000
George Washington,2022,8,no meet title,Feb-21-2022,West Virginia,Kendall Whitman,9.7750,,9.8000,9.8750
George Washington,2022,8,no meet title,Feb-21-2022,West Virginia,Marlee York,9.7750,,,9.7250
George Washington,2022,8,no meet title,Feb-21-2022,West Virginia,Sarah Zois,9.8000,,8.6750,
George Washington,2022,8,no meet title,Feb-21-2022,West Virginia,Olivia Zona,,8.7750,9.7250,9.8250
George Washington,2022,9,no meet title,Feb-27-2022,George Washington,Simone Banen,,9.8250,,
George Washington,2022,9,no meet title,Feb-27-2022,George Washington,Deja Chambliss,9.8750,9.7750,9.4250,9.9000
George Washington,2022,9,no meet title,Feb-27-2022,George Washington,Libby Garfoot,,9.6250,,
George Washington,2022,9,no meet title,Feb-27-2022,George Washington,Rachel Katz,9.5500,9.7000,,
George Washington,2022,9,no meet title,Feb-27-2022,George Washington,Payton Lynch,,,,9.8250
George Washington,2022,9,no meet title,Feb-27-2022,George Washington,Hannah Munnelly,9.7250,,,
George Washington,2022,9,no meet title,Feb-27-2022,George Washington,Olivia Raymond,,9.8000,9.1000,9.7500
George Washington,2022,9,no meet title,Feb-27-2022,George Washington,Katherine Shek,,,9.8250,
George Washington,2022,9,no meet title,Feb-27-2022,George Washington,Anneliese Silverman,,9.7250,9.9000,
George Washington,2022,9,no meet title,Feb-27-2022,George Washington,Kendall Whitman,9.7500,,9.8250,9.9250
George Washington,2022,9,no meet title,Feb-27-2022,George Washington,Marlee York,9.7500,,,9.8500
George Washington,2022,9,no meet title,Feb-27-2022,George Washington,Sarah Zois,9.7750,,9.8000,
George Washington,2022,9,no meet title,Feb-27-2022,George Washington,Olivia Zona,,,,9.8750
George Washington,2022,10,no meet title,Mar-04-2022,Nebraska,Simone Banen,,9.8250,9.6750,
George Washington,2022,10,no meet title,Mar-04-2022,Nebraska,Deja Chambliss,9.8750,9.8000,9.7000,9.7250
George Washington,2022,10,no meet title,Mar-04-2022,Nebraska,Libby Garfoot,,9.9000,,
George Washington,2022,10,no meet title,Mar-04-2022,Nebraska,Rachel Katz,9.8000,9.7750,,
George Washington,2022,10,no meet title,Mar-04-2022,Nebraska,Payton Lynch,,,,9.7500
George Washington,2022,10,no meet title,Mar-04-2022,Nebraska,Hannah Munnelly,9.7250,,,
George Washington,2022,10,no meet title,Mar-04-2022,Nebraska,Olivia Raymond,,9.8500,9.8000,9.7500
George Washington,2022,10,no meet title,Mar-04-2022,Nebraska,Anneliese Silverman,,9.7750,9.7500,
George Washington,2022,10,no meet title,Mar-04-2022,Nebraska,Kendall Whitman,9.7500,,9.8250,9.8500
George Washington,2022,10,no meet title,Mar-04-2022,Nebraska,Marlee York,9.7750,,,9.6750
George Washington,2022,10,no meet title,Mar-04-2022,Nebraska,Sarah Zois,9.7500,,9.8500,
George Washington,2022,10,no meet title,Mar-04-2022,Nebraska,Olivia Zona,,,,9.7500
George Washington,2022,11,no meet title,Mar-11-2022,Towson,Simone Banen,,9.8750,,
George Washington,2022,11,no meet title,Mar-11-2022,Towson,Deja Chambliss,9.9000,9.8000,9.2500,9.8500
George Washington,2022,11,no meet title,Mar-11-2022,Towson,Rachel Katz,9.8250,9.8000,,
George Washington,2022,11,no meet title,Mar-11-2022,Towson,Payton Lynch,,,,9.8000
George Washington,2022,11,no meet title,Mar-11-2022,Towson,Hannah Munnelly,9.6250,9.8000,,
George Washington,2022,11,no meet title,Mar-11-2022,Towson,Olivia Raymond,,8.9000,9.7250,9.7500
George Washington,2022,11,no meet title,Mar-11-2022,Towson,Katherine Shek,,,9.3250,
George Washington,2022,11,no meet title,Mar-11-2022,Towson,Anneliese Silverman,,9.9000,9.7250,
George Washington,2022,11,no meet title,Mar-11-2022,Towson,Kendall Whitman,9.7750,,9.8000,9.9000
George Washington,2022,11,no meet title,Mar-11-2022,Towson,Marlee York,9.7250,,,9.7500
George Washington,2022,11,no meet title,Mar-11-2022,Towson,Sarah Zois,9.8250,,9.7000,
George Washington,2022,11,no meet title,Mar-11-2022,Towson,Olivia Zona,,,,9.7750
George Washington,2022,12,no meet title,Mar-13-2022,Maryland,Simone Banen,,9.8500,,
George Washington,2022,12,no meet title,Mar-13-2022,Maryland,Deja Chambliss,9.9000,9.6250,9.8750,9.9250
George Washington,2022,12,no meet title,Mar-13-2022,Maryland,Rachel Katz,9.7750,9.4750,,
George Washington,2022,12,no meet title,Mar-13-2022,Maryland,Payton Lynch,,,,9.7500
George Washington,2022,12,no meet title,Mar-13-2022,Maryland,Hannah Munnelly,9.8250,9.8500,,
George Washington,2022,12,no meet title,Mar-13-2022,Maryland,Olivia Raymond,,9.7750,9.8500,9.7250
George Washington,2022,12,no meet title,Mar-13-2022,Maryland,Katherine Shek,,,9.7250,
George Washington,2022,12,no meet title,Mar-13-2022,Maryland,Anneliese Silverman,,8.8500,9.8500,
George Washington,2022,12,no meet title,Mar-13-2022,Maryland,Kendall Whitman,9.9000,,9.8750,9.8250
George Washington,2022,12,no meet title,Mar-13-2022,Maryland,Marlee York,9.8500,,,9.8000
George Washington,2022,12,no meet title,Mar-13-2022,Maryland,Sarah Zois,9.8500,,9.8750,
George Washington,2022,12,no meet title,Mar-13-2022,Maryland,Olivia Zona,,,,9.8000
George Washington,2022,13,EAGL Conference,Mar-19-2022,George Washington,Simone Banen,,9.8250,,
George Washington,2022,13,EAGL Conference,Mar-19-2022,George Washington,Deja Chambliss,9.8750,9.8000,9.8500,9.9500
George Washington,2022,13,EAGL Conference,Mar-19-2022,George Washington,Libby Garfoot,,9.1000,,
George Washington,2022,13,EAGL Conference,Mar-19-2022,George Washington,Rachel Katz,9.8500,9.8500,,
George Washington,2022,13,EAGL Conference,Mar-19-2022,George Washington,Payton Lynch,,,,9.8500
George Washington,2022,13,EAGL Conference,Mar-19-2022,George Washington,Hannah Munnelly,9.7000,9.8000,,
George Washington,2022,13,EAGL Conference,Mar-19-2022,George Washington,Olivia Raymond,,9.8000,9.7000,9.8000
George Washington,2022,13,EAGL Conference,Mar-19-2022,George Washington,Katherine Shek,,,9.7000,
George Washington,2022,13,EAGL Conference,Mar-19-2022,George Washington,Anneliese Silverman,,,9.8500,
George Washington,2022,13,EAGL Conference,Mar-19-2022,George Washington,Kendall Whitman,9.8500,,9.4250,9.8750
George Washington,2022,13,EAGL Conference,Mar-19-2022,George Washington,Marlee York,9.8000,,,9.7750
George Washington,2022,13,EAGL Conference,Mar-19-2022,George Washington,Sarah Zois,9.6500,,9.8000,
