team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Greenville,2023,1,no meet title,Jan-08-2023,Ohio State,Madison Carter,,9.0500,8.4500,
Greenville,2023,1,no meet title,Jan-08-2023,Ohio State,Madison Ford,,8.8750,,
Greenville,2023,1,no meet title,Jan-08-2023,Ohio State,Molly Froman,9.5500,9.0250,9.1250,9.5500
Greenville,2023,1,no meet title,Jan-08-2023,Ohio State,Ellery Gilmer,9.5500,,9.0500,8.1500
Greenville,2023,1,no meet title,Jan-08-2023,Ohio State,Sidnei Heubach,9.3500,8.1000,9.3250,
Greenville,2023,1,no meet title,Jan-08-2023,Ohio State,Faye Jones,,,,9.0500
Greenville,2023,1,no meet title,Jan-08-2023,Ohio State,Audra Kaiser,,,9.0500,9.5500
Greenville,2023,1,no meet title,Jan-08-2023,Ohio State,Rachel Miller,9.5250,,,9.5000
Greenville,2023,1,no meet title,Jan-08-2023,Ohio State,Amara Nelson,9.6750,6.4500,9.4750,8.5750
Greenville,2023,1,no meet title,Jan-08-2023,Ohio State,Reagan Rodriguez,9.3750,,,
Greenville,2023,1,no meet title,Jan-08-2023,Ohio State,Alessia Russo,,6.2000,,
Greenville,2023,2,no meet title,Jan-14-2023,S.E. Missouri,Madison Carter,,9.1250,8.8000,
Greenville,2023,2,no meet title,Jan-14-2023,S.E. Missouri,Molly Froman,9.0250,8.6000,7.9000,9.4000
Greenville,2023,2,no meet title,Jan-14-2023,S.E. Missouri,Ellery Gilmer,9.4750,,8.5500,8.8250
Greenville,2023,2,no meet title,Jan-14-2023,S.E. Missouri,Sidnei Heubach,9.1500,9.2250,7.9000,
Greenville,2023,2,no meet title,Jan-14-2023,S.E. Missouri,Faye Jones,,,,9.2250
Greenville,2023,2,no meet title,Jan-14-2023,S.E. Missouri,Audra Kaiser,,,8.2750,9.0000
Greenville,2023,2,no meet title,Jan-14-2023,S.E. Missouri,Rachel Miller,9.3500,9.0250,,8.6750
Greenville,2023,2,no meet title,Jan-14-2023,S.E. Missouri,Amara Nelson,9.6500,9.0000,8.9000,8.7750
Greenville,2023,2,no meet title,Jan-14-2023,S.E. Missouri,Reagan Rodriguez,9.2500,,,
Greenville,2023,2,no meet title,Jan-14-2023,S.E. Missouri,Alessia Russo,,8.3000,,
Greenville,2023,3,no meet title,Jan-21-2023,Greenville,Madison Carter,,8.1000,9.0250,
Greenville,2023,3,no meet title,Jan-21-2023,Greenville,Madison Ford,,,9.2250,
Greenville,2023,3,no meet title,Jan-21-2023,Greenville,Ellery Gilmer,9.4250,,8.7250,9.3500
Greenville,2023,3,no meet title,Jan-21-2023,Greenville,Sidnei Heubach,,9.4250,8.7250,
Greenville,2023,3,no meet title,Jan-21-2023,Greenville,Faye Jones,,,,8.3250
Greenville,2023,3,no meet title,Jan-21-2023,Greenville,Emily McClung,8.6250,,,8.3750
Greenville,2023,3,no meet title,Jan-21-2023,Greenville,Rachel Miller,9.4500,8.8500,,8.0000
Greenville,2023,3,no meet title,Jan-21-2023,Greenville,Amara Nelson,9.7000,9.0000,8.9750,8.9500
Greenville,2023,3,no meet title,Jan-21-2023,Greenville,Reagan Rodriguez,9.4000,8.0000,,
Greenville,2023,3,no meet title,Jan-21-2023,Greenville,Alessia Russo,,8.5000,,
Greenville,2023,3,no meet title,Jan-21-2023,Greenville,Aaliyah Saucedo,,,9.0500,
Greenville,2023,4,no meet title,Jan-28-2023,Greenville,Madison Carter,,8.7500,9.4000,
Greenville,2023,4,no meet title,Jan-28-2023,Greenville,Madison Ford,,9.1250,,
Greenville,2023,4,no meet title,Jan-28-2023,Greenville,Ellery Gilmer,9.6250,,9.0000,8.9750
Greenville,2023,4,no meet title,Jan-28-2023,Greenville,Sidnei Heubach,9.3250,9.3500,9.3250,
Greenville,2023,4,no meet title,Jan-28-2023,Greenville,Faye Jones,,,,9.3500
Greenville,2023,4,no meet title,Jan-28-2023,Greenville,Audra Kaiser,9.4000,,8.6000,9.3250
Greenville,2023,4,no meet title,Jan-28-2023,Greenville,Emily McClung,,,,8.2000
Greenville,2023,4,no meet title,Jan-28-2023,Greenville,Rachel Miller,9.5000,9.1500,,9.7250
Greenville,2023,4,no meet title,Jan-28-2023,Greenville,Amara Nelson,9.4000,9.1500,9.6500,9.8250
Greenville,2023,4,no meet title,Jan-28-2023,Greenville,Reagan Rodriguez,9.5000,,,
Greenville,2023,4,no meet title,Jan-28-2023,Greenville,Alessia Russo,,8.8750,9.0250,
Greenville,2023,5,no meet title,Feb-05-2023,Lindenwood,Madison Carter,,8.8000,9.4250,
Greenville,2023,5,no meet title,Feb-05-2023,Lindenwood,Madison Ford,,9.1000,8.0750,
Greenville,2023,5,no meet title,Feb-05-2023,Lindenwood,Ellery Gilmer,9.4000,,9.5250,9.5000
Greenville,2023,5,no meet title,Feb-05-2023,Lindenwood,Sidnei Heubach,,8.7500,8.1500,
Greenville,2023,5,no meet title,Feb-05-2023,Lindenwood,Faye Jones,8.7000,,,8.7500
Greenville,2023,5,no meet title,Feb-05-2023,Lindenwood,Audra Kaiser,9.3250,,8.5750,9.2750
Greenville,2023,5,no meet title,Feb-05-2023,Lindenwood,Emily McClung,,,,8.6000
