team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Gustavus Adolphus,2017,1,no meet title,Jan-07-2017,UW-Oshkosh,Emily Anderson,8.7750,8.7000,,8.9250
Gustavus Adolphus,2017,1,no meet title,Jan-07-2017,UW-Oshkosh,Samantha  Ardy,9.1000,7.2000,8.7750,
Gustavus Adolphus,2017,1,no meet title,Jan-07-2017,UW-Oshkosh,Grace Arnold,,8.1750,8.6500,
Gustavus Adolphus,2017,1,no meet title,Jan-07-2017,UW-Oshkosh,Victoria  Aycock,,,,8.9500
Gustavus Adolphus,2017,1,no meet title,Jan-07-2017,UW-Oshkosh,Leah Dargis,8.7000,,,
Gustavus Adolphus,2017,1,no meet title,Jan-07-2017,UW-Oshkosh,Lauren Kershner,9.0500,8.9500,9.4750,9.4750
Gustavus Adolphus,2017,1,no meet title,Jan-07-2017,UW-Oshkosh,Amanda Malo,8.9000,7.9000,7.5000,9.2500
Gustavus Adolphus,2017,1,no meet title,Jan-07-2017,UW-Oshkosh,Jamie Niedermayer,,,8.5750,9.0000
Gustavus Adolphus,2017,1,no meet title,Jan-07-2017,UW-Oshkosh,Katy  Trunk,8.9000,,7.7750,9.0000
Gustavus Adolphus,2017,1,no meet title,Jan-07-2017,UW-Oshkosh,Veronica Vasina,,8.2500,,
Gustavus Adolphus,2017,2,no meet title,Jan-13-2017,Winona State,Emily Anderson,8.9250,8.8500,,9.4500
Gustavus Adolphus,2017,2,no meet title,Jan-13-2017,Winona State,Samantha  Ardy,9.1250,9.4000,9.4250,
Gustavus Adolphus,2017,2,no meet title,Jan-13-2017,Winona State,Victoria  Aycock,,,,8.8250
Gustavus Adolphus,2017,2,no meet title,Jan-13-2017,Winona State,Lauren Kershner,9.0000,9.1500,9.3000,9.1250
Gustavus Adolphus,2017,2,no meet title,Jan-13-2017,Winona State,Alexandra Kopp,9.4000,9.1750,9.5250,8.9500
Gustavus Adolphus,2017,2,no meet title,Jan-13-2017,Winona State,Amanda Malo,9.1250,8.9250,7.4000,9.1500
Gustavus Adolphus,2017,2,no meet title,Jan-13-2017,Winona State,Jamie Niedermayer,,,8.8500,8.9000
Gustavus Adolphus,2017,2,no meet title,Jan-13-2017,Winona State,Jessica Niedermayer,,,8.4500,
Gustavus Adolphus,2017,2,no meet title,Jan-13-2017,Winona State,Katy  Trunk,9.1250,,,
Gustavus Adolphus,2017,2,no meet title,Jan-13-2017,Winona State,Veronica Vasina,,7.9250,,
Gustavus Adolphus,2017,3,no meet title,Jan-21-2017,Gustavus Adolphus,Emily Anderson,9.2500,8.9000,,8.6000
Gustavus Adolphus,2017,3,no meet title,Jan-21-2017,Gustavus Adolphus,Samantha  Ardy,9.4250,8.5500,9.3500,
Gustavus Adolphus,2017,3,no meet title,Jan-21-2017,Gustavus Adolphus,Victoria  Aycock,,,,8.0250
Gustavus Adolphus,2017,3,no meet title,Jan-21-2017,Gustavus Adolphus,Lauren Kershner,9.4750,8.9000,8.2000,9.4000
Gustavus Adolphus,2017,3,no meet title,Jan-21-2017,Gustavus Adolphus,Alexandra Kopp,9.5500,9.0250,9.6250,9.5000
Gustavus Adolphus,2017,3,no meet title,Jan-21-2017,Gustavus Adolphus,Amanda Malo,9.4250,9.0000,8.0500,9.4000
Gustavus Adolphus,2017,3,no meet title,Jan-21-2017,Gustavus Adolphus,Jamie Niedermayer,,,8.3500,9.1000
Gustavus Adolphus,2017,3,no meet title,Jan-21-2017,Gustavus Adolphus,Jessica Niedermayer,,,8.7000,
Gustavus Adolphus,2017,3,no meet title,Jan-21-2017,Gustavus Adolphus,Katy  Trunk,9.2250,,,
Gustavus Adolphus,2017,3,no meet title,Jan-21-2017,Gustavus Adolphus,Veronica Vasina,,8.2500,,
Gustavus Adolphus,2017,4,John Zuerlein Invitational,Feb-03-2017,UW-Stout,Emily Anderson,9.3000,9.0000,8.5500,9.4500
Gustavus Adolphus,2017,4,John Zuerlein Invitational,Feb-03-2017,UW-Stout,Grace Arnold,,8.9750,,
Gustavus Adolphus,2017,4,John Zuerlein Invitational,Feb-03-2017,UW-Stout,Victoria  Aycock,,,,9.0000
Gustavus Adolphus,2017,4,John Zuerlein Invitational,Feb-03-2017,UW-Stout,Leah Dargis,9.1500,,,
Gustavus Adolphus,2017,4,John Zuerlein Invitational,Feb-03-2017,UW-Stout,Lauren Kershner,9.4750,9.1750,9.2500,9.2500
Gustavus Adolphus,2017,4,John Zuerlein Invitational,Feb-03-2017,UW-Stout,Alexandra Kopp,9.5250,9.1750,7.4750,9.5250
Gustavus Adolphus,2017,4,John Zuerlein Invitational,Feb-03-2017,UW-Stout,Amanda Malo,9.3500,8.6000,8.6750,9.4750
Gustavus Adolphus,2017,4,John Zuerlein Invitational,Feb-03-2017,UW-Stout,Jamie Niedermayer,,,7.8250,9.1250
Gustavus Adolphus,2017,4,John Zuerlein Invitational,Feb-03-2017,UW-Stout,Jessica Niedermayer,,,8.4500,
Gustavus Adolphus,2017,4,John Zuerlein Invitational,Feb-03-2017,UW-Stout,Katy  Trunk,9.2500,,,
Gustavus Adolphus,2017,4,John Zuerlein Invitational,Feb-03-2017,UW-Stout,Veronica Vasina,,9.1250,,
Gustavus Adolphus,2017,5,no meet title,Feb-10-2017,Gustavus Adolphus,Emily Anderson,9.0250,8.7750,8.2750,9.6500
Gustavus Adolphus,2017,5,no meet title,Feb-10-2017,Gustavus Adolphus,Samantha  Ardy,,9.5000,9.0250,
Gustavus Adolphus,2017,5,no meet title,Feb-10-2017,Gustavus Adolphus,Victoria  Aycock,,,,9.2000
Gustavus Adolphus,2017,5,no meet title,Feb-10-2017,Gustavus Adolphus,Leah Dargis,8.9000,,,
Gustavus Adolphus,2017,5,no meet title,Feb-10-2017,Gustavus Adolphus,Lauren Kershner,9.1250,9.4250,9.5000,9.6000
Gustavus Adolphus,2017,5,no meet title,Feb-10-2017,Gustavus Adolphus,Alexandra Kopp,9.3000,9.2250,8.8000,9.5750
Gustavus Adolphus,2017,5,no meet title,Feb-10-2017,Gustavus Adolphus,Amanda Malo,9.2500,8.9250,9.1500,9.5000
Gustavus Adolphus,2017,5,no meet title,Feb-10-2017,Gustavus Adolphus,Jamie Niedermayer,,,,9.4500
Gustavus Adolphus,2017,5,no meet title,Feb-10-2017,Gustavus Adolphus,Katy  Trunk,9.1500,,8.4250,
Gustavus Adolphus,2017,5,no meet title,Feb-10-2017,Gustavus Adolphus,Veronica Vasina,,9.0000,,
Gustavus Adolphus,2017,6,no meet title,Feb-17-2017,Iowa State,Emily Anderson,9.2500,8.4000,9.1000,9.6750
Gustavus Adolphus,2017,6,no meet title,Feb-17-2017,Iowa State,Samantha  Ardy,9.4000,,8.7500,
Gustavus Adolphus,2017,6,no meet title,Feb-17-2017,Iowa State,Victoria  Aycock,,,,9.2000
Gustavus Adolphus,2017,6,no meet title,Feb-17-2017,Iowa State,Leah Heilig,9.3750,,,
Gustavus Adolphus,2017,6,no meet title,Feb-17-2017,Iowa State,Lauren Kershner,9.2750,9.4500,8.0250,9.5250
Gustavus Adolphus,2017,6,no meet title,Feb-17-2017,Iowa State,Alexandra Kopp,9.5500,9.2500,9.4500,9.7000
Gustavus Adolphus,2017,6,no meet title,Feb-17-2017,Iowa State,Amanda Malo,9.3500,9.4250,8.8750,9.6250
Gustavus Adolphus,2017,6,no meet title,Feb-17-2017,Iowa State,Jamie Niedermayer,,,,9.4000
Gustavus Adolphus,2017,6,no meet title,Feb-17-2017,Iowa State,Katy  Trunk,,,9.2500,
Gustavus Adolphus,2017,6,no meet title,Feb-17-2017,Iowa State,Veronica Vasina,,9.4500,,
Gustavus Adolphus,2017,7,no meet title,Feb-24-2017,Gustavus Adolphus,Emily Anderson,8.9750,,,9.6000
Gustavus Adolphus,2017,7,no meet title,Feb-24-2017,Gustavus Adolphus,Samantha  Ardy,9.1500,8.4500,9.4750,
Gustavus Adolphus,2017,7,no meet title,Feb-24-2017,Gustavus Adolphus,Grace Arnold,,8.8500,,
Gustavus Adolphus,2017,7,no meet title,Feb-24-2017,Gustavus Adolphus,Victoria  Aycock,,,,9.2500
Gustavus Adolphus,2017,7,no meet title,Feb-24-2017,Gustavus Adolphus,Leah Heilig,8.8750,,,
Gustavus Adolphus,2017,7,no meet title,Feb-24-2017,Gustavus Adolphus,Lauren Kershner,9.2500,9.2500,8.7750,8.9000
Gustavus Adolphus,2017,7,no meet title,Feb-24-2017,Gustavus Adolphus,Alexandra Kopp,9.5000,9.2250,8.1750,9.4250
Gustavus Adolphus,2017,7,no meet title,Feb-24-2017,Gustavus Adolphus,Amanda Malo,9.0500,9.2250,9.0500,9.3750
Gustavus Adolphus,2017,7,no meet title,Feb-24-2017,Gustavus Adolphus,Jessica Niedermayer,,,9.0000,
Gustavus Adolphus,2017,7,no meet title,Feb-24-2017,Gustavus Adolphus,Jamie Niedermayer,,,,9.1750
Gustavus Adolphus,2017,7,no meet title,Feb-24-2017,Gustavus Adolphus,Katy  Trunk,,,8.4000,
Gustavus Adolphus,2017,7,no meet title,Feb-24-2017,Gustavus Adolphus,Veronica Vasina,,9.0000,,
Gustavus Adolphus,2017,8,Best of Minnesota,Feb-26-2017,Minnesota,Emily Anderson,,9.2250,,8.8250
Gustavus Adolphus,2017,8,Best of Minnesota,Feb-26-2017,Minnesota,Samantha  Ardy,8.8250,9.5500,8.9500,
Gustavus Adolphus,2017,8,Best of Minnesota,Feb-26-2017,Minnesota,Victoria  Aycock,,,,8.8750
Gustavus Adolphus,2017,8,Best of Minnesota,Feb-26-2017,Minnesota,Leah Dargis,9.3500,,,
Gustavus Adolphus,2017,8,Best of Minnesota,Feb-26-2017,Minnesota,Lauren Kershner,9.3000,9.4000,9.5500,9.1500
Gustavus Adolphus,2017,8,Best of Minnesota,Feb-26-2017,Minnesota,Alexandra Kopp,9.6250,9.3750,7.9500,9.6000
Gustavus Adolphus,2017,8,Best of Minnesota,Feb-26-2017,Minnesota,Amanda Malo,9.3750,9.3000,8.4000,9.3750
Gustavus Adolphus,2017,8,Best of Minnesota,Feb-26-2017,Minnesota,Jamie Niedermayer,,,,9.0500
Gustavus Adolphus,2017,8,Best of Minnesota,Feb-26-2017,Minnesota,Jessica Niedermayer,,,9.1500,
Gustavus Adolphus,2017,8,Best of Minnesota,Feb-26-2017,Minnesota,Katy  Trunk,,,8.5250,
Gustavus Adolphus,2017,8,Best of Minnesota,Feb-26-2017,Minnesota,Veronica Vasina,9.2500,9.4000,,
Gustavus Adolphus,2017,9,no meet title,Mar-03-2017,UW-Eau Claire,Emily Anderson,,9.0000,8.4250,9.4250
Gustavus Adolphus,2017,9,no meet title,Mar-03-2017,UW-Eau Claire,Samantha  Ardy,9.5500,9.4750,9.4250,
Gustavus Adolphus,2017,9,no meet title,Mar-03-2017,UW-Eau Claire,Victoria  Aycock,,,,8.8000
Gustavus Adolphus,2017,9,no meet title,Mar-03-2017,UW-Eau Claire,Leah Heilig,9.0750,,,
Gustavus Adolphus,2017,9,no meet title,Mar-03-2017,UW-Eau Claire,Lauren Kershner,9.2250,8.5250,9.6750,9.3250
Gustavus Adolphus,2017,9,no meet title,Mar-03-2017,UW-Eau Claire,Alexandra Kopp,9.5000,9.3500,7.8500,9.4500
Gustavus Adolphus,2017,9,no meet title,Mar-03-2017,UW-Eau Claire,Amanda Malo,9.2000,9.0500,9.2000,9.3500
Gustavus Adolphus,2017,9,no meet title,Mar-03-2017,UW-Eau Claire,Jessica Niedermayer,,,8.9000,
Gustavus Adolphus,2017,9,no meet title,Mar-03-2017,UW-Eau Claire,Jamie Niedermayer,,,,8.9000
