team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Hamline,2021,1,no meet title,Feb-25-2021,Hamline,Nadia Abid,9.1000,,,
Hamline,2021,1,no meet title,Feb-25-2021,Hamline,Emily Anderson,9.2000,,8.8250,7.6000
Hamline,2021,1,no meet title,Feb-25-2021,Hamline,Bailee Davis,,,,9.1750
Hamline,2021,1,no meet title,Feb-25-2021,Hamline,Danielle Jaworski,9.3000,8.9000,,
Hamline,2021,1,no meet title,Feb-25-2021,Hamline,Nikki Johnsen,9.2000,8.2500,9.3250,
Hamline,2021,1,no meet title,Feb-25-2021,Hamline,Katie Kalland,,,9.2250,
Hamline,2021,1,no meet title,Feb-25-2021,Hamline,Mary Kelly,8.9000,,,9.1000
Hamline,2021,1,no meet title,Feb-25-2021,Hamline,Madison Lieurance,,,8.2250,
Hamline,2021,1,no meet title,Feb-25-2021,Hamline,Emma Patterson,,7.9000,,
Hamline,2021,1,no meet title,Feb-25-2021,Hamline,Elizabeth Schauer,8.6000,7.9500,,9.2000
Hamline,2021,1,no meet title,Feb-25-2021,Hamline,Carolina Schlawiedt,,8.3000,,
Hamline,2021,1,no meet title,Feb-25-2021,Hamline,Madeline Sowinski,,8.0000,9.4250,8.9000
Hamline,2021,1,no meet title,Feb-25-2021,Hamline,Katie Viles,,,9.1000,8.3000
Hamline,2021,2,no meet title,Mar-12-2021,Gustavus Adolphus,Emily Anderson,9.2500,,8.6250,
Hamline,2021,2,no meet title,Mar-12-2021,Gustavus Adolphus,Bailee Davis,,,,9.1250
Hamline,2021,2,no meet title,Mar-12-2021,Gustavus Adolphus,Danielle Jaworski,9.2250,8.7000,,8.2750
Hamline,2021,2,no meet title,Mar-12-2021,Gustavus Adolphus,Nikki Johnsen,9.5250,9.0750,9.2000,
Hamline,2021,2,no meet title,Mar-12-2021,Gustavus Adolphus,Katie Kalland,,,9.2500,8.5250
Hamline,2021,2,no meet title,Mar-12-2021,Gustavus Adolphus,Mary Kelly,8.8250,,,9.1500
Hamline,2021,2,no meet title,Mar-12-2021,Gustavus Adolphus,Madison Lieurance,8.9000,,,
Hamline,2021,2,no meet title,Mar-12-2021,Gustavus Adolphus,Tisana Lowe,9.4250,8.4250,,
Hamline,2021,2,no meet title,Mar-12-2021,Gustavus Adolphus,Emma Patterson,,8.3750,,
Hamline,2021,2,no meet title,Mar-12-2021,Gustavus Adolphus,Carolina Schlawiedt,,8.3250,,
Hamline,2021,2,no meet title,Mar-12-2021,Gustavus Adolphus,Madeline Sowinski,,8.5250,9.3500,9.5250
Hamline,2021,2,no meet title,Mar-12-2021,Gustavus Adolphus,Savannah Tafolla,,,8.6000,
Hamline,2021,2,no meet title,Mar-12-2021,Gustavus Adolphus,Katie Viles,,,8.4000,7.9750
Hamline,2021,3,no meet title,Mar-20-2021,UW-Stout,Emily Anderson,9.0000,,9.5000,
Hamline,2021,3,no meet title,Mar-20-2021,UW-Stout,Bailee Davis,,,8.7000,7.9000
Hamline,2021,3,no meet title,Mar-20-2021,UW-Stout,Danielle Jaworski,9.2500,8.1000,,8.7500
Hamline,2021,3,no meet title,Mar-20-2021,UW-Stout,Nikki Johnsen,9.4000,8.0000,9.0000,
Hamline,2021,3,no meet title,Mar-20-2021,UW-Stout,Katie Kalland,,,9.5500,8.9000
Hamline,2021,3,no meet title,Mar-20-2021,UW-Stout,Mary Kelly,9.4000,,,9.4000
Hamline,2021,3,no meet title,Mar-20-2021,UW-Stout,Madison Lieurance,9.1500,7.5000,9.5500,
Hamline,2021,3,no meet title,Mar-20-2021,UW-Stout,Tisana Lowe,9.5000,8.7000,,9.5000
Hamline,2021,3,no meet title,Mar-20-2021,UW-Stout,Emma Patterson,,8.4000,,
Hamline,2021,3,no meet title,Mar-20-2021,UW-Stout,Madeline Sowinski,,8.6000,9.5000,9.4000
Hamline,2021,4,no meet title,Apr-01-2021,Hamline,Emily Anderson,9.2500,,9.0500,
Hamline,2021,4,no meet title,Apr-01-2021,Hamline,Bailee Davis,,,9.4000,8.8750
Hamline,2021,4,no meet title,Apr-01-2021,Hamline,Danielle Jaworski,8.4000,8.9500,,9.3750
Hamline,2021,4,no meet title,Apr-01-2021,Hamline,Nikki Johnsen,9.2500,8.9500,9.4500,
Hamline,2021,4,no meet title,Apr-01-2021,Hamline,Katie Kalland,,,8.8500,
Hamline,2021,4,no meet title,Apr-01-2021,Hamline,Mary Kelly,7.6000,,,9.4750
Hamline,2021,4,no meet title,Apr-01-2021,Hamline,Madison Lieurance,8.9000,8.4500,8.4500,
Hamline,2021,4,no meet title,Apr-01-2021,Hamline,Emma Patterson,,8.3000,,
Hamline,2021,4,no meet title,Apr-01-2021,Hamline,Elizabeth Schauer,8.7500,8.0500,,9.1000
Hamline,2021,4,no meet title,Apr-01-2021,Hamline,Madeline Sowinski,,9.0500,9.2500,9.6000
Hamline,2021,4,no meet title,Apr-01-2021,Hamline,Katie Viles,,,,9.2000
