team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Illinois State,2025,1,no meet title,Jan-03-2025,Missouri,Jada Beswick,,9.8000,,
Illinois State,2025,1,no meet title,Jan-03-2025,Missouri,Leah Davis,,,9.7000,
Illinois State,2025,1,no meet title,Jan-03-2025,Missouri,Kaitlyn Donovan,9.6750,,,9.7500
Illinois State,2025,1,no meet title,Jan-03-2025,Missouri,Reese Grolla,,9.7250,,
Illinois State,2025,1,no meet title,Jan-03-2025,Missouri,Julia Heiner,,9.7250,,
Illinois State,2025,1,no meet title,Jan-03-2025,Missouri,Audrey Hiatt,,,8.7000,
Illinois State,2025,1,no meet title,Jan-03-2025,Missouri,Jaly Jones,9.7250,9.7500,,9.7750
Illinois State,2025,1,no meet title,Jan-03-2025,Missouri,Alana Laster,9.8750,,9.6750,8.9250
Illinois State,2025,1,no meet title,Jan-03-2025,Missouri,Ally Lau,,,9.6500,
Illinois State,2025,1,no meet title,Jan-03-2025,Missouri,Jaye Mack,9.8250,,9.6500,9.8250
Illinois State,2025,1,no meet title,Jan-03-2025,Missouri,Mya Robinson,9.8000,9.4750,9.5500,9.6500
Illinois State,2025,1,no meet title,Jan-03-2025,Missouri,Sara Wabi,,9.7750,,9.8250
Illinois State,2025,1,no meet title,Jan-03-2025,Missouri,Sammie Wolff,9.7500,,,
Illinois State,2025,2,Next Level,Jan-11-2025,,Madison Baucom,,8.2250,,
Illinois State,2025,2,Next Level,Jan-11-2025,,Jada Beswick,,9.7750,,
Illinois State,2025,2,Next Level,Jan-11-2025,,Leah Davis,,,9.7750,
Illinois State,2025,2,Next Level,Jan-11-2025,,Kaitlyn Donovan,9.7250,,,9.8250
Illinois State,2025,2,Next Level,Jan-11-2025,,Reese Grolla,,9.6750,,
Illinois State,2025,2,Next Level,Jan-11-2025,,Julia Heiner,,9.8000,,
Illinois State,2025,2,Next Level,Jan-11-2025,,Jaly Jones,,9.7750,9.7500,9.8000
Illinois State,2025,2,Next Level,Jan-11-2025,,Alana Laster,9.8500,,9.7000,9.7250
Illinois State,2025,2,Next Level,Jan-11-2025,,Ally Lau,,,9.3250,
Illinois State,2025,2,Next Level,Jan-11-2025,,Jaye Mack,9.8250,,9.7000,9.8250
Illinois State,2025,2,Next Level,Jan-11-2025,,Mya Robinson,9.8000,,8.5750,9.6750
Illinois State,2025,2,Next Level,Jan-11-2025,,Sara Wabi,9.7750,9.8000,,9.8250
Illinois State,2025,2,Next Level,Jan-11-2025,,Sammie Wolff,9.7750,,,
Illinois State,2025,3,Windy City,Jan-17-2025,,Jada Beswick,,9.8000,,
Illinois State,2025,3,Windy City,Jan-17-2025,,Leah Davis,,,9.7750,
Illinois State,2025,3,Windy City,Jan-17-2025,,Kaitlyn Donovan,9.5750,,,9.7750
Illinois State,2025,3,Windy City,Jan-17-2025,,Reese Grolla,,9.7750,9.7750,
Illinois State,2025,3,Windy City,Jan-17-2025,,Julia Heiner,,9.2000,,
Illinois State,2025,3,Windy City,Jan-17-2025,,Jaly Jones,,9.6500,9.7750,9.8500
Illinois State,2025,3,Windy City,Jan-17-2025,,Alana Laster,9.9000,,,9.8750
Illinois State,2025,3,Windy City,Jan-17-2025,,Ally Lau,,,9.7500,
Illinois State,2025,3,Windy City,Jan-17-2025,,Jaye Mack,9.7750,,9.8250,9.9000
Illinois State,2025,3,Windy City,Jan-17-2025,,Mya Robinson,9.7750,9.6500,9.7500,9.8000
Illinois State,2025,3,Windy City,Jan-17-2025,,Sara Wabi,9.6750,9.7500,,9.8750
Illinois State,2025,3,Windy City,Jan-17-2025,,Sammie Wolff,9.7000,,,
Illinois State,2025,4,no meet title,Jan-24-2025,Northern Illinois,Jada Beswick,,9.7500,,
Illinois State,2025,4,no meet title,Jan-24-2025,Northern Illinois,Kaitlyn Donovan,9.3750,,,9.8250
Illinois State,2025,4,no meet title,Jan-24-2025,Northern Illinois,Reese Grolla,,9.8500,9.9000,
Illinois State,2025,4,no meet title,Jan-24-2025,Northern Illinois,Julia Heiner,,9.8250,,
Illinois State,2025,4,no meet title,Jan-24-2025,Northern Illinois,Jaly Jones,9.6750,,9.7000,9.7500
Illinois State,2025,4,no meet title,Jan-24-2025,Northern Illinois,Alana Laster,9.7750,,,9.9000
Illinois State,2025,4,no meet title,Jan-24-2025,Northern Illinois,Ally Lau,,,9.8750,
