team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Illinois,2024,1,Super16,Jan-05-2024,,Alea Byrne,9.7750,,,9.7750
Illinois,2024,1,Super16,Jan-05-2024,,Olivia Coppola,9.7750,,,
Illinois,2024,1,Super16,Jan-05-2024,,Destiny Denning,,9.8750,,
Illinois,2024,1,Super16,Jan-05-2024,,Kaitlyn Ewald,,9.8250,9.0750,9.7500
Illinois,2024,1,Super16,Jan-05-2024,,Kadyn Fitzgibbon,,,,9.8000
Illinois,2024,1,Super16,Jan-05-2024,,Amelia Knight,,9.8000,9.7500,
Illinois,2024,1,Super16,Jan-05-2024,,Allie Morgan,,,,
Illinois,2024,1,Super16,Jan-05-2024,,Abby Mueller,9.7750,9.8250,9.7250,
Illinois,2024,1,Super16,Jan-05-2024,,Ruthuja Nataraj,,,9.8000,
Illinois,2024,1,Super16,Jan-05-2024,,Mia Takekawa,9.8250,9.7250,9.9000,9.7250
Illinois,2024,1,Super16,Jan-05-2024,,Mia Townes,,,9.7000,9.8000
Illinois,2024,1,Super16,Jan-05-2024,,Maddie Viltolo,9.7500,,,
Illinois,2024,1,Super16,Jan-05-2024,,Arielle Ward,9.7750,9.8500,,9.6750
Illinois,2024,2,no meet title,Jan-13-2024,Illinois,Alea Byrne,9.7500,,9.6500,9.8750
Illinois,2024,2,no meet title,Jan-13-2024,Illinois,Olivia Coppola,9.6750,,,
Illinois,2024,2,no meet title,Jan-13-2024,Illinois,Destiny Denning,,9.9000,,
Illinois,2024,2,no meet title,Jan-13-2024,Illinois,Kaitlyn Ewald,,9.9500,,
Illinois,2024,2,no meet title,Jan-13-2024,Illinois,Kadyn Fitzgibbon,,,,9.8750
Illinois,2024,2,no meet title,Jan-13-2024,Illinois,Amelia Knight,,9.8500,9.9000,9.8750
Illinois,2024,2,no meet title,Jan-13-2024,Illinois,Abby Mueller,9.8000,9.8250,9.0250,9.8750
Illinois,2024,2,no meet title,Jan-13-2024,Illinois,Ruthuja Nataraj,9.8500,,9.8500,
Illinois,2024,2,no meet title,Jan-13-2024,Illinois,Mia Takekawa,9.8500,9.4000,9.9000,9.7500
Illinois,2024,2,no meet title,Jan-13-2024,Illinois,Mia Townes,,,9.8250,
Illinois,2024,2,no meet title,Jan-13-2024,Illinois,Arielle Ward,9.8250,9.3000,,9.8750
Illinois,2024,3,no meet title,Jan-20-2024,Nebraska,Alea Byrne,9.7500,,,9.8750
Illinois,2024,3,no meet title,Jan-20-2024,Nebraska,Olivia Coppola,9.7500,,,
Illinois,2024,3,no meet title,Jan-20-2024,Nebraska,Destiny Denning,,9.7500,,
Illinois,2024,3,no meet title,Jan-20-2024,Nebraska,Kaitlyn Ewald,,9.8250,9.7500,
Illinois,2024,3,no meet title,Jan-20-2024,Nebraska,Kadyn Fitzgibbon,,,,9.8500
Illinois,2024,3,no meet title,Jan-20-2024,Nebraska,Amelia Knight,,9.9250,9.8250,9.7000
Illinois,2024,3,no meet title,Jan-20-2024,Nebraska,Abby Mueller,9.7000,9.8500,9.7500,9.9500
Illinois,2024,3,no meet title,Jan-20-2024,Nebraska,Ruthuja Nataraj,9.8250,,9.1500,
Illinois,2024,3,no meet title,Jan-20-2024,Nebraska,Mia Takekawa,9.7500,9.8500,9.9000,9.7500
Illinois,2024,3,no meet title,Jan-20-2024,Nebraska,Mia Townes,,,9.7750,
Illinois,2024,3,no meet title,Jan-20-2024,Nebraska,Arielle Ward,9.8500,9.7500,,9.8500
Illinois,2024,4,no meet title,Jan-29-2024,Ohio State,Alea Byrne,9.6250,,,
Illinois,2024,4,no meet title,Jan-29-2024,Ohio State,Olivia Coppola,9.8000,,,
Illinois,2024,4,no meet title,Jan-29-2024,Ohio State,Destiny Denning,,9.9000,,
