team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Iowa State,2016,1,no meet title,Jan-09-2016,Minnesota,Sydney Converse,,,9.6500,8.8250
Iowa State,2016,1,no meet title,Jan-09-2016,Minnesota,Hilary Green,,9.8250,9.6250,
Iowa State,2016,1,no meet title,Jan-09-2016,Minnesota,Briana Ledesma,9.7000,9.7250,,9.7500
Iowa State,2016,1,no meet title,Jan-09-2016,Minnesota,Alex Marasco,9.7000,,9.8000,
Iowa State,2016,1,no meet title,Jan-09-2016,Minnesota,Kelly Martin,9.5750,,,
Iowa State,2016,1,no meet title,Jan-09-2016,Minnesota,Micole O'dell,,,,9.5500
Iowa State,2016,1,no meet title,Jan-09-2016,Minnesota,Kelsey Paz,9.5750,9.7250,9.5250,9.7250
Iowa State,2016,1,no meet title,Jan-09-2016,Minnesota,Samantha Pearsall,,9.1250,9.4250,
Iowa State,2016,1,no meet title,Jan-09-2016,Minnesota,Meaghan Sievers,9.8500,9.5000,,9.8250
Iowa State,2016,1,no meet title,Jan-09-2016,Minnesota,Sara Townsend,,9.7000,,
Iowa State,2016,1,no meet title,Jan-09-2016,Minnesota,Haylee Young,9.7000,,9.8000,9.7750
Iowa State,2016,2,Ozone Collegiate Gymnastics Classic,Jan-16-2016,,Sydney Converse,9.7000,,9.6500,9.7750
Iowa State,2016,2,Ozone Collegiate Gymnastics Classic,Jan-16-2016,,Hilary Green,,9.8750,,
Iowa State,2016,2,Ozone Collegiate Gymnastics Classic,Jan-16-2016,,Briana Ledesma,9.7250,9.7250,,9.8750
Iowa State,2016,2,Ozone Collegiate Gymnastics Classic,Jan-16-2016,,Alex Marasco,9.6750,,9.7250,
Iowa State,2016,2,Ozone Collegiate Gymnastics Classic,Jan-16-2016,,Micole O'dell,,,,9.7250
Iowa State,2016,2,Ozone Collegiate Gymnastics Classic,Jan-16-2016,,Kelsey Paz,,9.7250,9.2750,9.8250
Iowa State,2016,2,Ozone Collegiate Gymnastics Classic,Jan-16-2016,,Samantha Pearsall,,9.6750,9.2500,
Iowa State,2016,2,Ozone Collegiate Gymnastics Classic,Jan-16-2016,,Meaghan Sievers,9.7500,9.8000,9.1000,9.8250
Iowa State,2016,2,Ozone Collegiate Gymnastics Classic,Jan-16-2016,,Sara Townsend,9.6250,9.6750,,
Iowa State,2016,2,Ozone Collegiate Gymnastics Classic,Jan-16-2016,,Haylee Young,9.5500,,9.8250,9.9000
Iowa State,2016,3,no meet title,Jan-22-2016,Oklahoma,Sydney Converse,9.8000,,9.2250,9.8750
Iowa State,2016,3,no meet title,Jan-22-2016,Oklahoma,Hilary Green,,9.8250,,
