team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Iowa,2016,1,Cancun Classic,Jan-02-2016,,Savannah Borman,,,,9.7750
Iowa,2016,1,Cancun Classic,Jan-02-2016,,Mollie Drenth,9.8250,9.8250,9.2500,9.6500
Iowa,2016,1,Cancun Classic,Jan-02-2016,,Ashley Fischer,9.6750,,,9.6000
Iowa,2016,1,Cancun Classic,Jan-02-2016,,Alie Glover,9.7750,,9.1250,9.8000
Iowa,2016,1,Cancun Classic,Jan-02-2016,,Angel Metcalf,9.7500,9.7750,9.0750,9.6750
Iowa,2016,1,Cancun Classic,Jan-02-2016,,Lexi Mura,,9.0000,9.6500,
Iowa,2016,1,Cancun Classic,Jan-02-2016,,Maria  Ortiz,9.8500,,,
Iowa,2016,1,Cancun Classic,Jan-02-2016,,Rose Piorkowski,9.7500,,,
Iowa,2016,1,Cancun Classic,Jan-02-2016,,Lanie Snyder,,9.7500,,
Iowa,2016,1,Cancun Classic,Jan-02-2016,,Johanny Sotillo,,8.9500,9.7500,
Iowa,2016,1,Cancun Classic,Jan-02-2016,,Nikki Youd,,,9.6000,
Iowa,2016,1,Cancun Classic,Jan-02-2016,,Melissa Zurawski,,9.0750,,9.8250
Iowa,2016,2,no meet title,Jan-09-2016,Iowa,Savannah Borman,,,,9.5750
Iowa,2016,2,no meet title,Jan-09-2016,Iowa,Misty-Jade  Carlson,,9.4250,,
Iowa,2016,2,no meet title,Jan-09-2016,Iowa,Mollie Drenth,9.6500,9.8000,9.8750,9.8250
Iowa,2016,2,no meet title,Jan-09-2016,Iowa,Ashleigh Edlin,,,9.1500,
Iowa,2016,2,no meet title,Jan-09-2016,Iowa,Ashley Fischer,9.5000,,,9.6500
Iowa,2016,2,no meet title,Jan-09-2016,Iowa,Alie Glover,9.6750,,9.8000,9.8500
Iowa,2016,2,no meet title,Jan-09-2016,Iowa,Angel Metcalf,9.5750,9.8500,9.8500,9.8000
Iowa,2016,2,no meet title,Jan-09-2016,Iowa,Maria  Ortiz,9.8000,,,
Iowa,2016,2,no meet title,Jan-09-2016,Iowa,Rose Piorkowski,9.7500,,,
Iowa,2016,2,no meet title,Jan-09-2016,Iowa,Lanie Snyder,,9.7750,,
Iowa,2016,2,no meet title,Jan-09-2016,Iowa,Johanny Sotillo,,9.7750,9.2500,
Iowa,2016,2,no meet title,Jan-09-2016,Iowa,Nikki Youd,,,9.3750,
Iowa,2016,2,no meet title,Jan-09-2016,Iowa,Melissa Zurawski,,9.8500,,9.7250
Iowa,2016,3,Tumbles & Take Downs,Jan-15-2016,Michigan State,Savannah Borman,,,9.6250,9.7250
Iowa,2016,3,Tumbles & Take Downs,Jan-15-2016,Michigan State,Mollie Drenth,9.7750,9.8000,9.7500,9.8000
Iowa,2016,3,Tumbles & Take Downs,Jan-15-2016,Michigan State,Alie Glover,9.7250,,9.6750,9.7750
Iowa,2016,3,Tumbles & Take Downs,Jan-15-2016,Michigan State,Angel Metcalf,9.6750,9.8250,9.1500,9.7500
Iowa,2016,3,Tumbles & Take Downs,Jan-15-2016,Michigan State,Lexi Mura,,9.7250,,
Iowa,2016,3,Tumbles & Take Downs,Jan-15-2016,Michigan State,Maria  Ortiz,9.7750,,,
Iowa,2016,3,Tumbles & Take Downs,Jan-15-2016,Michigan State,Rose Piorkowski,9.5250,,,
Iowa,2016,3,Tumbles & Take Downs,Jan-15-2016,Michigan State,Lanie Snyder,,9.6500,,9.4250
Iowa,2016,3,Tumbles & Take Downs,Jan-15-2016,Michigan State,Johanny Sotillo,,9.8500,9.8250,
Iowa,2016,3,Tumbles & Take Downs,Jan-15-2016,Michigan State,Nikki Youd,,,9.7250,
Iowa,2016,3,Tumbles & Take Downs,Jan-15-2016,Michigan State,Melissa Zurawski,9.6750,9.7000,,9.7250
Iowa,2016,4,no meet title,Jan-18-2016,Iowa,Savannah Borman,,,9.7500,8.8750
Iowa,2016,4,no meet title,Jan-18-2016,Iowa,Mollie Drenth,9.8000,9.6750,9.7750,9.8500
Iowa,2016,4,no meet title,Jan-18-2016,Iowa,Alie Glover,9.7500,,9.1750,9.7750
Iowa,2016,4,no meet title,Jan-18-2016,Iowa,Angel Metcalf,9.7500,9.7250,9.7750,9.7500
Iowa,2016,4,no meet title,Jan-18-2016,Iowa,Lexi Mura,,9.7250,,
Iowa,2016,4,no meet title,Jan-18-2016,Iowa,Maria  Ortiz,9.2000,,,
Iowa,2016,4,no meet title,Jan-18-2016,Iowa,Rose Piorkowski,9.6750,,,
Iowa,2016,4,no meet title,Jan-18-2016,Iowa,Lanie Snyder,,9.7750,,9.8250
Iowa,2016,4,no meet title,Jan-18-2016,Iowa,Johanny Sotillo,,9.8250,9.8250,
Iowa,2016,4,no meet title,Jan-18-2016,Iowa,Nikki Youd,,,9.1000,
Iowa,2016,4,no meet title,Jan-18-2016,Iowa,Melissa Zurawski,9.6750,9.7500,,9.7750
Iowa,2016,5,no meet title,Jan-23-2016,Iowa,Savannah Borman,,,8.9750,
Iowa,2016,5,no meet title,Jan-23-2016,Iowa,Misty-Jade  Carlson,9.7250,,,
Iowa,2016,5,no meet title,Jan-23-2016,Iowa,Mollie Drenth,9.7250,9.8500,9.9000,9.8250
Iowa,2016,5,no meet title,Jan-23-2016,Iowa,Ashleigh Edlin,,,9.7250,8.9500
Iowa,2016,5,no meet title,Jan-23-2016,Iowa,Alie Glover,9.8000,,9.8250,9.9000
Iowa,2016,5,no meet title,Jan-23-2016,Iowa,Angel Metcalf,9.7750,9.8000,9.8750,9.8250
Iowa,2016,5,no meet title,Jan-23-2016,Iowa,Lexi Mura,,9.8500,,
Iowa,2016,5,no meet title,Jan-23-2016,Iowa,Maria  Ortiz,9.8500,,,
Iowa,2016,5,no meet title,Jan-23-2016,Iowa,Rose Piorkowski,9.8500,,,
Iowa,2016,5,no meet title,Jan-23-2016,Iowa,Lanie Snyder,,9.8000,,9.8500
Iowa,2016,5,no meet title,Jan-23-2016,Iowa,Johanny Sotillo,,9.8000,9.6750,
Iowa,2016,5,no meet title,Jan-23-2016,Iowa,Melissa Zurawski,,9.8750,,9.8000
Iowa,2016,6,no meet title,Jan-31-2016,Maryland,Savannah Borman,,,9.7250,9.7000
