team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Ithaca College,2020,1,no meet title,Jan-18-2020,Brockport,Kaela Azzaretto,,,,8.6000
Ithaca College,2020,1,no meet title,Jan-18-2020,Brockport,Kylee Black,,,9.2750,
Ithaca College,2020,1,no meet title,Jan-18-2020,Brockport,Courtney Christoforo,9.4250,8.4750,,
Ithaca College,2020,1,no meet title,Jan-18-2020,Brockport,Molly Greenspan,,9.2500,,
Ithaca College,2020,1,no meet title,Jan-18-2020,Brockport,Alexis Griffin,,,,9.4000
Ithaca College,2020,1,no meet title,Jan-18-2020,Brockport,Katie Holcomb,,8.8500,6.3000,
Ithaca College,2020,1,no meet title,Jan-18-2020,Brockport,Bee Iosso,,,,8.9500
Ithaca College,2020,1,no meet title,Jan-18-2020,Brockport,Zoe Kyriakopoulos,,8.3000,9.5750,
Ithaca College,2020,1,no meet title,Jan-18-2020,Brockport,Paige Landes,,,9.5250,
Ithaca College,2020,1,no meet title,Jan-18-2020,Brockport,Cassidy Marquette,9.3000,,9.4750,9.0250
Ithaca College,2020,1,no meet title,Jan-18-2020,Brockport,Cameryn Nichols,9.5000,9.1500,9.0500,9.7000
Ithaca College,2020,1,no meet title,Jan-18-2020,Brockport,Nya Pauldon,9.1500,,,
Ithaca College,2020,1,no meet title,Jan-18-2020,Brockport,Baylie Trammell,8.8500,8.3000,,9.4250
Ithaca College,2020,1,no meet title,Jan-18-2020,Brockport,Ai-Zhen  Tung,9.2500,,,
Ithaca College,2020,2,no meet title,Jan-26-2020,Ursinus College,Kaela Azzaretto,,,,8.0000
Ithaca College,2020,2,no meet title,Jan-26-2020,Ursinus College,Courtney Christoforo,9.0750,9.1000,,
Ithaca College,2020,2,no meet title,Jan-26-2020,Ursinus College,Molly Greenspan,,6.4500,,
Ithaca College,2020,2,no meet title,Jan-26-2020,Ursinus College,Alexis Griffin,,,,9.1000
Ithaca College,2020,2,no meet title,Jan-26-2020,Ursinus College,Katie Holcomb,,9.4000,9.6750,
Ithaca College,2020,2,no meet title,Jan-26-2020,Ursinus College,Bee Iosso,,,,7.8500
Ithaca College,2020,2,no meet title,Jan-26-2020,Ursinus College,Zoe Kyriakopoulos,,8.0250,9.2250,
Ithaca College,2020,2,no meet title,Jan-26-2020,Ursinus College,Paige Landes,,,9.5000,
Ithaca College,2020,2,no meet title,Jan-26-2020,Ursinus College,Cassidy Marquette,8.9250,,8.6500,9.4500
Ithaca College,2020,2,no meet title,Jan-26-2020,Ursinus College,Cameryn Nichols,9.2250,7.4000,9.0500,9.6000
