team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Kent State,2016,1,no meet title,Jan-10-2016,Kent State,Nicolle Eastman,8.9000,,9.7250,9.8250
Kent State,2016,1,no meet title,Jan-10-2016,Kent State,Jordan Hardison,9.7000,,,9.8500
Kent State,2016,1,no meet title,Jan-10-2016,Kent State,Kayla Kosmerl,,,,9.7750
Kent State,2016,1,no meet title,Jan-10-2016,Kent State,Skyelee Lamano,9.6250,9.8000,,9.5000
Kent State,2016,1,no meet title,Jan-10-2016,Kent State,Sarah Lippowitsch,,9.7500,9.7500,
Kent State,2016,1,no meet title,Jan-10-2016,Kent State,Ali Marrero,,9.8750,9.7000,
Kent State,2016,1,no meet title,Jan-10-2016,Kent State,Kennedy Plude,9.7000,,9.7000,
Kent State,2016,1,no meet title,Jan-10-2016,Kent State,Michaela Romito,,,,9.6750
Kent State,2016,1,no meet title,Jan-10-2016,Kent State,Rachel Stypinski,,9.9000,9.0500,9.9000
Kent State,2016,1,no meet title,Jan-10-2016,Kent State,Brooke Timko,9.7000,9.8000,9.5500,
Kent State,2016,1,no meet title,Jan-10-2016,Kent State,Dara Williams,9.8500,8.9000,,
Kent State,2016,2,no meet title,Jan-15-2016,Utah State,Nicolle Eastman,9.2250,,8.8250,9.8000
Kent State,2016,2,no meet title,Jan-15-2016,Utah State,Jordan Hardison,9.6500,,,9.8250
Kent State,2016,2,no meet title,Jan-15-2016,Utah State,Kayla Kosmerl,,,,9.6250
Kent State,2016,2,no meet title,Jan-15-2016,Utah State,Skyelee Lamano,9.5750,9.6750,,9.7000
Kent State,2016,2,no meet title,Jan-15-2016,Utah State,Sarah Lippowitsch,,9.2500,9.4750,
Kent State,2016,2,no meet title,Jan-15-2016,Utah State,Ali Marrero,,9.6750,9.6750,
Kent State,2016,2,no meet title,Jan-15-2016,Utah State,Kennedy Plude,9.7000,,9.7500,
Kent State,2016,2,no meet title,Jan-15-2016,Utah State,Michaela Romito,,,,9.7750
Kent State,2016,2,no meet title,Jan-15-2016,Utah State,Rachel Stypinski,,8.8500,9.8500,9.8000
Kent State,2016,2,no meet title,Jan-15-2016,Utah State,Brooke Timko,9.5750,9.7500,9.7000,
Kent State,2016,2,no meet title,Jan-15-2016,Utah State,Dara Williams,9.7500,9.5500,,
