team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Kentucky,2024,1,Super16,Jan-05-2024,,Creslyn Brose,,,,9.8250
Kentucky,2024,1,Super16,Jan-05-2024,,Bailey Bunn,,9.8500,9.8250,
Kentucky,2024,1,Super16,Jan-05-2024,,Hailey Davis,,9.8000,,9.8000
Kentucky,2024,1,Super16,Jan-05-2024,,Cadence Gormley,,,9.8000,
Kentucky,2024,1,Super16,Jan-05-2024,,Isabella Magnelli,9.8000,,9.7000,9.7500
Kentucky,2024,1,Super16,Jan-05-2024,,Arianna Patterson,9.8000,,9.0500,
Kentucky,2024,1,Super16,Jan-05-2024,,Jillian Procasky,,9.8500,,
Kentucky,2024,1,Super16,Jan-05-2024,,Annie Reigert,,9.8500,,
Kentucky,2024,1,Super16,Jan-05-2024,,Cecily Rizo,9.8000,,,
Kentucky,2024,1,Super16,Jan-05-2024,,Delaynee Rodriguez,9.8500,9.8250,9.8750,9.8000
Kentucky,2024,1,Super16,Jan-05-2024,,Makenzie Wilson,9.9500,,,9.7250
Kentucky,2024,1,Super16,Jan-05-2024,,Raena Worley,9.8750,9.9750,9.9000,9.8750
Kentucky,2024,2,no meet title,Jan-12-2024,Auburn,Creslyn Brose,,,,9.9500
Kentucky,2024,2,no meet title,Jan-12-2024,Auburn,Bailey Bunn,,9.8000,9.9500,
Kentucky,2024,2,no meet title,Jan-12-2024,Auburn,Hailey Davis,,,,9.9000
Kentucky,2024,2,no meet title,Jan-12-2024,Auburn,Cadence Gormley,,9.7750,9.7500,
Kentucky,2024,2,no meet title,Jan-12-2024,Auburn,Isabella Magnelli,9.8000,,9.8750,
Kentucky,2024,2,no meet title,Jan-12-2024,Auburn,Arianna Patterson,9.8750,,9.8500,
Kentucky,2024,2,no meet title,Jan-12-2024,Auburn,Jillian Procasky,,9.8500,,9.8750
Kentucky,2024,2,no meet title,Jan-12-2024,Auburn,Annie Reigert,,9.7500,,
Kentucky,2024,2,no meet title,Jan-12-2024,Auburn,Cecily Rizo,9.9000,,,
Kentucky,2024,2,no meet title,Jan-12-2024,Auburn,Delaynee Rodriguez,9.8500,9.8250,9.8500,9.8250
Kentucky,2024,2,no meet title,Jan-12-2024,Auburn,Makenzie Wilson,9.8750,,,9.8250
Kentucky,2024,2,no meet title,Jan-12-2024,Auburn,Raena Worley,9.8750,9.9250,9.9000,9.9500
Kentucky,2024,3,no meet title,Jan-19-2024,LSU,Creslyn Brose,,,,9.9250
Kentucky,2024,3,no meet title,Jan-19-2024,LSU,Bailey Bunn,,9.8750,9.5000,
Kentucky,2024,3,no meet title,Jan-19-2024,LSU,Hailey Davis,,,,9.9000
Kentucky,2024,3,no meet title,Jan-19-2024,LSU,Cadence Gormley,,9.7750,9.7500,
Kentucky,2024,3,no meet title,Jan-19-2024,LSU,Isabella Magnelli,9.8500,,9.9000,9.8500
Kentucky,2024,3,no meet title,Jan-19-2024,LSU,Arianna Patterson,9.9250,,9.8500,9.8500
Kentucky,2024,3,no meet title,Jan-19-2024,LSU,Annie Reigert,,9.8750,,
Kentucky,2024,3,no meet title,Jan-19-2024,LSU,Cecily Rizo,9.7500,9.8250,,
Kentucky,2024,3,no meet title,Jan-19-2024,LSU,Delaynee Rodriguez,9.8500,9.9000,9.8500,9.8500
Kentucky,2024,3,no meet title,Jan-19-2024,LSU,Makenzie Wilson,9.9000,,,
Kentucky,2024,3,no meet title,Jan-19-2024,LSU,Raena Worley,9.8750,9.9750,9.9250,9.9500
Kentucky,2024,4,no meet title,Jan-26-2024,Kentucky,Creslyn Brose,,,9.8500,9.9750
Kentucky,2024,4,no meet title,Jan-26-2024,Kentucky,Bailey Bunn,,9.8750,9.9000,
Kentucky,2024,4,no meet title,Jan-26-2024,Kentucky,Hailey Davis,,,,9.9000
Kentucky,2024,4,no meet title,Jan-26-2024,Kentucky,Isabella Magnelli,9.9250,,9.9250,9.8500
Kentucky,2024,4,no meet title,Jan-26-2024,Kentucky,Arianna Patterson,9.8750,,9.8250,9.9250
Kentucky,2024,4,no meet title,Jan-26-2024,Kentucky,Jillian Procasky,,9.9000,,
Kentucky,2024,4,no meet title,Jan-26-2024,Kentucky,Annie Reigert,,9.8500,,
Kentucky,2024,4,no meet title,Jan-26-2024,Kentucky,Cecily Rizo,9.8500,9.7750,,
Kentucky,2024,4,no meet title,Jan-26-2024,Kentucky,Delaynee Rodriguez,9.7250,9.8500,9.9000,9.8500
Kentucky,2024,4,no meet title,Jan-26-2024,Kentucky,Makenzie Wilson,10.0000,,,
Kentucky,2024,4,no meet title,Jan-26-2024,Kentucky,Raena Worley,9.9000,9.8500,9.8500,10.0000
Kentucky,2024,5,no meet title,Feb-02-2024,Alabama,Creslyn Brose,,,9.8000,9.9000
Kentucky,2024,5,no meet title,Feb-02-2024,Alabama,Bailey Bunn,,9.8750,9.1500,
Kentucky,2024,5,no meet title,Feb-02-2024,Alabama,Hailey Davis,,,,9.9000
Kentucky,2024,5,no meet title,Feb-02-2024,Alabama,Isabella Magnelli,9.8750,,9.9250,
Kentucky,2024,5,no meet title,Feb-02-2024,Alabama,Arianna Patterson,9.9000,,9.8750,9.8750
Kentucky,2024,5,no meet title,Feb-02-2024,Alabama,Jillian Procasky,,9.8750,,9.8500
Kentucky,2024,5,no meet title,Feb-02-2024,Alabama,Annie Reigert,,9.7000,,
Kentucky,2024,5,no meet title,Feb-02-2024,Alabama,Cecily Rizo,9.8500,9.7500,,
Kentucky,2024,5,no meet title,Feb-02-2024,Alabama,Delaynee Rodriguez,9.7750,9.7750,9.8750,9.8500
Kentucky,2024,5,no meet title,Feb-02-2024,Alabama,Makenzie Wilson,9.9500,,,
Kentucky,2024,5,no meet title,Feb-02-2024,Alabama,Raena Worley,9.8500,9.9500,9.9500,10.0000
Kentucky,2024,6,no meet title,Feb-09-2024,Kentucky,Creslyn Brose,,,9.8000,9.9500
Kentucky,2024,6,no meet title,Feb-09-2024,Kentucky,Hailey Davis,,9.8500,,9.9500
Kentucky,2024,6,no meet title,Feb-09-2024,Kentucky,Isabella Magnelli,9.9000,,9.6500,9.9500
Kentucky,2024,6,no meet title,Feb-09-2024,Kentucky,Arianna Patterson,9.9250,,9.6000,
Kentucky,2024,6,no meet title,Feb-09-2024,Kentucky,Annie Reigert,,9.7500,,
Kentucky,2024,6,no meet title,Feb-09-2024,Kentucky,Cecily Rizo,9.8250,9.8000,9.1250,
Kentucky,2024,6,no meet title,Feb-09-2024,Kentucky,Delaynee Rodriguez,9.8250,9.9000,9.8500,9.8500
Kentucky,2024,6,no meet title,Feb-09-2024,Kentucky,Claire Stippich,,9.8000,,
Kentucky,2024,6,no meet title,Feb-09-2024,Kentucky,Makenzie Wilson,9.9500,,,9.9250
Kentucky,2024,6,no meet title,Feb-09-2024,Kentucky,Raena Worley,9.9000,9.9500,9.9000,9.9750
Kentucky,2024,7,no meet title,Feb-16-2024,Kentucky,Creslyn Brose,,,9.8000,9.9500
Kentucky,2024,7,no meet title,Feb-16-2024,Kentucky,Bailey Bunn,,9.8500,,
Kentucky,2024,7,no meet title,Feb-16-2024,Kentucky,Hailey Davis,,9.8500,,9.9000
Kentucky,2024,7,no meet title,Feb-16-2024,Kentucky,Isabella Magnelli,9.8750,,9.9500,9.9250
Kentucky,2024,7,no meet title,Feb-16-2024,Kentucky,Arianna Patterson,9.9250,,9.9000,
Kentucky,2024,7,no meet title,Feb-16-2024,Kentucky,Annie Reigert,,9.8500,,
Kentucky,2024,7,no meet title,Feb-16-2024,Kentucky,Cecily Rizo,9.7750,9.8500,9.8000,
Kentucky,2024,7,no meet title,Feb-16-2024,Kentucky,Delaynee Rodriguez,9.7250,9.9000,9.6750,9.8500
Kentucky,2024,7,no meet title,Feb-16-2024,Kentucky,Makenzie Wilson,9.8500,,,9.9250
Kentucky,2024,7,no meet title,Feb-16-2024,Kentucky,Raena Worley,9.9000,10.0000,9.8750,9.9750
Kentucky,2024,8,no meet title,Feb-23-2024,Arkansas,Creslyn Brose,,,9.8500,9.9500
Kentucky,2024,8,no meet title,Feb-23-2024,Arkansas,Bailey Bunn,,9.9000,9.8750,
Kentucky,2024,8,no meet title,Feb-23-2024,Arkansas,Hailey Davis,,9.8000,,9.9000
Kentucky,2024,8,no meet title,Feb-23-2024,Arkansas,Isabella Magnelli,9.8500,,9.8750,9.9000
Kentucky,2024,8,no meet title,Feb-23-2024,Arkansas,Arianna Patterson,9.8000,,9.8250,
Kentucky,2024,8,no meet title,Feb-23-2024,Arkansas,Jillian Procasky,,9.8500,,
Kentucky,2024,8,no meet title,Feb-23-2024,Arkansas,Cecily Rizo,9.8000,9.8250,,
Kentucky,2024,8,no meet title,Feb-23-2024,Arkansas,Delaynee Rodriguez,9.7500,9.8750,9.8250,9.7750
Kentucky,2024,8,no meet title,Feb-23-2024,Arkansas,Makenzie Wilson,9.8750,,,9.8000
Kentucky,2024,8,no meet title,Feb-23-2024,Arkansas,Raena Worley,9.7000,9.8250,9.8500,9.9750
Kentucky,2024,9,no meet title,Mar-03-2024,Kentucky,Creslyn Brose,,,9.7750,9.9750
Kentucky,2024,9,no meet title,Mar-03-2024,Kentucky,Bailey Bunn,,9.8000,9.8750,
Kentucky,2024,9,no meet title,Mar-03-2024,Kentucky,Hailey Davis,,9.8250,,9.9250
Kentucky,2024,9,no meet title,Mar-03-2024,Kentucky,Isabella Magnelli,9.9000,,9.9500,9.9250
Kentucky,2024,9,no meet title,Mar-03-2024,Kentucky,Arianna Patterson,9.9250,,9.1000,
Kentucky,2024,9,no meet title,Mar-03-2024,Kentucky,Jillian Procasky,,9.9250,,
Kentucky,2024,9,no meet title,Mar-03-2024,Kentucky,Cecily Rizo,9.8500,9.8750,,
Kentucky,2024,9,no meet title,Mar-03-2024,Kentucky,Delaynee Rodriguez,9.8250,9.8750,9.8750,9.8750
Kentucky,2024,9,no meet title,Mar-03-2024,Kentucky,Makenzie Wilson,10.0000,,,9.9250
Kentucky,2024,9,no meet title,Mar-03-2024,Kentucky,Raena Worley,9.7750,9.9500,9.9250,10.0000
Kentucky,2024,10,no meet title,Mar-08-2024,North Carolina,Creslyn Brose,,,9.6000,9.9250
Kentucky,2024,10,no meet title,Mar-08-2024,North Carolina,Bailey Bunn,,9.8750,9.8500,
Kentucky,2024,10,no meet title,Mar-08-2024,North Carolina,Hailey Davis,,9.8500,,9.8750
Kentucky,2024,10,no meet title,Mar-08-2024,North Carolina,Isabella Magnelli,9.8750,,9.9250,9.9500
Kentucky,2024,10,no meet title,Mar-08-2024,North Carolina,Arianna Patterson,9.8250,,9.9000,9.7750
Kentucky,2024,10,no meet title,Mar-08-2024,North Carolina,Jillian Procasky,,9.8750,,
Kentucky,2024,10,no meet title,Mar-08-2024,North Carolina,Cecily Rizo,9.8000,9.9000,,
Kentucky,2024,10,no meet title,Mar-08-2024,North Carolina,Delaynee Rodriguez,9.6750,9.9500,9.8500,9.8500
Kentucky,2024,10,no meet title,Mar-08-2024,North Carolina,Makenzie Wilson,9.8750,,,
Kentucky,2024,10,no meet title,Mar-08-2024,North Carolina,Raena Worley,9.8750,9.9000,9.9250,10.0000
Kentucky,2024,11,Kidney Care Women's Gymnastics Championship,Mar-16-2024,,Creslyn Brose,,,9.9000,9.9750
