team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
LIU,2021,1,no meet title,Feb-13-2021,LIU,Ella Barrington,,,9.5500,
LIU,2021,1,no meet title,Feb-13-2021,LIU,Charli Cohen,,9.4250,,8.9500
LIU,2021,1,no meet title,Feb-13-2021,LIU,Taylor Doten,,,9.7500,
LIU,2021,1,no meet title,Feb-13-2021,LIU,Riley Goldberg,,,,9.4750
LIU,2021,1,no meet title,Feb-13-2021,LIU,Izzy Hilliard,,8.6500,,
LIU,2021,1,no meet title,Feb-13-2021,LIU,Katy Koopman,9.5250,9.6000,9.5250,9.5250
LIU,2021,1,no meet title,Feb-13-2021,LIU,Alisson Lapp,,9.7000,9.8000,9.6750
LIU,2021,1,no meet title,Feb-13-2021,LIU,Amanda Loo,9.2250,,,9.7250
LIU,2021,1,no meet title,Feb-13-2021,LIU,Lauren Miller,9.3750,9.5000,,9.6500
LIU,2021,1,no meet title,Feb-13-2021,LIU,Alana Ricketts,9.6250,,9.5500,
LIU,2021,1,no meet title,Feb-13-2021,LIU,Nika Takagi,,8.4500,,
LIU,2021,1,no meet title,Feb-13-2021,LIU,Alyssa van Allen,9.5000,,9.7500,
LIU,2021,2,no meet title,Feb-19-2021,Towson,Ella Castellanos,,9.6250,,
LIU,2021,2,no meet title,Feb-19-2021,Towson,Charli Cohen,,,,9.0750
LIU,2021,2,no meet title,Feb-19-2021,Towson,Taylor Doten,,,9.0250,
LIU,2021,2,no meet title,Feb-19-2021,Towson,Izzy Hilliard,,9.3000,,
LIU,2021,2,no meet title,Feb-19-2021,Towson,Reagan Jones,,,,8.0000
LIU,2021,2,no meet title,Feb-19-2021,Towson,Katy Koopman,9.6500,9.0500,9.0000,8.2750
LIU,2021,2,no meet title,Feb-19-2021,Towson,Alisson Lapp,,9.6000,9.8000,9.3500
LIU,2021,2,no meet title,Feb-19-2021,Towson,Amanda Loo,9.5250,,,9.6000
LIU,2021,2,no meet title,Feb-19-2021,Towson,Lauren Miller,9.6250,9.3500,,9.6250
LIU,2021,2,no meet title,Feb-19-2021,Towson,Alana Ricketts,9.5000,,9.5500,
LIU,2021,2,no meet title,Feb-19-2021,Towson,Nika Takagi,,9.6000,7.3000,
LIU,2021,2,no meet title,Feb-19-2021,Towson,Alyssa van Allen,9.4500,,9.5500,
LIU,2021,3,no meet title,Feb-21-2021,New Hampshire,Ella Barrington,,,9.0750,
LIU,2021,3,no meet title,Feb-21-2021,New Hampshire,Ella Castellanos,,8.9750,,
LIU,2021,3,no meet title,Feb-21-2021,New Hampshire,Charli Cohen,,,,9.4750
LIU,2021,3,no meet title,Feb-21-2021,New Hampshire,Taylor Doten,,,9.5250,
LIU,2021,3,no meet title,Feb-21-2021,New Hampshire,Izzy Hilliard,,8.0250,,
LIU,2021,3,no meet title,Feb-21-2021,New Hampshire,Reagan Jones,,,,8.1750
LIU,2021,3,no meet title,Feb-21-2021,New Hampshire,Katy Koopman,9.0000,9.2750,9.5250,9.6250
