team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
LSU,2017,1,no meet title,Jan-06-2017,LSU,Julianna  Cannamela,9.8250,,,
LSU,2017,1,no meet title,Jan-06-2017,LSU,Kennedi  Edney,9.9500,9.8750,,
LSU,2017,1,no meet title,Jan-06-2017,LSU,Sydney Ewing,9.8750,,9.9000,9.8500
LSU,2017,1,no meet title,Jan-06-2017,LSU,Sarah Finnegan,9.8500,9.9000,9.9500,
LSU,2017,1,no meet title,Jan-06-2017,LSU,Ashleigh Gnat,9.9250,9.7750,9.8750,9.9500
LSU,2017,1,no meet title,Jan-06-2017,LSU,Myia Hambrick,9.9250,9.8750,9.8750,9.9000
LSU,2017,1,no meet title,Jan-06-2017,LSU,McKenna Kelley,,,,9.9250
LSU,2017,1,no meet title,Jan-06-2017,LSU,Lauren Li,,,9.8500,
LSU,2017,1,no meet title,Jan-06-2017,LSU,Erin Macadaeg,,,9.8500,
LSU,2017,1,no meet title,Jan-06-2017,LSU,Lexie Priessman,,9.8750,,9.2000
LSU,2017,1,no meet title,Jan-06-2017,LSU,Shae Zamardi,,9.8500,,9.8500
LSU,2017,2,no meet title,Jan-13-2017,Alabama,Kennedi  Edney,9.9000,9.8000,9.8000,
LSU,2017,2,no meet title,Jan-13-2017,Alabama,Sydney Ewing,9.8750,,8.9750,9.8500
LSU,2017,2,no meet title,Jan-13-2017,Alabama,Sarah Finnegan,9.8500,9.8500,9.9250,9.9000
LSU,2017,2,no meet title,Jan-13-2017,Alabama,Ashleigh Gnat,10.0000,9.7500,9.7750,9.9500
LSU,2017,2,no meet title,Jan-13-2017,Alabama,Myia Hambrick,9.9250,9.8250,9.9000,9.9500
LSU,2017,2,no meet title,Jan-13-2017,Alabama,McKenna Kelley,,,,9.8750
LSU,2017,2,no meet title,Jan-13-2017,Alabama,Erin Macadaeg,,,9.8750,
LSU,2017,2,no meet title,Jan-13-2017,Alabama,Lexie Priessman,9.9000,9.9000,,
LSU,2017,2,no meet title,Jan-13-2017,Alabama,Shae Zamardi,,9.8000,,9.8000
LSU,2017,3,no meet title,Jan-20-2017,LSU,Kennedi  Edney,9.8750,9.9000,9.8250,
LSU,2017,3,no meet title,Jan-20-2017,LSU,Sydney Ewing,9.8500,,9.6500,9.8750
LSU,2017,3,no meet title,Jan-20-2017,LSU,Sarah Finnegan,9.8500,9.9250,9.9250,9.6000
LSU,2017,3,no meet title,Jan-20-2017,LSU,Ashleigh Gnat,9.9000,,9.9250,9.9250
LSU,2017,3,no meet title,Jan-20-2017,LSU,Myia Hambrick,9.8500,9.9000,9.8250,
LSU,2017,3,no meet title,Jan-20-2017,LSU,Ruby Harrold,,9.8750,,9.8500
LSU,2017,3,no meet title,Jan-20-2017,LSU,McKenna Kelley,,,,9.8000
LSU,2017,3,no meet title,Jan-20-2017,LSU,Lauren Li,,,,
LSU,2017,3,no meet title,Jan-20-2017,LSU,Erin Macadaeg,,,9.8500,
LSU,2017,3,no meet title,Jan-20-2017,LSU,Lexie Priessman,9.8500,9.8500,,
LSU,2017,3,no meet title,Jan-20-2017,LSU,Kaitlyn  Szafranski,,,,
LSU,2017,3,no meet title,Jan-20-2017,LSU,Shae Zamardi,,9.8250,,9.9000
LSU,2017,4,no meet title,Jan-27-2017,Kentucky,Kennedi  Edney,9.8250,9.9250,9.9500,9.9250
LSU,2017,4,no meet title,Jan-27-2017,Kentucky,Sydney Ewing,9.7000,,9.8750,9.8250
LSU,2017,4,no meet title,Jan-27-2017,Kentucky,Sarah Finnegan,9.8000,9.8500,9.3250,
LSU,2017,4,no meet title,Jan-27-2017,Kentucky,Ashleigh Gnat,9.9250,,9.8500,9.9000
LSU,2017,4,no meet title,Jan-27-2017,Kentucky,Myia Hambrick,9.4000,9.7250,9.9000,9.9500
LSU,2017,4,no meet title,Jan-27-2017,Kentucky,Ruby Harrold,,9.8250,,
LSU,2017,4,no meet title,Jan-27-2017,Kentucky,Erin Macadaeg,,,9.9000,
LSU,2017,4,no meet title,Jan-27-2017,Kentucky,Lexie Priessman,9.8500,9.9250,,9.8750
LSU,2017,4,no meet title,Jan-27-2017,Kentucky,Shae Zamardi,,9.8250,,9.9000
LSU,2017,5,no meet title,Feb-03-2017,LSU,Kennedi  Edney,9.8000,9.8500,9.8500,9.8750
LSU,2017,5,no meet title,Feb-03-2017,LSU,Sydney Ewing,9.8500,,9.8250,9.9000
LSU,2017,5,no meet title,Feb-03-2017,LSU,Sarah Finnegan,9.8000,9.8250,9.9500,
LSU,2017,5,no meet title,Feb-03-2017,LSU,Ashleigh Gnat,9.9500,,9.8000,9.9500
LSU,2017,5,no meet title,Feb-03-2017,LSU,Myia Hambrick,9.9500,9.8500,9.9000,9.2250
LSU,2017,5,no meet title,Feb-03-2017,LSU,Ruby Harrold,,9.8750,,
LSU,2017,5,no meet title,Feb-03-2017,LSU,Erin Macadaeg,,,9.6750,
LSU,2017,5,no meet title,Feb-03-2017,LSU,Lexie Priessman,9.8500,9.8500,,9.8750
LSU,2017,5,no meet title,Feb-03-2017,LSU,Shae Zamardi,,9.8250,,9.8500
LSU,2017,6,no meet title,Feb-10-2017,Arkansas,Julianna  Cannamela,9.8500,,,
LSU,2017,6,no meet title,Feb-10-2017,Arkansas,Kennedi  Edney,9.9000,9.8500,9.8750,9.8750
LSU,2017,6,no meet title,Feb-10-2017,Arkansas,Sydney Ewing,9.7750,,9.8750,9.8750
LSU,2017,6,no meet title,Feb-10-2017,Arkansas,Sarah Finnegan,,9.8750,9.8500,
LSU,2017,6,no meet title,Feb-10-2017,Arkansas,Ashleigh Gnat,9.9000,,9.9250,9.9500
LSU,2017,6,no meet title,Feb-10-2017,Arkansas,Myia Hambrick,9.5000,9.8750,9.9500,9.9250
LSU,2017,6,no meet title,Feb-10-2017,Arkansas,Ruby Harrold,9.8000,9.8750,,
LSU,2017,6,no meet title,Feb-10-2017,Arkansas,McKenna Kelley,,,,9.9250
LSU,2017,6,no meet title,Feb-10-2017,Arkansas,Erin Macadaeg,,,9.9000,
LSU,2017,6,no meet title,Feb-10-2017,Arkansas,Lexie Priessman,,9.9000,,
LSU,2017,6,no meet title,Feb-10-2017,Arkansas,Shae Zamardi,,9.8750,,9.8750
LSU,2017,7,GYMQuarters Invitational,Feb-17-2017,,Julianna  Cannamela,9.7750,,,
LSU,2017,7,GYMQuarters Invitational,Feb-17-2017,,Kennedi  Edney,9.9000,9.9000,9.9250,9.8250
LSU,2017,7,GYMQuarters Invitational,Feb-17-2017,,Sydney Ewing,9.9000,,9.8750,9.8500
LSU,2017,7,GYMQuarters Invitational,Feb-17-2017,,Sarah Finnegan,,9.8250,9.9500,
LSU,2017,7,GYMQuarters Invitational,Feb-17-2017,,Ashleigh Gnat,9.9500,,9.9250,9.9750
LSU,2017,7,GYMQuarters Invitational,Feb-17-2017,,Myia Hambrick,9.8000,9.8500,9.1750,9.2000
LSU,2017,7,GYMQuarters Invitational,Feb-17-2017,,Ruby Harrold,,9.6000,,
LSU,2017,7,GYMQuarters Invitational,Feb-17-2017,,McKenna Kelley,,,,9.9000
LSU,2017,7,GYMQuarters Invitational,Feb-17-2017,,Erin Macadaeg,,,9.9000,
LSU,2017,7,GYMQuarters Invitational,Feb-17-2017,,Lexie Priessman,9.8250,9.8500,,
LSU,2017,7,GYMQuarters Invitational,Feb-17-2017,,Shae Zamardi,,9.8750,,9.9000
LSU,2017,8,no meet title,Feb-19-2017,LSU,Julianna  Cannamela,9.8250,,,
LSU,2017,8,no meet title,Feb-19-2017,LSU,Kennedi  Edney,9.9500,9.9000,,9.9250
LSU,2017,8,no meet title,Feb-19-2017,LSU,Sydney Ewing,9.9250,,9.8750,9.9250
LSU,2017,8,no meet title,Feb-19-2017,LSU,Sarah Finnegan,,9.8500,9.9500,
LSU,2017,8,no meet title,Feb-19-2017,LSU,Ashleigh Gnat,9.9000,,9.9000,
LSU,2017,8,no meet title,Feb-19-2017,LSU,Myia Hambrick,,9.9250,9.7000,
LSU,2017,8,no meet title,Feb-19-2017,LSU,Ruby Harrold,9.9250,9.8000,,
LSU,2017,8,no meet title,Feb-19-2017,LSU,McKenna Kelley,,,,9.9750
LSU,2017,8,no meet title,Feb-19-2017,LSU,Ashlyn Kirby,,,,9.6250
LSU,2017,8,no meet title,Feb-19-2017,LSU,Lauren Li,,,9.9250,
LSU,2017,8,no meet title,Feb-19-2017,LSU,Erin Macadaeg,,,9.3000,
LSU,2017,8,no meet title,Feb-19-2017,LSU,Lexie Priessman,9.8750,9.9500,9.5250,9.8250
LSU,2017,8,no meet title,Feb-19-2017,LSU,Shae Zamardi,,9.8750,,9.9000
LSU,2017,9,no meet title,Feb-24-2017,Auburn,Julianna  Cannamela,9.8250,,,
LSU,2017,9,no meet title,Feb-24-2017,Auburn,Sydney Ewing,9.9000,,9.9250,9.9000
LSU,2017,9,no meet title,Feb-24-2017,Auburn,Sarah Finnegan,9.8500,9.8500,9.9500,
LSU,2017,9,no meet title,Feb-24-2017,Auburn,Ashleigh Gnat,9.9500,9.6500,9.8500,9.9500
LSU,2017,9,no meet title,Feb-24-2017,Auburn,Myia Hambrick,9.8750,9.8750,9.8500,9.8750
LSU,2017,9,no meet title,Feb-24-2017,Auburn,Ruby Harrold,,9.8250,,
LSU,2017,9,no meet title,Feb-24-2017,Auburn,McKenna Kelley,,,,9.8500
LSU,2017,9,no meet title,Feb-24-2017,Auburn,Lauren Li,,,9.8750,
LSU,2017,9,no meet title,Feb-24-2017,Auburn,Erin Macadaeg,,,9.8000,
LSU,2017,9,no meet title,Feb-24-2017,Auburn,Lexie Priessman,9.8500,9.9250,,9.6500
LSU,2017,9,no meet title,Feb-24-2017,Auburn,Shae Zamardi,,9.8750,,9.8750
LSU,2017,10,no meet title,Mar-05-2017,LSU,Kennedi  Edney,9.9000,9.8500,,
LSU,2017,10,no meet title,Mar-05-2017,LSU,Sydney Ewing,9.9250,,9.8500,9.9250
LSU,2017,10,no meet title,Mar-05-2017,LSU,Sarah Finnegan,9.8750,9.9250,9.3250,9.9250
LSU,2017,10,no meet title,Mar-05-2017,LSU,Ashleigh Gnat,10.0000,,9.9250,9.9500
LSU,2017,10,no meet title,Mar-05-2017,LSU,Myia Hambrick,9.8750,9.7250,9.9000,9.9250
LSU,2017,10,no meet title,Mar-05-2017,LSU,Ruby Harrold,9.9250,9.8750,,
LSU,2017,10,no meet title,Mar-05-2017,LSU,McKenna Kelley,,,,9.9000
LSU,2017,10,no meet title,Mar-05-2017,LSU,Lauren Li,,,9.8500,
LSU,2017,10,no meet title,Mar-05-2017,LSU,Erin Macadaeg,,,9.9500,
LSU,2017,10,no meet title,Mar-05-2017,LSU,Lexie Priessman,,9.9250,,
LSU,2017,10,no meet title,Mar-05-2017,LSU,Shae Zamardi,,9.8500,,9.8000
LSU,2017,11,no meet title,Mar-10-2017,LSU,Julianna  Cannamela,9.8750,,,
LSU,2017,11,no meet title,Mar-10-2017,LSU,Kennedi  Edney,9.8500,9.9500,,9.8500
LSU,2017,11,no meet title,Mar-10-2017,LSU,Sydney Ewing,9.9000,,9.8500,9.7750
LSU,2017,11,no meet title,Mar-10-2017,LSU,Sarah Finnegan,,9.7750,9.9250,
LSU,2017,11,no meet title,Mar-10-2017,LSU,Ashleigh Gnat,9.9000,9.9000,9.9500,9.9500
LSU,2017,11,no meet title,Mar-10-2017,LSU,Myia Hambrick,9.9000,9.8750,9.9000,9.9500
LSU,2017,11,no meet title,Mar-10-2017,LSU,Ruby Harrold,,9.8500,,
LSU,2017,11,no meet title,Mar-10-2017,LSU,McKenna Kelley,9.8250,,,9.9250
LSU,2017,11,no meet title,Mar-10-2017,LSU,Lauren Li,,,9.2750,
LSU,2017,11,no meet title,Mar-10-2017,LSU,Erin Macadaeg,,,9.9250,
LSU,2017,11,no meet title,Mar-10-2017,LSU,Shae Zamardi,,9.8000,,9.8500
LSU,2017,12,SEC Championships,Mar-18-2017,,Kennedi  Edney,9.8500,9.8750,9.9000,
LSU,2017,12,SEC Championships,Mar-18-2017,,Sydney Ewing,9.8500,,9.8750,9.8500
LSU,2017,12,SEC Championships,Mar-18-2017,,Sarah Finnegan,9.8750,9.8500,9.9000,9.9000
LSU,2017,12,SEC Championships,Mar-18-2017,,Ashleigh Gnat,10.0000,,9.9500,9.9500
LSU,2017,12,SEC Championships,Mar-18-2017,,Myia Hambrick,9.9000,9.9000,9.8750,9.8250
LSU,2017,12,SEC Championships,Mar-18-2017,,Ruby Harrold,9.9500,9.4750,,
LSU,2017,12,SEC Championships,Mar-18-2017,,McKenna Kelley,,,,9.9500
LSU,2017,12,SEC Championships,Mar-18-2017,,Erin Macadaeg,,,9.3500,
LSU,2017,12,SEC Championships,Mar-18-2017,,Lexie Priessman,,9.9500,,
LSU,2017,12,SEC Championships,Mar-18-2017,,Shae Zamardi,,9.8750,,9.9000
LSU,2017,13,Lincoln Regional (North Central),Apr-01-2017,Nebraska,Julianna  Cannamela,9.7750,,,
LSU,2017,13,Lincoln Regional (North Central),Apr-01-2017,Nebraska,Kennedi  Edney,9.9250,9.8750,9.6500,
LSU,2017,13,Lincoln Regional (North Central),Apr-01-2017,Nebraska,Sydney Ewing,9.9000,,9.1750,9.9000
LSU,2017,13,Lincoln Regional (North Central),Apr-01-2017,Nebraska,Sarah Finnegan,9.8250,9.9250,9.8500,9.8750
LSU,2017,13,Lincoln Regional (North Central),Apr-01-2017,Nebraska,Ashleigh Gnat,9.9000,,9.9250,9.9500
LSU,2017,13,Lincoln Regional (North Central),Apr-01-2017,Nebraska,Myia Hambrick,9.8250,9.8750,9.8500,9.9000
LSU,2017,13,Lincoln Regional (North Central),Apr-01-2017,Nebraska,Ruby Harrold,,9.8750,,
LSU,2017,13,Lincoln Regional (North Central),Apr-01-2017,Nebraska,McKenna Kelley,,,,9.8500
LSU,2017,13,Lincoln Regional (North Central),Apr-01-2017,Nebraska,Erin Macadaeg,,,9.9000,
LSU,2017,13,Lincoln Regional (North Central),Apr-01-2017,Nebraska,Lexie Priessman,,9.8500,,
LSU,2017,13,Lincoln Regional (North Central),Apr-01-2017,Nebraska,Shae Zamardi,,9.8500,,9.8750
LSU,2017,14,NCAA Championships Team Semifinal II,Apr-14-2017,,Kennedi  Edney,9.9875,9.8500,9.7875,
LSU,2017,14,NCAA Championships Team Semifinal II,Apr-14-2017,,Sydney Ewing,9.9625,,9.9000,9.9000
LSU,2017,14,NCAA Championships Team Semifinal II,Apr-14-2017,,Sarah Finnegan,9.7750,9.9500,9.9125,9.9500
LSU,2017,14,NCAA Championships Team Semifinal II,Apr-14-2017,,Ashleigh Gnat,9.9000,,9.9375,9.9625
LSU,2017,14,NCAA Championships Team Semifinal II,Apr-14-2017,,Myia Hambrick,9.8625,9.8375,9.9375,9.9500
LSU,2017,14,NCAA Championships Team Semifinal II,Apr-14-2017,,Ruby Harrold,9.8500,9.8125,,
LSU,2017,14,NCAA Championships Team Semifinal II,Apr-14-2017,,McKenna Kelley,,,,9.9500
LSU,2017,14,NCAA Championships Team Semifinal II,Apr-14-2017,,Erin Macadaeg,,,9.9000,
LSU,2017,14,NCAA Championships Team Semifinal II,Apr-14-2017,,Lexie Priessman,,9.9250,,
LSU,2017,14,NCAA Championships Team Semifinal II,Apr-14-2017,,Shae Zamardi,,9.8500,,9.8875
LSU,2017,15,NCAA Championships Super Six,Apr-15-2017,,Kennedi  Edney,9.8500,9.9000,9.9375,
LSU,2017,15,NCAA Championships Super Six,Apr-15-2017,,Sydney Ewing,9.8375,,9.8250,9.6750
LSU,2017,15,NCAA Championships Super Six,Apr-15-2017,,Sarah Finnegan,9.8375,9.9000,9.9750,9.9125
