team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Lindenwood,2017,1,no meet title,Jan-08-2017,Northern Illinois,Andavea Alexander,,9.6500,9.6000,9.6750
Lindenwood,2017,1,no meet title,Jan-08-2017,Northern Illinois,Katie Bailey,,9.0250,,
Lindenwood,2017,1,no meet title,Jan-08-2017,Northern Illinois,Maria  Bitner,9.4500,,,
Lindenwood,2017,1,no meet title,Jan-08-2017,Northern Illinois,Taylor Colwell,,,9.5250,8.7000
Lindenwood,2017,1,no meet title,Jan-08-2017,Northern Illinois,Maya  Davis,9.5250,,,
Lindenwood,2017,1,no meet title,Jan-08-2017,Northern Illinois,Breanna Franklin,9.6750,,9.3500,
Lindenwood,2017,1,no meet title,Jan-08-2017,Northern Illinois,Ryan Henry,,9.4500,,9.5000
Lindenwood,2017,1,no meet title,Jan-08-2017,Northern Illinois,Aubree Horn,9.6750,9.6500,,
Lindenwood,2017,1,no meet title,Jan-08-2017,Northern Illinois,Kayla McMullan,,,,9.7000
Lindenwood,2017,1,no meet title,Jan-08-2017,Northern Illinois,Katey  Oswalt,9.6750,,9.2000,9.7500
Lindenwood,2017,1,no meet title,Jan-08-2017,Northern Illinois,Olivia Oswalt,,9.3000,,
Lindenwood,2017,1,no meet title,Jan-08-2017,Northern Illinois,Hannah Rector,,,9.6500,9.6750
Lindenwood,2017,1,no meet title,Jan-08-2017,Northern Illinois,Kierstin Sokolowski,9.7250,9.6750,9.6500,
Lindenwood,2017,2,no meet title,Jan-15-2017,Lindenwood,Andavea Alexander,,9.7500,9.6500,9.5000
Lindenwood,2017,2,no meet title,Jan-15-2017,Lindenwood,Katie Bailey,,9.6750,,
Lindenwood,2017,2,no meet title,Jan-15-2017,Lindenwood,Maria  Bitner,9.6500,,,
Lindenwood,2017,2,no meet title,Jan-15-2017,Lindenwood,Taylor Colwell,,,9.3250,9.5250
Lindenwood,2017,2,no meet title,Jan-15-2017,Lindenwood,Maya  Davis,9.6250,,,
Lindenwood,2017,2,no meet title,Jan-15-2017,Lindenwood,Breanna Franklin,9.7500,,9.4250,
Lindenwood,2017,2,no meet title,Jan-15-2017,Lindenwood,Ryan Henry,,9.6250,,9.7000
Lindenwood,2017,2,no meet title,Jan-15-2017,Lindenwood,Aubree Horn,9.7500,9.7500,,
Lindenwood,2017,2,no meet title,Jan-15-2017,Lindenwood,Kayla McMullan,,,,9.7500
Lindenwood,2017,2,no meet title,Jan-15-2017,Lindenwood,Olivia Oswalt,,9.5500,,
Lindenwood,2017,2,no meet title,Jan-15-2017,Lindenwood,Katey  Oswalt,9.8500,,8.5000,9.0250
Lindenwood,2017,2,no meet title,Jan-15-2017,Lindenwood,Hannah Rector,,,9.7250,9.7000
Lindenwood,2017,2,no meet title,Jan-15-2017,Lindenwood,Kierstin Sokolowski,9.8000,9.7000,9.8000,
Lindenwood,2017,3,no meet title,Jan-20-2017,S.E. Missouri,Andavea Alexander,,9.6750,9.7750,9.7250
Lindenwood,2017,3,no meet title,Jan-20-2017,S.E. Missouri,Katie Bailey,,7.4500,,
Lindenwood,2017,3,no meet title,Jan-20-2017,S.E. Missouri,Maria  Bitner,9.5000,,,
Lindenwood,2017,3,no meet title,Jan-20-2017,S.E. Missouri,Taylor Colwell,,,9.6750,9.5750
Lindenwood,2017,3,no meet title,Jan-20-2017,S.E. Missouri,Maya  Davis,8.8250,,,
Lindenwood,2017,3,no meet title,Jan-20-2017,S.E. Missouri,Breanna Franklin,9.6000,,9.7250,9.3250
Lindenwood,2017,3,no meet title,Jan-20-2017,S.E. Missouri,Ryan Henry,9.0750,8.6500,,8.9250
Lindenwood,2017,3,no meet title,Jan-20-2017,S.E. Missouri,Aubree Horn,9.7000,9.7250,,
Lindenwood,2017,3,no meet title,Jan-20-2017,S.E. Missouri,Kayla McMullan,,,,9.6250
Lindenwood,2017,3,no meet title,Jan-20-2017,S.E. Missouri,Emily Milliet,,,9.6000,
Lindenwood,2017,3,no meet title,Jan-20-2017,S.E. Missouri,Olivia Oswalt,,8.8250,,
Lindenwood,2017,3,no meet title,Jan-20-2017,S.E. Missouri,Katey  Oswalt,,,9.8500,
Lindenwood,2017,3,no meet title,Jan-20-2017,S.E. Missouri,Hannah Rector,,,9.7500,9.7500
Lindenwood,2017,3,no meet title,Jan-20-2017,S.E. Missouri,Kierstin Sokolowski,9.7500,9.7500,,
Lindenwood,2017,4,no meet title,Jan-28-2017,Lindenwood,Andavea Alexander,,9.7000,9.7500,9.8000
Lindenwood,2017,4,no meet title,Jan-28-2017,Lindenwood,Katie Bailey,,9.7750,,
Lindenwood,2017,4,no meet title,Jan-28-2017,Lindenwood,Maria  Bitner,9.4750,,,
Lindenwood,2017,4,no meet title,Jan-28-2017,Lindenwood,Mackenzy Chavez,,9.6750,,
Lindenwood,2017,4,no meet title,Jan-28-2017,Lindenwood,Taylor Colwell,,,9.3750,
Lindenwood,2017,4,no meet title,Jan-28-2017,Lindenwood,Maya  Davis,9.3250,,,
Lindenwood,2017,4,no meet title,Jan-28-2017,Lindenwood,Breanna Franklin,9.6250,,9.7500,9.6750
Lindenwood,2017,4,no meet title,Jan-28-2017,Lindenwood,Ryan Henry,9.6750,9.7500,,9.7000
Lindenwood,2017,4,no meet title,Jan-28-2017,Lindenwood,Aubree Horn,9.7250,9.7500,,
Lindenwood,2017,4,no meet title,Jan-28-2017,Lindenwood,Kayla McMullan,,,,9.7500
Lindenwood,2017,4,no meet title,Jan-28-2017,Lindenwood,Emily Milliet,,,9.6500,
Lindenwood,2017,4,no meet title,Jan-28-2017,Lindenwood,Katey  Oswalt,9.8000,,9.5000,9.8500
Lindenwood,2017,4,no meet title,Jan-28-2017,Lindenwood,Hannah Rector,,,9.6500,9.5750
Lindenwood,2017,4,no meet title,Jan-28-2017,Lindenwood,Kierstin Sokolowski,,8.9500,,
Lindenwood,2017,5,no meet title,Feb-05-2017,Texas Woman's,Andavea Alexander,,9.6500,9.1750,9.7000
Lindenwood,2017,5,no meet title,Feb-05-2017,Texas Woman's,Katie Bailey,,9.7250,,
Lindenwood,2017,5,no meet title,Feb-05-2017,Texas Woman's,Mackenzy Chavez,,9.7250,,
Lindenwood,2017,5,no meet title,Feb-05-2017,Texas Woman's,Maya  Davis,9.6500,,,
Lindenwood,2017,5,no meet title,Feb-05-2017,Texas Woman's,Breanna Franklin,9.5750,,9.8000,9.4000
Lindenwood,2017,5,no meet title,Feb-05-2017,Texas Woman's,Ryan Henry,9.6500,9.6750,9.7750,9.6500
Lindenwood,2017,5,no meet title,Feb-05-2017,Texas Woman's,Aubree Horn,9.6750,9.8000,,
Lindenwood,2017,5,no meet title,Feb-05-2017,Texas Woman's,Kayla McMullan,,,,9.7250
Lindenwood,2017,5,no meet title,Feb-05-2017,Texas Woman's,Katey  Oswalt,9.7750,,9.1750,9.8000
Lindenwood,2017,5,no meet title,Feb-05-2017,Texas Woman's,Hannah Rector,,,9.7000,9.7000
