team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Maryland,2016,1,no meet title,Jan-10-2016,Pittsburgh,Emily Brauckmuller,9.7000,,,9.6750
Maryland,2016,1,no meet title,Jan-10-2016,Pittsburgh,Abbie Epperson,9.7250,9.8750,9.6750,9.5000
Maryland,2016,1,no meet title,Jan-10-2016,Pittsburgh,Sarah Faller,9.7000,9.8250,9.8250,
Maryland,2016,1,no meet title,Jan-10-2016,Pittsburgh,Megan McClelland,,9.8500,,9.6000
Maryland,2016,1,no meet title,Jan-10-2016,Pittsburgh,Evelyn Nee,,9.7750,9.8750,
Maryland,2016,1,no meet title,Jan-10-2016,Pittsburgh,Macey Roberts,9.6750,,9.1750,9.6250
Maryland,2016,1,no meet title,Jan-10-2016,Pittsburgh,Alex Robinson,9.5250,9.7500,,
Maryland,2016,1,no meet title,Jan-10-2016,Pittsburgh,Leah Slobodin,,,9.3500,9.6250
Maryland,2016,1,no meet title,Jan-10-2016,Pittsburgh,Kathy Tang,9.8500,9.8000,9.8750,9.5000
Maryland,2016,2,no meet title,Jan-16-2016,Minnesota,Emily Brauckmuller,9.5250,,,8.8750
Maryland,2016,2,no meet title,Jan-16-2016,Minnesota,Abbie Epperson,9.7000,9.7750,9.7750,9.7250
Maryland,2016,2,no meet title,Jan-16-2016,Minnesota,Sarah Faller,9.6250,9.6000,9.5750,
Maryland,2016,2,no meet title,Jan-16-2016,Minnesota,Megan McClelland,,9.6250,9.4250,9.5250
Maryland,2016,2,no meet title,Jan-16-2016,Minnesota,Evelyn Nee,,9.5250,9.1000,
Maryland,2016,2,no meet title,Jan-16-2016,Minnesota,Macey Roberts,9.7000,,9.7750,9.7750
Maryland,2016,2,no meet title,Jan-16-2016,Minnesota,Alex Robinson,9.4500,7.6500,,
Maryland,2016,2,no meet title,Jan-16-2016,Minnesota,Leah Slobodin,,,,9.5750
Maryland,2016,2,no meet title,Jan-16-2016,Minnesota,Kathy Tang,9.7750,9.7000,9.7250,9.7250
Maryland,2016,3,no meet title,Jan-31-2016,Maryland,Amanda Bertorello,,9.0500,,
Maryland,2016,3,no meet title,Jan-31-2016,Maryland,Emily Brauckmuller,9.6000,,,9.7500
Maryland,2016,3,no meet title,Jan-31-2016,Maryland,Abbie Epperson,9.3000,9.8500,8.9750,9.8500
Maryland,2016,3,no meet title,Jan-31-2016,Maryland,Sarah Faller,9.7500,9.7500,9.7500,
Maryland,2016,3,no meet title,Jan-31-2016,Maryland,Megan McClelland,,9.8250,9.7250,9.7750
Maryland,2016,3,no meet title,Jan-31-2016,Maryland,Evelyn Nee,9.6500,9.8750,9.7500,
Maryland,2016,3,no meet title,Jan-31-2016,Maryland,Macey Roberts,9.7750,,9.7500,9.9000
Maryland,2016,3,no meet title,Jan-31-2016,Maryland,Leah Slobodin,,,,9.7500
Maryland,2016,3,no meet title,Jan-31-2016,Maryland,Kathy Tang,9.8000,9.8000,9.8250,9.7250
Maryland,2016,4,no meet title,Feb-08-2016,Michigan,Emily Brauckmuller,9.7250,,,9.7250
Maryland,2016,4,no meet title,Feb-08-2016,Michigan,Abbie Epperson,,9.8000,9.4750,9.7500
Maryland,2016,4,no meet title,Feb-08-2016,Michigan,Sarah Faller,9.7750,9.8500,9.7500,
Maryland,2016,4,no meet title,Feb-08-2016,Michigan,Megan McClelland,,9.8000,9.4500,9.7250
Maryland,2016,4,no meet title,Feb-08-2016,Michigan,Evelyn Nee,,8.2500,9.8000,
Maryland,2016,4,no meet title,Feb-08-2016,Michigan,Macey Roberts,9.6750,,,9.7250
Maryland,2016,4,no meet title,Feb-08-2016,Michigan,Alex Robinson,,9.0250,,
Maryland,2016,4,no meet title,Feb-08-2016,Michigan,Leah Slobodin,,,,9.7500
Maryland,2016,4,no meet title,Feb-08-2016,Michigan,Kathy Tang,9.8250,9.7000,9.5250,9.8250
Maryland,2016,4,no meet title,Feb-08-2016,Michigan,Dominiquea Trotter,9.8000,,9.7750,
Maryland,2016,5,no meet title,Feb-14-2016,Maryland,Amanda Bertorello,,9.3750,,
Maryland,2016,5,no meet title,Feb-14-2016,Maryland,Emily Brauckmuller,9.7500,,,9.7000
Maryland,2016,5,no meet title,Feb-14-2016,Maryland,Abbie Epperson,,9.7250,9.2000,9.7500
Maryland,2016,5,no meet title,Feb-14-2016,Maryland,Sarah Faller,9.7500,9.7000,9.7250,
Maryland,2016,5,no meet title,Feb-14-2016,Maryland,Megan McClelland,,9.7000,9.4750,9.7750
Maryland,2016,5,no meet title,Feb-14-2016,Maryland,Evelyn Nee,,9.7000,9.8000,
Maryland,2016,5,no meet title,Feb-14-2016,Maryland,Macey Roberts,9.8000,,,9.8250
Maryland,2016,5,no meet title,Feb-14-2016,Maryland,Leah Slobodin,,,,9.8000
Maryland,2016,5,no meet title,Feb-14-2016,Maryland,Kathy Tang,9.8750,9.7750,9.1500,9.8000
Maryland,2016,5,no meet title,Feb-14-2016,Maryland,Dominiquea Trotter,9.8250,,9.7750,
Maryland,2016,6,no meet title,Feb-19-2016,Maryland,Shynelle Agaran,,8.9500,9.5750,
Maryland,2016,6,no meet title,Feb-19-2016,Maryland,Emily Brauckmuller,9.7250,,,9.8000
Maryland,2016,6,no meet title,Feb-19-2016,Maryland,Abbie Epperson,,9.8000,9.2750,9.8000
Maryland,2016,6,no meet title,Feb-19-2016,Maryland,Sarah Faller,9.6250,9.7500,9.6500,
Maryland,2016,6,no meet title,Feb-19-2016,Maryland,Megan McClelland,,9.7000,,9.7750
Maryland,2016,6,no meet title,Feb-19-2016,Maryland,Evelyn Nee,9.5750,9.6250,9.7500,
Maryland,2016,6,no meet title,Feb-19-2016,Maryland,Macey Roberts,9.8000,,,9.8250
Maryland,2016,6,no meet title,Feb-19-2016,Maryland,Leah Slobodin,,,9.8250,9.7000
Maryland,2016,6,no meet title,Feb-19-2016,Maryland,Kathy Tang,9.8250,9.7000,,9.8750
Maryland,2016,6,no meet title,Feb-19-2016,Maryland,Dominiquea Trotter,9.7250,,9.0500,
Maryland,2016,7,no meet title,Feb-22-2016,Maryland,Shynelle Agaran,,9.6750,9.8500,
Maryland,2016,7,no meet title,Feb-22-2016,Maryland,Emily Brauckmuller,9.7000,,,9.8250
Maryland,2016,7,no meet title,Feb-22-2016,Maryland,Abbie Epperson,,9.8000,,9.7250
Maryland,2016,7,no meet title,Feb-22-2016,Maryland,Sarah Faller,9.7500,9.6500,9.7500,
Maryland,2016,7,no meet title,Feb-22-2016,Maryland,Megan McClelland,,9.7500,9.7500,9.7000
Maryland,2016,7,no meet title,Feb-22-2016,Maryland,Evelyn Nee,9.7000,9.8000,9.7500,
Maryland,2016,7,no meet title,Feb-22-2016,Maryland,Macey Roberts,9.7500,,,9.8500
Maryland,2016,7,no meet title,Feb-22-2016,Maryland,Leah Slobodin,,,9.8000,9.8000
Maryland,2016,7,no meet title,Feb-22-2016,Maryland,Kathy Tang,9.5000,9.8500,,9.8000
Maryland,2016,7,no meet title,Feb-22-2016,Maryland,Dominiquea Trotter,9.6750,,9.7250,
Maryland,2016,8,no meet title,Feb-26-2016,New Hampshire,Shynelle Agaran,,9.6000,9.5250,
Maryland,2016,8,no meet title,Feb-26-2016,New Hampshire,Emily Brauckmuller,9.7000,,,9.8000
Maryland,2016,8,no meet title,Feb-26-2016,New Hampshire,Abbie Epperson,,9.8250,9.8500,9.7750
Maryland,2016,8,no meet title,Feb-26-2016,New Hampshire,Sarah Faller,9.7500,9.7250,9.7000,
Maryland,2016,8,no meet title,Feb-26-2016,New Hampshire,Megan McClelland,,9.7500,9.3250,9.6750
Maryland,2016,8,no meet title,Feb-26-2016,New Hampshire,Evelyn Nee,9.5750,9.6500,9.7000,
Maryland,2016,8,no meet title,Feb-26-2016,New Hampshire,Macey Roberts,9.8250,,,9.8000
Maryland,2016,8,no meet title,Feb-26-2016,New Hampshire,Leah Slobodin,,,,9.7750
Maryland,2016,8,no meet title,Feb-26-2016,New Hampshire,Kathy Tang,9.9000,9.8250,,9.8750
Maryland,2016,8,no meet title,Feb-26-2016,New Hampshire,Dominiquea Trotter,9.6500,,9.7250,
Maryland,2016,9,no meet title,Feb-28-2016,George Washington,Shynelle Agaran,,9.5750,9.7250,
Maryland,2016,9,no meet title,Feb-28-2016,George Washington,Emily Brauckmuller,9.6750,,,9.8250
Maryland,2016,9,no meet title,Feb-28-2016,George Washington,Abbie Epperson,,9.8750,9.8500,9.7500
Maryland,2016,9,no meet title,Feb-28-2016,George Washington,Sarah Faller,9.8000,9.7750,9.6500,
Maryland,2016,9,no meet title,Feb-28-2016,George Washington,Megan McClelland,,9.7250,9.6500,9.8000
Maryland,2016,9,no meet title,Feb-28-2016,George Washington,Evelyn Nee,9.7250,9.8250,9.8500,
Maryland,2016,9,no meet title,Feb-28-2016,George Washington,Macey Roberts,9.7250,,,9.8750
Maryland,2016,9,no meet title,Feb-28-2016,George Washington,Leah Slobodin,,,,9.8250
Maryland,2016,9,no meet title,Feb-28-2016,George Washington,Kathy Tang,9.8500,9.8250,,9.8500
Maryland,2016,9,no meet title,Feb-28-2016,George Washington,Dominiquea Trotter,9.8250,,9.8250,
Maryland,2016,10,no meet title,Mar-06-2016,Maryland,Shynelle Agaran,,9.6750,9.7250,
Maryland,2016,10,no meet title,Mar-06-2016,Maryland,Emily Brauckmuller,9.6250,,,9.8250
Maryland,2016,10,no meet title,Mar-06-2016,Maryland,Abbie Epperson,,9.8250,9.7750,9.7500
Maryland,2016,10,no meet title,Mar-06-2016,Maryland,Sarah Faller,9.7500,9.7000,9.7750,
Maryland,2016,10,no meet title,Mar-06-2016,Maryland,Megan McClelland,,9.6750,9.2000,9.7750
Maryland,2016,10,no meet title,Mar-06-2016,Maryland,Evelyn Nee,9.5750,9.5750,9.8000,
Maryland,2016,10,no meet title,Mar-06-2016,Maryland,Macey Roberts,9.7750,,,9.8250
Maryland,2016,10,no meet title,Mar-06-2016,Maryland,Leah Slobodin,,,,9.7750
Maryland,2016,10,no meet title,Mar-06-2016,Maryland,Kathy Tang,9.8500,9.7000,,9.8500
Maryland,2016,10,no meet title,Mar-06-2016,Maryland,Dominiquea Trotter,9.7750,,9.2250,
Maryland,2016,11,Big Ten Five Meet,Mar-12-2016,Ohio State,Amanda Bertorello,,9.5750,,
Maryland,2016,11,Big Ten Five Meet,Mar-12-2016,Ohio State,Emily Brauckmuller,9.7250,,,9.8500
Maryland,2016,11,Big Ten Five Meet,Mar-12-2016,Ohio State,Abbie Epperson,,9.7500,9.8500,9.8000
Maryland,2016,11,Big Ten Five Meet,Mar-12-2016,Ohio State,Sarah Faller,9.7250,9.7250,9.2000,
Maryland,2016,11,Big Ten Five Meet,Mar-12-2016,Ohio State,Megan McClelland,,9.6250,9.7250,9.8000
Maryland,2016,11,Big Ten Five Meet,Mar-12-2016,Ohio State,Evelyn Nee,9.7500,9.8000,9.8250,
Maryland,2016,11,Big Ten Five Meet,Mar-12-2016,Ohio State,Macey Roberts,9.7500,,,9.8000
Maryland,2016,11,Big Ten Five Meet,Mar-12-2016,Ohio State,Leah Slobodin,,,,9.8250
Maryland,2016,11,Big Ten Five Meet,Mar-12-2016,Ohio State,Kathy Tang,9.7000,9.7250,9.8000,9.8750
Maryland,2016,11,Big Ten Five Meet,Mar-12-2016,Ohio State,Dominiquea Trotter,9.7750,,9.8000,
Maryland,2016,12,Big Ten Championships Session I,Mar-19-2016,,Shynelle Agaran,,8.8500,,
Maryland,2016,12,Big Ten Championships Session I,Mar-19-2016,,Emily Brauckmuller,9.4750,,,9.8250
Maryland,2016,12,Big Ten Championships Session I,Mar-19-2016,,Abbie Epperson,,9.8250,9.6750,9.8500
