team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Michigan State,2023,1,no meet title,Jan-06-2023,Alabama,Baleigh Garcia,9.8250,,9.9000,9.6750
Michigan State,2023,1,no meet title,Jan-06-2023,Alabama,Delanie Harkness,,9.8500,,9.7750
Michigan State,2023,1,no meet title,Jan-06-2023,Alabama,Jori Jackard,,9.7000,,
Michigan State,2023,1,no meet title,Jan-06-2023,Alabama,Giana Kalefe,,,9.7750,
Michigan State,2023,1,no meet title,Jan-06-2023,Alabama,Sage Kellerman,9.9000,,,
Michigan State,2023,1,no meet title,Jan-06-2023,Alabama,Skyla Schulte,9.8250,9.8000,9.7500,9.9000
Michigan State,2023,1,no meet title,Jan-06-2023,Alabama,Nyah Smith,9.8000,,9.6250,9.7500
Michigan State,2023,1,no meet title,Jan-06-2023,Alabama,Nikki Smith,9.8500,9.8750,,9.8500
Michigan State,2023,1,no meet title,Jan-06-2023,Alabama,Gabrielle Stephen,9.9000,9.7250,9.8250,9.9000
Michigan State,2023,1,no meet title,Jan-06-2023,Alabama,Olivia Zsarmani,,9.8250,9.7500,
Michigan State,2023,2,no meet title,Jan-14-2023,North Carolina State,Baleigh Garcia,9.7500,,9.9000,9.8500
Michigan State,2023,2,no meet title,Jan-14-2023,North Carolina State,Delanie Harkness,,9.9000,,9.9250
Michigan State,2023,2,no meet title,Jan-14-2023,North Carolina State,Jori Jackard,,8.9500,,
Michigan State,2023,2,no meet title,Jan-14-2023,North Carolina State,Giana Kalefe,,,9.7500,
Michigan State,2023,2,no meet title,Jan-14-2023,North Carolina State,Sage Kellerman,9.8750,,,
Michigan State,2023,2,no meet title,Jan-14-2023,North Carolina State,Skyla Schulte,9.7750,9.7750,9.8500,9.8750
Michigan State,2023,2,no meet title,Jan-14-2023,North Carolina State,Nikki Smith,9.8500,9.2500,9.8250,9.9000
Michigan State,2023,2,no meet title,Jan-14-2023,North Carolina State,Nyah Smith,9.8000,,,9.8000
Michigan State,2023,2,no meet title,Jan-14-2023,North Carolina State,Gabrielle Stephen,9.9000,9.7750,9.8750,9.8500
Michigan State,2023,2,no meet title,Jan-14-2023,North Carolina State,Olivia Zsarmani,,9.9000,9.7000,
Michigan State,2023,3,no meet title,Jan-22-2023,Michigan State,Baleigh Garcia,9.7750,,9.8500,9.7750
Michigan State,2023,3,no meet title,Jan-22-2023,Michigan State,Delanie Harkness,,9.8750,,9.8500
Michigan State,2023,3,no meet title,Jan-22-2023,Michigan State,Jori Jackard,,9.8500,,
Michigan State,2023,3,no meet title,Jan-22-2023,Michigan State,Giana Kalefe,,,9.8500,
Michigan State,2023,3,no meet title,Jan-22-2023,Michigan State,Sage Kellerman,9.8500,,,
Michigan State,2023,3,no meet title,Jan-22-2023,Michigan State,Skyla Schulte,9.9000,9.3250,9.8500,9.8000
Michigan State,2023,3,no meet title,Jan-22-2023,Michigan State,Nyah Smith,,,,9.8750
Michigan State,2023,3,no meet title,Jan-22-2023,Michigan State,Nikki Smith,9.9500,9.8500,9.8250,9.9000
Michigan State,2023,3,no meet title,Jan-22-2023,Michigan State,Gabrielle Stephen,9.8750,9.8000,9.9000,9.8500
Michigan State,2023,3,no meet title,Jan-22-2023,Michigan State,Olivia Zsarmani,9.8250,9.8750,9.8250,
Michigan State,2023,4,no meet title,Jan-29-2023,Maryland,Baleigh Garcia,,,9.8500,
Michigan State,2023,4,no meet title,Jan-29-2023,Maryland,Delanie Harkness,,9.9000,,9.8750
Michigan State,2023,4,no meet title,Jan-29-2023,Maryland,Jori Jackard,,9.8750,,
Michigan State,2023,4,no meet title,Jan-29-2023,Maryland,Giana Kalefe,,,9.8750,9.7750
Michigan State,2023,4,no meet title,Jan-29-2023,Maryland,Sage Kellerman,9.9000,,,
Michigan State,2023,4,no meet title,Jan-29-2023,Maryland,Skyla Schulte,9.8250,9.8500,9.9000,9.8750
