team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Michigan,2018,1,no meet title,Jan-05-2018,Michigan,Brianna Brown,,9.9000,9.8500,9.8000
Michigan,2018,1,no meet title,Jan-05-2018,Michigan,Lauren Farley,,,9.1500,
Michigan,2018,1,no meet title,Jan-05-2018,Michigan,Lexi Funk,9.7250,,9.8250,9.6250
Michigan,2018,1,no meet title,Jan-05-2018,Michigan,Olivia Karas,9.8250,9.8750,9.7250,9.9250
Michigan,2018,1,no meet title,Jan-05-2018,Michigan,Lauren Marinez,,,9.8750,9.6750
Michigan,2018,1,no meet title,Jan-05-2018,Michigan,Emma McLean,9.8750,9.7250,,9.9000
Michigan,2018,1,no meet title,Jan-05-2018,Michigan,Polina Shchennikova,9.7750,9.8750,,
Michigan,2018,1,no meet title,Jan-05-2018,Michigan,Syd Townsend,9.2250,9.8500,,
Michigan,2018,1,no meet title,Jan-05-2018,Michigan,Paige Zaziski,9.8250,9.1000,9.7000,9.6750
Michigan,2018,2,no meet title,Jan-13-2018,Michigan,Brianna Brown,,9.8750,9.9000,9.8500
Michigan,2018,2,no meet title,Jan-13-2018,Michigan,Lauren Farley,,9.8500,9.8500,
Michigan,2018,2,no meet title,Jan-13-2018,Michigan,Lexi Funk,9.7250,,9.8750,9.9000
Michigan,2018,2,no meet title,Jan-13-2018,Michigan,Olivia Karas,9.8750,9.1500,9.8000,9.9500
Michigan,2018,2,no meet title,Jan-13-2018,Michigan,Lauren Marinez,,,9.7750,9.8250
Michigan,2018,2,no meet title,Jan-13-2018,Michigan,Emma McLean,9.9500,,,9.9750
Michigan,2018,2,no meet title,Jan-13-2018,Michigan,Polina Shchennikova,9.7750,9.8500,,
Michigan,2018,2,no meet title,Jan-13-2018,Michigan,Syd Townsend,9.9250,9.9000,,
Michigan,2018,2,no meet title,Jan-13-2018,Michigan,Paige Zaziski,9.8500,9.9000,9.8750,9.8250
Michigan,2018,3,no meet title,Jan-19-2018,Illinois,Brianna Brown,,9.8250,9.7500,9.8250
Michigan,2018,3,no meet title,Jan-19-2018,Illinois,Lauren Farley,,,9.8250,
Michigan,2018,3,no meet title,Jan-19-2018,Illinois,Lexi Funk,9.7000,9.7500,9.2000,9.7500
Michigan,2018,3,no meet title,Jan-19-2018,Illinois,Olivia Karas,9.7000,9.8750,,9.1250
Michigan,2018,3,no meet title,Jan-19-2018,Illinois,Lauren Marinez,,,9.7000,9.1000
Michigan,2018,3,no meet title,Jan-19-2018,Illinois,Emma McLean,9.8250,,,9.8750
Michigan,2018,3,no meet title,Jan-19-2018,Illinois,Polina Shchennikova,9.7750,9.8500,9.7250,
Michigan,2018,3,no meet title,Jan-19-2018,Illinois,Syd Townsend,9.7000,9.8000,,
Michigan,2018,3,no meet title,Jan-19-2018,Illinois,Paige Zaziski,9.7000,9.9000,9.8000,9.6500
Michigan,2018,4,no meet title,Jan-27-2018,Nebraska,Brianna Brown,9.7750,9.8250,9.8500,9.8500
Michigan,2018,4,no meet title,Jan-27-2018,Nebraska,Lauren Farley,,9.8500,9.8250,
Michigan,2018,4,no meet title,Jan-27-2018,Nebraska,Lexi Funk,,,9.1000,9.8250
Michigan,2018,4,no meet title,Jan-27-2018,Nebraska,Olivia Karas,9.2750,9.8000,9.7750,9.8750
Michigan,2018,4,no meet title,Jan-27-2018,Nebraska,Lauren Marinez,,,9.8500,9.1750
Michigan,2018,4,no meet title,Jan-27-2018,Nebraska,Emma McLean,9.6750,,,9.9500
Michigan,2018,4,no meet title,Jan-27-2018,Nebraska,Polina Shchennikova,9.7750,9.8250,,
Michigan,2018,4,no meet title,Jan-27-2018,Nebraska,Syd Townsend,9.8000,9.8000,,
Michigan,2018,4,no meet title,Jan-27-2018,Nebraska,Paige Zaziski,9.8500,9.8750,9.8500,9.8250
Michigan,2018,5,no meet title,Feb-04-2018,Michigan,Brianna Brown,9.8000,9.8750,9.8500,9.9000
Michigan,2018,5,no meet title,Feb-04-2018,Michigan,Lauren Farley,,9.2500,9.8750,
Michigan,2018,5,no meet title,Feb-04-2018,Michigan,Lexi Funk,,,9.8500,9.9000
Michigan,2018,5,no meet title,Feb-04-2018,Michigan,Olivia Karas,9.9000,9.8500,9.8500,9.3500
Michigan,2018,5,no meet title,Feb-04-2018,Michigan,Lauren Marinez,,,9.3000,
Michigan,2018,5,no meet title,Feb-04-2018,Michigan,Emma McLean,9.8500,,,9.9250
Michigan,2018,5,no meet title,Feb-04-2018,Michigan,Polina Shchennikova,9.7750,9.8000,,
Michigan,2018,5,no meet title,Feb-04-2018,Michigan,Syd Townsend,9.8250,9.8250,,9.6250
Michigan,2018,5,no meet title,Feb-04-2018,Michigan,Paige Zaziski,9.9000,9.9000,9.9000,9.6750
Michigan,2018,6,no meet title,Feb-10-2018,Michigan,Brianna Brown,9.7750,9.8750,9.9000,9.8500
Michigan,2018,6,no meet title,Feb-10-2018,Michigan,Lauren Farley,,9.7500,9.9250,9.8500
Michigan,2018,6,no meet title,Feb-10-2018,Michigan,Lexi Funk,9.8250,9.7750,9.8250,9.9000
Michigan,2018,6,no meet title,Feb-10-2018,Michigan,Lauren Marinez,,,9.7750,
Michigan,2018,6,no meet title,Feb-10-2018,Michigan,Emma McLean,9.8750,,,9.9500
Michigan,2018,6,no meet title,Feb-10-2018,Michigan,Polina Shchennikova,9.8250,9.8750,9.9250,
Michigan,2018,6,no meet title,Feb-10-2018,Michigan,Syd Townsend,9.9000,9.8500,,9.8500
Michigan,2018,6,no meet title,Feb-10-2018,Michigan,Paige Zaziski,9.8750,9.7500,9.8500,9.0500
Michigan,2018,7,no meet title,Feb-17-2018,North Carolina State,Brianna Brown,9.8750,9.9500,9.3000,9.8000
Michigan,2018,7,no meet title,Feb-17-2018,North Carolina State,Lexi Funk,9.7500,9.7750,9.9000,9.8750
Michigan,2018,7,no meet title,Feb-17-2018,North Carolina State,Lauren Marinez,,,9.9250,9.7500
Michigan,2018,7,no meet title,Feb-17-2018,North Carolina State,Emma McLean,9.9000,6.2000,9.8750,9.9000
Michigan,2018,7,no meet title,Feb-17-2018,North Carolina State,Polina Shchennikova,9.8500,9.8250,9.8750,
Michigan,2018,7,no meet title,Feb-17-2018,North Carolina State,Syd Townsend,9.9000,9.8750,,9.7750
Michigan,2018,7,no meet title,Feb-17-2018,North Carolina State,Paige Zaziski,9.9000,9.3500,9.9000,9.6750
Michigan,2018,8,Elevate The Stage,Feb-23-2018,,Brianna Brown,9.5000,9.7750,9.9000,9.9000
Michigan,2018,8,Elevate The Stage,Feb-23-2018,,Lexi Funk,9.7250,9.8500,9.8250,9.9000
Michigan,2018,8,Elevate The Stage,Feb-23-2018,,Lauren Marinez,,9.7250,9.8500,9.7500
Michigan,2018,8,Elevate The Stage,Feb-23-2018,,Emma McLean,9.8250,,,
Michigan,2018,8,Elevate The Stage,Feb-23-2018,,Maggie O'Hara,,,9.3000,
Michigan,2018,8,Elevate The Stage,Feb-23-2018,,Polina Shchennikova,9.6500,9.8500,9.7750,
Michigan,2018,8,Elevate The Stage,Feb-23-2018,,Syd Townsend,9.7500,9.8250,,9.8500
Michigan,2018,8,Elevate The Stage,Feb-23-2018,,Paige Zaziski,9.9250,9.9000,9.8750,9.8750
Michigan,2018,9,no meet title,Mar-03-2018,Oklahoma,Brianna Brown,9.8000,9.8750,9.8750,9.8500
Michigan,2018,9,no meet title,Mar-03-2018,Oklahoma,Lauren Farley,,9.8500,9.1750,
Michigan,2018,9,no meet title,Mar-03-2018,Oklahoma,Lexi Funk,9.7250,9.8000,9.9250,9.8500
Michigan,2018,9,no meet title,Mar-03-2018,Oklahoma,Lauren Marinez,,,9.9000,9.8000
Michigan,2018,9,no meet title,Mar-03-2018,Oklahoma,Emma McLean,9.9500,,,9.8750
Michigan,2018,9,no meet title,Mar-03-2018,Oklahoma,Polina Shchennikova,9.8250,9.7250,9.9000,
Michigan,2018,9,no meet title,Mar-03-2018,Oklahoma,Syd Townsend,9.9000,9.8250,,9.7750
Michigan,2018,9,no meet title,Mar-03-2018,Oklahoma,Paige Zaziski,9.8750,9.9000,9.8000,9.8000
Michigan,2018,10,no meet title,Mar-10-2018,Michigan,Brianna Brown,9.7750,9.9250,9.7000,9.8500
Michigan,2018,10,no meet title,Mar-10-2018,Michigan,Lauren Farley,,9.8250,9.9000,
Michigan,2018,10,no meet title,Mar-10-2018,Michigan,Lexi Funk,9.7250,9.8500,9.8000,9.9000
Michigan,2018,10,no meet title,Mar-10-2018,Michigan,Lauren Marinez,,,9.7750,9.8250
