team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Minnesota,2023,1,no meet title,Jan-06-2023,Minnesota,Gianna Gerdes,9.8500,9.7750,9.6750,9.7250
Minnesota,2023,1,no meet title,Jan-06-2023,Minnesota,Mya Hooten,9.9250,9.8000,9.1250,9.9000
Minnesota,2023,1,no meet title,Jan-06-2023,Minnesota,Marissa Jencks,,9.7500,,9.7750
Minnesota,2023,1,no meet title,Jan-06-2023,Minnesota,Seria Johnson,9.7500,9.7750,9.6750,
Minnesota,2023,1,no meet title,Jan-06-2023,Minnesota,Emily Koch,,,9.7750,8.9500
Minnesota,2023,1,no meet title,Jan-06-2023,Minnesota,Sarah Moraw,,,9.8500,
Minnesota,2023,1,no meet title,Jan-06-2023,Minnesota,Maddie Quarles,9.8500,,,
Minnesota,2023,1,no meet title,Jan-06-2023,Minnesota,Halle Remlinger,9.8500,9.7500,,9.9500
Minnesota,2023,1,no meet title,Jan-06-2023,Minnesota,Brooklyn  Rowray,,,9.8250,
Minnesota,2023,1,no meet title,Jan-06-2023,Minnesota,Tiarre Sales,,9.8000,,
Minnesota,2023,1,no meet title,Jan-06-2023,Minnesota,Megan  Steensland,9.7250,,,9.8000
Minnesota,2023,2,Wasatch Classic,Jan-14-2023,,Gianna Gerdes,9.7750,9.8750,9.8250,9.8750
Minnesota,2023,2,Wasatch Classic,Jan-14-2023,,Mya Hooten,9.8750,9.9500,9.0500,9.9250
Minnesota,2023,2,Wasatch Classic,Jan-14-2023,,Marissa Jencks,,9.9000,,9.8500
Minnesota,2023,2,Wasatch Classic,Jan-14-2023,,Seria Johnson,9.8250,9.7500,9.8750,9.9000
Minnesota,2023,2,Wasatch Classic,Jan-14-2023,,Emily Koch,,,9.8000,9.8500
Minnesota,2023,2,Wasatch Classic,Jan-14-2023,,Sarah Moraw,9.8000,,9.8000,
Minnesota,2023,2,Wasatch Classic,Jan-14-2023,,Maddie Quarles,9.3250,,,
Minnesota,2023,2,Wasatch Classic,Jan-14-2023,,Halle Remlinger,9.8000,9.8750,,9.7750
Minnesota,2023,2,Wasatch Classic,Jan-14-2023,,Brooklyn  Rowray,,,9.2000,
Minnesota,2023,2,Wasatch Classic,Jan-14-2023,,Tiarre Sales,,9.1500,,
Minnesota,2023,3,no meet title,Jan-21-2023,Minnesota,Gianna Gerdes,9.8500,9.8250,9.8000,9.7750
Minnesota,2023,3,no meet title,Jan-21-2023,Minnesota,Mya Hooten,9.9000,9.9250,,9.9500
Minnesota,2023,3,no meet title,Jan-21-2023,Minnesota,Marissa Jencks,,9.7750,,9.8250
Minnesota,2023,3,no meet title,Jan-21-2023,Minnesota,Seria Johnson,9.8000,9.8500,9.3000,9.8500
Minnesota,2023,3,no meet title,Jan-21-2023,Minnesota,Emily Koch,,,9.2250,7.9000
Minnesota,2023,3,no meet title,Jan-21-2023,Minnesota,Sarah Moraw,9.8000,,9.8250,
Minnesota,2023,3,no meet title,Jan-21-2023,Minnesota,Lauren Pearl,,,9.6500,
Minnesota,2023,3,no meet title,Jan-21-2023,Minnesota,Maddie Quarles,9.9000,,,
Minnesota,2023,3,no meet title,Jan-21-2023,Minnesota,Halle Remlinger,9.7250,9.8250,,9.9000
Minnesota,2023,3,no meet title,Jan-21-2023,Minnesota,Brooklyn  Rowray,,,9.7750,
Minnesota,2023,3,no meet title,Jan-21-2023,Minnesota,Tiarre Sales,,9.9000,,
Minnesota,2023,4,no meet title,Jan-27-2023,Iowa,Gianna Gerdes,9.8750,9.8250,9.8250,9.8500
Minnesota,2023,4,no meet title,Jan-27-2023,Iowa,Mya Hooten,9.9000,9.8750,,9.9750
Minnesota,2023,4,no meet title,Jan-27-2023,Iowa,Marissa Jencks,,9.7500,,9.7750
Minnesota,2023,4,no meet title,Jan-27-2023,Iowa,Seria Johnson,9.8500,9.7000,9.7750,9.8500
Minnesota,2023,4,no meet title,Jan-27-2023,Iowa,Emily Koch,,,9.6500,
Minnesota,2023,4,no meet title,Jan-27-2023,Iowa,Sarah Moraw,9.8000,,9.8750,
Minnesota,2023,4,no meet title,Jan-27-2023,Iowa,Lauren Pearl,,,,
Minnesota,2023,4,no meet title,Jan-27-2023,Iowa,Maddie Quarles,9.8750,,,
Minnesota,2023,4,no meet title,Jan-27-2023,Iowa,Halle Remlinger,9.7750,9.8500,,9.9000
Minnesota,2023,4,no meet title,Jan-27-2023,Iowa,Brooklyn  Rowray,,,9.9000,9.8000
Minnesota,2023,4,no meet title,Jan-27-2023,Iowa,Tiarre Sales,,9.8750,,
Minnesota,2023,4,no meet title,Jan-27-2023,Iowa,Ella Sirjord,,,9.1000,
Minnesota,2023,5,no meet title,Feb-04-2023,Minnesota,Gianna Gerdes,9.7250,9.8500,9.8500,9.8750
Minnesota,2023,5,no meet title,Feb-04-2023,Minnesota,Mya Hooten,9.9750,9.8750,9.8250,10.0000
Minnesota,2023,5,no meet title,Feb-04-2023,Minnesota,Marissa Jencks,,9.8500,,9.8500
Minnesota,2023,5,no meet title,Feb-04-2023,Minnesota,Seria Johnson,8.8750,9.7750,8.6000,9.8750
Minnesota,2023,5,no meet title,Feb-04-2023,Minnesota,Emily Koch,,,9.7750,
Minnesota,2023,5,no meet title,Feb-04-2023,Minnesota,Mallory Leneave,,,,9.7250
Minnesota,2023,5,no meet title,Feb-04-2023,Minnesota,Sarah Moraw,9.8500,,9.7000,
Minnesota,2023,5,no meet title,Feb-04-2023,Minnesota,Lauren Pearl,,,9.5000,
Minnesota,2023,5,no meet title,Feb-04-2023,Minnesota,Maddie Quarles,9.8750,,,
Minnesota,2023,5,no meet title,Feb-04-2023,Minnesota,Halle Remlinger,9.8750,9.8250,,9.9500
Minnesota,2023,5,no meet title,Feb-04-2023,Minnesota,Tiarre Sales,,9.7750,,
Minnesota,2023,6,no meet title,Feb-10-2023,Michigan,Gianna Gerdes,9.8250,9.8750,9.9000,9.9000
Minnesota,2023,6,no meet title,Feb-10-2023,Michigan,Mya Hooten,9.9500,9.9500,9.6250,9.9750
Minnesota,2023,6,no meet title,Feb-10-2023,Michigan,Marissa Jencks,9.7500,9.8000,,9.6250
Minnesota,2023,6,no meet title,Feb-10-2023,Michigan,Seria Johnson,,9.8500,,9.8750
Minnesota,2023,6,no meet title,Feb-10-2023,Michigan,Emily Koch,,,9.8500,
Minnesota,2023,6,no meet title,Feb-10-2023,Michigan,Mallory Leneave,,,,9.6500
Minnesota,2023,6,no meet title,Feb-10-2023,Michigan,Sarah Moraw,9.8500,,9.7000,
Minnesota,2023,6,no meet title,Feb-10-2023,Michigan,Lauren Pearl,,,9.8500,
Minnesota,2023,6,no meet title,Feb-10-2023,Michigan,Maddie Quarles,9.8750,,,
Minnesota,2023,6,no meet title,Feb-10-2023,Michigan,Halle Remlinger,9.8250,9.8750,,9.9250
Minnesota,2023,6,no meet title,Feb-10-2023,Michigan,Tiarre Sales,,9.8750,9.7000,
Minnesota,2023,7,no meet title,Feb-19-2023,Maryland,Gianna Gerdes,9.8750,9.8000,9.7000,9.9500
Minnesota,2023,7,no meet title,Feb-19-2023,Maryland,Mya Hooten,9.8250,9.8500,,9.9500
Minnesota,2023,7,no meet title,Feb-19-2023,Maryland,Marissa Jencks,9.8500,9.8250,,9.8250
Minnesota,2023,7,no meet title,Feb-19-2023,Maryland,Seria Johnson,,9.8000,,9.8500
Minnesota,2023,7,no meet title,Feb-19-2023,Maryland,Emily Koch,,,9.8500,
Minnesota,2023,7,no meet title,Feb-19-2023,Maryland,Sarah Moraw,9.8000,,9.6500,9.8250
Minnesota,2023,7,no meet title,Feb-19-2023,Maryland,Lauren Pearl,,,9.7000,
Minnesota,2023,7,no meet title,Feb-19-2023,Maryland,Maddie Quarles,9.9250,,,
Minnesota,2023,7,no meet title,Feb-19-2023,Maryland,Halle Remlinger,9.8000,9.8250,,9.9250
Minnesota,2023,7,no meet title,Feb-19-2023,Maryland,Brooklyn  Rowray,,,9.8000,
Minnesota,2023,7,no meet title,Feb-19-2023,Maryland,Tiarre Sales,,9.8250,9.8500,
Minnesota,2023,8,Big 5,Feb-25-2023,Nebraska,Gianna Gerdes,9.8500,9.8500,9.8500,9.9250
Minnesota,2023,8,Big 5,Feb-25-2023,Nebraska,Mya Hooten,9.8250,9.8750,9.3000,9.8250
Minnesota,2023,8,Big 5,Feb-25-2023,Nebraska,Marissa Jencks,9.8500,9.7000,,9.8000
Minnesota,2023,8,Big 5,Feb-25-2023,Nebraska,Seria Johnson,,9.8250,,9.8500
Minnesota,2023,8,Big 5,Feb-25-2023,Nebraska,Emily Koch,,,9.8750,
Minnesota,2023,8,Big 5,Feb-25-2023,Nebraska,Mallory Leneave,,,,9.8000
Minnesota,2023,8,Big 5,Feb-25-2023,Nebraska,Sarah Moraw,9.8500,,,
Minnesota,2023,8,Big 5,Feb-25-2023,Nebraska,Lauren Pearl,,,9.6750,
Minnesota,2023,8,Big 5,Feb-25-2023,Nebraska,Maddie Quarles,10.0000,,,
Minnesota,2023,8,Big 5,Feb-25-2023,Nebraska,Halle Remlinger,9.8750,9.1000,,9.9250
Minnesota,2023,8,Big 5,Feb-25-2023,Nebraska,Brooklyn  Rowray,,,9.2000,
Minnesota,2023,8,Big 5,Feb-25-2023,Nebraska,Tiarre Sales,,9.9000,9.1000,
Minnesota,2023,9,no meet title,Mar-04-2023,Minnesota,Gianna Gerdes,9.8250,9.9000,9.8250,9.9500
Minnesota,2023,9,no meet title,Mar-04-2023,Minnesota,Mya Hooten,9.9000,9.9000,,10.0000
Minnesota,2023,9,no meet title,Mar-04-2023,Minnesota,Marissa Jencks,9.7500,9.0750,,9.8500
Minnesota,2023,9,no meet title,Mar-04-2023,Minnesota,Seria Johnson,,9.8500,,9.9000
Minnesota,2023,9,no meet title,Mar-04-2023,Minnesota,Emily Koch,,,9.1250,
Minnesota,2023,9,no meet title,Mar-04-2023,Minnesota,Mallory Leneave,,,,9.8500
Minnesota,2023,9,no meet title,Mar-04-2023,Minnesota,Sarah Moraw,9.8500,,9.8500,
Minnesota,2023,9,no meet title,Mar-04-2023,Minnesota,Abbie Nylin,,,9.7000,
Minnesota,2023,9,no meet title,Mar-04-2023,Minnesota,Lauren Pearl,,,9.8750,
Minnesota,2023,9,no meet title,Mar-04-2023,Minnesota,Maddie Quarles,9.9500,,,
Minnesota,2023,9,no meet title,Mar-04-2023,Minnesota,Halle Remlinger,9.8500,9.8500,,10.0000
Minnesota,2023,9,no meet title,Mar-04-2023,Minnesota,Tiarre Sales,,9.8750,9.9000,
Minnesota,2023,10,no meet title,Mar-10-2023,Arkansas,Gianna Gerdes,9.8250,9.8250,9.1750,9.9500
Minnesota,2023,10,no meet title,Mar-10-2023,Arkansas,Mya Hooten,9.8250,9.7500,,9.9250
Minnesota,2023,10,no meet title,Mar-10-2023,Arkansas,Marissa Jencks,9.8250,9.8500,,9.8500
Minnesota,2023,10,no meet title,Mar-10-2023,Arkansas,Seria Johnson,,9.8250,,9.8750
Minnesota,2023,10,no meet title,Mar-10-2023,Arkansas,Emily Koch,,,9.8250,
Minnesota,2023,10,no meet title,Mar-10-2023,Arkansas,Mallory Leneave,,,,9.8000
Minnesota,2023,10,no meet title,Mar-10-2023,Arkansas,Sarah Moraw,9.8500,,9.8750,
Minnesota,2023,10,no meet title,Mar-10-2023,Arkansas,Abbie Nylin,,,9.6250,
Minnesota,2023,10,no meet title,Mar-10-2023,Arkansas,Lauren Pearl,,,9.8000,
