team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Nebraska,2020,1,no meet title,Jan-06-2020,BYU,Clara Colombo,,9.7750,,
Nebraska,2020,1,no meet title,Jan-06-2020,BYU,Makayla Curtis,9.7500,,9.7250,9.8250
Nebraska,2020,1,no meet title,Jan-06-2020,BYU,Anika Dujakovich,9.8250,,,9.7750
Nebraska,2020,1,no meet title,Jan-06-2020,BYU,Sierra Hassel,9.5500,,9.8750,9.9000
Nebraska,2020,1,no meet title,Jan-06-2020,BYU,Taylor Houchin,9.8500,9.8250,9.8000,9.6750
Nebraska,2020,1,no meet title,Jan-06-2020,BYU,Kylie Piringer,,9.7250,,9.8250
Nebraska,2020,1,no meet title,Jan-06-2020,BYU,Kaylee Quinn,9.2000,8.7500,9.2000,9.1500
Nebraska,2020,1,no meet title,Jan-06-2020,BYU,Kathryn Thaler,,9.7000,9.8250,
Nebraska,2020,1,no meet title,Jan-06-2020,BYU,Megan  Verceles Carr,9.8000,9.8000,9.7750,
Nebraska,2020,2,no meet title,Jan-09-2020,Southern Utah,Clara Colombo,,9.8750,,
Nebraska,2020,2,no meet title,Jan-09-2020,Southern Utah,Makayla Curtis,9.7000,,9.8000,9.8750
Nebraska,2020,2,no meet title,Jan-09-2020,Southern Utah,Adnerys De Jesus,9.7000,9.5000,9.8500,9.8750
Nebraska,2020,2,no meet title,Jan-09-2020,Southern Utah,Anika Dujakovich,9.8750,,,9.8500
Nebraska,2020,2,no meet title,Jan-09-2020,Southern Utah,Sierra Hassel,,,9.9250,9.9500
Nebraska,2020,2,no meet title,Jan-09-2020,Southern Utah,Taylor Houchin,9.9750,9.8750,9.1500,9.7500
Nebraska,2020,2,no meet title,Jan-09-2020,Southern Utah,Kylie Piringer,,8.7250,,9.9000
Nebraska,2020,2,no meet title,Jan-09-2020,Southern Utah,Kaylee Quinn,9.8250,,,
Nebraska,2020,2,no meet title,Jan-09-2020,Southern Utah,Kathryn Thaler,,9.8000,9.8250,
Nebraska,2020,2,no meet title,Jan-09-2020,Southern Utah,Megan  Verceles Carr,9.8500,9.5000,9.7500,
Nebraska,2020,3,no meet title,Jan-16-2020,Nebraska,Clara Colombo,,9.7500,,
Nebraska,2020,3,no meet title,Jan-16-2020,Nebraska,Makayla Curtis,9.6750,,9.6750,9.8500
Nebraska,2020,3,no meet title,Jan-16-2020,Nebraska,Adnerys De Jesus,9.9000,9.7500,9.6000,9.8250
Nebraska,2020,3,no meet title,Jan-16-2020,Nebraska,Anika Dujakovich,9.8250,,,9.8750
Nebraska,2020,3,no meet title,Jan-16-2020,Nebraska,Sierra Hassel,,,9.8250,9.8750
Nebraska,2020,3,no meet title,Jan-16-2020,Nebraska,Taylor Houchin,9.9000,9.8750,8.9500,9.9000
Nebraska,2020,3,no meet title,Jan-16-2020,Nebraska,Kylie Piringer,9.7750,9.4500,,9.9000
Nebraska,2020,3,no meet title,Jan-16-2020,Nebraska,Kathryn Thaler,,9.7000,8.8000,
Nebraska,2020,3,no meet title,Jan-16-2020,Nebraska,Megan  Verceles Carr,9.7750,9.7250,9.7250,
Nebraska,2020,4,no meet title,Jan-26-2020,Michigan State,Clara Colombo,,9.8250,,
Nebraska,2020,4,no meet title,Jan-26-2020,Michigan State,Makayla Curtis,,,9.9000,9.7500
Nebraska,2020,4,no meet title,Jan-26-2020,Michigan State,Adnerys De Jesus,9.9500,9.8250,9.8500,9.8250
Nebraska,2020,4,no meet title,Jan-26-2020,Michigan State,Anika Dujakovich,9.9500,,,9.8250
Nebraska,2020,4,no meet title,Jan-26-2020,Michigan State,Sierra Hassel,9.8000,,9.8500,9.9000
Nebraska,2020,4,no meet title,Jan-26-2020,Michigan State,Taylor Houchin,9.9250,9.8750,9.7250,9.7000
Nebraska,2020,4,no meet title,Jan-26-2020,Michigan State,Kylie Piringer,9.7750,9.7750,,9.8750
Nebraska,2020,4,no meet title,Jan-26-2020,Michigan State,Kynsee Roby,9.6000,,9.6500,
Nebraska,2020,4,no meet title,Jan-26-2020,Michigan State,Kathryn Thaler,,9.8500,,
Nebraska,2020,4,no meet title,Jan-26-2020,Michigan State,Megan  Verceles Carr,,9.8750,9.9500,
Nebraska,2020,5,no meet title,Jan-30-2020,Nebraska,Clara Colombo,,9.7750,,
Nebraska,2020,5,no meet title,Jan-30-2020,Nebraska,Makayla Curtis,,,9.8000,9.8250
Nebraska,2020,5,no meet title,Jan-30-2020,Nebraska,Adnerys De Jesus,9.8750,9.8500,9.8000,9.8750
Nebraska,2020,5,no meet title,Jan-30-2020,Nebraska,Anika Dujakovich,9.8250,,,9.8250
Nebraska,2020,5,no meet title,Jan-30-2020,Nebraska,Sierra Hassel,9.7500,,9.8750,9.9250
Nebraska,2020,5,no meet title,Jan-30-2020,Nebraska,Taylor Houchin,9.9000,9.9000,9.7250,9.9000
Nebraska,2020,5,no meet title,Jan-30-2020,Nebraska,Kylie Piringer,9.8250,9.6750,,9.9000
Nebraska,2020,5,no meet title,Jan-30-2020,Nebraska,Kathryn Thaler,,9.7500,9.9000,
Nebraska,2020,5,no meet title,Jan-30-2020,Nebraska,Megan  Verceles Carr,9.8750,9.8250,9.7750,
Nebraska,2020,6,no meet title,Feb-08-2020,Nebraska,Clara Colombo,,9.7000,,
Nebraska,2020,6,no meet title,Feb-08-2020,Nebraska,Makayla Curtis,9.7000,,9.2000,9.8250
Nebraska,2020,6,no meet title,Feb-08-2020,Nebraska,Adnerys De Jesus,9.8250,9.8500,9.7500,9.9000
Nebraska,2020,6,no meet title,Feb-08-2020,Nebraska,Sierra Hassel,9.6500,,9.8250,9.8500
Nebraska,2020,6,no meet title,Feb-08-2020,Nebraska,Taylor Houchin,9.9000,9.8250,9.8500,9.8250
Nebraska,2020,6,no meet title,Feb-08-2020,Nebraska,Abby Johnston,,,,9.8000
Nebraska,2020,6,no meet title,Feb-08-2020,Nebraska,Kylie Piringer,9.7750,9.6250,,9.8750
Nebraska,2020,6,no meet title,Feb-08-2020,Nebraska,Kynsee Roby,,,9.8000,
Nebraska,2020,6,no meet title,Feb-08-2020,Nebraska,Kathryn Thaler,,9.6500,,
Nebraska,2020,6,no meet title,Feb-08-2020,Nebraska,Megan  Verceles Carr,9.8500,9.8250,9.7750,
Nebraska,2020,7,no meet title,Feb-16-2020,Minnesota,Clara Colombo,,9.8000,,
Nebraska,2020,7,no meet title,Feb-16-2020,Minnesota,Makayla Curtis,,,9.7500,9.8000
Nebraska,2020,7,no meet title,Feb-16-2020,Minnesota,Adnerys De Jesus,9.8500,9.8500,9.7500,9.8250
Nebraska,2020,7,no meet title,Feb-16-2020,Minnesota,Sierra Hassel,9.1000,,9.8750,9.8750
Nebraska,2020,7,no meet title,Feb-16-2020,Minnesota,Taylor Houchin,9.9500,9.4000,9.8500,9.5500
Nebraska,2020,7,no meet title,Feb-16-2020,Minnesota,Abby Johnston,,,,9.1000
Nebraska,2020,7,no meet title,Feb-16-2020,Minnesota,Kylie Piringer,9.7000,9.6750,,9.8000
Nebraska,2020,7,no meet title,Feb-16-2020,Minnesota,Kynsee Roby,9.7500,,9.8500,
