team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
New Hampshire,2020,1,no meet title,Jan-04-2020,Illinois State,Hannah Baddick,,,9.0000,
New Hampshire,2020,1,no meet title,Jan-04-2020,Illinois State,Lexi Calandra,9.3500,,,
New Hampshire,2020,1,no meet title,Jan-04-2020,Illinois State,Lauren Diggan,9.7000,9.6250,,9.7000
New Hampshire,2020,1,no meet title,Jan-04-2020,Illinois State,Riley Freehling,9.6250,9.6500,9.6500,9.5500
New Hampshire,2020,1,no meet title,Jan-04-2020,Illinois State,Kylie Gorgenyi,9.7000,9.7500,,
New Hampshire,2020,1,no meet title,Jan-04-2020,Illinois State,Clare Hampford,,9.2000,,
New Hampshire,2020,1,no meet title,Jan-04-2020,Illinois State,Robyn Kelley,9.7500,,9.6000,9.0250
New Hampshire,2020,1,no meet title,Jan-04-2020,Illinois State,Hailey Lui,,9.5500,9.7250,9.6500
New Hampshire,2020,1,no meet title,Jan-04-2020,Illinois State,Ava Watkins,,9.6250,,9.6000
New Hampshire,2020,1,no meet title,Jan-04-2020,Illinois State,Emma Winer,9.7500,,9.7750,9.8250
New Hampshire,2020,1,no meet title,Jan-04-2020,Illinois State,Alyssa Worthington,,,9.6000,
New Hampshire,2020,2,no meet title,Jan-11-2020,Pittsburgh,Hannah Baddick,,,9.7000,
New Hampshire,2020,2,no meet title,Jan-11-2020,Pittsburgh,Lexi Calandra,9.5750,,,
New Hampshire,2020,2,no meet title,Jan-11-2020,Pittsburgh,Lauren Diggan,9.7250,9.7500,,9.5000
New Hampshire,2020,2,no meet title,Jan-11-2020,Pittsburgh,Riley Freehling,9.6000,9.6000,9.7750,9.5750
New Hampshire,2020,2,no meet title,Jan-11-2020,Pittsburgh,Kylie Gorgenyi,9.8000,9.7250,,
New Hampshire,2020,2,no meet title,Jan-11-2020,Pittsburgh,Clare Hampford,,9.5000,,
New Hampshire,2020,2,no meet title,Jan-11-2020,Pittsburgh,Robyn Kelley,9.6750,,9.6750,9.7750
New Hampshire,2020,2,no meet title,Jan-11-2020,Pittsburgh,Hailey Lui,,9.7250,9.2250,9.7000
New Hampshire,2020,2,no meet title,Jan-11-2020,Pittsburgh,Ava Watkins,,9.6750,,9.6500
New Hampshire,2020,2,no meet title,Jan-11-2020,Pittsburgh,Emma Winer,9.7500,,9.7750,9.7750
New Hampshire,2020,2,no meet title,Jan-11-2020,Pittsburgh,Alyssa Worthington,,,9.8000,
New Hampshire,2020,3,no meet title,Jan-18-2020,New Hampshire,Hannah Baddick,,,9.8000,
New Hampshire,2020,3,no meet title,Jan-18-2020,New Hampshire,Lexi Calandra,9.5750,,,
New Hampshire,2020,3,no meet title,Jan-18-2020,New Hampshire,Lauren Diggan,9.7750,9.6750,,9.6500
New Hampshire,2020,3,no meet title,Jan-18-2020,New Hampshire,Riley Freehling,9.7000,9.7000,9.7000,9.7250
New Hampshire,2020,3,no meet title,Jan-18-2020,New Hampshire,Kylie Gorgenyi,9.8000,9.7750,,
New Hampshire,2020,3,no meet title,Jan-18-2020,New Hampshire,Clare Hampford,,9.7000,,
New Hampshire,2020,3,no meet title,Jan-18-2020,New Hampshire,Robyn Kelley,9.7250,,9.7500,9.8500
New Hampshire,2020,3,no meet title,Jan-18-2020,New Hampshire,Hailey Lui,,9.2000,9.8250,9.8750
New Hampshire,2020,3,no meet title,Jan-18-2020,New Hampshire,Ava Watkins,,9.3250,,9.8250
New Hampshire,2020,3,no meet title,Jan-18-2020,New Hampshire,Emma Winer,9.7500,,9.7250,9.8500
New Hampshire,2020,3,no meet title,Jan-18-2020,New Hampshire,Alyssa Worthington,,,9.8250,
New Hampshire,2020,4,no meet title,Jan-26-2020,West Virginia,Hannah Baddick,,,9.6500,
New Hampshire,2020,4,no meet title,Jan-26-2020,West Virginia,Lexi Calandra,9.7000,,,
New Hampshire,2020,4,no meet title,Jan-26-2020,West Virginia,Alexandra Cucich,,,,9.8250
New Hampshire,2020,4,no meet title,Jan-26-2020,West Virginia,Riley Freehling,9.7250,9.1500,9.8000,9.8000
New Hampshire,2020,4,no meet title,Jan-26-2020,West Virginia,Kylie Gorgenyi,9.7750,9.8000,,
New Hampshire,2020,4,no meet title,Jan-26-2020,West Virginia,Clare Hampford,,9.7500,,9.7750
New Hampshire,2020,4,no meet title,Jan-26-2020,West Virginia,Robyn Kelley,9.7000,,9.8000,9.7000
New Hampshire,2020,4,no meet title,Jan-26-2020,West Virginia,Kylie Kratchwell,,9.7500,,
New Hampshire,2020,4,no meet title,Jan-26-2020,West Virginia,Hailey Lui,,9.2750,9.8250,9.8250
New Hampshire,2020,4,no meet title,Jan-26-2020,West Virginia,Mariella Miele,9.1500,,,
New Hampshire,2020,4,no meet title,Jan-26-2020,West Virginia,Ava Watkins,,9.7250,,
New Hampshire,2020,4,no meet title,Jan-26-2020,West Virginia,Emma Winer,9.7250,,9.8250,9.8250
New Hampshire,2020,4,no meet title,Jan-26-2020,West Virginia,Alyssa Worthington,,,9.9000,
New Hampshire,2020,5,no meet title,Feb-01-2020,New Hampshire,Hannah Baddick,,,9.8000,
New Hampshire,2020,5,no meet title,Feb-01-2020,New Hampshire,Lexi Calandra,9.6500,,,
New Hampshire,2020,5,no meet title,Feb-01-2020,New Hampshire,Alexandra Cucich,,,,9.7250
New Hampshire,2020,5,no meet title,Feb-01-2020,New Hampshire,Riley Freehling,9.7750,9.8000,9.8250,9.8000
New Hampshire,2020,5,no meet title,Feb-01-2020,New Hampshire,Kylie Gorgenyi,9.8500,9.5000,,9.6750
New Hampshire,2020,5,no meet title,Feb-01-2020,New Hampshire,Clare Hampford,,9.7000,,
New Hampshire,2020,5,no meet title,Feb-01-2020,New Hampshire,Robyn Kelley,9.1500,,9.8000,
New Hampshire,2020,5,no meet title,Feb-01-2020,New Hampshire,Kylie Kratchwell,,8.9750,,
New Hampshire,2020,5,no meet title,Feb-01-2020,New Hampshire,Hailey Lui,,9.6750,9.7500,9.7750
New Hampshire,2020,5,no meet title,Feb-01-2020,New Hampshire,Mariella Miele,9.7500,,,
New Hampshire,2020,5,no meet title,Feb-01-2020,New Hampshire,Ava Watkins,,9.6500,,9.7750
New Hampshire,2020,5,no meet title,Feb-01-2020,New Hampshire,Emma Winer,9.7750,,9.7500,9.8500
New Hampshire,2020,5,no meet title,Feb-01-2020,New Hampshire,Alyssa Worthington,,,9.9000,
New Hampshire,2020,6,no meet title,Feb-08-2020,New Hampshire,Hannah Baddick,9.6750,,,
New Hampshire,2020,6,no meet title,Feb-08-2020,New Hampshire,Lexi Calandra,9.7500,,,
New Hampshire,2020,6,no meet title,Feb-08-2020,New Hampshire,Riley Freehling,9.7000,9.8250,9.8000,9.8000
New Hampshire,2020,6,no meet title,Feb-08-2020,New Hampshire,Kylie Gorgenyi,9.8250,9.7750,9.7500,9.8000
New Hampshire,2020,6,no meet title,Feb-08-2020,New Hampshire,Clare Hampford,,9.7750,,
New Hampshire,2020,6,no meet title,Feb-08-2020,New Hampshire,Robyn Kelley,,,9.7500,9.7750
New Hampshire,2020,6,no meet title,Feb-08-2020,New Hampshire,Kylie Kratchwell,,9.1750,,
New Hampshire,2020,6,no meet title,Feb-08-2020,New Hampshire,Hailey Lui,,9.7750,9.8250,9.8750
New Hampshire,2020,6,no meet title,Feb-08-2020,New Hampshire,Mariella Miele,9.7500,,,
New Hampshire,2020,6,no meet title,Feb-08-2020,New Hampshire,Ava Watkins,,9.7250,,9.8500
New Hampshire,2020,6,no meet title,Feb-08-2020,New Hampshire,Emma Winer,9.7750,,9.1250,9.9250
New Hampshire,2020,6,no meet title,Feb-08-2020,New Hampshire,Alyssa Worthington,,,9.8000,
New Hampshire,2020,7,no meet title,Feb-15-2020,North Carolina State,Lexi Calandra,9.7000,,,
New Hampshire,2020,7,no meet title,Feb-15-2020,North Carolina State,Riley Freehling,9.7000,9.5750,9.6750,9.7250
New Hampshire,2020,7,no meet title,Feb-15-2020,North Carolina State,Kylie Gorgenyi,9.8500,9.8000,9.7500,9.7000
New Hampshire,2020,7,no meet title,Feb-15-2020,North Carolina State,Clare Hampford,,9.7250,,
New Hampshire,2020,7,no meet title,Feb-15-2020,North Carolina State,Robyn Kelley,9.7750,,9.7750,9.7750
New Hampshire,2020,7,no meet title,Feb-15-2020,North Carolina State,Kylie Kratchwell,,9.6750,,
New Hampshire,2020,7,no meet title,Feb-15-2020,North Carolina State,Hailey Lui,,9.6750,9.8250,9.8750
New Hampshire,2020,7,no meet title,Feb-15-2020,North Carolina State,Mariella Miele,9.6750,,,
New Hampshire,2020,7,no meet title,Feb-15-2020,North Carolina State,Ava Watkins,,9.5000,,9.8250
New Hampshire,2020,7,no meet title,Feb-15-2020,North Carolina State,Emma Winer,9.8000,,9.5750,9.9000
New Hampshire,2020,7,no meet title,Feb-15-2020,North Carolina State,Alyssa Worthington,,,9.7500,
New Hampshire,2020,8,no meet title,Feb-17-2020,North Carolina,Lexi Calandra,9.7250,,,
New Hampshire,2020,8,no meet title,Feb-17-2020,North Carolina,Riley Freehling,9.7000,9.8000,9.8000,9.4000
New Hampshire,2020,8,no meet title,Feb-17-2020,North Carolina,Kylie Gorgenyi,9.3500,9.8750,9.5000,9.7250
New Hampshire,2020,8,no meet title,Feb-17-2020,North Carolina,Clare Hampford,,9.7500,,
New Hampshire,2020,8,no meet title,Feb-17-2020,North Carolina,Robyn Kelley,9.7500,,9.8500,9.8000
New Hampshire,2020,8,no meet title,Feb-17-2020,North Carolina,Kylie Kratchwell,,9.7250,,
New Hampshire,2020,8,no meet title,Feb-17-2020,North Carolina,Hailey Lui,,9.7500,9.8250,9.8250
New Hampshire,2020,8,no meet title,Feb-17-2020,North Carolina,Mariella Miele,9.6750,,,
New Hampshire,2020,8,no meet title,Feb-17-2020,North Carolina,Ava Watkins,,9.7000,,9.8000
New Hampshire,2020,8,no meet title,Feb-17-2020,North Carolina,Emma Winer,9.7750,,9.7500,9.8750
New Hampshire,2020,8,no meet title,Feb-17-2020,North Carolina,Alyssa Worthington,,,9.8750,
New Hampshire,2020,9,no meet title,Feb-23-2020,New Hampshire,Lexi Calandra,9.5500,,,
New Hampshire,2020,9,no meet title,Feb-23-2020,New Hampshire,Riley Freehling,9.8000,9.8250,9.5500,9.6750
New Hampshire,2020,9,no meet title,Feb-23-2020,New Hampshire,Kylie Gorgenyi,9.8500,9.8250,9.4000,
New Hampshire,2020,9,no meet title,Feb-23-2020,New Hampshire,Clare Hampford,,9.7500,,9.7250
New Hampshire,2020,9,no meet title,Feb-23-2020,New Hampshire,Robyn Kelley,9.8000,,9.8250,9.8250
New Hampshire,2020,9,no meet title,Feb-23-2020,New Hampshire,Kylie Kratchwell,,9.3250,,
New Hampshire,2020,9,no meet title,Feb-23-2020,New Hampshire,Hailey Lui,,9.3000,9.8750,9.7000
New Hampshire,2020,9,no meet title,Feb-23-2020,New Hampshire,Mariella Miele,9.7000,,,
New Hampshire,2020,9,no meet title,Feb-23-2020,New Hampshire,Ava Watkins,,9.7500,,9.8000
New Hampshire,2020,9,no meet title,Feb-23-2020,New Hampshire,Emma Winer,9.8500,,9.8000,9.9000
New Hampshire,2020,9,no meet title,Feb-23-2020,New Hampshire,Alyssa Worthington,,,9.8250,
New Hampshire,2020,10,no meet title,Feb-28-2020,Michigan,Lexi Calandra,9.6750,,,
New Hampshire,2020,10,no meet title,Feb-28-2020,Michigan,Riley Freehling,9.6750,9.8000,9.6000,9.7750
New Hampshire,2020,10,no meet title,Feb-28-2020,Michigan,Kylie Gorgenyi,9.7500,9.8000,9.7250,
New Hampshire,2020,10,no meet title,Feb-28-2020,Michigan,Clare Hampford,,9.7500,,9.7500
