team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
North Carolina State,2021,1,no meet title,Jan-15-2021,North Carolina State,Madison Benson,9.5250,,,9.7250
North Carolina State,2021,1,no meet title,Jan-15-2021,North Carolina State,Katelyn Cox,,9.8500,,9.7750
North Carolina State,2021,1,no meet title,Jan-15-2021,North Carolina State,Gabrielle Diaz,9.4750,9.7000,,
North Carolina State,2021,1,no meet title,Jan-15-2021,North Carolina State,Kailin Foland,,,9.7000,
North Carolina State,2021,1,no meet title,Jan-15-2021,North Carolina State,Carina Jordan,9.7250,9.8000,9.5000,9.7250
North Carolina State,2021,1,no meet title,Jan-15-2021,North Carolina State,Chloe Negrete,9.8250,,9.7500,9.8000
North Carolina State,2021,1,no meet title,Jan-15-2021,North Carolina State,Kasey Nelson,,9.7250,9.8000,9.7500
North Carolina State,2021,1,no meet title,Jan-15-2021,North Carolina State,Meredith Robinson,,9.8750,,
North Carolina State,2021,1,no meet title,Jan-15-2021,North Carolina State,Emily Shepard,9.8000,9.7750,9.8000,9.8500
North Carolina State,2021,1,no meet title,Jan-15-2021,North Carolina State,Nicole Webb,,,9.2500,
North Carolina State,2021,1,no meet title,Jan-15-2021,North Carolina State,Haley Zarett,9.5750,,,
North Carolina State,2021,2,no meet title,Jan-22-2021,Towson,Madison Benson,9.8000,,,9.7750
North Carolina State,2021,2,no meet title,Jan-22-2021,Towson,Katelyn Cox,,9.8500,9.1750,9.7000
North Carolina State,2021,2,no meet title,Jan-22-2021,Towson,Gabrielle Diaz,9.7750,9.1750,,
North Carolina State,2021,2,no meet title,Jan-22-2021,Towson,Kailin Foland,,,9.5500,
North Carolina State,2021,2,no meet title,Jan-22-2021,Towson,Carina Jordan,9.4000,9.7250,,9.8000
North Carolina State,2021,2,no meet title,Jan-22-2021,Towson,Chloe Negrete,9.9000,,9.5750,9.8750
North Carolina State,2021,2,no meet title,Jan-22-2021,Towson,Kasey Nelson,,9.6500,9.7000,9.8500
North Carolina State,2021,2,no meet title,Jan-22-2021,Towson,Meredith Robinson,,9.8250,,
North Carolina State,2021,2,no meet title,Jan-22-2021,Towson,Emily Shepard,9.8250,9.9000,9.5500,9.8500
North Carolina State,2021,2,no meet title,Jan-22-2021,Towson,Nicole Webb,,,9.4250,
North Carolina State,2021,2,no meet title,Jan-22-2021,Towson,Haley Zarett,8.5500,,,
North Carolina State,2021,3,no meet title,Jan-31-2021,Pittsburgh,Madison Benson,9.7750,,,
North Carolina State,2021,3,no meet title,Jan-31-2021,Pittsburgh,Katelyn Cox,,9.8500,9.0000,9.7500
North Carolina State,2021,3,no meet title,Jan-31-2021,Pittsburgh,Gabrielle Diaz,9.7500,9.7000,,
North Carolina State,2021,3,no meet title,Jan-31-2021,Pittsburgh,Kailin Foland,,,9.7750,
North Carolina State,2021,3,no meet title,Jan-31-2021,Pittsburgh,Carina Jordan,9.7500,8.8750,,9.7750
North Carolina State,2021,3,no meet title,Jan-31-2021,Pittsburgh,Chloe Negrete,9.8500,,9.8750,9.9000
North Carolina State,2021,3,no meet title,Jan-31-2021,Pittsburgh,Kasey Nelson,,9.7750,9.7750,9.7750
North Carolina State,2021,3,no meet title,Jan-31-2021,Pittsburgh,Victoria Prati,9.7000,,,
North Carolina State,2021,3,no meet title,Jan-31-2021,Pittsburgh,Meredith Robinson,,9.8750,,
North Carolina State,2021,3,no meet title,Jan-31-2021,Pittsburgh,Emily Shepard,9.9000,9.8500,9.2250,9.7250
North Carolina State,2021,3,no meet title,Jan-31-2021,Pittsburgh,Nicole Webb,,,9.7750,9.6750
North Carolina State,2021,4,no meet title,Feb-06-2021,North Carolina State,Madison Benson,9.7500,,,
North Carolina State,2021,4,no meet title,Feb-06-2021,North Carolina State,Katelyn Cox,,9.8250,9.8250,9.8250
North Carolina State,2021,4,no meet title,Feb-06-2021,North Carolina State,Gabrielle Diaz,9.6250,9.2000,,
North Carolina State,2021,4,no meet title,Feb-06-2021,North Carolina State,Kailin Foland,,,9.7750,
North Carolina State,2021,4,no meet title,Feb-06-2021,North Carolina State,Carina Jordan,9.7500,9.8500,,9.8250
North Carolina State,2021,4,no meet title,Feb-06-2021,North Carolina State,Chloe Negrete,9.8000,,9.8000,9.9250
North Carolina State,2021,4,no meet title,Feb-06-2021,North Carolina State,Kasey Nelson,,9.5750,9.7000,9.8750
North Carolina State,2021,4,no meet title,Feb-06-2021,North Carolina State,Victoria Prati,9.7500,,,
North Carolina State,2021,4,no meet title,Feb-06-2021,North Carolina State,Meredith Robinson,,9.8250,,
North Carolina State,2021,4,no meet title,Feb-06-2021,North Carolina State,Emily Shepard,9.8250,9.7750,9.2000,9.9000
North Carolina State,2021,4,no meet title,Feb-06-2021,North Carolina State,Nicole Webb,,,9.8000,9.8750
North Carolina State,2021,5,no meet title,Feb-12-2021,North Carolina,Madison Benson,9.7250,,,
North Carolina State,2021,5,no meet title,Feb-12-2021,North Carolina,Katelyn Cox,,9.8750,9.7750,9.7500
North Carolina State,2021,5,no meet title,Feb-12-2021,North Carolina,Gabrielle Diaz,9.6500,9.7250,9.7000,
North Carolina State,2021,5,no meet title,Feb-12-2021,North Carolina,Kailin Foland,,,9.7500,
North Carolina State,2021,5,no meet title,Feb-12-2021,North Carolina,Carina Jordan,9.7250,8.9750,,9.7500
North Carolina State,2021,5,no meet title,Feb-12-2021,North Carolina,Chloe Negrete,9.8000,,9.8500,9.8500
North Carolina State,2021,5,no meet title,Feb-12-2021,North Carolina,Kasey Nelson,,9.6750,,3.9500
North Carolina State,2021,5,no meet title,Feb-12-2021,North Carolina,Victoria Prati,9.6500,,,
North Carolina State,2021,5,no meet title,Feb-12-2021,North Carolina,Meredith Robinson,,9.8750,,
North Carolina State,2021,5,no meet title,Feb-12-2021,North Carolina,Emily Shepard,9.8500,9.9000,9.2750,9.8500
North Carolina State,2021,5,no meet title,Feb-12-2021,North Carolina,Nicole Webb,,,9.8000,9.1500
North Carolina State,2021,6,no meet title,Feb-19-2021,North Carolina State,Madison Benson,9.8000,,,9.8250
North Carolina State,2021,6,no meet title,Feb-19-2021,North Carolina State,Katelyn Cox,,9.8750,9.6750,9.7750
North Carolina State,2021,6,no meet title,Feb-19-2021,North Carolina State,Gabrielle Diaz,9.7750,9.7750,,
North Carolina State,2021,6,no meet title,Feb-19-2021,North Carolina State,Kailin Foland,,,9.7250,
North Carolina State,2021,6,no meet title,Feb-19-2021,North Carolina State,Carina Jordan,9.6500,9.8000,,9.8000
North Carolina State,2021,6,no meet title,Feb-19-2021,North Carolina State,Chloe Negrete,9.8250,,9.8000,9.8250
North Carolina State,2021,6,no meet title,Feb-19-2021,North Carolina State,Kasey Nelson,,9.6750,9.7750,
North Carolina State,2021,6,no meet title,Feb-19-2021,North Carolina State,Victoria Prati,9.6250,,,
North Carolina State,2021,6,no meet title,Feb-19-2021,North Carolina State,Meredith Robinson,,9.8000,,
North Carolina State,2021,6,no meet title,Feb-19-2021,North Carolina State,Emily Shepard,9.9000,9.8750,9.7750,9.9000
North Carolina State,2021,6,no meet title,Feb-19-2021,North Carolina State,Nicole Webb,,,9.7750,9.8500
North Carolina State,2021,7,no meet title,Feb-27-2021,North Carolina State,Madison Benson,9.7250,,,9.8000
North Carolina State,2021,7,no meet title,Feb-27-2021,North Carolina State,Katelyn Cox,,9.8750,9.8000,9.1500
North Carolina State,2021,7,no meet title,Feb-27-2021,North Carolina State,Gabrielle Diaz,,9.6750,,
North Carolina State,2021,7,no meet title,Feb-27-2021,North Carolina State,Kailin Foland,,,9.8000,
North Carolina State,2021,7,no meet title,Feb-27-2021,North Carolina State,Grace Hunter,9.5250,,,
North Carolina State,2021,7,no meet title,Feb-27-2021,North Carolina State,Carina Jordan,9.7500,9.8250,,9.8250
North Carolina State,2021,7,no meet title,Feb-27-2021,North Carolina State,Lauren Kent,,9.8500,,
North Carolina State,2021,7,no meet title,Feb-27-2021,North Carolina State,Chloe Negrete,9.8500,,9.8500,9.8750
