team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
North Carolina,2017,1,Lindsey Ferris Invitaional,Jan-14-2017,George Washington,Alexis Allen,9.7500,,9.0250,
North Carolina,2017,1,Lindsey Ferris Invitaional,Jan-14-2017,George Washington,Grace Donaghy,,9.5500,8.3250,
North Carolina,2017,1,Lindsey Ferris Invitaional,Jan-14-2017,George Washington,Madison Hargrave,9.7500,,,9.1500
North Carolina,2017,1,Lindsey Ferris Invitaional,Jan-14-2017,George Washington,Kaitlynn Hedelund,9.6750,9.8250,9.1750,
North Carolina,2017,1,Lindsey Ferris Invitaional,Jan-14-2017,George Washington,Khazia Hislop,,,9.5500,9.8000
North Carolina,2017,1,Lindsey Ferris Invitaional,Jan-14-2017,George Washington,Morgan Lane,9.7000,9.7500,9.8500,9.8500
North Carolina,2017,1,Lindsey Ferris Invitaional,Jan-14-2017,George Washington,Emma Marchese,,,9.7000,
North Carolina,2017,1,Lindsey Ferris Invitaional,Jan-14-2017,George Washington,Madison Nettles,9.8000,9.7500,,9.6500
North Carolina,2017,1,Lindsey Ferris Invitaional,Jan-14-2017,George Washington,Christina Pheil,,9.6000,,8.9500
North Carolina,2017,1,Lindsey Ferris Invitaional,Jan-14-2017,George Washington,Mikayla Robinson,9.6250,,,9.3500
North Carolina,2017,1,Lindsey Ferris Invitaional,Jan-14-2017,George Washington,Mekyllah Williams,,9.6000,,
North Carolina,2017,2,no meet title,Jan-20-2017,North Carolina,Alexis Allen,9.5750,,9.2500,
North Carolina,2017,2,no meet title,Jan-20-2017,North Carolina,Jamie Antinori,,,,9.7250
North Carolina,2017,2,no meet title,Jan-20-2017,North Carolina,Grace Donaghy,,9.7750,9.6500,
North Carolina,2017,2,no meet title,Jan-20-2017,North Carolina,Madison Hargrave,9.6750,,,9.6000
North Carolina,2017,2,no meet title,Jan-20-2017,North Carolina,Kaitlynn Hedelund,9.6250,9.8250,9.2000,
North Carolina,2017,2,no meet title,Jan-20-2017,North Carolina,Khazia Hislop,,,9.7750,9.9250
North Carolina,2017,2,no meet title,Jan-20-2017,North Carolina,Morgan Lane,9.7000,9.8000,9.8750,9.8750
North Carolina,2017,2,no meet title,Jan-20-2017,North Carolina,Emma Marchese,,9.7250,9.6750,
North Carolina,2017,2,no meet title,Jan-20-2017,North Carolina,Madison Nettles,9.7500,9.7250,,9.6500
North Carolina,2017,2,no meet title,Jan-20-2017,North Carolina,Mikayla Robinson,9.6250,,,9.1500
North Carolina,2017,2,no meet title,Jan-20-2017,North Carolina,Mekyllah Williams,,9.8000,,
North Carolina,2017,3,no meet title,Jan-27-2017,Pittsburgh,Alexis Allen,9.8500,,9.7500,
North Carolina,2017,3,no meet title,Jan-27-2017,Pittsburgh,Jamie Antinori,,,,9.6750
North Carolina,2017,3,no meet title,Jan-27-2017,Pittsburgh,Grace Donaghy,,9.0250,9.8500,
North Carolina,2017,3,no meet title,Jan-27-2017,Pittsburgh,Madison Hargrave,9.7250,,,9.0000
North Carolina,2017,3,no meet title,Jan-27-2017,Pittsburgh,Kaitlynn Hedelund,9.8500,9.0500,9.7500,
North Carolina,2017,3,no meet title,Jan-27-2017,Pittsburgh,Khazia Hislop,,,9.9000,9.8750
North Carolina,2017,3,no meet title,Jan-27-2017,Pittsburgh,Morgan Lane,9.7250,9.6750,9.9000,9.8500
North Carolina,2017,3,no meet title,Jan-27-2017,Pittsburgh,Emma Marchese,,9.8000,9.8500,
North Carolina,2017,3,no meet title,Jan-27-2017,Pittsburgh,Madison Nettles,9.7500,9.6000,,9.8000
