team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Northern Illinois,2019,1,no meet title,Jan-04-2019,Alabama,Amanda Bartemio,9.6750,9.7500,,9.7250
Northern Illinois,2019,1,no meet title,Jan-04-2019,Alabama,Emily Basara,,9.6000,,
Northern Illinois,2019,1,no meet title,Jan-04-2019,Alabama,Catherine Biddle,,,9.6000,
Northern Illinois,2019,1,no meet title,Jan-04-2019,Alabama,Ally  Ferber,,9.6500,,
Northern Illinois,2019,1,no meet title,Jan-04-2019,Alabama,Morgan Hooper,9.6250,9.6250,9.7250,
Northern Illinois,2019,1,no meet title,Jan-04-2019,Alabama,Tara Kofmehl,9.7000,,,8.9250
Northern Illinois,2019,1,no meet title,Jan-04-2019,Alabama,Cinny Lamberti,9.7750,,9.6750,
Northern Illinois,2019,1,no meet title,Jan-04-2019,Alabama,Mia Lord,,,9.1000,
Northern Illinois,2019,1,no meet title,Jan-04-2019,Alabama,Anna Martucci,,,,9.8000
Northern Illinois,2019,1,no meet title,Jan-04-2019,Alabama,Nina Martucci,9.6250,9.6500,,
Northern Illinois,2019,1,no meet title,Jan-04-2019,Alabama,Paige Nicholas,,,,9.5750
Northern Illinois,2019,1,no meet title,Jan-04-2019,Alabama,Allison Richardson,,9.7750,9.4250,9.7500
Northern Illinois,2019,1,no meet title,Jan-04-2019,Alabama,Zoie Schroeder,,,9.6750,
Northern Illinois,2019,1,no meet title,Jan-04-2019,Alabama,Gabby Welch,9.7250,,,9.4250
Northern Illinois,2019,2,no meet title,Jan-13-2019,Western Michigan,Amanda Bartemio,9.7500,9.6750,,9.8500
Northern Illinois,2019,2,no meet title,Jan-13-2019,Western Michigan,Emily Basara,,9.6750,,
Northern Illinois,2019,2,no meet title,Jan-13-2019,Western Michigan,Catherine Biddle,,,9.8250,
Northern Illinois,2019,2,no meet title,Jan-13-2019,Western Michigan,Ally  Ferber,,9.6000,,
Northern Illinois,2019,2,no meet title,Jan-13-2019,Western Michigan,Morgan Hooper,,8.8750,,
Northern Illinois,2019,2,no meet title,Jan-13-2019,Western Michigan,Tara Kofmehl,9.6750,,,9.7500
Northern Illinois,2019,2,no meet title,Jan-13-2019,Western Michigan,Cinny Lamberti,9.7500,,9.7000,
Northern Illinois,2019,2,no meet title,Jan-13-2019,Western Michigan,Mia Lord,,,9.8000,
Northern Illinois,2019,2,no meet title,Jan-13-2019,Western Michigan,Nina Martucci,9.5500,9.7750,,
Northern Illinois,2019,2,no meet title,Jan-13-2019,Western Michigan,Anna Martucci,,,9.7000,9.9000
Northern Illinois,2019,2,no meet title,Jan-13-2019,Western Michigan,Paige Nicholas,9.5750,,,9.7750
Northern Illinois,2019,2,no meet title,Jan-13-2019,Western Michigan,Allison Richardson,,6.5750,9.7250,9.8000
Northern Illinois,2019,2,no meet title,Jan-13-2019,Western Michigan,Zoie Schroeder,,,9.1000,
Northern Illinois,2019,2,no meet title,Jan-13-2019,Western Michigan,Gabby Welch,9.7500,,,9.7750
Northern Illinois,2019,3,no meet title,Jan-18-2019,Northern Illinois,Amanda Bartemio,9.7000,9.7500,,9.7500
Northern Illinois,2019,3,no meet title,Jan-18-2019,Northern Illinois,Emily Basara,,9.7250,,
Northern Illinois,2019,3,no meet title,Jan-18-2019,Northern Illinois,Catherine Biddle,,,9.8000,
Northern Illinois,2019,3,no meet title,Jan-18-2019,Northern Illinois,Ally  Ferber,,9.6750,,
Northern Illinois,2019,3,no meet title,Jan-18-2019,Northern Illinois,Morgan Hooper,9.6750,9.7500,9.7000,
Northern Illinois,2019,3,no meet title,Jan-18-2019,Northern Illinois,Tara Kofmehl,9.6250,,,9.8000
Northern Illinois,2019,3,no meet title,Jan-18-2019,Northern Illinois,Cinny Lamberti,9.7750,,9.7500,
Northern Illinois,2019,3,no meet title,Jan-18-2019,Northern Illinois,Mia Lord,,,9.8750,
Northern Illinois,2019,3,no meet title,Jan-18-2019,Northern Illinois,Anna Martucci,,,,9.8500
Northern Illinois,2019,3,no meet title,Jan-18-2019,Northern Illinois,Nina Martucci,9.6250,9.6500,,
Northern Illinois,2019,3,no meet title,Jan-18-2019,Northern Illinois,Paige Nicholas,,,,9.6500
Northern Illinois,2019,3,no meet title,Jan-18-2019,Northern Illinois,Allison Richardson,,8.2500,9.7000,9.6500
Northern Illinois,2019,3,no meet title,Jan-18-2019,Northern Illinois,Zoie Schroeder,,,9.7750,
Northern Illinois,2019,3,no meet title,Jan-18-2019,Northern Illinois,Gabby Welch,9.7500,,,8.8250
Northern Illinois,2019,4,no meet title,Jan-27-2019,Northern Illinois,Amanda Bartemio,9.7500,9.7000,,9.8500
Northern Illinois,2019,4,no meet title,Jan-27-2019,Northern Illinois,Emily Basara,,9.7000,,
Northern Illinois,2019,4,no meet title,Jan-27-2019,Northern Illinois,Catherine Biddle,,,9.7500,
Northern Illinois,2019,4,no meet title,Jan-27-2019,Northern Illinois,Nicolette DiPrisco,,,9.2000,
Northern Illinois,2019,4,no meet title,Jan-27-2019,Northern Illinois,Ally  Ferber,,9.7750,,9.8500
Northern Illinois,2019,4,no meet title,Jan-27-2019,Northern Illinois,Morgan Hooper,9.7250,9.8000,9.1250,
Northern Illinois,2019,4,no meet title,Jan-27-2019,Northern Illinois,Tara Kofmehl,9.6750,,,9.8500
Northern Illinois,2019,4,no meet title,Jan-27-2019,Northern Illinois,Cinny Lamberti,9.8000,,9.5750,
Northern Illinois,2019,4,no meet title,Jan-27-2019,Northern Illinois,Mia Lord,,,9.8500,
Northern Illinois,2019,4,no meet title,Jan-27-2019,Northern Illinois,Nina Martucci,9.4000,9.7750,,
Northern Illinois,2019,4,no meet title,Jan-27-2019,Northern Illinois,Anna Martucci,,,,9.9250
Northern Illinois,2019,4,no meet title,Jan-27-2019,Northern Illinois,Paige Nicholas,,,,9.8250
Northern Illinois,2019,4,no meet title,Jan-27-2019,Northern Illinois,Allison Richardson,,,9.6500,9.9000
Northern Illinois,2019,4,no meet title,Jan-27-2019,Northern Illinois,Gabby Welch,9.7000,9.6250,,
Northern Illinois,2019,5,no meet title,Feb-01-2019,Northern Illinois,Amanda Bartemio,9.6250,9.6750,,9.8250
Northern Illinois,2019,5,no meet title,Feb-01-2019,Northern Illinois,Emily Basara,,9.7000,,
Northern Illinois,2019,5,no meet title,Feb-01-2019,Northern Illinois,Catherine Biddle,,,9.8000,
Northern Illinois,2019,5,no meet title,Feb-01-2019,Northern Illinois,Nicolette DiPrisco,,,9.4250,
Northern Illinois,2019,5,no meet title,Feb-01-2019,Northern Illinois,Ally  Ferber,,9.7500,,9.7750
Northern Illinois,2019,5,no meet title,Feb-01-2019,Northern Illinois,Morgan Hooper,9.1000,9.8250,9.8750,
Northern Illinois,2019,5,no meet title,Feb-01-2019,Northern Illinois,Tara Kofmehl,9.7750,,,9.8000
Northern Illinois,2019,5,no meet title,Feb-01-2019,Northern Illinois,Cinny Lamberti,9.7500,,9.8250,
Northern Illinois,2019,5,no meet title,Feb-01-2019,Northern Illinois,Mia Lord,,,9.2250,
Northern Illinois,2019,5,no meet title,Feb-01-2019,Northern Illinois,Nina Martucci,9.5500,9.7500,,
Northern Illinois,2019,5,no meet title,Feb-01-2019,Northern Illinois,Anna Martucci,,,,9.8750
Northern Illinois,2019,5,no meet title,Feb-01-2019,Northern Illinois,Paige Nicholas,,,,9.7500
Northern Illinois,2019,5,no meet title,Feb-01-2019,Northern Illinois,Allison Richardson,,,9.2750,9.8000
Northern Illinois,2019,5,no meet title,Feb-01-2019,Northern Illinois,Gabby Welch,9.7500,9.7500,,
Northern Illinois,2019,6,no meet title,Feb-08-2019,S.E. Missouri,Amanda Bartemio,9.5500,9.7500,,9.7250
Northern Illinois,2019,6,no meet title,Feb-08-2019,S.E. Missouri,Emily Basara,,9.7750,,
Northern Illinois,2019,6,no meet title,Feb-08-2019,S.E. Missouri,Catherine Biddle,,,9.6750,
Northern Illinois,2019,6,no meet title,Feb-08-2019,S.E. Missouri,Ally  Ferber,,9.6250,,9.8750
Northern Illinois,2019,6,no meet title,Feb-08-2019,S.E. Missouri,Morgan Hooper,9.6750,9.8000,9.1250,
Northern Illinois,2019,6,no meet title,Feb-08-2019,S.E. Missouri,Tara Kofmehl,9.6000,,,9.7500
Northern Illinois,2019,6,no meet title,Feb-08-2019,S.E. Missouri,Cinny Lamberti,9.8000,,9.7500,
Northern Illinois,2019,6,no meet title,Feb-08-2019,S.E. Missouri,Mia Lord,,,9.8500,
Northern Illinois,2019,6,no meet title,Feb-08-2019,S.E. Missouri,Anna Martucci,,,9.7000,9.8000
Northern Illinois,2019,6,no meet title,Feb-08-2019,S.E. Missouri,Nina Martucci,9.6750,9.7250,,
Northern Illinois,2019,6,no meet title,Feb-08-2019,S.E. Missouri,Paige Nicholas,,,,9.6750
