team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Ohio State,2020,1,no meet title,Jan-11-2020,Ohio State,Danica Abanto,,,,9.8000
Ohio State,2020,1,no meet title,Jan-11-2020,Ohio State,Nevin Adamski,,9.1000,,
Ohio State,2020,1,no meet title,Jan-11-2020,Ohio State,Olivia Aepli,9.8500,9.8500,,9.8750
Ohio State,2020,1,no meet title,Jan-11-2020,Ohio State,Brooke Chesney,,,,9.6000
Ohio State,2020,1,no meet title,Jan-11-2020,Ohio State,Claire Gagliardi,,,,9.8750
Ohio State,2020,1,no meet title,Jan-11-2020,Ohio State,Alexis Hankins,,,9.1750,9.7750
Ohio State,2020,1,no meet title,Jan-11-2020,Ohio State,Peyton Hinterberger,,9.7500,,
Ohio State,2020,1,no meet title,Jan-11-2020,Ohio State,Ella Hodges,,,9.8250,9.5500
Ohio State,2020,1,no meet title,Jan-11-2020,Ohio State,Sydney Jennings,9.7750,,,
Ohio State,2020,1,no meet title,Jan-11-2020,Ohio State,Morgan  Lowe,9.6750,,9.8250,
Ohio State,2020,1,no meet title,Jan-11-2020,Ohio State,Raina Malas,9.7750,,,
Ohio State,2020,1,no meet title,Jan-11-2020,Ohio State,Colby Miller,,9.7500,9.0500,
Ohio State,2020,1,no meet title,Jan-11-2020,Ohio State,Sarah Rowland,9.6000,,,
Ohio State,2020,1,no meet title,Jan-11-2020,Ohio State,Zoe Schweitzer,,9.6750,9.7250,
Ohio State,2020,1,no meet title,Jan-11-2020,Ohio State,Jenna Swartzentruber,9.5500,9.8000,8.9500,
Ohio State,2020,2,no meet title,Jan-18-2020,Michigan State,Danica Abanto,9.4750,,,9.7000
Ohio State,2020,2,no meet title,Jan-18-2020,Michigan State,Nevin Adamski,,9.8500,,
Ohio State,2020,2,no meet title,Jan-18-2020,Michigan State,Olivia Aepli,9.8750,9.8750,8.7500,9.7750
Ohio State,2020,2,no meet title,Jan-18-2020,Michigan State,Brooke Chesney,,,,9.4000
Ohio State,2020,2,no meet title,Jan-18-2020,Michigan State,Claire Gagliardi,,,,9.9000
Ohio State,2020,2,no meet title,Jan-18-2020,Michigan State,Alexis Hankins,,,9.8000,9.8250
Ohio State,2020,2,no meet title,Jan-18-2020,Michigan State,Peyton Hinterberger,,9.7750,,
Ohio State,2020,2,no meet title,Jan-18-2020,Michigan State,Ella Hodges,,,9.8000,9.8250
Ohio State,2020,2,no meet title,Jan-18-2020,Michigan State,Sydney Jennings,9.8500,,,
Ohio State,2020,2,no meet title,Jan-18-2020,Michigan State,Morgan  Lowe,9.8000,,9.8250,
Ohio State,2020,2,no meet title,Jan-18-2020,Michigan State,Raina Malas,9.7750,,,
Ohio State,2020,2,no meet title,Jan-18-2020,Michigan State,Colby Miller,,9.8750,,
Ohio State,2020,2,no meet title,Jan-18-2020,Michigan State,Sarah Rowland,9.6750,,,
Ohio State,2020,2,no meet title,Jan-18-2020,Michigan State,Zoe Schweitzer,,9.8500,9.7750,
Ohio State,2020,2,no meet title,Jan-18-2020,Michigan State,Jenna Swartzentruber,,9.8250,8.8500,
Ohio State,2020,3,no meet title,Jan-25-2020,Ohio State,Danica Abanto,9.7750,,9.8000,9.8500
Ohio State,2020,3,no meet title,Jan-25-2020,Ohio State,Nevin Adamski,,9.8500,,
Ohio State,2020,3,no meet title,Jan-25-2020,Ohio State,Olivia Aepli,9.8250,9.9250,,9.8000
Ohio State,2020,3,no meet title,Jan-25-2020,Ohio State,Claire Gagliardi,,,,9.9250
Ohio State,2020,3,no meet title,Jan-25-2020,Ohio State,Alexis Hankins,,,9.9000,9.8250
Ohio State,2020,3,no meet title,Jan-25-2020,Ohio State,Peyton Hinterberger,,9.6500,,
Ohio State,2020,3,no meet title,Jan-25-2020,Ohio State,Ella Hodges,,,9.3000,9.1500
Ohio State,2020,3,no meet title,Jan-25-2020,Ohio State,Sydney Jennings,9.9000,,,
Ohio State,2020,3,no meet title,Jan-25-2020,Ohio State,Morgan  Lowe,9.7250,,9.0500,
Ohio State,2020,3,no meet title,Jan-25-2020,Ohio State,Raina Malas,9.6750,,,
Ohio State,2020,3,no meet title,Jan-25-2020,Ohio State,Colby Miller,,7.9500,,
Ohio State,2020,3,no meet title,Jan-25-2020,Ohio State,Sarah Rowland,9.6250,,,9.7500
