team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Oklahoma,2024,1,Super16,Jan-05-2024,,Jordan Bowers,9.9000,9.9000,9.8750,9.9250
Oklahoma,2024,1,Super16,Jan-05-2024,,Audrey Davis,9.8500,9.9000,9.8750,9.8750
Oklahoma,2024,1,Super16,Jan-05-2024,,Danae Fletcher,,9.9000,,9.8750
Oklahoma,2024,1,Super16,Jan-05-2024,,Katherine LeVasseur,9.8000,9.9250,9.8250,9.8500
Oklahoma,2024,1,Super16,Jan-05-2024,,Hannah Scheible,9.9000,,,
Oklahoma,2024,1,Super16,Jan-05-2024,,Ragan Smith,,9.9500,9.9500,9.7500
Oklahoma,2024,1,Super16,Jan-05-2024,,Faith Torrez,9.8500,9.9500,9.9500,9.8750
Oklahoma,2024,1,Super16,Jan-05-2024,,Keira Wells,9.8500,,9.8250,
Oklahoma,2024,2,Sprouts Farmers Market Collegiate Quad,Jan-13-2024,,Jordan Bowers,9.7250,9.8500,9.9500,9.8750
Oklahoma,2024,2,Sprouts Farmers Market Collegiate Quad,Jan-13-2024,,Audrey Davis,9.8500,9.9750,9.9000,9.9000
Oklahoma,2024,2,Sprouts Farmers Market Collegiate Quad,Jan-13-2024,,Soraya Hawthorne,,,,9.8250
Oklahoma,2024,2,Sprouts Farmers Market Collegiate Quad,Jan-13-2024,,Katherine LeVasseur,9.9000,9.8500,9.9000,9.8750
Oklahoma,2024,2,Sprouts Farmers Market Collegiate Quad,Jan-13-2024,,Hannah Scheible,9.9250,,,
Oklahoma,2024,2,Sprouts Farmers Market Collegiate Quad,Jan-13-2024,,Danielle Sievers,,9.8750,,
Oklahoma,2024,2,Sprouts Farmers Market Collegiate Quad,Jan-13-2024,,Ragan Smith,,9.9000,9.3750,9.9000
Oklahoma,2024,2,Sprouts Farmers Market Collegiate Quad,Jan-13-2024,,Faith Torrez,9.9000,9.8500,9.9250,9.9250
Oklahoma,2024,2,Sprouts Farmers Market Collegiate Quad,Jan-13-2024,,Keira Wells,9.8750,,9.8500,
Oklahoma,2024,3,no meet title,Jan-21-2024,Denver,Jordan Bowers,9.9500,9.9500,9.9250,9.9500
Oklahoma,2024,3,no meet title,Jan-21-2024,Denver,Audrey Davis,9.8250,9.8750,9.9500,9.9000
Oklahoma,2024,3,no meet title,Jan-21-2024,Denver,Soraya Hawthorne,,,,9.7750
Oklahoma,2024,3,no meet title,Jan-21-2024,Denver,Katherine LeVasseur,9.9500,9.8750,9.9000,9.9500
Oklahoma,2024,3,no meet title,Jan-21-2024,Denver,Hannah Scheible,9.9500,,,
Oklahoma,2024,3,no meet title,Jan-21-2024,Denver,Danielle Sievers,,9.8750,,
Oklahoma,2024,3,no meet title,Jan-21-2024,Denver,Ragan Smith,,9.8750,9.9750,9.9000
Oklahoma,2024,3,no meet title,Jan-21-2024,Denver,Faith Torrez,9.9250,9.8750,9.9750,9.8500
Oklahoma,2024,3,no meet title,Jan-21-2024,Denver,Keira Wells,9.8250,,9.8500,
Oklahoma,2024,4,no meet title,Jan-26-2024,Oklahoma,Jordan Bowers,9.8500,9.9750,9.9250,9.9500
Oklahoma,2024,4,no meet title,Jan-26-2024,Oklahoma,Audrey Davis,9.8250,9.9250,9.8250,9.8750
Oklahoma,2024,4,no meet title,Jan-26-2024,Oklahoma,Soraya Hawthorne,,,,9.8750
Oklahoma,2024,4,no meet title,Jan-26-2024,Oklahoma,Bell Johnson,,,,
Oklahoma,2024,4,no meet title,Jan-26-2024,Oklahoma,Katherine LeVasseur,9.9000,9.7750,9.9000,9.9250
Oklahoma,2024,4,no meet title,Jan-26-2024,Oklahoma,Hannah Scheible,9.7500,,,
Oklahoma,2024,4,no meet title,Jan-26-2024,Oklahoma,Ava Siegfeldt,,,,
Oklahoma,2024,4,no meet title,Jan-26-2024,Oklahoma,Danielle Sievers,,9.9000,,
Oklahoma,2024,4,no meet title,Jan-26-2024,Oklahoma,Ragan Smith,,9.9000,9.9750,9.8000
