team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Oregon State,2025,1,American Gold Women's Collegiate Gymnastics Classic,Jan-04-2025,,Natalie Briones,9.6750,9.6750,,
Oregon State,2025,1,American Gold Women's Collegiate Gymnastics Classic,Jan-04-2025,,Olivia Buckner,,,9.7500,
Oregon State,2025,1,American Gold Women's Collegiate Gymnastics Classic,Jan-04-2025,,Jade Carey,9.8750,9.9000,9.9500,9.9000
Oregon State,2025,1,American Gold Women's Collegiate Gymnastics Classic,Jan-04-2025,,Francesca Caso,,9.6000,,
Oregon State,2025,1,American Gold Women's Collegiate Gymnastics Classic,Jan-04-2025,,Karlie Chavez,9.6750,,,9.7000
Oregon State,2025,1,American Gold Women's Collegiate Gymnastics Classic,Jan-04-2025,,Taylor DeVries,,9.6500,,9.6500
Oregon State,2025,1,American Gold Women's Collegiate Gymnastics Classic,Jan-04-2025,,Sophia Esposito,,,9.7000,
Oregon State,2025,1,American Gold Women's Collegiate Gymnastics Classic,Jan-04-2025,,Kaitlin Garcia,9.7500,,,9.8500
Oregon State,2025,1,American Gold Women's Collegiate Gymnastics Classic,Jan-04-2025,,Sydney Gonzales,,,9.7750,
Oregon State,2025,1,American Gold Women's Collegiate Gymnastics Classic,Jan-04-2025,,Lauren Letzsch,,,9.8250,
Oregon State,2025,1,American Gold Women's Collegiate Gymnastics Classic,Jan-04-2025,,Jennifer McMillan,9.7750,9.9250,9.7500,
Oregon State,2025,1,American Gold Women's Collegiate Gymnastics Classic,Jan-04-2025,,Savannah Miller,,,,9.6750
Oregon State,2025,1,American Gold Women's Collegiate Gymnastics Classic,Jan-04-2025,,Sage Thompson,9.7500,9.8250,,9.8000
Oregon State,2025,2,no meet title,Jan-11-2025,Oregon State,Carley Beeman,,9.7500,,
Oregon State,2025,2,no meet title,Jan-11-2025,Oregon State,Natalie Briones,9.7500,9.8500,,
Oregon State,2025,2,no meet title,Jan-11-2025,Oregon State,Olivia Buckner,9.7000,,9.8000,
Oregon State,2025,2,no meet title,Jan-11-2025,Oregon State,Jade Carey,9.9000,9.9500,9.9250,9.9500
Oregon State,2025,2,no meet title,Jan-11-2025,Oregon State,Karlie Chavez,,,,9.8000
Oregon State,2025,2,no meet title,Jan-11-2025,Oregon State,Taylor DeVries,,9.7250,,
Oregon State,2025,2,no meet title,Jan-11-2025,Oregon State,Sophia Esposito,9.7750,,9.8500,9.8500
Oregon State,2025,2,no meet title,Jan-11-2025,Oregon State,Kaitlin Garcia,9.6750,,,9.6250
Oregon State,2025,2,no meet title,Jan-11-2025,Oregon State,Sydney Gonzales,,,9.7750,
Oregon State,2025,2,no meet title,Jan-11-2025,Oregon State,Lauren Letzsch,,,9.8500,
