team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Penn State,2023,1,no meet title,Jan-06-2023,Pittsburgh,Gabrielle Gallentine,,9.7750,,
Penn State,2023,1,no meet title,Jan-06-2023,Pittsburgh,Haleigh Gibble,,,9.8000,
Penn State,2023,1,no meet title,Jan-06-2023,Pittsburgh,Amani Herring,9.8000,,9.9250,9.8250
Penn State,2023,1,no meet title,Jan-06-2023,Pittsburgh,Jessica Johanson,9.6250,9.7500,9.2500,9.8750
Penn State,2023,1,no meet title,Jan-06-2023,Pittsburgh,Maddie Johnston,9.6500,9.8250,9.6250,9.7750
Penn State,2023,1,no meet title,Jan-06-2023,Pittsburgh,Ava Piedrahita,9.8250,9.8000,9.7000,9.8500
Penn State,2023,1,no meet title,Jan-06-2023,Pittsburgh,Cassidy Rushlow,,9.8000,9.6000,9.0250
Penn State,2023,1,no meet title,Jan-06-2023,Pittsburgh,Bella Salcedo,9.7500,,,
Penn State,2023,1,no meet title,Jan-06-2023,Pittsburgh,Elina Vihrova,9.7250,9.7750,,9.7750
Penn State,2023,2,no meet title,Jan-08-2023,Denver,Gabrielle Gallentine,,9.9000,,
Penn State,2023,2,no meet title,Jan-08-2023,Denver,Haleigh Gibble,,,9.8500,
Penn State,2023,2,no meet title,Jan-08-2023,Denver,Amani Herring,9.7500,,9.8750,9.8000
Penn State,2023,2,no meet title,Jan-08-2023,Denver,Jessica Johanson,9.8250,9.8000,9.7000,9.8750
Penn State,2023,2,no meet title,Jan-08-2023,Denver,Maddie Johnston,9.6750,9.8500,9.7500,9.6500
Penn State,2023,2,no meet title,Jan-08-2023,Denver,Ava Piedrahita,9.7250,9.7750,9.5250,9.8250
Penn State,2023,2,no meet title,Jan-08-2023,Denver,Cassidy Rushlow,,9.8250,9.8250,
Penn State,2023,2,no meet title,Jan-08-2023,Denver,Bella Salcedo,9.6250,,,9.8250
Penn State,2023,2,no meet title,Jan-08-2023,Denver,Elina Vihrova,9.7000,9.7750,,9.7250
Penn State,2023,3,no meet title,Jan-13-2023,Penn State,Gabrielle Gallentine,,9.6750,,
Penn State,2023,3,no meet title,Jan-13-2023,Penn State,Haleigh Gibble,,,9.8500,
Penn State,2023,3,no meet title,Jan-13-2023,Penn State,Amani Herring,9.7750,,9.8500,9.8500
Penn State,2023,3,no meet title,Jan-13-2023,Penn State,Jessica Johanson,9.7500,9.7000,9.7500,9.7500
Penn State,2023,3,no meet title,Jan-13-2023,Penn State,Maddie Johnston,9.7750,9.7750,9.9000,9.7000
Penn State,2023,3,no meet title,Jan-13-2023,Penn State,Ava Piedrahita,9.8500,9.8500,9.1750,9.7250
Penn State,2023,3,no meet title,Jan-13-2023,Penn State,Cassidy Rushlow,,9.9000,9.8000,9.1500
Penn State,2023,3,no meet title,Jan-13-2023,Penn State,Bella Salcedo,9.8500,,,
Penn State,2023,3,no meet title,Jan-13-2023,Penn State,Elina Vihrova,9.6250,9.8000,,9.8000
Penn State,2023,4,no meet title,Jan-21-2023,Minnesota,Gabrielle Gallentine,,9.8250,,
Penn State,2023,4,no meet title,Jan-21-2023,Minnesota,Haleigh Gibble,,,9.6000,
Penn State,2023,4,no meet title,Jan-21-2023,Minnesota,Amani Herring,9.7000,,9.8250,9.5250
Penn State,2023,4,no meet title,Jan-21-2023,Minnesota,Jessica Johanson,9.1500,9.7500,9.8250,9.7750
Penn State,2023,4,no meet title,Jan-21-2023,Minnesota,Maddie Johnston,9.8000,9.7500,9.7750,8.9000
Penn State,2023,4,no meet title,Jan-21-2023,Minnesota,Ava Piedrahita,9.8750,9.8000,9.7750,9.7750
Penn State,2023,4,no meet title,Jan-21-2023,Minnesota,Cassidy Rushlow,,9.8000,9.7750,
Penn State,2023,4,no meet title,Jan-21-2023,Minnesota,Bella Salcedo,9.7750,,,9.8250
Penn State,2023,4,no meet title,Jan-21-2023,Minnesota,Elina Vihrova,9.7750,9.8250,,9.7250
Penn State,2023,5,no meet title,Jan-30-2023,Penn State,Haleigh Gibble,,,9.8500,
Penn State,2023,5,no meet title,Jan-30-2023,Penn State,Amani Herring,9.8000,,9.8000,9.8750
Penn State,2023,5,no meet title,Jan-30-2023,Penn State,Jessica Johanson,9.7750,9.8000,,
Penn State,2023,5,no meet title,Jan-30-2023,Penn State,Maddie Johnston,9.8000,9.8250,9.8250,9.7250
Penn State,2023,5,no meet title,Jan-30-2023,Penn State,Maggie Mace,,9.7000,,
Penn State,2023,5,no meet title,Jan-30-2023,Penn State,Ava Piedrahita,9.8000,9.8750,9.7250,9.8250
Penn State,2023,5,no meet title,Jan-30-2023,Penn State,Cassidy Rushlow,,9.9500,9.8000,9.7750
Penn State,2023,5,no meet title,Jan-30-2023,Penn State,Bella Salcedo,9.8000,,9.8750,9.7500
Penn State,2023,5,no meet title,Jan-30-2023,Penn State,Elina Vihrova,9.7250,9.8250,,9.9250
Penn State,2023,6,no meet title,Feb-04-2023,Michigan State,Haleigh Gibble,,,9.6500,
Penn State,2023,6,no meet title,Feb-04-2023,Michigan State,Amani Herring,9.7750,,9.6750,9.6250
Penn State,2023,6,no meet title,Feb-04-2023,Michigan State,Jessica Johanson,9.8500,9.6750,,9.7000
Penn State,2023,6,no meet title,Feb-04-2023,Michigan State,Maddie Johnston,9.7500,9.7000,9.8250,
Penn State,2023,6,no meet title,Feb-04-2023,Michigan State,Maggie Mace,,9.7750,,
Penn State,2023,6,no meet title,Feb-04-2023,Michigan State,Ava Piedrahita,9.9250,9.8000,9.8000,9.8250
Penn State,2023,6,no meet title,Feb-04-2023,Michigan State,Cassidy Rushlow,,9.8500,9.7750,9.7000
Penn State,2023,6,no meet title,Feb-04-2023,Michigan State,Bella Salcedo,9.8000,,9.7000,9.8250
Penn State,2023,6,no meet title,Feb-04-2023,Michigan State,Elina Vihrova,9.7750,9.7500,,9.6500
Penn State,2023,7,no meet title,Feb-10-2023,Penn State,Haleigh Gibble,,,9.8750,
Penn State,2023,7,no meet title,Feb-10-2023,Penn State,Amani Herring,9.7750,,9.8000,9.9250
Penn State,2023,7,no meet title,Feb-10-2023,Penn State,Jessica Johanson,9.8250,9.7750,,
Penn State,2023,7,no meet title,Feb-10-2023,Penn State,Maddie Johnston,9.8000,9.9000,9.9000,9.7750
Penn State,2023,7,no meet title,Feb-10-2023,Penn State,Maggie Mace,,9.7250,,
Penn State,2023,7,no meet title,Feb-10-2023,Penn State,Ava Piedrahita,9.8250,9.8500,9.7750,9.7250
Penn State,2023,7,no meet title,Feb-10-2023,Penn State,Cassidy Rushlow,,9.9750,9.2750,9.8000
Penn State,2023,7,no meet title,Feb-10-2023,Penn State,Bella Salcedo,9.5000,,9.8250,9.5250
Penn State,2023,7,no meet title,Feb-10-2023,Penn State,Elina Vihrova,9.7500,9.7250,,9.7500
Penn State,2023,8,no meet title,Feb-17-2023,Penn State,Haleigh Gibble,,,9.6750,
Penn State,2023,8,no meet title,Feb-17-2023,Penn State,Amani Herring,9.8000,,9.7500,9.8500
Penn State,2023,8,no meet title,Feb-17-2023,Penn State,Jessica Johanson,9.8500,9.7000,,9.8500
Penn State,2023,8,no meet title,Feb-17-2023,Penn State,Maddie Johnston,9.8000,9.8000,9.7750,9.7250
Penn State,2023,8,no meet title,Feb-17-2023,Penn State,Maggie Mace,,9.7250,,
Penn State,2023,8,no meet title,Feb-17-2023,Penn State,Ava Piedrahita,9.9250,9.8250,9.7250,8.9250
Penn State,2023,8,no meet title,Feb-17-2023,Penn State,Cassidy Rushlow,,9.9500,9.7000,9.7250
Penn State,2023,8,no meet title,Feb-17-2023,Penn State,Bella Salcedo,9.8500,,9.8750,
Penn State,2023,8,no meet title,Feb-17-2023,Penn State,Elina Vihrova,9.8500,9.8250,,9.7500
