team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Pennsylvania,2015,1,no meet title,Jan-18-2015,Pennsylvania,Megan Finck,9.5750,8.7750,,9.7750
Pennsylvania,2015,1,no meet title,Jan-18-2015,Pennsylvania,Jill Fordiani,9.5500,,,
Pennsylvania,2015,1,no meet title,Jan-18-2015,Pennsylvania,Alex Hartke,,,8.8750,9.5750
Pennsylvania,2015,1,no meet title,Jan-18-2015,Pennsylvania,Amber Hu,,9.6000,9.7000,
Pennsylvania,2015,1,no meet title,Jan-18-2015,Pennsylvania,Wynne Levy,,,,9.6750
Pennsylvania,2015,1,no meet title,Jan-18-2015,Pennsylvania,Carissa Lim,9.6500,,9.4750,9.8250
Pennsylvania,2015,1,no meet title,Jan-18-2015,Pennsylvania,Emily Paterson,9.3500,9.0500,,
Pennsylvania,2015,1,no meet title,Jan-18-2015,Pennsylvania,Ally Podsednik,,,8.8000,
Pennsylvania,2015,1,no meet title,Jan-18-2015,Pennsylvania,Amanda Schlaefer,,,9.7750,
Pennsylvania,2015,1,no meet title,Jan-18-2015,Pennsylvania,Elyse Shenberger,,9.7250,,
Pennsylvania,2015,1,no meet title,Jan-18-2015,Pennsylvania,Jennier Silver,,9.0250,,
Pennsylvania,2015,1,no meet title,Jan-18-2015,Pennsylvania,Morgan Venuti,9.5250,,,9.6250
Pennsylvania,2015,1,no meet title,Jan-18-2015,Pennsylvania,Amber Woo,9.5750,9.2000,8.7500,8.8750
Pennsylvania,2015,2,no meet title,Jan-25-2015,Pennsylvania,Megan Finck,9.5250,9.5250,,9.6000
Pennsylvania,2015,2,no meet title,Jan-25-2015,Pennsylvania,Jill Fordiani,9.4000,,,
Pennsylvania,2015,2,no meet title,Jan-25-2015,Pennsylvania,Alex Hartke,,,9.6500,
Pennsylvania,2015,2,no meet title,Jan-25-2015,Pennsylvania,Amber Hu,,9.7250,9.7500,
Pennsylvania,2015,2,no meet title,Jan-25-2015,Pennsylvania,Kyra Levi,,,,9.6750
Pennsylvania,2015,2,no meet title,Jan-25-2015,Pennsylvania,Carissa Lim,9.5000,,9.2750,9.7250
Pennsylvania,2015,2,no meet title,Jan-25-2015,Pennsylvania,Emily Paterson,9.5500,,,
Pennsylvania,2015,2,no meet title,Jan-25-2015,Pennsylvania,Ally Podsednik,,,9.7250,
Pennsylvania,2015,2,no meet title,Jan-25-2015,Pennsylvania,Kaitlyn Reszkowski,,,,9.6000
Pennsylvania,2015,2,no meet title,Jan-25-2015,Pennsylvania,Elyse Shenberger,,9.6500,9.7750,9.7500
Pennsylvania,2015,2,no meet title,Jan-25-2015,Pennsylvania,Emily Shugan,,9.7500,,
Pennsylvania,2015,2,no meet title,Jan-25-2015,Pennsylvania,Morgan Venuti,9.5250,9.7750,,9.5500
Pennsylvania,2015,2,no meet title,Jan-25-2015,Pennsylvania,Amber Woo,9.5000,9.6500,9.7500,
Pennsylvania,2015,3,no meet title,Feb-01-2015,Pennsylvania,Megan Finck,9.5500,9.5750,,9.8000
Pennsylvania,2015,3,no meet title,Feb-01-2015,Pennsylvania,Jill Fordiani,9.4750,,,
Pennsylvania,2015,3,no meet title,Feb-01-2015,Pennsylvania,Amber Hu,,9.1750,9.7000,
Pennsylvania,2015,3,no meet title,Feb-01-2015,Pennsylvania,Kyra Levi,,,,9.6500
Pennsylvania,2015,3,no meet title,Feb-01-2015,Pennsylvania,Wynne Levy,8.8500,,,
Pennsylvania,2015,3,no meet title,Feb-01-2015,Pennsylvania,Carissa Lim,9.1000,,9.5250,9.5000
Pennsylvania,2015,3,no meet title,Feb-01-2015,Pennsylvania,Emily Paterson,9.4250,,,
Pennsylvania,2015,3,no meet title,Feb-01-2015,Pennsylvania,Ally Podsednik,,,9.4500,
Pennsylvania,2015,3,no meet title,Feb-01-2015,Pennsylvania,Kaitlyn Reszkowski,,,,9.7750
Pennsylvania,2015,3,no meet title,Feb-01-2015,Pennsylvania,Amanda Schlaefer,,,9.1500,
Pennsylvania,2015,3,no meet title,Feb-01-2015,Pennsylvania,Elyse Shenberger,,9.8000,9.0750,9.8000
Pennsylvania,2015,3,no meet title,Feb-01-2015,Pennsylvania,Emily Shugan,,9.7250,,
Pennsylvania,2015,3,no meet title,Feb-01-2015,Pennsylvania,Morgan Venuti,9.6250,9.3000,,8.9000
Pennsylvania,2015,3,no meet title,Feb-01-2015,Pennsylvania,Amber Woo,,9.5500,9.4250,
Pennsylvania,2015,4,no meet title,Feb-07-2015,Pennsylvania,Megan Finck,9.6000,9.6500,,9.8750
Pennsylvania,2015,4,no meet title,Feb-07-2015,Pennsylvania,Jill Fordiani,9.4250,,,
Pennsylvania,2015,4,no meet title,Feb-07-2015,Pennsylvania,Amber Hu,,9.5000,9.7250,
Pennsylvania,2015,4,no meet title,Feb-07-2015,Pennsylvania,Kyra Levi,,,,9.7000
Pennsylvania,2015,4,no meet title,Feb-07-2015,Pennsylvania,Wynne Levy,9.7000,,,
