team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Pittsburgh,2022,1,no meet title,Jan-16-2022,Pittsburgh,Lauren Beckwith,,,9.2250,
Pittsburgh,2022,1,no meet title,Jan-16-2022,Pittsburgh,Katie Chamberlain,,9.7750,9.8500,
Pittsburgh,2022,1,no meet title,Jan-16-2022,Pittsburgh,Kaleigh Cleveland,,,9.1250,
Pittsburgh,2022,1,no meet title,Jan-16-2022,Pittsburgh,Hallie Copperwheat,9.7000,9.7500,9.8250,9.6250
Pittsburgh,2022,1,no meet title,Jan-16-2022,Pittsburgh,Jordyn Ewing,9.5500,9.1000,,9.5500
Pittsburgh,2022,1,no meet title,Jan-16-2022,Pittsburgh,Kailey Gillings,,9.7750,,
Pittsburgh,2022,1,no meet title,Jan-16-2022,Pittsburgh,Erin Hutchison,,9.8250,,9.5250
Pittsburgh,2022,1,no meet title,Jan-16-2022,Pittsburgh,Olivia Miller,9.5750,,,9.8250
Pittsburgh,2022,1,no meet title,Jan-16-2022,Pittsburgh,Kiley Robatin,,,9.0500,
Pittsburgh,2022,1,no meet title,Jan-16-2022,Pittsburgh,Ciara Ward,9.8000,,,8.1000
Pittsburgh,2022,1,no meet title,Jan-16-2022,Pittsburgh,Sidney Washington,9.8000,9.0000,9.8000,9.8500
Pittsburgh,2022,1,no meet title,Jan-16-2022,Pittsburgh,Nay'yarrah Winder,9.6000,,,
Pittsburgh,2022,2,no meet title,Jan-22-2022,Texas Woman's,Lauren Beckwith,,,9.8000,9.7750
Pittsburgh,2022,2,no meet title,Jan-22-2022,Texas Woman's,Katie Chamberlain,9.7500,9.6750,9.8250,
Pittsburgh,2022,2,no meet title,Jan-22-2022,Texas Woman's,Kaleigh Cleveland,,,9.7000,
Pittsburgh,2022,2,no meet title,Jan-22-2022,Texas Woman's,Hallie Copperwheat,9.6250,9.8500,9.8750,9.4750
Pittsburgh,2022,2,no meet title,Jan-22-2022,Texas Woman's,Jordyn Ewing,,9.7750,,9.7750
Pittsburgh,2022,2,no meet title,Jan-22-2022,Texas Woman's,Kailey Gillings,,9.6500,,
Pittsburgh,2022,2,no meet title,Jan-22-2022,Texas Woman's,Erin Hutchison,,9.6750,,9.8500
Pittsburgh,2022,2,no meet title,Jan-22-2022,Texas Woman's,Olivia Miller,9.7500,,,9.8000
Pittsburgh,2022,2,no meet title,Jan-22-2022,Texas Woman's,Kiley Robatin,,,9.8500,
Pittsburgh,2022,2,no meet title,Jan-22-2022,Texas Woman's,Ciara Ward,9.6750,,,
Pittsburgh,2022,2,no meet title,Jan-22-2022,Texas Woman's,Sidney Washington,9.7500,9.8000,9.8500,9.8500
Pittsburgh,2022,3,no meet title,Jan-28-2022,North Carolina,Lauren Beckwith,,,9.6000,9.6500
Pittsburgh,2022,3,no meet title,Jan-28-2022,North Carolina,Katie Chamberlain,9.7000,9.7000,9.7750,
Pittsburgh,2022,3,no meet title,Jan-28-2022,North Carolina,Kaleigh Cleveland,,,9.1000,
Pittsburgh,2022,3,no meet title,Jan-28-2022,North Carolina,Hallie Copperwheat,9.8250,9.7750,9.8000,9.8000
Pittsburgh,2022,3,no meet title,Jan-28-2022,North Carolina,Jordyn Ewing,9.6250,9.2000,,9.8000
Pittsburgh,2022,3,no meet title,Jan-28-2022,North Carolina,Kailey Gillings,,9.5500,,
Pittsburgh,2022,3,no meet title,Jan-28-2022,North Carolina,Erin Hutchison,,9.5250,,9.8500
Pittsburgh,2022,3,no meet title,Jan-28-2022,North Carolina,Olivia Miller,9.7500,,,9.7750
Pittsburgh,2022,3,no meet title,Jan-28-2022,North Carolina,Kiley Robatin,,,9.7750,
Pittsburgh,2022,3,no meet title,Jan-28-2022,North Carolina,Ciara Ward,9.6750,,,
Pittsburgh,2022,3,no meet title,Jan-28-2022,North Carolina,Sidney Washington,9.8750,9.6250,9.3250,9.8000
Pittsburgh,2022,4,no meet title,Feb-06-2022,Pittsburgh,Lauren Beckwith,9.7000,,9.3000,8.7250
Pittsburgh,2022,4,no meet title,Feb-06-2022,Pittsburgh,Katie Chamberlain,9.8000,9.8750,9.6750,
Pittsburgh,2022,4,no meet title,Feb-06-2022,Pittsburgh,Hallie Copperwheat,9.8250,9.8750,9.9250,9.8750
Pittsburgh,2022,4,no meet title,Feb-06-2022,Pittsburgh,Jordyn Ewing,,9.7000,9.6500,9.8750
Pittsburgh,2022,4,no meet title,Feb-06-2022,Pittsburgh,Kailey Gillings,,9.7000,,
Pittsburgh,2022,4,no meet title,Feb-06-2022,Pittsburgh,Erin Hutchison,,9.7250,,9.8250
Pittsburgh,2022,4,no meet title,Feb-06-2022,Pittsburgh,Olivia Miller,9.8000,,,9.7500
Pittsburgh,2022,4,no meet title,Feb-06-2022,Pittsburgh,Kiley Robatin,,,9.8500,
Pittsburgh,2022,4,no meet title,Feb-06-2022,Pittsburgh,Ciara Ward,9.7750,,,
Pittsburgh,2022,4,no meet title,Feb-06-2022,Pittsburgh,Sidney Washington,9.8250,9.7750,9.6750,9.7250
Pittsburgh,2022,5,no meet title,Feb-11-2022,West Virginia,Katie Chamberlain,9.8000,9.8000,9.7750,
Pittsburgh,2022,5,no meet title,Feb-11-2022,West Virginia,Hallie Copperwheat,9.7750,9.8250,9.8500,9.4000
Pittsburgh,2022,5,no meet title,Feb-11-2022,West Virginia,Jordyn Ewing,9.6500,9.8000,9.7500,9.8000
Pittsburgh,2022,5,no meet title,Feb-11-2022,West Virginia,Kailey Gillings,,9.6750,8.5500,
Pittsburgh,2022,5,no meet title,Feb-11-2022,West Virginia,Erin Hutchison,,9.7250,,9.8000
Pittsburgh,2022,5,no meet title,Feb-11-2022,West Virginia,Olivia Miller,9.7000,,,9.8000
Pittsburgh,2022,5,no meet title,Feb-11-2022,West Virginia,Kiley Robatin,,,9.8250,9.5500
Pittsburgh,2022,5,no meet title,Feb-11-2022,West Virginia,Ciara Ward,9.7500,,,
Pittsburgh,2022,5,no meet title,Feb-11-2022,West Virginia,Sidney Washington,9.8250,9.7750,8.9000,9.7500
Pittsburgh,2022,6,no meet title,Feb-14-2022,Maryland,Lauren Beckwith,9.7000,,9.8500,9.7500
Pittsburgh,2022,6,no meet title,Feb-14-2022,Maryland,Katie Chamberlain,9.8250,9.9500,9.7750,
Pittsburgh,2022,6,no meet title,Feb-14-2022,Maryland,Hallie Copperwheat,9.8000,9.9250,9.8000,9.7750
Pittsburgh,2022,6,no meet title,Feb-14-2022,Maryland,Jordyn Ewing,,9.8750,9.7000,9.8750
Pittsburgh,2022,6,no meet title,Feb-14-2022,Maryland,Kailey Gillings,,9.8250,,
Pittsburgh,2022,6,no meet title,Feb-14-2022,Maryland,Erin Hutchison,,9.1000,,9.7500
Pittsburgh,2022,6,no meet title,Feb-14-2022,Maryland,Olivia Miller,9.7750,,,9.8000
Pittsburgh,2022,6,no meet title,Feb-14-2022,Maryland,Kiley Robatin,,,9.8250,
Pittsburgh,2022,6,no meet title,Feb-14-2022,Maryland,Ciara Ward,9.8000,,,
Pittsburgh,2022,6,no meet title,Feb-14-2022,Maryland,Sidney Washington,9.8000,9.8250,9.1000,9.9000
Pittsburgh,2022,7,no meet title,Feb-20-2022,Pittsburgh,Lauren Beckwith,9.5750,,9.8500,9.8000
Pittsburgh,2022,7,no meet title,Feb-20-2022,Pittsburgh,Katie Chamberlain,9.8000,9.9000,9.9250,
Pittsburgh,2022,7,no meet title,Feb-20-2022,Pittsburgh,Hallie Copperwheat,9.8000,9.8500,9.8750,9.8000
Pittsburgh,2022,7,no meet title,Feb-20-2022,Pittsburgh,Jordyn Ewing,,9.9250,9.8750,9.8500
Pittsburgh,2022,7,no meet title,Feb-20-2022,Pittsburgh,Kailey Gillings,,9.8250,,
Pittsburgh,2022,7,no meet title,Feb-20-2022,Pittsburgh,Erin Hutchison,,,,9.7250
Pittsburgh,2022,7,no meet title,Feb-20-2022,Pittsburgh,Olivia Miller,9.7500,,,9.8250
Pittsburgh,2022,7,no meet title,Feb-20-2022,Pittsburgh,Kiley Robatin,,,9.8000,
Pittsburgh,2022,7,no meet title,Feb-20-2022,Pittsburgh,Ciara Ward,9.8000,9.7500,,
Pittsburgh,2022,7,no meet title,Feb-20-2022,Pittsburgh,Sidney Washington,9.8500,9.8500,,9.8250
Pittsburgh,2022,7,no meet title,Feb-20-2022,Pittsburgh,Christina Weiss,,,9.7750,
Pittsburgh,2022,8,no meet title,Feb-25-2022,Texas Woman's,Lauren Beckwith,9.7000,,9.7250,9.7250
Pittsburgh,2022,8,no meet title,Feb-25-2022,Texas Woman's,Katie Chamberlain,9.8500,9.9000,9.8500,
Pittsburgh,2022,8,no meet title,Feb-25-2022,Texas Woman's,Hallie Copperwheat,9.8000,9.8750,9.7000,9.7750
Pittsburgh,2022,8,no meet title,Feb-25-2022,Texas Woman's,Jordyn Ewing,,9.8750,9.3500,9.8250
Pittsburgh,2022,8,no meet title,Feb-25-2022,Texas Woman's,Kailey Gillings,,9.7500,,
Pittsburgh,2022,8,no meet title,Feb-25-2022,Texas Woman's,Erin Hutchison,,,,9.7750
Pittsburgh,2022,8,no meet title,Feb-25-2022,Texas Woman's,Olivia Miller,9.7500,,,9.7750
Pittsburgh,2022,8,no meet title,Feb-25-2022,Texas Woman's,Kiley Robatin,,,9.6500,
Pittsburgh,2022,8,no meet title,Feb-25-2022,Texas Woman's,Ciara Ward,9.6000,,,
Pittsburgh,2022,8,no meet title,Feb-25-2022,Texas Woman's,Sidney Washington,9.8000,9.8500,,9.8750
Pittsburgh,2022,8,no meet title,Feb-25-2022,Texas Woman's,Christina Weiss,,,9.5000,
Pittsburgh,2022,9,no meet title,Mar-06-2022,Pittsburgh,Lauren Beckwith,9.0500,,9.8750,9.7250
Pittsburgh,2022,9,no meet title,Mar-06-2022,Pittsburgh,Katie Chamberlain,9.8250,9.8750,9.8500,
Pittsburgh,2022,9,no meet title,Mar-06-2022,Pittsburgh,Hallie Copperwheat,9.8000,9.8000,9.8750,9.7250
Pittsburgh,2022,9,no meet title,Mar-06-2022,Pittsburgh,Jordyn Ewing,,9.8250,9.8750,9.8750
Pittsburgh,2022,9,no meet title,Mar-06-2022,Pittsburgh,Kailey Gillings,,9.7500,,
Pittsburgh,2022,9,no meet title,Mar-06-2022,Pittsburgh,Erin Hutchison,,9.7000,,9.8000
Pittsburgh,2022,9,no meet title,Mar-06-2022,Pittsburgh,Olivia Miller,9.7750,,,9.8250
Pittsburgh,2022,9,no meet title,Mar-06-2022,Pittsburgh,Kiley Robatin,,,9.5250,
Pittsburgh,2022,9,no meet title,Mar-06-2022,Pittsburgh,Ciara Ward,9.0250,,,
Pittsburgh,2022,9,no meet title,Mar-06-2022,Pittsburgh,Sidney Washington,9.8500,9.8500,9.8750,9.9000
Pittsburgh,2022,10,no meet title,Mar-11-2022,Ohio State,Lauren Beckwith,,,9.7750,
Pittsburgh,2022,10,no meet title,Mar-11-2022,Ohio State,Katie Chamberlain,9.8250,9.8000,9.7750,
Pittsburgh,2022,10,no meet title,Mar-11-2022,Ohio State,Hallie Copperwheat,9.7500,9.5500,9.8750,9.8000
Pittsburgh,2022,10,no meet title,Mar-11-2022,Ohio State,Jordyn Ewing,,9.7000,9.7500,9.7250
Pittsburgh,2022,10,no meet title,Mar-11-2022,Ohio State,Kailey Gillings,,8.8500,,
Pittsburgh,2022,10,no meet title,Mar-11-2022,Ohio State,Erin Hutchison,,9.7000,,9.7750
Pittsburgh,2022,10,no meet title,Mar-11-2022,Ohio State,Olivia Miller,9.7250,,,9.8250
Pittsburgh,2022,10,no meet title,Mar-11-2022,Ohio State,Kiley Robatin,,,9.7500,
Pittsburgh,2022,10,no meet title,Mar-11-2022,Ohio State,Ciara Ward,9.8500,,,
Pittsburgh,2022,10,no meet title,Mar-11-2022,Ohio State,Sidney Washington,9.7500,9.7750,9.8250,9.8250
Pittsburgh,2022,10,no meet title,Mar-11-2022,Ohio State,Christina Weiss,9.7000,,,
Pittsburgh,2022,10,no meet title,Mar-11-2022,Ohio State,Nay'yarrah Winder,,,,9.5500
Pittsburgh,2022,11,EAGL Conference,Mar-19-2022,George Washington,Lauren Beckwith,,,9.1500,9.2000
Pittsburgh,2022,11,EAGL Conference,Mar-19-2022,George Washington,Katie Chamberlain,9.8000,9.9000,9.1000,
Pittsburgh,2022,11,EAGL Conference,Mar-19-2022,George Washington,Hallie Copperwheat,9.7000,9.8500,9.7250,9.8500
Pittsburgh,2022,11,EAGL Conference,Mar-19-2022,George Washington,Jordyn Ewing,,9.8250,9.5250,9.8000
Pittsburgh,2022,11,EAGL Conference,Mar-19-2022,George Washington,Kailey Gillings,,9.8250,,
Pittsburgh,2022,11,EAGL Conference,Mar-19-2022,George Washington,Erin Hutchison,,9.8000,,9.7750
Pittsburgh,2022,11,EAGL Conference,Mar-19-2022,George Washington,Kiley Robatin,,,9.7250,9.3000
Pittsburgh,2022,11,EAGL Conference,Mar-19-2022,George Washington,Ciara Ward,9.7250,,,
Pittsburgh,2022,11,EAGL Conference,Mar-19-2022,George Washington,Sidney Washington,9.8000,9.8000,9.1250,9.7500
Pittsburgh,2022,11,EAGL Conference,Mar-19-2022,George Washington,Christina Weiss,9.6250,,,
Pittsburgh,2022,12,Raleigh Regional II,Mar-31-2022,,Katie Chamberlain,,8.3750,,
Pittsburgh,2022,12,Raleigh Regional II,Mar-31-2022,,Hallie Copperwheat,,9.8500,9.8000,
