team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Rhode Island College,2015,1,no meet title,Jan-11-2015,Rhode Island College,Victoria Costello,9.2000,7.8500,,
Rhode Island College,2015,1,no meet title,Jan-11-2015,Rhode Island College,Meghan French,,,9.0750,7.5500
Rhode Island College,2015,1,no meet title,Jan-11-2015,Rhode Island College,Jackie Hahn,,7.8000,,
Rhode Island College,2015,1,no meet title,Jan-11-2015,Rhode Island College,Emma Hartan,,,9.1750,9.2500
Rhode Island College,2015,1,no meet title,Jan-11-2015,Rhode Island College,Cherise Lee,,,,8.5500
Rhode Island College,2015,1,no meet title,Jan-11-2015,Rhode Island College,Samantha Lemire,8.5250,9.2000,8.5000,9.1500
Rhode Island College,2015,1,no meet title,Jan-11-2015,Rhode Island College,Megan McNeil,,8.6750,,
Rhode Island College,2015,1,no meet title,Jan-11-2015,Rhode Island College,Emily Murphy,8.9500,8.4500,8.7000,8.3000
Rhode Island College,2015,1,no meet title,Jan-11-2015,Rhode Island College,Courtney Osborn,8.3000,8.4000,8.4000,8.1500
Rhode Island College,2015,1,no meet title,Jan-11-2015,Rhode Island College,Alexandria Otis,,,7.8500,
Rhode Island College,2015,1,no meet title,Jan-11-2015,Rhode Island College,Corrine Paul,8.9500,,,
Rhode Island College,2015,1,no meet title,Jan-11-2015,Rhode Island College,Erin Shea,9.1500,,,
Rhode Island College,2015,2,no meet title,Jan-17-2015,Southern Conn.,Victoria Costello,9.4750,7.9750,,8.0250
Rhode Island College,2015,2,no meet title,Jan-17-2015,Southern Conn.,Erin Craig,9.1500,,,
Rhode Island College,2015,2,no meet title,Jan-17-2015,Southern Conn.,Meghan French,,,8.4500,8.1000
Rhode Island College,2015,2,no meet title,Jan-17-2015,Southern Conn.,Jackie Hahn,,7.8500,,
Rhode Island College,2015,2,no meet title,Jan-17-2015,Southern Conn.,Emma Hartan,,,9.1500,8.9000
Rhode Island College,2015,2,no meet title,Jan-17-2015,Southern Conn.,Cherise Lee,,,,8.8500
Rhode Island College,2015,2,no meet title,Jan-17-2015,Southern Conn.,Samantha Lemire,9.4000,8.7250,8.5500,9.1500
Rhode Island College,2015,2,no meet title,Jan-17-2015,Southern Conn.,Megan McNeil,,8.8000,,
Rhode Island College,2015,2,no meet title,Jan-17-2015,Southern Conn.,Emily Murphy,9.2500,7.3750,9.3000,8.0500
Rhode Island College,2015,2,no meet title,Jan-17-2015,Southern Conn.,Courtney Osborn,,9.0500,7.7500,
