team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Rutgers,2021,1,no meet title,Jan-23-2021,Rutgers,Avery Balser,9.5500,9.7750,,9.7750
Rutgers,2021,1,no meet title,Jan-23-2021,Rutgers,Myra Daniels,,,,9.6250
Rutgers,2021,1,no meet title,Jan-23-2021,Rutgers,Kiera Doherty-Herwitz,,8.5500,9.6750,
Rutgers,2021,1,no meet title,Jan-23-2021,Rutgers,Emily Drauss,,9.7000,9.6250,
Rutgers,2021,1,no meet title,Jan-23-2021,Rutgers,Jenna Ferguson,9.5000,,9.7750,
Rutgers,2021,1,no meet title,Jan-23-2021,Rutgers,Belle Huang,9.6000,9.6250,9.8750,9.8750
Rutgers,2021,1,no meet title,Jan-23-2021,Rutgers,Abigail Karolewski,,9.6500,,
Rutgers,2021,1,no meet title,Jan-23-2021,Rutgers,Calah Newman,9.7000,8.8000,9.7750,9.7000
Rutgers,2021,1,no meet title,Jan-23-2021,Rutgers,Kieran Ross,9.4250,,,
Rutgers,2021,1,no meet title,Jan-23-2021,Rutgers,Emily Wood,,,,9.1750
Rutgers,2021,1,no meet title,Jan-23-2021,Rutgers,Stephanie Zannella,9.5750,,9.7750,8.9500
Rutgers,2021,2,no meet title,Jan-30-2021,Rutgers,Avery Balser,9.5250,9.6750,,9.6500
Rutgers,2021,2,no meet title,Jan-30-2021,Rutgers,Myra Daniels,,9.0000,,9.4500
Rutgers,2021,2,no meet title,Jan-30-2021,Rutgers,Kiera Doherty-Herwitz,,,9.7250,
Rutgers,2021,2,no meet title,Jan-30-2021,Rutgers,Emily Drauss,,9.7250,,
Rutgers,2021,2,no meet title,Jan-30-2021,Rutgers,Jenna Ferguson,,,9.7750,
Rutgers,2021,2,no meet title,Jan-30-2021,Rutgers,Belle Huang,9.7250,9.6750,9.8000,9.8500
Rutgers,2021,2,no meet title,Jan-30-2021,Rutgers,Hannah Joyner,9.8000,9.8750,9.1250,9.7750
Rutgers,2021,2,no meet title,Jan-30-2021,Rutgers,Calah Newman,9.6250,8.6250,8.4500,9.6750
Rutgers,2021,2,no meet title,Jan-30-2021,Rutgers,Jaidyn Raby,9.1750,,,
Rutgers,2021,2,no meet title,Jan-30-2021,Rutgers,Emily Wood,,,,9.6750
