team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
S.E. Missouri,2021,1,no meet title,Jan-16-2021,Texas Woman's,Gabrielle Adams,9.6000,,,
S.E. Missouri,2021,1,no meet title,Jan-16-2021,Texas Woman's,Ashley Albrecht,9.3000,9.3000,,9.6000
S.E. Missouri,2021,1,no meet title,Jan-16-2021,Texas Woman's,Lindsey Bates,,9.0000,,
S.E. Missouri,2021,1,no meet title,Jan-16-2021,Texas Woman's,Mallory Desch,,,,9.4000
S.E. Missouri,2021,1,no meet title,Jan-16-2021,Texas Woman's,Alana Fischer,,9.6000,9.5750,
S.E. Missouri,2021,1,no meet title,Jan-16-2021,Texas Woman's,Anna Kaziska,9.6000,,9.8500,9.8000
S.E. Missouri,2021,1,no meet title,Jan-16-2021,Texas Woman's,Makenzie Marciniak,9.4500,,,
S.E. Missouri,2021,1,no meet title,Jan-16-2021,Texas Woman's,Molly Maxwell,,,9.0000,9.1250
S.E. Missouri,2021,1,no meet title,Jan-16-2021,Texas Woman's,Jolie Miller,,9.8000,9.3250,
S.E. Missouri,2021,1,no meet title,Jan-16-2021,Texas Woman's,Lindsey Moffitt,,8.2500,,
S.E. Missouri,2021,1,no meet title,Jan-16-2021,Texas Woman's,Michael Sanders,9.2500,,,9.2000
S.E. Missouri,2021,1,no meet title,Jan-16-2021,Texas Woman's,Dahlia Solorzano-Caruso,9.7750,9.7500,9.7500,9.5500
S.E. Missouri,2021,1,no meet title,Jan-16-2021,Texas Woman's,Anna Speller,,,9.4750,
S.E. Missouri,2021,2,Tennessee Collegiate Classic,Jan-22-2021,,Gabrielle Adams,9.7500,,,
S.E. Missouri,2021,2,Tennessee Collegiate Classic,Jan-22-2021,,Ashley Albrecht,9.7250,9.7500,,9.7500
S.E. Missouri,2021,2,Tennessee Collegiate Classic,Jan-22-2021,,Lindsey Bates,,9.7500,,9.5750
S.E. Missouri,2021,2,Tennessee Collegiate Classic,Jan-22-2021,,Mallory Desch,,,,9.6500
S.E. Missouri,2021,2,Tennessee Collegiate Classic,Jan-22-2021,,Alana Fischer,,9.7250,9.2000,
S.E. Missouri,2021,2,Tennessee Collegiate Classic,Jan-22-2021,,Anna Kaziska,,,9.8250,
S.E. Missouri,2021,2,Tennessee Collegiate Classic,Jan-22-2021,,Makenzie Marciniak,9.5500,,,
S.E. Missouri,2021,2,Tennessee Collegiate Classic,Jan-22-2021,,Molly Maxwell,,,,8.9000
S.E. Missouri,2021,2,Tennessee Collegiate Classic,Jan-22-2021,,Jolie Miller,,9.8000,9.6750,
S.E. Missouri,2021,2,Tennessee Collegiate Classic,Jan-22-2021,,Lindsey Moffitt,,8.8000,,
S.E. Missouri,2021,2,Tennessee Collegiate Classic,Jan-22-2021,,Michael Sanders,9.7750,,,9.7000
S.E. Missouri,2021,2,Tennessee Collegiate Classic,Jan-22-2021,,Dahlia Solorzano-Caruso,9.8500,9.6250,9.7500,9.8250
S.E. Missouri,2021,2,Tennessee Collegiate Classic,Jan-22-2021,,Anna Speller,,,9.7000,
S.E. Missouri,2021,2,Tennessee Collegiate Classic,Jan-22-2021,,Lydia Test,8.9750,,9.1500,
S.E. Missouri,2021,3,no meet title,Jan-29-2021,S.E. Missouri,Gabrielle Adams,9.7750,,,
S.E. Missouri,2021,3,no meet title,Jan-29-2021,S.E. Missouri,Ashley Albrecht,,9.0250,,
S.E. Missouri,2021,3,no meet title,Jan-29-2021,S.E. Missouri,Lindsey Bates,,9.7500,,9.6750
S.E. Missouri,2021,3,no meet title,Jan-29-2021,S.E. Missouri,Mallory Desch,,,,9.4750
S.E. Missouri,2021,3,no meet title,Jan-29-2021,S.E. Missouri,Alana Fischer,,8.5750,9.6750,
S.E. Missouri,2021,3,no meet title,Jan-29-2021,S.E. Missouri,Makenzie Marciniak,9.5500,,,
S.E. Missouri,2021,3,no meet title,Jan-29-2021,S.E. Missouri,Molly Maxwell,,,9.6750,9.5750
S.E. Missouri,2021,3,no meet title,Jan-29-2021,S.E. Missouri,Jolie Miller,,9.6500,9.6500,
S.E. Missouri,2021,3,no meet title,Jan-29-2021,S.E. Missouri,Lindsey Moffitt,,8.7250,,
S.E. Missouri,2021,3,no meet title,Jan-29-2021,S.E. Missouri,Michael Sanders,9.7250,,9.5000,9.6250
S.E. Missouri,2021,3,no meet title,Jan-29-2021,S.E. Missouri,Dahlia Solorzano-Caruso,9.8500,9.7750,9.7250,9.8500
S.E. Missouri,2021,3,no meet title,Jan-29-2021,S.E. Missouri,Anna Speller,,,9.7750,
S.E. Missouri,2021,3,no meet title,Jan-29-2021,S.E. Missouri,Lydia Test,9.5750,,,
S.E. Missouri,2021,3,no meet title,Jan-29-2021,S.E. Missouri,Lydia Webb,,,,9.8000
S.E. Missouri,2021,4,no meet title,Feb-06-2021,Illinois State,Gabrielle Adams,9.6000,,,
S.E. Missouri,2021,4,no meet title,Feb-06-2021,Illinois State,Lindsey Bates,,9.7000,,8.3000
S.E. Missouri,2021,4,no meet title,Feb-06-2021,Illinois State,Mallory Desch,8.7750,,,9.5750
S.E. Missouri,2021,4,no meet title,Feb-06-2021,Illinois State,Alana Fischer,,9.6500,9.7000,
S.E. Missouri,2021,4,no meet title,Feb-06-2021,Illinois State,Anna Kaziska,,,9.3000,
S.E. Missouri,2021,4,no meet title,Feb-06-2021,Illinois State,Makenzie Marciniak,9.4250,9.5750,,
S.E. Missouri,2021,4,no meet title,Feb-06-2021,Illinois State,Molly Maxwell,8.6000,,9.6000,9.5000
S.E. Missouri,2021,4,no meet title,Feb-06-2021,Illinois State,Jolie Miller,,9.8250,9.7500,
S.E. Missouri,2021,4,no meet title,Feb-06-2021,Illinois State,Lindsey Moffitt,,8.6500,,
S.E. Missouri,2021,4,no meet title,Feb-06-2021,Illinois State,Michael Sanders,9.5500,,,9.5250
S.E. Missouri,2021,4,no meet title,Feb-06-2021,Illinois State,Dahlia Solorzano-Caruso,9.6250,9.7500,9.2750,9.6750
S.E. Missouri,2021,4,no meet title,Feb-06-2021,Illinois State,Anna Speller,,,8.7500,
S.E. Missouri,2021,4,no meet title,Feb-06-2021,Illinois State,Lydia Webb,,,,9.5500
S.E. Missouri,2021,5,Gym Quarters,Feb-12-2021,,Gabrielle Adams,9.4500,,,
S.E. Missouri,2021,5,Gym Quarters,Feb-12-2021,,Ashley Albrecht,9.5250,9.5000,,
S.E. Missouri,2021,5,Gym Quarters,Feb-12-2021,,Lindsey Bates,,9.8250,,
S.E. Missouri,2021,5,Gym Quarters,Feb-12-2021,,Alana Fischer,,9.6500,9.6750,
S.E. Missouri,2021,5,Gym Quarters,Feb-12-2021,,Anna Kaziska,,,9.7500,9.8000
S.E. Missouri,2021,5,Gym Quarters,Feb-12-2021,,Makenzie Marciniak,9.5000,9.3500,,
S.E. Missouri,2021,5,Gym Quarters,Feb-12-2021,,Molly Maxwell,9.1500,,9.6750,9.0000
S.E. Missouri,2021,5,Gym Quarters,Feb-12-2021,,Jolie Miller,,9.7750,9.6750,
S.E. Missouri,2021,5,Gym Quarters,Feb-12-2021,,Lindsey Moffitt,,,,9.4750
S.E. Missouri,2021,5,Gym Quarters,Feb-12-2021,,Michael Sanders,8.9500,,,9.5250
S.E. Missouri,2021,5,Gym Quarters,Feb-12-2021,,Dahlia Solorzano-Caruso,9.7000,9.7500,9.6000,9.7250
S.E. Missouri,2021,5,Gym Quarters,Feb-12-2021,,Anna Speller,,,9.6000,
S.E. Missouri,2021,5,Gym Quarters,Feb-12-2021,,Lydia Webb,,,,8.7750
S.E. Missouri,2021,6,no meet title,Feb-21-2021,Lindenwood,Gabrielle Adams,9.7000,,,
S.E. Missouri,2021,6,no meet title,Feb-21-2021,Lindenwood,Ashley Albrecht,9.7000,9.5750,,
S.E. Missouri,2021,6,no meet title,Feb-21-2021,Lindenwood,Lindsey Bates,,8.1500,,
S.E. Missouri,2021,6,no meet title,Feb-21-2021,Lindenwood,Alana Fischer,,9.6250,9.6750,
S.E. Missouri,2021,6,no meet title,Feb-21-2021,Lindenwood,Jordan Jones,,,,9.8250
S.E. Missouri,2021,6,no meet title,Feb-21-2021,Lindenwood,Anna Kaziska,,,9.8250,9.8750
S.E. Missouri,2021,6,no meet title,Feb-21-2021,Lindenwood,Makenzie Marciniak,9.2500,9.7500,,
S.E. Missouri,2021,6,no meet title,Feb-21-2021,Lindenwood,Molly Maxwell,,,,9.7250
S.E. Missouri,2021,6,no meet title,Feb-21-2021,Lindenwood,Jolie Miller,,9.7750,9.5750,
S.E. Missouri,2021,6,no meet title,Feb-21-2021,Lindenwood,Lindsey Moffitt,,,,9.6250
S.E. Missouri,2021,6,no meet title,Feb-21-2021,Lindenwood,Michael Sanders,9.7250,,,
S.E. Missouri,2021,6,no meet title,Feb-21-2021,Lindenwood,Dahlia Solorzano-Caruso,9.7000,9.7250,9.1500,9.7750
S.E. Missouri,2021,6,no meet title,Feb-21-2021,Lindenwood,Anna Speller,,,9.8000,
S.E. Missouri,2021,6,no meet title,Feb-21-2021,Lindenwood,Lydia Test,9.6250,,9.8000,
S.E. Missouri,2021,6,no meet title,Feb-21-2021,Lindenwood,Lydia Webb,,,,9.6500
S.E. Missouri,2021,7,no meet title,Feb-26-2021,S.E. Missouri,Gabrielle Adams,9.8000,,,
S.E. Missouri,2021,7,no meet title,Feb-26-2021,S.E. Missouri,Lindsey Bates,,8.9000,,
S.E. Missouri,2021,7,no meet title,Feb-26-2021,S.E. Missouri,Alana Fischer,,9.7000,9.8500,
S.E. Missouri,2021,7,no meet title,Feb-26-2021,S.E. Missouri,Jordan Jones,,,,9.8500
S.E. Missouri,2021,7,no meet title,Feb-26-2021,S.E. Missouri,Anna Kaziska,9.7500,,9.8750,9.8750
S.E. Missouri,2021,7,no meet title,Feb-26-2021,S.E. Missouri,Molly Maxwell,8.9000,9.3750,,9.7500
S.E. Missouri,2021,7,no meet title,Feb-26-2021,S.E. Missouri,Jolie Miller,,9.6750,9.4750,
S.E. Missouri,2021,7,no meet title,Feb-26-2021,S.E. Missouri,Lindsey Moffitt,,9.5750,,9.8250
S.E. Missouri,2021,7,no meet title,Feb-26-2021,S.E. Missouri,Michael Sanders,9.7250,,,
S.E. Missouri,2021,7,no meet title,Feb-26-2021,S.E. Missouri,Dahlia Solorzano-Caruso,9.7500,9.6750,9.7750,9.8750
S.E. Missouri,2021,7,no meet title,Feb-26-2021,S.E. Missouri,Anna Speller,,,9.8000,
S.E. Missouri,2021,7,no meet title,Feb-26-2021,S.E. Missouri,Lydia Test,9.7000,,9.8250,
S.E. Missouri,2021,7,no meet title,Feb-26-2021,S.E. Missouri,Lydia Webb,,,,9.7750
S.E. Missouri,2021,8,no meet title,Feb-28-2021,S.E. Missouri,Gabrielle Adams,9.7250,,,
S.E. Missouri,2021,8,no meet title,Feb-28-2021,S.E. Missouri,Lindsey Bates,,9.6250,,
S.E. Missouri,2021,8,no meet title,Feb-28-2021,S.E. Missouri,Alana Fischer,,9.7000,9.8250,
S.E. Missouri,2021,8,no meet title,Feb-28-2021,S.E. Missouri,Jordan Jones,,,,9.8250
S.E. Missouri,2021,8,no meet title,Feb-28-2021,S.E. Missouri,Anna Kaziska,9.6250,,9.3250,9.9250
S.E. Missouri,2021,8,no meet title,Feb-28-2021,S.E. Missouri,Makenzie Marciniak,9.5000,,,
S.E. Missouri,2021,8,no meet title,Feb-28-2021,S.E. Missouri,Molly Maxwell,,8.5250,9.8000,9.7500
S.E. Missouri,2021,8,no meet title,Feb-28-2021,S.E. Missouri,Jolie Miller,,9.8000,9.6750,
S.E. Missouri,2021,8,no meet title,Feb-28-2021,S.E. Missouri,Lindsey Moffitt,,9.7000,,9.7750
S.E. Missouri,2021,8,no meet title,Feb-28-2021,S.E. Missouri,Michael Sanders,9.6250,,,9.5250
S.E. Missouri,2021,8,no meet title,Feb-28-2021,S.E. Missouri,Dahlia Solorzano-Caruso,9.7750,9.7000,,
S.E. Missouri,2021,8,no meet title,Feb-28-2021,S.E. Missouri,Anna Speller,,,9.6750,
S.E. Missouri,2021,8,no meet title,Feb-28-2021,S.E. Missouri,Lydia Test,9.6250,,9.6000,
S.E. Missouri,2021,8,no meet title,Feb-28-2021,S.E. Missouri,Lydia Webb,,,,4.0000
S.E. Missouri,2021,9,no meet title,Mar-12-2021,S.E. Missouri,Gabrielle Adams,9.8250,,,
