team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Sacramento State,2024,1,no meet title,Jan-07-2024,UC Davis,Simone Dumas-Guzman,8.8500,,,9.7750
Sacramento State,2024,1,no meet title,Jan-07-2024,UC Davis,Sarah Fitzgerald,,8.4000,,
Sacramento State,2024,1,no meet title,Jan-07-2024,UC Davis,Grace Gilman,9.7250,,8.3500,9.7250
Sacramento State,2024,1,no meet title,Jan-07-2024,UC Davis,Kara Houghton,,9.7000,9.7250,
Sacramento State,2024,1,no meet title,Jan-07-2024,UC Davis,Athena Jones,,,9.1000,9.7500
Sacramento State,2024,1,no meet title,Jan-07-2024,UC Davis,Bella Lahmidi,,9.6500,,
Sacramento State,2024,1,no meet title,Jan-07-2024,UC Davis,Jillianne Lastra,,9.7000,,
Sacramento State,2024,1,no meet title,Jan-07-2024,UC Davis,Sarah Lutrel,9.7750,9.6000,9.2500,9.7500
Sacramento State,2024,1,no meet title,Jan-07-2024,UC Davis,Emma Morgenthaler,9.7000,9.4750,9.7000,9.8000
Sacramento State,2024,1,no meet title,Jan-07-2024,UC Davis,Rose Wilson,9.7750,,,
Sacramento State,2024,1,no meet title,Jan-07-2024,UC Davis,Rylin Zimmerman,9.7750,,9.6500,9.7500
Sacramento State,2024,2,no meet title,Jan-14-2024,Sacramento State,Simone Dumas-Guzman,,,,9.6000
Sacramento State,2024,2,no meet title,Jan-14-2024,Sacramento State,Sarah Fitzgerald,9.6750,,,
Sacramento State,2024,2,no meet title,Jan-14-2024,Sacramento State,Grace Gilman,9.7500,,9.2000,9.8250
Sacramento State,2024,2,no meet title,Jan-14-2024,Sacramento State,Kara Houghton,,9.8750,9.5500,
Sacramento State,2024,2,no meet title,Jan-14-2024,Sacramento State,Athena Jones,,,9.8250,9.7250
Sacramento State,2024,2,no meet title,Jan-14-2024,Sacramento State,Bella Lahmidi,,9.3000,,
Sacramento State,2024,2,no meet title,Jan-14-2024,Sacramento State,Jillianne Lastra,,9.7250,,
