team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
San Jose State,2022,1,no meet title,Jan-09-2022,Denver,Micheala Gentry,9.7500,,,
San Jose State,2022,1,no meet title,Jan-09-2022,Denver,Cameron Kelperis,9.7750,,,9.7500
San Jose State,2022,1,no meet title,Jan-09-2022,Denver,Madison Kirsch,9.8000,,9.6500,
San Jose State,2022,1,no meet title,Jan-09-2022,Denver,Jaudai Lopes,9.7250,9.8750,9.7750,9.8000
San Jose State,2022,1,no meet title,Jan-09-2022,Denver,Lauren Macpherson,9.7750,9.7250,9.9000,9.8500
San Jose State,2022,1,no meet title,Jan-09-2022,Denver,Antonia Marquez,,,,9.7500
San Jose State,2022,1,no meet title,Jan-09-2022,Denver,Jada Mazury,9.7750,9.9250,9.8000,9.8500
San Jose State,2022,1,no meet title,Jan-09-2022,Denver,Emma Milne,,9.8000,9.8750,
San Jose State,2022,1,no meet title,Jan-09-2022,Denver,Carli Orcutt,,,,9.7500
San Jose State,2022,1,no meet title,Jan-09-2022,Denver,Alexa Solomon,,9.3250,,
San Jose State,2022,1,no meet title,Jan-09-2022,Denver,Katherine Weyhmiller,,9.7500,9.5250,
San Jose State,2022,2,no meet title,Jan-15-2022,Oregon State,Micheala Gentry,9.7250,,,
San Jose State,2022,2,no meet title,Jan-15-2022,Oregon State,Cameron Kelperis,9.5250,,,9.6500
San Jose State,2022,2,no meet title,Jan-15-2022,Oregon State,Madison Kirsch,9.7750,,,
San Jose State,2022,2,no meet title,Jan-15-2022,Oregon State,Sophia Konieczny,,,9.0750,
San Jose State,2022,2,no meet title,Jan-15-2022,Oregon State,Jaudai Lopes,9.8000,9.7000,9.8250,9.5750
San Jose State,2022,2,no meet title,Jan-15-2022,Oregon State,Lauren Macpherson,9.6500,9.2750,9.8500,9.7250
San Jose State,2022,2,no meet title,Jan-15-2022,Oregon State,Antonia Marquez,,,,9.6250
San Jose State,2022,2,no meet title,Jan-15-2022,Oregon State,Jada Mazury,9.7000,8.2000,9.8250,9.8250
