team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Seattle Pacific,2019,1,no meet title,Jan-11-2019,Sacramento State,Sienna Brane,,8.2000,9.5500,
Seattle Pacific,2019,1,no meet title,Jan-11-2019,Sacramento State,Darian Burns,9.6750,9.6000,9.7000,9.8750
Seattle Pacific,2019,1,no meet title,Jan-11-2019,Sacramento State,Kayla  Chan,9.0000,,9.6000,9.7250
Seattle Pacific,2019,1,no meet title,Jan-11-2019,Sacramento State,Jadacie  Durst,9.6500,9.1000,,9.6500
Seattle Pacific,2019,1,no meet title,Jan-11-2019,Sacramento State,Kylee Gauna,,,,8.9250
Seattle Pacific,2019,1,no meet title,Jan-11-2019,Sacramento State,Zahra Lawal,9.7500,,,
Seattle Pacific,2019,1,no meet title,Jan-11-2019,Sacramento State,Miyuki Matsune,,8.6500,9.2500,9.5250
Seattle Pacific,2019,1,no meet title,Jan-11-2019,Sacramento State,Itzia San Roman,9.6750,9.2000,9.0000,9.7500
Seattle Pacific,2019,1,no meet title,Jan-11-2019,Sacramento State,McKenna Zimmermann,9.6000,9.2500,9.0500,
Seattle Pacific,2019,2,no meet title,Jan-18-2019,Seattle Pacific,Sienna Brane,,9.7000,8.6250,
Seattle Pacific,2019,2,no meet title,Jan-18-2019,Seattle Pacific,Darian Burns,9.8000,9.8250,9.8250,9.7250
Seattle Pacific,2019,2,no meet title,Jan-18-2019,Seattle Pacific,Kayla  Chan,,,9.0000,9.7500
Seattle Pacific,2019,2,no meet title,Jan-18-2019,Seattle Pacific,Jadacie  Durst,9.6000,9.5500,,9.6500
Seattle Pacific,2019,2,no meet title,Jan-18-2019,Seattle Pacific,Kylee Gauna,,,,9.6250
Seattle Pacific,2019,2,no meet title,Jan-18-2019,Seattle Pacific,Zahra Lawal,9.2000,,,
Seattle Pacific,2019,2,no meet title,Jan-18-2019,Seattle Pacific,Miyuki Matsune,,8.8250,9.8000,9.4250
Seattle Pacific,2019,2,no meet title,Jan-18-2019,Seattle Pacific,Itzia San Roman,9.7250,9.5750,9.3000,9.5750
Seattle Pacific,2019,2,no meet title,Jan-18-2019,Seattle Pacific,Lena Wirth,9.6250,,9.6750,
Seattle Pacific,2019,2,no meet title,Jan-18-2019,Seattle Pacific,McKenna Zimmermann,9.6250,9.6750,,
Seattle Pacific,2019,3,no meet title,Jan-25-2019,San Jose State,Sienna Brane,,8.9750,,
Seattle Pacific,2019,3,no meet title,Jan-25-2019,San Jose State,Darian Burns,9.7000,8.6000,9.0750,9.8750
Seattle Pacific,2019,3,no meet title,Jan-25-2019,San Jose State,Kayla  Chan,,,8.9250,9.7250
Seattle Pacific,2019,3,no meet title,Jan-25-2019,San Jose State,Jadacie  Durst,9.6500,8.6500,,9.7500
Seattle Pacific,2019,3,no meet title,Jan-25-2019,San Jose State,Kylee Gauna,,,,9.5250
Seattle Pacific,2019,3,no meet title,Jan-25-2019,San Jose State,Zahra Lawal,9.7000,,,
Seattle Pacific,2019,3,no meet title,Jan-25-2019,San Jose State,Miyuki Matsune,,9.2000,9.6500,
Seattle Pacific,2019,3,no meet title,Jan-25-2019,San Jose State,Kylie Reese,,,,9.6750
Seattle Pacific,2019,3,no meet title,Jan-25-2019,San Jose State,Itzia San Roman,9.5500,8.8500,9.6750,9.8000
Seattle Pacific,2019,3,no meet title,Jan-25-2019,San Jose State,Lena Wirth,9.6750,,9.0750,
Seattle Pacific,2019,3,no meet title,Jan-25-2019,San Jose State,McKenna Zimmermann,9.6250,9.2750,9.7250,
Seattle Pacific,2019,4,no meet title,Feb-01-2019,Northern Illinois,Sienna Brane,,9.6750,,
Seattle Pacific,2019,4,no meet title,Feb-01-2019,Northern Illinois,Darian Burns,9.7500,9.7750,8.9500,9.7500
Seattle Pacific,2019,4,no meet title,Feb-01-2019,Northern Illinois,Kayla  Chan,,,9.6000,9.6250
Seattle Pacific,2019,4,no meet title,Feb-01-2019,Northern Illinois,Jadacie  Durst,9.6250,9.6250,,9.6750
Seattle Pacific,2019,4,no meet title,Feb-01-2019,Northern Illinois,Zahra Lawal,9.0500,,,
Seattle Pacific,2019,4,no meet title,Feb-01-2019,Northern Illinois,Miyuki Matsune,,9.6000,8.6500,
Seattle Pacific,2019,4,no meet title,Feb-01-2019,Northern Illinois,Kylie Reese,,,,9.6250
Seattle Pacific,2019,4,no meet title,Feb-01-2019,Northern Illinois,Itzia San Roman,9.6750,9.6000,9.0000,9.6250
Seattle Pacific,2019,4,no meet title,Feb-01-2019,Northern Illinois,Lena Wirth,9.6750,,9.4500,
Seattle Pacific,2019,4,no meet title,Feb-01-2019,Northern Illinois,McKenna Zimmermann,9.2500,9.6000,9.0750,9.5250
Seattle Pacific,2019,5,no meet title,Feb-09-2019,Air Force,Sienna Brane,,9.5750,9.6750,
Seattle Pacific,2019,5,no meet title,Feb-09-2019,Air Force,Darian Burns,9.7250,9.7750,8.9500,9.8000
Seattle Pacific,2019,5,no meet title,Feb-09-2019,Air Force,Kayla  Chan,9.6000,,8.9250,9.5500
Seattle Pacific,2019,5,no meet title,Feb-09-2019,Air Force,Jadacie  Durst,9.7250,9.5000,,9.4750
Seattle Pacific,2019,5,no meet title,Feb-09-2019,Air Force,Kylee Gauna,,,,9.4000
Seattle Pacific,2019,5,no meet title,Feb-09-2019,Air Force,Miyuki Matsune,,8.2000,9.6250,
Seattle Pacific,2019,5,no meet title,Feb-09-2019,Air Force,Kylie Reese,9.5500,,,9.5500
Seattle Pacific,2019,5,no meet title,Feb-09-2019,Air Force,Itzia San Roman,9.6250,8.9500,9.3000,9.4500
Seattle Pacific,2019,5,no meet title,Feb-09-2019,Air Force,McKenna Zimmermann,9.5500,9.5500,9.5500,
