team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Simpson,2025,1,no meet title,Jan-11-2025,Simpson,Emmie Barton,9.4000,,,
Simpson,2025,1,no meet title,Jan-11-2025,Simpson,Izzy Brown,,8.5000,9.0500,8.9500
Simpson,2025,1,no meet title,Jan-11-2025,Simpson,Annika Cole,,8.7000,,9.4250
Simpson,2025,1,no meet title,Jan-11-2025,Simpson,Alexa Denton,9.4000,,,
Simpson,2025,1,no meet title,Jan-11-2025,Simpson,Bella Dix,,,,9.5250
Simpson,2025,1,no meet title,Jan-11-2025,Simpson,Olivia Hedary,9.4250,8.3000,9.6750,
Simpson,2025,1,no meet title,Jan-11-2025,Simpson,Brooklen Morgan,,,9.1000,9.5250
Simpson,2025,1,no meet title,Jan-11-2025,Simpson,Wynter Poolaw,,8.5750,,
Simpson,2025,1,no meet title,Jan-11-2025,Simpson,Evalyn Resnick,,9.6000,9.5250,
Simpson,2025,1,no meet title,Jan-11-2025,Simpson,Olivia Short,,,9.0500,
Simpson,2025,1,no meet title,Jan-11-2025,Simpson,Liz Sisler,,9.3500,,
Simpson,2025,1,no meet title,Jan-11-2025,Simpson,Morgan Svec,9.3250,,,
Simpson,2025,1,no meet title,Jan-11-2025,Simpson,Kaelyn Tally,9.7000,,,9.7500
Simpson,2025,1,no meet title,Jan-11-2025,Simpson,Emma Tolbert,,,8.1500,8.9750
Simpson,2025,1,no meet title,Jan-11-2025,Simpson,Rachel Welch,9.3000,,,
Simpson,2025,2,no meet title,Jan-18-2025,UW-Whitewater,Emmie Barton,9.4000,,,
Simpson,2025,2,no meet title,Jan-18-2025,UW-Whitewater,Izzy Brown,,9.2750,9.6750,9.4000
Simpson,2025,2,no meet title,Jan-18-2025,UW-Whitewater,Annika Cole,,9.0500,,9.3500
Simpson,2025,2,no meet title,Jan-18-2025,UW-Whitewater,Alexa Denton,9.2000,,,
Simpson,2025,2,no meet title,Jan-18-2025,UW-Whitewater,Bella Dix,,,,9.5500
Simpson,2025,2,no meet title,Jan-18-2025,UW-Whitewater,Olivia Hedary,9.4500,9.0250,9.6500,
Simpson,2025,2,no meet title,Jan-18-2025,UW-Whitewater,Brooklen Morgan,,,9.7250,9.6250
Simpson,2025,2,no meet title,Jan-18-2025,UW-Whitewater,Wynter Poolaw,,9.0000,,
Simpson,2025,2,no meet title,Jan-18-2025,UW-Whitewater,Evalyn Resnick,,9.6000,8.2500,
Simpson,2025,2,no meet title,Jan-18-2025,UW-Whitewater,Olivia Short,,,9.5500,
Simpson,2025,2,no meet title,Jan-18-2025,UW-Whitewater,Liz Sisler,,9.5500,,
Simpson,2025,2,no meet title,Jan-18-2025,UW-Whitewater,Kaelyn Tally,9.7000,,,9.5500
Simpson,2025,2,no meet title,Jan-18-2025,UW-Whitewater,Emma Tolbert,9.4750,,9.4500,9.0250
Simpson,2025,2,no meet title,Jan-18-2025,UW-Whitewater,Rachel Welch,9.3750,,,
Simpson,2025,3,no meet title,Jan-24-2025,Iowa State,Emmie Barton,9.4750,,,
Simpson,2025,3,no meet title,Jan-24-2025,Iowa State,Kaley Bristow,,,8.6500,
Simpson,2025,3,no meet title,Jan-24-2025,Iowa State,Izzy Brown,,8.0750,9.3000,
Simpson,2025,3,no meet title,Jan-24-2025,Iowa State,Annika Cole,,8.8500,,9.5000
Simpson,2025,3,no meet title,Jan-24-2025,Iowa State,Bella Dix,,,,9.3500
Simpson,2025,3,no meet title,Jan-24-2025,Iowa State,Olivia Hedary,9.4500,8.9250,9.4500,9.5750
Simpson,2025,3,no meet title,Jan-24-2025,Iowa State,Brooklen Morgan,,,9.7000,9.7000
Simpson,2025,3,no meet title,Jan-24-2025,Iowa State,Wynter Poolaw,9.0750,8.7250,,
Simpson,2025,3,no meet title,Jan-24-2025,Iowa State,Evalyn Resnick,,9.0000,8.9750,
Simpson,2025,3,no meet title,Jan-24-2025,Iowa State,Liz Sisler,,9.4750,,
Simpson,2025,3,no meet title,Jan-24-2025,Iowa State,Kaelyn Tally,9.5000,,,9.4750
Simpson,2025,3,no meet title,Jan-24-2025,Iowa State,Emma Tolbert,9.4500,,9.0500,9.3750
Simpson,2025,3,no meet title,Jan-24-2025,Iowa State,Rachel Welch,9.3500,,,
Simpson,2025,4,no meet title,Feb-01-2025,Simpson,Emmie Barton,9.3500,,,
Simpson,2025,4,no meet title,Feb-01-2025,Simpson,Izzy Brown,,8.4500,9.5750,9.4000
Simpson,2025,4,no meet title,Feb-01-2025,Simpson,Bella Dix,,,,9.3500
Simpson,2025,4,no meet title,Feb-01-2025,Simpson,Olivia Hedary,9.5000,9.4500,9.6500,9.4500
Simpson,2025,4,no meet title,Feb-01-2025,Simpson,Brooklen Morgan,,,9.4000,9.5750
Simpson,2025,4,no meet title,Feb-01-2025,Simpson,Kaylee Paige,,9.3000,,
Simpson,2025,4,no meet title,Feb-01-2025,Simpson,Wynter Poolaw,9.3750,8.9750,,
Simpson,2025,4,no meet title,Feb-01-2025,Simpson,Evalyn Resnick,,8.9750,,
Simpson,2025,4,no meet title,Feb-01-2025,Simpson,Olivia Short,,,8.8500,
Simpson,2025,4,no meet title,Feb-01-2025,Simpson,Liz Sisler,,9.3750,,
Simpson,2025,4,no meet title,Feb-01-2025,Simpson,Kaelyn Tally,9.7000,,9.0000,9.7500
Simpson,2025,4,no meet title,Feb-01-2025,Simpson,Emma Tolbert,9.6000,,9.2500,9.5750
Simpson,2025,4,no meet title,Feb-01-2025,Simpson,Rachel Welch,9.4750,,,
Simpson,2025,5,no meet title,Feb-06-2025,UW-Eau Claire,Emmie Barton,9.3250,,9.5000,
Simpson,2025,5,no meet title,Feb-06-2025,UW-Eau Claire,Erin Baugh,,9.2500,,
Simpson,2025,5,no meet title,Feb-06-2025,UW-Eau Claire,Kaley Bristow,,,,8.6500
Simpson,2025,5,no meet title,Feb-06-2025,UW-Eau Claire,Izzy Brown,,8.5500,9.2750,9.4250
Simpson,2025,5,no meet title,Feb-06-2025,UW-Eau Claire,Annika Cole,,8.5250,,9.3250
Simpson,2025,5,no meet title,Feb-06-2025,UW-Eau Claire,Olivia Hedary,,,9.6750,
Simpson,2025,5,no meet title,Feb-06-2025,UW-Eau Claire,Brooklen Morgan,,,8.9000,9.6000
Simpson,2025,5,no meet title,Feb-06-2025,UW-Eau Claire,Kaylee Paige,,9.1750,,
Simpson,2025,5,no meet title,Feb-06-2025,UW-Eau Claire,Wynter Poolaw,9.2250,,,
Simpson,2025,5,no meet title,Feb-06-2025,UW-Eau Claire,Evalyn Resnick,,9.4500,,
Simpson,2025,5,no meet title,Feb-06-2025,UW-Eau Claire,Olivia Short,,,9.2250,
Simpson,2025,5,no meet title,Feb-06-2025,UW-Eau Claire,Liz Sisler,9.3750,8.4500,,
Simpson,2025,5,no meet title,Feb-06-2025,UW-Eau Claire,Kaelyn Tally,9.7500,,,9.5000
Simpson,2025,5,no meet title,Feb-06-2025,UW-Eau Claire,Baily Tessena,,,9.0250,9.1000
Simpson,2025,5,no meet title,Feb-06-2025,UW-Eau Claire,Emma Tolbert,9.2750,,,
