team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Southern Conn.,2018,1,no meet title,Jan-06-2018,Bridgeport,Kathleen Aberger,,9.1500,9.0750,9.0000
Southern Conn.,2018,1,no meet title,Jan-06-2018,Bridgeport,Isabella Antonangeli,,9.0500,,
Southern Conn.,2018,1,no meet title,Jan-06-2018,Bridgeport,Alexandra Avendano,9.5750,,,9.7500
Southern Conn.,2018,1,no meet title,Jan-06-2018,Bridgeport,Emily Balasco,,,9.0750,
Southern Conn.,2018,1,no meet title,Jan-06-2018,Bridgeport,Cadi Borsellino,,8.4250,8.9000,8.7000
Southern Conn.,2018,1,no meet title,Jan-06-2018,Bridgeport,Keylea Brothers,,,,9.5750
Southern Conn.,2018,1,no meet title,Jan-06-2018,Bridgeport,Tiffany Elliot,8.9500,,,8.5500
Southern Conn.,2018,1,no meet title,Jan-06-2018,Bridgeport,Morgan Gatewood,,,9.3000,
Southern Conn.,2018,1,no meet title,Jan-06-2018,Bridgeport,Michaela Gilbert,,,9.4250,
Southern Conn.,2018,1,no meet title,Jan-06-2018,Bridgeport,Gracie Hundley,,9.5750,,
Southern Conn.,2018,1,no meet title,Jan-06-2018,Bridgeport,Jacqueline Kutcher,,9.3250,,
Southern Conn.,2018,1,no meet title,Jan-06-2018,Bridgeport,Alexandra Lesperance,9.6750,8.8750,,9.5750
Southern Conn.,2018,1,no meet title,Jan-06-2018,Bridgeport,Keara Loughlin,9.4750,,9.0000,
Southern Conn.,2018,1,no meet title,Jan-06-2018,Bridgeport,Melena Ristenblatt,9.5250,,,
Southern Conn.,2018,1,no meet title,Jan-06-2018,Bridgeport,Jenna Zakala,9.4500,,,
Southern Conn.,2018,2,no meet title,Jan-13-2018,Rutgers,Kathleen Aberger,,9.5000,9.8000,9.7500
Southern Conn.,2018,2,no meet title,Jan-13-2018,Rutgers,Alexandra Avendano,9.4500,,,8.9250
Southern Conn.,2018,2,no meet title,Jan-13-2018,Rutgers,Emily Balasco,,,9.1500,
Southern Conn.,2018,2,no meet title,Jan-13-2018,Rutgers,Cadi Borsellino,9.4500,8.4750,,9.5250
Southern Conn.,2018,2,no meet title,Jan-13-2018,Rutgers,Keylea Brothers,,,,9.1250
Southern Conn.,2018,2,no meet title,Jan-13-2018,Rutgers,Kylyn Dawkins,9.4500,,9.6250,9.0500
Southern Conn.,2018,2,no meet title,Jan-13-2018,Rutgers,Morgan Gatewood,,,9.7250,
Southern Conn.,2018,2,no meet title,Jan-13-2018,Rutgers,Michaela Gilbert,,9.1250,8.9500,
Southern Conn.,2018,2,no meet title,Jan-13-2018,Rutgers,Gracie Hundley,,9.4250,,
Southern Conn.,2018,2,no meet title,Jan-13-2018,Rutgers,Jacqueline Kutcher,,8.7500,,
Southern Conn.,2018,2,no meet title,Jan-13-2018,Rutgers,Alexandra Lesperance,9.6250,9.1750,,9.4000
Southern Conn.,2018,2,no meet title,Jan-13-2018,Rutgers,Keara Loughlin,,,9.2250,
Southern Conn.,2018,2,no meet title,Jan-13-2018,Rutgers,Melena Ristenblatt,9.2000,,,
Southern Conn.,2018,2,no meet title,Jan-13-2018,Rutgers,Jenna Zakala,9.3250,,,
Southern Conn.,2018,3,no meet title,Jan-21-2018,Cortland State,Kathleen Aberger,,9.6750,9.7250,9.7250
Southern Conn.,2018,3,no meet title,Jan-21-2018,Cortland State,Emily Balasco,,,9.6750,9.4000
Southern Conn.,2018,3,no meet title,Jan-21-2018,Cortland State,Cadi Borsellino,9.4000,9.6500,9.3750,9.6000
Southern Conn.,2018,3,no meet title,Jan-21-2018,Cortland State,Keylea Brothers,,,,9.5250
