team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Southern Utah,2021,1,Best of Utah,Jan-09-2021,,Morgan Alfaro,9.7750,,,
Southern Utah,2021,1,Best of Utah,Jan-09-2021,,Mayson Bentley,,9.9000,,
Southern Utah,2021,1,Best of Utah,Jan-09-2021,,Ruby Hernandez,,,9.1250,
Southern Utah,2021,1,Best of Utah,Jan-09-2021,,Molly Jozwiakowski,9.6500,,,9.8250
Southern Utah,2021,1,Best of Utah,Jan-09-2021,,Karley McClain,9.7500,9.7500,9.8500,9.8750
Southern Utah,2021,1,Best of Utah,Jan-09-2021,,Shylen Murakami,,9.8500,9.8250,
Southern Utah,2021,1,Best of Utah,Jan-09-2021,,Hannah Nipp,,9.7250,9.8000,9.3750
Southern Utah,2021,1,Best of Utah,Jan-09-2021,,Aubri Schwartze,,9.6000,,9.7500
Southern Utah,2021,1,Best of Utah,Jan-09-2021,,Rachel Smith,9.7750,,8.8500,9.8000
Southern Utah,2021,1,Best of Utah,Jan-09-2021,,Stephanie Tervort,9.6750,,,
Southern Utah,2021,1,Best of Utah,Jan-09-2021,,Nikki Thomas,,9.7750,,
Southern Utah,2021,1,Best of Utah,Jan-09-2021,,Hailey Vultaggio,,,9.2750,9.5750
Southern Utah,2021,2,no meet title,Jan-16-2021,Southern Utah,Morgan Alfaro,9.7750,,,
Southern Utah,2021,2,no meet title,Jan-16-2021,Southern Utah,Mayson Bentley,,9.1500,,
Southern Utah,2021,2,no meet title,Jan-16-2021,Southern Utah,Molly Jozwiakowski,9.6750,,,9.8000
Southern Utah,2021,2,no meet title,Jan-16-2021,Southern Utah,Caitlin Kho,9.8000,,,
Southern Utah,2021,2,no meet title,Jan-16-2021,Southern Utah,Karley McClain,9.8000,9.8250,9.8750,9.7750
Southern Utah,2021,2,no meet title,Jan-16-2021,Southern Utah,Shylen Murakami,,9.8000,9.8000,
Southern Utah,2021,2,no meet title,Jan-16-2021,Southern Utah,Hannah Nipp,,9.8250,9.8500,9.9000
Southern Utah,2021,2,no meet title,Jan-16-2021,Southern Utah,Aubri Schwartze,,9.8250,,9.8500
Southern Utah,2021,2,no meet title,Jan-16-2021,Southern Utah,Rachel Smith,9.6750,,9.4500,9.8500
Southern Utah,2021,2,no meet title,Jan-16-2021,Southern Utah,Stephanie Tervort,9.6000,,,
Southern Utah,2021,2,no meet title,Jan-16-2021,Southern Utah,Nikki Thomas,,9.8000,,
Southern Utah,2021,2,no meet title,Jan-16-2021,Southern Utah,Hailey Vultaggio,,,9.4500,9.8750
Southern Utah,2021,2,no meet title,Jan-16-2021,Southern Utah,Emma Wissman,,,9.7500,
Southern Utah,2021,3,no meet title,Jan-22-2021,Utah State,Morgan Alfaro,9.8500,,,
Southern Utah,2021,3,no meet title,Jan-22-2021,Utah State,Mayson Bentley,,9.9000,,
Southern Utah,2021,3,no meet title,Jan-22-2021,Utah State,Ruby Hernandez,,,9.7250,
Southern Utah,2021,3,no meet title,Jan-22-2021,Utah State,Emma Ingrassia,,,,8.4500
Southern Utah,2021,3,no meet title,Jan-22-2021,Utah State,Molly Jozwiakowski,9.7500,,,9.8500
Southern Utah,2021,3,no meet title,Jan-22-2021,Utah State,Caitlin Kho,9.7000,,,
Southern Utah,2021,3,no meet title,Jan-22-2021,Utah State,Karley McClain,9.8250,9.8250,9.8750,9.8750
Southern Utah,2021,3,no meet title,Jan-22-2021,Utah State,Shylen Murakami,,9.9000,9.9000,
Southern Utah,2021,3,no meet title,Jan-22-2021,Utah State,Hannah Nipp,,9.0750,,
Southern Utah,2021,3,no meet title,Jan-22-2021,Utah State,Aubri Schwartze,,9.8250,9.8500,9.8000
Southern Utah,2021,3,no meet title,Jan-22-2021,Utah State,Rachel Smith,9.7750,,9.8000,9.8000
Southern Utah,2021,3,no meet title,Jan-22-2021,Utah State,Stephanie Tervort,9.7750,,,
Southern Utah,2021,3,no meet title,Jan-22-2021,Utah State,Nikki Thomas,,9.8500,,
Southern Utah,2021,3,no meet title,Jan-22-2021,Utah State,Hailey Vultaggio,,,,9.8000
Southern Utah,2021,3,no meet title,Jan-22-2021,Utah State,Emma Wissman,,,9.8250,
Southern Utah,2021,4,no meet title,Jan-29-2021,Southern Utah,Morgan Alfaro,9.8750,,,
Southern Utah,2021,4,no meet title,Jan-29-2021,Southern Utah,Mayson Bentley,,9.7750,,
Southern Utah,2021,4,no meet title,Jan-29-2021,Southern Utah,Ruby Hernandez,,,9.6750,
Southern Utah,2021,4,no meet title,Jan-29-2021,Southern Utah,Molly Jozwiakowski,9.6750,9.7750,,9.9000
Southern Utah,2021,4,no meet title,Jan-29-2021,Southern Utah,Caitlin Kho,9.6000,,,
Southern Utah,2021,4,no meet title,Jan-29-2021,Southern Utah,Karley McClain,9.8250,9.7000,9.8500,9.9250
Southern Utah,2021,4,no meet title,Jan-29-2021,Southern Utah,Shylen Murakami,,9.9000,9.8250,
