team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Springfield College,2015,1,no meet title,Jan-09-2015,Springfield College,Madi Bowen,8.7000,,,
Springfield College,2015,1,no meet title,Jan-09-2015,Springfield College,Nicole Caradonna,,9.1500,8.7750,
Springfield College,2015,1,no meet title,Jan-09-2015,Springfield College,Gabriela Christ,9.2000,,,
Springfield College,2015,1,no meet title,Jan-09-2015,Springfield College,Abby Clark,,8.2500,9.5750,9.6500
Springfield College,2015,1,no meet title,Jan-09-2015,Springfield College,Jenna Croteau,9.0000,,,9.3000
Springfield College,2015,1,no meet title,Jan-09-2015,Springfield College,Marissa DeAngelo,,9.3000,8.8000,9.0750
Springfield College,2015,1,no meet title,Jan-09-2015,Springfield College,Briana Kerr,,9.1000,,
Springfield College,2015,1,no meet title,Jan-09-2015,Springfield College,Kelsi Levesque,,,,8.3000
Springfield College,2015,1,no meet title,Jan-09-2015,Springfield College,Olivia Morrell,9.3000,,,
Springfield College,2015,1,no meet title,Jan-09-2015,Springfield College,Ashley Parchinski,,8.8000,8.6000,
Springfield College,2015,1,no meet title,Jan-09-2015,Springfield College,Lauren Pocius,9.4250,9.4500,,9.5000
Springfield College,2015,1,no meet title,Jan-09-2015,Springfield College,Nicole Silva,9.5000,,8.8750,8.6500
Springfield College,2015,1,no meet title,Jan-09-2015,Springfield College,Lexie Stiefel,,,9.1000,
Springfield College,2015,2,no meet title,Jan-11-2015,Rhode Island College,Nicole Caradonna,,8.9500,,
Springfield College,2015,2,no meet title,Jan-11-2015,Rhode Island College,Gabriela Christ,9.2250,,,
Springfield College,2015,2,no meet title,Jan-11-2015,Rhode Island College,Abby Clark,9.0750,9.0000,9.3000,9.6250
Springfield College,2015,2,no meet title,Jan-11-2015,Rhode Island College,Jenna Croteau,8.8250,,,9.3500
Springfield College,2015,2,no meet title,Jan-11-2015,Rhode Island College,Marissa DeAngelo,,9.3000,9.4000,9.5000
Springfield College,2015,2,no meet title,Jan-11-2015,Rhode Island College,Briana Kerr,,9.4000,8.6750,
Springfield College,2015,2,no meet title,Jan-11-2015,Rhode Island College,Kelsi Levesque,,,,9.1000
Springfield College,2015,2,no meet title,Jan-11-2015,Rhode Island College,Olivia Morrell,8.5000,,,
Springfield College,2015,2,no meet title,Jan-11-2015,Rhode Island College,Ashley Parchinski,,8.8000,9.4000,
Springfield College,2015,2,no meet title,Jan-11-2015,Rhode Island College,Lauren Pocius,9.1250,9.1000,,9.4250
Springfield College,2015,2,no meet title,Jan-11-2015,Rhode Island College,Nicole Silva,9.2250,,8.7000,9.3250
Springfield College,2015,2,no meet title,Jan-11-2015,Rhode Island College,Lexie Stiefel,,,9.4000,
Springfield College,2015,3,no meet title,Jan-17-2015,Brockport,Madi Bowen,9.5000,,,
Springfield College,2015,3,no meet title,Jan-17-2015,Brockport,Nicole Caradonna,,8.7000,8.1750,
Springfield College,2015,3,no meet title,Jan-17-2015,Brockport,Gabriela Christ,9.2250,,,
Springfield College,2015,3,no meet title,Jan-17-2015,Brockport,Abby Clark,9.4250,8.8250,9.6000,9.4750
Springfield College,2015,3,no meet title,Jan-17-2015,Brockport,Jenna Croteau,,,,9.0500
Springfield College,2015,3,no meet title,Jan-17-2015,Brockport,Marissa DeAngelo,9.5750,9.1250,9.5750,9.3000
Springfield College,2015,3,no meet title,Jan-17-2015,Brockport,Briana Kerr,,9.1000,,
Springfield College,2015,3,no meet title,Jan-17-2015,Brockport,Kelsi Levesque,,,,8.4000
Springfield College,2015,3,no meet title,Jan-17-2015,Brockport,Ashley Parchinski,,8.7500,9.0500,
Springfield College,2015,3,no meet title,Jan-17-2015,Brockport,Lauren Pocius,9.5000,9.5750,8.5750,9.3250
Springfield College,2015,3,no meet title,Jan-17-2015,Brockport,Nicole Silva,9.2500,,8.0250,8.7000
Springfield College,2015,4,no meet title,Jan-25-2015,Springfield College,Madi Bowen,9.4250,,,
